map_0000#1221	それだけじゃありません、なんとカイロスまで!
map_0000#1222	二匹は激しく戦っています!
map_0000#1223	きっとあの木になっているミツの取り合いですね!
map_0000#1224	それにしても、猛烈な戦いです。二匹とも私たちのことなんて完全に無視しています!
map_0000#1225	これでは、トレーナーがモンスターボールを投げつける隙すら見つけられないのでは、と心配になるほどです!
map_0000#1226	でも、どうにか二匹を引き離して捕まえる方法があるかもしれません。
map_0000#1227	森の奥深くまで進んできたところ、隠れた洞窟を見つけました。
map_0000#1228	この洞窟には、一体どんな驚きが待っているのでしょう!?
map_0000#1229	あら、まあ! 床のあちこちから氷の結晶が突き出ています。そして真ん中を見てください――!
map_0000#1230	あの石から、冷たい霧が立ちのぼっています!
map_0000#1231	何か特別な力を放っているのでしょうか?
map_0000#1232	これを喜びそうな種族が、少なくとも一種類は思い浮かびますね!
map_0000#1233	森を平和にそぞろ歩いていたところ、今夜私たちのために奏でられたような、美しい調べが聞こえてきました。
map_0000#1234	こんなに神々しい歌声のポケモンって、一体何でしょう? きっとかわいくて、無垢な子に違いありません!
map_0000#1235	この答えは、トレーナーの皆さんにお任せしましょう。だって、これは地上を歩いている姿では私たちの前に現れないポケモンなんですから!
map_0000#1236	答えは木の上か、それとも空にあるのかもしれません!
map_0000#1237	今日は、アゲートサーカスと2番道路周辺でポケモンを探します!
map_0000#1238	アゲート郊外の山頂で何が見られるか、早朝から冒険に出ています。
map_0000#1239	おっと! あれを見てください! ルチャブルの群れです!
map_0000#1240	この奇妙なポケモンたちは、朝のトレーニング習慣でこの辺りに集まってくるようです。これで謎が解けましたね!
map_0000#1241	私たちは今アゲートサーカスにいるのですが、とても驚かされました。
map_0000#1242	景品としてポケモンがもらえるとは聞いていなかったのに、どうやら屋台にこっそり紛れ込んでいたようです!
map_0000#1243	ゲームの担当者もすっかり驚いていました!
map_0000#1244	彼はそのポケモンを手放したかったそうで、おかげで私たちが新しい誇らしい飼い主になりました。
map_0000#1245	皆さんにも、そんな幸運が訪れるかもしれませんよ!
map_0000#1246	というわけで、先ほど出会った、なんとも謎めいた男性についてお知らせします。
map_0000#1247	サーカスの近くのどこかで、この男性はこんな取引を持ちかけているそうです――彼が持つ珍しいロコンと交換できるポケモンを見つけてこい、と。
map_0000#1248	興味のあるトレーナーは、すぐにでも彼を探してみてください!
map_0000#1249	今日は、アメトリン山周辺の広いエリアでポケモンを探します!
map_0000#1250	現在セレスティナイン山を移動中で、珍しいポケモンを視界にとらえました!
map_0000#1251	どうやら、岩を殴って鍛錬しているようです! 見事なものですね!
map_0000#1252	もしかすると、自分より強い相手には敬意を払ってくれるかもしれません?
map_0000#1253	アメトリン山の地下深くに潜って、珍しいみずポケモンを探していたのですが、なんと見つけてしまいました……
map_0000#1254	アメトリン山の地下深くにある、波立つ水たまりの中ではしゃいでいる――信じられますか?
map_0000#1255	ワニノコです!
map_0000#1256	とはいえ、この元気な子を捕まえるのは大変かもしれません。まるでシエル・フェザーストーンが空を舞うように、水の中を軽々とすり抜けていきますから!
map_0000#1257	今日は水中探索です。特定の曜日にしか現れないというポケモンについて、匿名のタレコミがありました!
map_0000#1258	……残念ながら、まだ珍しいラプラスを見つけられていません……
map_0000#1259	この地下の空洞があまりに広くて大きいせいでしょうか?
map_0000#1260	それとも、そもそも曜日を間違えていたのでしょうか……?
map_0000#1261	たしか、何か歴史的な裏づけがあったはずなんですが……
map_0000#1262	とはいえ、機材をいつまでも水中に沈めておくわけにはいきませんので、今回はここで撤収します!
