map_0000#1571	栄光は一晩じゃ手に入らないもんだぜ、相棒。
map_0000#1572	へっ、それにしても、ずいぶん下品なスローガンに聞こえるよな?
map_0000#1573	マクスウェル: おっと、よお。
map_0000#1574	他の連中の求人票を探してきてくれって頼んでたよな?
map_0000#1575	俺のじゃなくてよ――まあ、それはまた今度考えるとするか。
map_0000#1576	タカ: 隠れるにはちょうどいい場所かもしれないけど……こんなにポケモンがうろついてるんじゃなあ。
map_0000#1577	回復アイテムはたくさん持ってるつもりだけど、それでも限りはあるからね。
map_0000#1578	タカ: なんでだろう、どこに行っても、僕にはすごい場所に見えるんだ。
map_0000#1579	自分のために生きるっていうのは、ようやく世界を見るってことなのかもしれない。
map_0000#1580	タカ: こういう場所を見ていると、この先には何でもありそうな気がしてくる。
map_0000#1581	もしかしたら、僕が逃げ込む先はここなのかもしれない。
map_0000#1582	タカ: この場所、何かエネルギーがおかしい気がする……
map_0000#1583	一体何がこんなに不安定にしてるんだろう?
map_0000#1584	それを言ったら、僕もおんなじか。
map_0000#1585	タカ: この場所、なんだかすごいデジャヴを感じるよ……
map_0000#1586	タカ: こういうのって、どうして自分の重みで崩れ落ちたりしないんだろうね?
map_0000#1587	ごめん、洞窟の話じゃなくて――
map_0000#1588	僕自身のことを言ったんだ。
map_0000#1589	タカ: この先に、まだ何かあるはずなんだ……じゃなきゃ、どうしてこんなことを覚えてるっていうんだよ?
map_0000#1590	タカ: 絶対、こういう砂の穴のどれかの底にアリボンがいて、それで僕たちは終わりになるんだ。
map_0000#1591	タカ: ところで、自分がどこに向かってるか、分かってるの?
map_0000#1592	いや、分かってなくても別にいいんだけど。
map_0000#1593	正直、僕は人生で一度も、自分がどこに向かってるか分かったためしがないよ。
map_0000#1594	タカ: 夜になると、ここも案外悪くないね。
map_0000#1595	砂さえ我慢できればだけど。
map_0000#1596	それと……
map_0000#1597	いや、実はそれくらいしかここにはないか。
map_0000#1598	タカ: こんなふうに逃げてると、心臓がバクバクする。
map_0000#1599	まあ、熱中症のせいかもしれないけど。
map_0000#1600	タカ: 誰にも追われてないよね?
map_0000#1601	タカ: あのさ、もし怪しい人を見かけたら、僕を砂の中に埋めて、後で掘り返しに来てよ。
map_0000#1602	タカ: 半分しか実在しないような場所で、何マイルあるか分からない砂の真ん中に放り出されてる割には、ここ、けっこう小ぎれいだね。
map_0000#1603	タカ: 個人的には、ここはきれいすぎるくらいだと思うよ。
map_0000#1604	タカ: あのスライドパズル、僕はいまだによく分かってないけど、キミが分かってるならよかった。
map_0000#1605	上から見られたら、きっともっと簡単なんだろうね。
map_0000#1606	……それがキミの秘けつ?
map_0000#1607	タカ: 隠れるには悪くない場所だと思うけど……
map_0000#1608	結局、僕はただ一人になりたくないだけなのかもしれない。
map_0000#1609	タカ: この電車たち、なんだか魂のレベルで共感しちゃうよ。
map_0000#1610	タカ: この電車のどれかに、食べ物とか入ってると思う?
map_0000#1611	タカ: 昔から、電車をスクラップの山に突っ込ませてみたかったんだ。
map_0000#1612	キミと一緒だと、夢がかなうっていうか、そんな感じ。
map_0000#1613	タカ: こんなガラクタの中に、本当に何かあるのかな?
map_0000#1614	ジムがここにあるはずってのは分かるけど……なんで。
map_0000#1615	タカ: 敵になるはずだった相手と一緒に旅をするのって、なんだか間違ってる気がするよ……
map_0000#1616	でも、僕の人生自体、ずっと間違ってたし。
map_0000#1617	だから、これでやっと正しい気がするんだ。
map_0000#1618	タカ: 僕が戻らないって、みんな気づくのにどれくらいかかるんだろう。
map_0000#1619	もうとっくに気づいてなければの話だけど……
map_0000#1620	タカ: 僕のせいで、ゼルがひどく叱られることになりそうだ……
map_0000#1621	父上は、PULSEの作業をしていないとき、僕の様子を見ておくようゼルに頼んでいたから。
map_0000#1622	それに、最近ゼロの調子があまり良くないって聞いた。
map_0000#1623	タカ: チームメテオの実績が決して立派なものじゃないのは分かってる。
map_0000#1624	でも、それでも僕にとっては、これまで唯一の家族なんだ。
map_0000#1625	タカ: あのさ、メテオは最初からこうだったわけじゃないんだ……
map_0000#1626	もともとは、ただシタデルを守っているだけだったんだよ。
map_0000#1627	父上いわく、その先代たちは、何かというより神殿の番人みたいな存在だったらしい。
map_0000#1628	タカ: \PN、いつも重荷になってばかりで、ごめんね。
map_0000#1629	タカ: あの女さえいなければ、こんなことにはならなかったはずなんだ……
map_0000#1630	彼女はチームメテオを――目的も手段も――腐らせてしまった。
map_0000#1631	タカ: 父上は、あの女さえいなければ何も起きなかったはずだと言ってる……
map_0000#1632	リボーンのチャンピオン、リーグを作って、まるでどこかの遊園地みたいに世界中に宣伝した女性だ。
map_0000#1633	彼女は古い街の傷を塞いで、シタデルを再び覆い隠した。
map_0000#1634	どんな理想があったにせよ、遺跡をそのまま残す代わりに、なぜわざわざ上に街を建てたりするんだろう?
map_0000#1635	それ、僕がやりそうなことだけどね。
map_0000#1636	タカ: 父上は、リボーンシティに何が起ころうと、それは自業自得だと言ってる。
map_0000#1637	祖父母が亡くなった後、創始者たちは、聖なるシタデルの上にリボーンシティを建てて、それを覆い隠そうとした。
map_0000#1638	それは、僕たちの祖先の文化に対する、この上ない侮辱だったんだ。
map_0000#1639	まあ、そういうことになってるらしい。
map_0000#1640	タカ: ねえ、旅をしてる間に、ルナっていう女の子に会ったことある?
map_0000#1641	僕が育つ中で、数少ない友達の一人だったんだ。
map_0000#1642	それから彼女は家出した……
map_0000#1643	今の僕と、ちょうど同じだね。
map_0000#1644	彼女のこと、よく考えるんだ。
map_0000#1645	タカ: ねえ、これはただの何気ない質問だけど、ルナのこと知ってるよね?
map_0000#1646	もしまた会うことがあったら、伝えてほしいんだ――
map_0000#1647	……ううん、やっぱりいいや。
map_0000#1648	彼女があんなふうに思い込みが激しくなったのは、僕のせいな気がするんだ……
map_0000#1649	だって、僕が生まれてさえいなければ、彼女があの立場に立たされることもなかったから。
map_0000#1650	タカ: ねえ\PN、キミの両親ってどんな人?
map_0000#1651	僕の父上がどんな人か、キミも見てきたよね。
map_0000#1652	それで、僕の母上は――それだけの人だったんだ。
map_0000#1653	僕を産むために雇われて、それで自分の道に去っていった。
map_0000#1654	でも、それって普通じゃないよね……?
map_0000#1655	タカ: 父上が数え切れないほど破壊的なことをしてきたのは分かってる。でも、父上がすべて悪いわけじゃないんだ。
map_0000#1656	リボーンについての父上の夢は、父上自身の子ども時代そのもの――この世界の創造主を敬う小さな共同体なんだ。
map_0000#1657	本当に危ないのは、リンの方だよ。
map_0000#1658	タカ: 父上、大丈夫だと思う?
map_0000#1659	僕には厳しかったけど、それはただ心配してくれてたからなんだ。
map_0000#1660	きちんとできないのは、僕の方なんだよ。
map_0000#1661	少なくとも、忠実にはできてない……
map_0000#1662	タカ: ……
map_0000#1663	あ、ごめん\PN、なんか言った?
map_0000#1664	完全にぼーっとしてた。
map_0000#1665	タカ: 父上が、あの知らせを聞いて、あまり深く傷つかなければいいんだけど。
map_0000#1666	父上は、自分の両親を亡くしたことを、いまだに乗り越えられていないんだ。
map_0000#1667	いつも、過去のものを失うことを恐れてる。
map_0000#1668	だからこそ、リボーンの歴史のために、あんなに必死に戦ってるんだ。
map_0000#1669	タカ: リン、僕たちを追ってきてないよね?
map_0000#1670	あの女、命令するときと、他人に毒づくとき以外は口を開かないんだ。
map_0000#1671	人間っていうより、ロボットみたいな感じだけど、共感力はロボット以下だよ。
map_0000#1672	タカ: 何もかも、リンのせいなんだ……
map_0000#1673	あの女は、内も外も、めちゃくちゃなんだよ。
map_0000#1674	彼女がナルコレプシーだって知ってた?
map_0000#1675	どこかそこら中で気を失って倒れてる彼女を、何度見つけたか分からないよ。
map_0000#1676	それに、僕らが何をしても、自分から目を覚ます以外に起きてくれないんだ。
map_0000#1677	タカ: キミは、父上のこと嫌い?
map_0000#1678	タカ: 父上が、道徳の輝かしい手本ってわけじゃないのは分かってる……
map_0000#1679	でも、父上はいつだって、自分の理想のために戦ってきたんだ。
map_0000#1680	それは、僕には絶対にできなかったことだよ。
map_0000#1681	今までは、って感じだけどね。
map_0000#1682	タカ: こんなことがあった後でも?
map_0000#1683	……ありがとう。
map_0000#1684	タカ: 父上の部下ではあるけど、気をつけるべきなのは父上よりもシリウスの方だよ。
map_0000#1685	彼は昔から「歴史は勝者が書くもの」って考えの持ち主だったけど、リンと組むようになってから、それがずっとひどくなったんだ。
map_0000#1686	タカ: イライアスも、たぶん僕を探してるだろうな……
map_0000#1687	誰にも見つかりたくないけど、少なくともイライアスは父上に忠実だから。
map_0000#1688	誰かに、彼が父上にするみたいに接してもらうなんて、僕には想像もつかないよ。
map_0000#1689	そんなの、僕には一番似合わない。
map_0000#1690	タカ: 最近、あの医者みたいな男が仲間に加わったのって、キミが関係してるんだよね?
map_0000#1691	あの男、本当に気味が悪いんだ。
map_0000#1692	リンにほとんどつきまとってるみたいで、何か執着してるみたいなんだよ。
map_0000#1693	タカ: リンに関わる人間は、みんなおかしいんだ。
map_0000#1694	あのテラって女の子もそう。
map_0000#1695	みんな、彼女の技術力は誰にも負けないって言うけど、
map_0000#1696	拠点にはほとんどいないくせに、たまにいると、結局大量に修理する羽目になるんだ。
map_0000#1697	それでも、リンはいつも彼女を残しておけって言い張ってる。
map_0000#1698	タカ: ロドクラインで、エースとゼルと一緒にいた男のこと、覚えてる?
map_0000#1699	あのとき、何人かの構成員が、キミがあいつを殺したって言ってたんだ。
map_0000#1700	一番愛想のいい奴ってわけじゃなかったけどね。
map_0000#1701	実際、あいつは話すために残ったりしなかったし、頼まれてもいない命令をこなしたり、いつもシリウスと言い争ったりしてた。
map_0000#1702	でも、それでも……キミがそんなことするはずないよね?
map_0000#1703	タカ: あのさ、チームメテオの中に、キミのことを本気で恨んでる人がいたと思うんだ――普通よりずっとね。
map_0000#1704	イライアスが連れてきた新入りがいて、しばらくの間、キミに何かの仕返しをするってずっと言ってたんだ……
map_0000#1705	それが突然、変わったんだよ。
map_0000#1706	もう気持ちの整理がついたのかな?
map_0000#1707	タカ: キミと、あの水質浄化センターにいた赤髪の厄介者がいなかったら、僕、今ここにいられてすらないと思う。
map_0000#1708	今までずっと、僕に付き合ってくれてありがとう。
map_0000#1709	タカ: それで、あのファーンって奴、どうなってるの?
map_0000#1710	最近入ったばかりなのに、みんな彼の文句ばっかり言ってるんだ。
map_0000#1711	キミたち、友達だったんじゃないの?
map_0000#1712	タカ: 僕は、キミがメテオから逃がした最初の一人ってわけじゃないんだね。
map_0000#1713	キャルもキミと一緒に行ったって聞いたよ。
map_0000#1714	キミって、本当に人を引き離すのがうまいんだね。
map_0000#1715	タカ: それで……キミの秘けつって何?
