map_0000#1921	えっと、
map_0000#1922	ごめん。
map_0000#1923	いくつかのことで。
map_0000#1924	いくつかどころじゃ、ないかもだけど。
map_0000#1925	さあ、数えてないから分かんない。
map_0000#1926	リン: あんた、あたしを刑務所に連れてく気満々でしょ。
map_0000#1927	……まあ、ここに来たことないわけじゃないけどさ。
map_0000#1928	シェリー: アゲートでは、本当に楽しい時間を過ごせたよ。
map_0000#1929	10年ぶりにあなたに会えて、みんな大喜びだった!
map_0000#1930	たくさんの人が、たくさん変わったね。
map_0000#1931	……でも、どんなに良い日でも、永遠には続かない。
map_0000#1932	あなたが自分の時代に戻らなきゃいけないのは分かってる。
map_0000#1933	きっと、アゲートで永遠に過ごして、みんなと話して、今どうしているか見て回ることもできるだろうけど。
map_0000#1934	シェリー: ……でも、それはまた別の機会の話、だと思わない?
map_0000#1935	カラマネロ: マラーム!!
map_0000#1936	え、な、なに? 負けたの? あーあ……
map_0000#1937	そっか……まだ実力が足りなかったみたい……仕方ないか……
map_0000#1938	\PNはボーナスを獲得した!
map_0000#1939	回復ユニット、起動
map_0000#1940	\PNのチームは全回復した!
map_0000#1941	ゼニガメ: ゼニッ!
map_0000#1942	ゼニガメは水しぶきをあげて楽しんでいるようだ。
map_0000#1943	ゼニガメを連れていくか?
map_0000#1944	……ゼニ~
map_0000#1945	タカ: 待って、あれ木じゃなかったの?
map_0000#1946	まあ、責める気にもならないけどね。
map_0000#1947	僕だって、半分土に埋まって何時間も何もしないでいたいと思うことあるし。
map_0000#1948	ザングース: ザァァァン!
map_0000#1949	……\PNのたましいのろうそくが、突然光った!
map_0000#1950	かぼちゃが光り始める……
map_0000#1951	驚いたポケモンが攻撃してきた!
map_0000#1952	タカ: あ――もしかして、倒すつもりだったの?
map_0000#1953	タカ: 捕まえたんだね?
map_0000#1954	なんていうか、僕はちょっとうれしいよ。
map_0000#1955	家族とか伝統とか、そういうのはどうでもいいけど、この場所とあのポケモンがすっかり忘れられちゃうのは、悲しいことだから。
map_0000#1956	だから、これは僕からのプレゼントだと思ってよ。
map_0000#1957	僕の歴史をキミに渡すから、もうその影の中を歩かなくてすむようにね。
map_0000#1958	フカマルは逃げた!
map_0000#1959	タカ: ああああ、結局逃げられちゃったか?
map_0000#1960	もっと食べ物があったら、また戻ってくるかもね……
map_0000#1961	はい
map_0000#1962	いいえ
map_0000#1963	いやしのすず
map_0000#1964	ここで待つ
map_0000#1965	やめる
map_0000#1966	みらいよち
map_0000#1967	この階
map_0000#1968	ヘルプ
map_0000#1969	回復
map_0000#1970	会話
map_0003#0	さあ。これって使う価値あるのかな?
map_0003#1	次のジムリーダーを突破して、ポケモンを育て続けるくらいには、これで十分かもしれない。
map_0003#2	ここは7階、タイプジェムのフロアだ。
map_0005#0	友達に「ここでラリれるらしい」って聞いて、頑張って登ってきたんだけど。
map_0005#1	どうやら、勘違いだったみたいだ。
map_0005#2	間違えてここに来て以来、人を助けることにすごくやりがいを感じるようになったんだ。
map_0005#3	それに、街の復興が進んでる今ほど、それをやるのにいいタイミングはないよね。
map_0005#4	この場所の土台を直したのが誰か、当ててみてよ。そう、俺だよ。
map_0005#5	マジかよ、わざマシンってまだ上の階にあるの? そりゃないよ!
map_0005#6	ここは9階、進化の石と特殊アイテムIIのフロアだ。
map_0008#0	アマリア: いきなり抵抗ってわけ?
map_0008#1	メテオだんしたっぱ: そこで止まれ!
map_0008#2	アマリア: あら、それは無理な相談ね?
map_0008#3	手を貸して、\PN!
map_0008#4	なんでだよ!?
map_0008#5	あ、あんたは……
map_0008#6	メテオだんしたっぱ: 強すぎる!
map_0008#7	メテオだんしたっぱ: 他の連中を呼んでくる!
map_0008#8	アマリア: ありがとう、\PN!
map_0008#9	誰かが味方してくれてるって分かるだけで、すごく助かるわ~
map_0008#10	連中が立て直す前に、先へ進みましょう!
map_0008#11	連中が持ち直す前に、先へ進みましょう!
map_0008#12	したっぱ: 強すぎ……だろ……
map_0008#13	……ハッ! でもボスなら、あの女くらい楽勝だぜ!
map_0010#0	よし、これを試してみよう!
map_0010#1	どうやら、計算をやり直す必要がありそうだ。
map_0010#2	まあ、いいデータは取れたけどね。
map_0010#3	ああ、キミが侵入者か。
map_0010#4	いや、戦うつもりはない。どうせボコボコにされるのが目に見えてるからね。
map_0010#5	なんでそんな目で見るんだ?
map_0010#6	剣より、ペンの方が性に合うんだ。よく言うだろう?
map_0010#7	知識こそ、俺のミューズ――俺の人生だ。
map_0010#8	ふむ、なぜメテオ団で働いているのか気になるのか?
map_0010#9	まあ……あまり詳しくは言えないが、連中はある隠された秘密を解き明かそうとしていてね――俺はその真実をどうしても知りたいんだ!
map_0010#10	はっ! 捕まえたぞ!
