map_0022#14	あなたのことは、ここにはいなかったことにする。
map_0022#15	テレビを持って、早く行って!
map_0022#16	なんてすてきな建物なんだろう! ここは全部キキ先生が取り仕切ってるの!
map_0022#17	レティ: あら、あなたがそうなのね?
map_0022#18	最近、いろいろ騒ぎを起こしてるっていう。
map_0022#19	大変な話だけど……心配しないで!
map_0022#20	アカデミー中の耳を使って、何か怪しい動きがないか、しっかり見張ってるから!
map_0022#21	何かあったら、すぐに伝えるからね!
map_0022#22	レティ: ……おかえりなさい。
map_0022#23	わたしたち……ここで精一杯やってるところ。
map_0022#24	みんなで力を合わせなきゃいけないから、滞在中に何か手伝えることがあったら、何でも言ってね。
map_0022#25	レティ: あら、あなたヴィクトリアの友達よね? おかえりなさい!
map_0022#26	ヴィクトリアは本当によく頑張って、この場所をまとめてくれてる。それに――きっと大丈夫だと思う。
map_0022#27	今は少し人が少ないけど、忘れないで、街の復興作業にはヴィクトリアと一緒に大勢の生徒が関わってるの!
map_0022#28	彼女はそのプロジェクトに真っ先に飛び込んだ一人で、わたしたちの多くも彼女について行ったのよ。
map_0022#29	その間、彼女の代わりに、わたしがここを管理してる。
map_0022#30	だから心配しないで。アポフィルアカデミーは、竹林みたいなものなの。
map_0022#31	折れずに、しなうだけ。
map_0022#32	レティ: ヴィクトリアが不在の間、ここはわたしが管理してるの。
map_0022#33	でも心配しないで。アポフィルアカデミーは、竹林みたいなものなの。
map_0022#34	それはそうと! あなた、きっとすごく気になってるだろうから、教えてあげる――
map_0022#35	わたしたち、いつでも新入生を受け入れてるの! だから、良い評判を広めてきてくれない?
map_0022#36	レティ: これ、誰でもいいから渡してね!
map_0022#37	というか、はい――2枚あげる!
map_0022#38	レティ: 忘れないで、興味さえあれば、どんな人でも受け入れるからね!
map_0022#39	この場所、また人でいっぱいにしないと、でしょ?
map_0022#40	あなた、手伝いたくてうずうずしてるみたいだから、念のためにもう1枚あげる。
map_0022#41	レティ: 頑張ってね!
map_0022#42	次の授業が待ちきれない。キキ先生は素晴らしい先生なんだ!
map_0022#43	これから誰が授業をやるんだろう?
map_0022#44	朝のルーティンは?
map_0022#45	季節のお祭りは?
map_0022#46	授業のスケジュール組みも、本の執筆も、中庭の手配も、生徒の指導も、それにそれにそれにそれにそれに――
map_0022#47	……ずるいよ。
map_0022#48	この建物は、長いハイキングの合間の完璧な休息所だ。ここなしじゃ生きていけない!
map_0022#49	キキ先生がいなくちゃ、ここは同じじゃないって言う人もいる。
map_0022#50	たしかに、そうだろう。
map_0022#51	でも、それでも先生の遺産として、きっと素晴らしいものであり続ける。
