map_0025#27	あの人、講義には毎回出てるけど、戦ってるところは一度も見たことないな。
map_0025#28	火山で修行してるって聞いたけど?
map_0025#29	ヴィクトリア、しばらく姿を見ないね。
map_0025#30	どうしたんだろう?
map_0025#31	……もしかして、あの人と関係あるのかな。ふーん〜
map_0025#32	キキ先生は、わたしたち全員を救うために命をかけてくれたの?
map_0025#33	……この時間を大切に使って、頑張ろう。
map_0025#34	キャルには会った?
map_0025#35	ちょっと変わってるけど、なんかカッコいいんだよね。
map_0025#36	つまり、まあまあイケてるってこと。
map_0025#37	あ、今の、ヴィクトリアには言わないでよ!
map_0025#38	今、ここが本当に寂しく感じる……
map_0025#39	ここがメインの講堂だけど、外でも授業をたくさんやるんだよ。水辺とか、パイロス山とか、修練場とかで。
map_0025#40	まるで毎日、遠足があるみたいだよね!
map_0025#41	キキ先生、本当にいなくなっちゃったの?
map_0025#42	だって、そんなはずないよね?
map_0025#43	きっとなんか、すごい禅パワーみたいなのを引っさげて戻ってくるよ!
map_0025#44	ほら、「死を超えるためには、まず生を超えねばならない」みたいなさ!
map_0025#45	いかにも先生が言いそうなことだよね?!
map_0025#46	主にハイキングしに来てるだけなんだけど、キキ先生の講義だけは絶対に聞き逃さないんだ。
map_0025#47	あの人、まるで賢者だよね。
map_0025#48	そんなに知ってたわけじゃないけど、僕でも寂しく感じるよ。
map_0025#49	ここはキキ先生の部屋。でも今は外に出てるよ。
map_0025#50	あら、先生を探してるの?
map_0025#51	うーん、そうね、修練場で授業をしに行ってるよ。
map_0025#52	講義が終わったあとなら、つかまえられるかも。
map_0025#53	だいたい正面玄関を出てすぐだから、見逃しようがないよ。
map_0025#54	キキ先生は修練場で授業をしに行ってるよ。
map_0025#55	ヴィクトリア: アズリン島は、ここからちょっと東に行ったところです。
map_0025#56	船でここまで来ましたよね?
map_0025#57	簡単に着けるはずです。
map_0025#58	チームメテオが何を企んでいるにせよ、止めなければ。
map_0025#59	あなたが出ている間、ここは私が落ち着けておきます。
map_0025#60	キキ先生は今休んでいて、邪魔しないでほしいとのことです。
map_0025#61	ヴィクトリアなら、たった今ここから飛び出していったよ、見なかった?
map_0025#62	キキ先生は今、講義の最中です。
map_0025#63	こちらからの入室はお断りしています。
map_0025#64	講義に出席するなら、正面から入ってください。
map_0025#65	ヴィクトリア: 深呼吸……
map_0025#67	\PN、アカデミーを代表して、謝らせてください。
map_0025#68	あなたには、つらい思いをさせてしまいました。
map_0025#69	先生があんなに一気に取り乱すところ、初めて見た。
map_0025#70	これは全部……初めてのことばかりだ。
map_0025#71	???: ヴィクトリア!
map_0025#72	知らせがあるの。
map_0025#73	ヴィクトリア: 今はもう、知らせとかいいです。
map_0025#74	レティ: 生徒の何人かが、アズリン島にハイキングに行ってたんだけど――
map_0025#75	そこに、なんか怪しい連中がいるらしいの?
map_0025#76	全身黒スーツで、重機みたいなのを持ってる系の怪しさ?
map_0025#77	ヴィクトリア: それで決まりですね。
map_0025#78	ありがとう、レティ。
map_0025#79	他に何かあったら、わたしのところに持ってきて。
map_0025#80	キキ先生はしばらく休むことになりました。
map_0025#81	レティ: 了解、任せて!
map_0025#82	ヴィクトリア: わたしはここに残らないと。
map_0025#83	この学校には、正直でいて物事を前に進められる人間が、少なくとも一人は必要です。
map_0025#84	それに、先生には今すごく腹が立ってるけど、
map_0025#85	それはキキ先生も同じ。
map_0025#86	アズリン島を見てきてもらえますか?
map_0025#87	何かあったり、あの機械が見つかったりしたら、できるだけ早く知らせます。
map_0025#88	大ホールでは誰も電話に出ないようだ……
map_0025#89	アメ: \PN?
map_0025#90	やあ! ジムに着いたのね。
map_0025#91	この通信機は大ホールに直結してるから、どこにいても、ジムに着いたらいつでも相談の電話ができるのよ!
map_0025#92	それはそうと……
map_0025#93	アメ: あら、アポフィルアカデミーから来てるのね?
map_0025#94	……たしかにあそこは昔ジムだったけど、今は違うわ。
map_0025#95	キキは、体調の問題がずっと続いていて、引退を余儀なくされたの。
map_0025#96	戦いのストレスが、彼女には負担になりすぎたりしない?
map_0025#97	……まあ、念のため、彼女の昔のノートを渡しておくわね。
map_0025#98	あの学校はめい想を重視してるから、あそこの精神エネルギーは常軌を逸してるわ!
map_0025#99	彼女が「ヨガのポーズ」を使うと、ポケモンは普段よりずっとずっと強くなるから、そのチャンスを与えちゃダメ!
map_0025#100	ちなみに、かくとうタイプを倒すのに、みんなひこうタイプを選びがちだけど、それは危険な選択かもしれない。
map_0025#101	あそこは砂と灰だらけだから、簡単に舞い上がって視界を失いやすいの。でも、精神を研ぎ澄ましたキキのポケモンは、それでも攻撃を当ててくることが多いわ!
map_0025#102	ひこうタイプよりも、精神エネルギーで対抗してみて! あそこではエスパータイプがかなり活躍するわよ!
map_0025#103	何があっても、頑張って。
map_0025#104	ずっとここに来るのを楽しみにしてたのに……
map_0025#105	ここの古株の生徒たちは、昔とは違うって言うけど――それでも、僕が想像していたとおりの場所だよ。
map_0025#106	キャル: \PN。
map_0025#107	キャル: 来てくれて助かった。
map_0025#108	実を言うと、この件をナイトクラブに報告したのは俺なんだ。
map_0025#109	止めるためにできたことは、たぶんいろいろあったはずなんだけど……
map_0025#110	……それで、彼女の様子は?
map_0025#111	もちろん、これも別のアノマリーの仕業だ。
map_0025#112	お前がさっき倒したやつで、その主役がここを走り抜けていった。
map_0025#113	今はキキ先生の部屋に隠れてる。
map_0025#114	他人の感情を奪えるポケモン……
map_0025#115	もう何か、見当はついてるだろ?
map_0025#116	あの人がどれだけ自分を追い詰めてたか知ってたから、そいつを見つけたとき……
map_0025#117	そいつは手伝ってくれる気があったし、うまくいくかもって思ったんだ。
map_0025#118	彼女に、そのままの自分で十分なんだって、分からせようとしたんだよ。
map_0025#119	誰か別の誰かになろうと、頑張り続ける必要なんてないんだって。
map_0025#120	……まあ、もう少しやり方があったかもしれないけどな。
map_0025#121	それは悪かったよ。
map_0025#122	ヴィクトリアとは、俺がちゃんと話をつけてくる。ちゃんとした方向に向かうようにな。
map_0025#123	あのポケモンは、お前に任せる。
map_0025#124	彼女がそいつを殴りつけたりする前に、片づけといた方がいいぞ……
map_0025#125	急にこんなことになって悪いけど、お前の助けはいつも通り、かけがえのないものだよ。
map_0025#126	ヴィクトリア: あら、もう終わったんですか?
map_0025#127	ちょうど……様子を見に来たところで。
map_0025#128	キャルがこんなことを仕組んだのは、正直あまり気分がよくないですけど……
map_0025#129	でも、もう終わったことです。
map_0025#130	生徒たちは散り散りになって、誰も何があったか、あまり覚えていないみたい……
map_0025#131	……それはそれで、都合がいいです。
map_0025#132	もしあなたも忘れてくれたなら、それはそれで構いません。
map_0025#133	でも……彼の言うとおりでした。
map_0025#134	自分のその部分を、まだ認める必要があったのかもしれません。
map_0025#135	もしかしたら……少しは、役に立ったのかも。
map_0025#136	あいつがバカで、大嫌いだとしてもです。
map_0025#137	別に、嫌いなわけじゃないですけど。
map_0025#138	でも腹は立ってるので、それは彼には言わないでくださいね!
map_0025#139	わたしが自分の気持ちを認めるなら、彼だって、たとえそれが大局的にはいいことだとしても、人の裏でこそこそ動くのはやめるべきだって認めるべきです!
map_0025#140	……とにかく、手伝ってくれてありがとうございました。
map_0025#141	少し時間をかけて……これを消化していこうと思います。
