map_0036#3	退屈だな。
map_0036#4	>- サフラン通り\n^v - 8番通り
map_0036#5	デボン社の野郎どものせいで、ユレユをクビになったんだ。\nお前でその鬱憤を晴らしてやる!
map_0036#6	はぁ、何もかも理不尽だ。
map_0036#7	デボンの連中がユレユの仕事を奪うようになってから、会社は坂を転げ落ちるみたいに落ちぶれたんだ。
map_0036#8	リボーンには3つの企業がある。ホウエンのデボン社、カントーのシルフ社、そしてリボーン地元の老舗、ユレユだ。
map_0036#9	でも残念ながら、ユレユは地震のあとに倒産しちまって、今じゃ2社しか残ってない。
map_0036#10	突然、オブシディア公園がツタと葉っぱの奔流に飲み込まれたんだ……
map_0036#11	みんな慌てて逃げ出してたよ。
map_0036#12	全員が逃げ切れたかは、分からないけど。
map_0036#13	すべてが元通りになってきて、本当にほっとしてる。
map_0036#14	<>- ゴールデンロッド通り\n^v - 9番通り
map_0036#15	<>- サフラン通り\n^v - 9番通り
map_0036#16	この植物騒ぎ、マジでイカしてるよな。
map_0036#17	なあ……このカオス、どこ行った?
map_0036#18	怖いよ……
map_0036#19	<- オパール大橋\n^ - 8番通り >- メインストリート
map_0036#20	マジで言うけどさ、あれ史上最高にイカれてたぜ。
map_0036#21	あったんだよ……*ヒック* マシンがさ、それで……*ヒック* それから……木だよ。木だらけになったんだ。
map_0036#22	マジでイカれた光景だったぜ……
map_0036#23	ポケモン育て屋 - こちら!
map_0036#24	この辺、初めて?
map_0036#25	ふーん……あたしのスコアには勝てないと思うけど。
map_0036#26	ゲームならいつでも受けて立つよ!
map_0036#27	あっちは、昔のユレユのビルだよ。
map_0036#28	数年前は、リボーンきっての大企業だったんだ。
map_0036#29	それから地震が始まって。この辺りは見ての通りめちゃくちゃになって、会社も畳まざるを得なかった。
map_0036#30	つらいよな。
map_0036#31	数年前は、リボーンきっての大企業だったんだ。
map_0036#32	ヨーテリー: リィィ……ワン!
map_0036#33	ヨーテリーがまた逃げちゃった!
map_0036#34	ああ、あなたか!
map_0036#35	あなたのポケモンを預かってたんだけどね、いやはや、驚いたよ!
map_0036#36	あなたのポケモンが、タマゴを持ってたんだ!
map_0036#37	どうしてそうなったかは分からないけど、あなたのポケモンが持ってたんだよ。
map_0036#38	もちろん、欲しいよね?
map_0036#39	\PNは、育て屋のおじさんからタマゴを受け取った。
map_0036#40	ちゃんと大事に育ててやってくれよ。
map_0036#41	本当に、こっちで預かっておくよ。このタマゴ、欲しいんだよね?
map_0036#42	それじゃあ、こちらで預からせてもらうよ。ありがとうな。
map_0036#43	つまり、もう二度と、こんなの見つからないんじゃないかと……
map_0036#44	いやいや、きっとまた見つかるさ。絶対にな!
map_0036#45	私は育て屋のおじさんだ。
map_0036#46	トレーナーたちの大切なポケモンの世話を手伝ってるんだよ。
map_0036#47	育ててほしいポケモンがいたら、うちのに預けてくれればいい。
map_0036#48	ああ、あなたか!\n会えて嬉しいよ!
map_0036#49	あなたの\v[3]は、元気にやってるよ。
map_0036#50	あなたの\v[3]と\v[4]は、元気にやってるよ。
map_0036#51	この2匹、お互いよりも他のポケモンと遊びたがってるみたいで……
map_0036#52	この2匹、あまり仲良くはなさそうだね。
map_0036#53	この2匹、仲良くやってるみたいだよ。
map_0036#54	この2匹、とっても仲良くやってるみたいだよ。
map_0036#55	ヴィクトリア: ……あ。
map_0036#56	これは、その――
map_0036#57	あ。
map_0036#58	さっきここを通った時は、こんなふうじゃなかったのに……
map_0036#59	ヴィクトリア: 彼女を見つけられたんですね、\PN、良かったです!
map_0036#60	スラムの連中の相手をしてて、すっかり手間取っちゃいました……
map_0036#61	いろいろ聞いたんですけど――あまり役に立つ答えはもらえませんでした。
map_0036#62	アマリア: 待たせちゃって悪いね!
map_0036#63	つーか、あんた、前にどこかで会ったことない?
map_0036#64	だいぶ前だったと思うけど、オニキストレーナー学校の下級生だったよな?
map_0036#65	フロリニア: 正しい。
map_0036#66	ヴィクトリア・マーロウ、元専門バトル科の生徒。
map_0036#67	現在は退学済み。
map_0036#68	ヴィクトリア: ……はい。
map_0036#69	その、わりとすぐに、自分には向いてないって分かったので。
map_0036#70	もっと実践的なやり方のほうが、性に合ってるみたいで……
map_0036#71	アポフィルアカデミーのほうが、しっくりきたんです。
map_0036#72	覚えてないでいてくれたらいいなって、正直ちょっと思ってました……
map_0036#73	フロリニア: 校長の職務として、この機関の生徒全員をしっかりと把握しておくことが求められる。
map_0036#74	だがこの話者は、事実を述べているにすぎない。批判の意図はない。
map_0036#75	アマリア: まあ、学校生活が誰にでも合うわけじゃないもんね!
map_0036#76	今の場所で幸せなら、それでいいんだよ!
map_0036#77	ヴィクトリア: ……はい、幸せです。
map_0036#78	ヴィクトリア: アポフィルアカデミーのほうが、あの学校よりずっと、わたしにとっての居場所になってます。
map_0036#79	それは、何があっても変わりません。
map_0036#80	フロリニア: 先に述べた通り、言葉より実際に見たほうが早い。
map_0036#81	オブシディア公園は、市の公式境界内で最大級の孤立した植生密集地のひとつである。
map_0036#82	しかし、それはあくまで――公園にすぎない。
map_0036#83	通常であれば、ここに見られるような悪性の絡み合いを呈することはない。
map_0036#84	同様の状態はすでにジャスパーワードおよびベリルワードでも観測されており、それゆえ現在の封鎖措置に至っている。
map_0036#85	ヴィクトリア: どうして、こんなことに……?
map_0036#86	フロリニア: 目撃者によれば、事件発生前、複数の不審な人物が大型の機械をこの区域の中心へと運び込んでいたという。
map_0036#87	現時点での仮説:前述の人物らが、当該装置を用いて対象区域の突発的異常成長を意図的に引き起こした。
map_0036#88	具体的な作用機序は不明。
map_0036#89	手順:調査班が繁茂した植生を踏破し、中心部の装置への到達を試みる。
map_0036#90	障害:この話者の主要な協力者が、いまだ不在である。
map_0036#91	加えて、変異した植生が踏破に大きな困難をもたらしている。
map_0036#92	これは「かいりき」のマシンの使用によって解消できる可能性がある。
map_0036#93	当該マシンは現在、前述の協力者が所持している。
map_0036#94	指示:協力する者は、前述の協力者を探し出し、「かいりき」を入手すること。
