map_0036#354	この子は、こんなにたくさんつけてるんですね……
map_0036#355	花が多いメブキジカほど、成長がゆっくりだって聞きます。
map_0036#356	そういう道のりには、少し忍耐が必要かもしれませんけど……
map_0036#357	その分だけ、最後に手に入る美しさには、きっと価値があると思いたいです。ポケモンにとっても、それは同じでしょうね。
map_0036#358	ローラ: ミノマダムですか……あまり評価されていない子だと思います。
map_0036#359	少し甘い香りがしますね……刈りたての新しい草のような。
map_0036#360	適応力があって、変化して成長することをいとわない子です――周りの環境とともに花開くんですね。
map_0036#361	その変化への傾向が、適応への恐れやプレッシャーからではなく、新しいことに挑む喜びから来ているといいんですけど。
map_0036#362	……もしサンプルが終わる前に変化することになったら、脱いだ殻は見つけやすいところに置いておいてくださいね?
map_0036#363	ローラ: あら! ドレディア! わたしも一匹飼っているんです、ご存じでしたか?
map_0036#364	もちろん、うちの子の香りはもう調合に使わせてもらいましたけど、あなたの子のところにもお邪魔させてくださいね!
map_0036#365	人が二人いれば匂いが違うように、ドレディアも一匹一匹違うものです。
map_0036#366	わたしの意見では、この子たちこそ、まさにヘッドノートの中のヘッドノートです。
map_0036#367	ソリフロールの中のサフランですね!
map_0036#368	あなたとドレディアの絆の物語、ぜひ聞かせていただきたいです。
map_0036#369	この子たちの世話が難しいことで有名ですけど、あなたのこの子は、見事に満開ですね。
map_0036#370	うちの子とは、実家にいた頃、チュリネの時に出会いました。でも、進化するまでは、自分の子だとは呼べませんでした。
map_0036#371	とても恥ずかしがり屋だったんです!
map_0036#372	庭をどこから始めるのが一番いいか、教えてくれました。
map_0036#373	ああ、あんなに育って!
map_0036#374	でも、それから長い間、彼女には会えませんでした。
map_0036#375	いつもより長く体調を崩して――と言っても、それ自体は珍しいことじゃなかったんですけど――植物たちがもう持たないだろうと確信していた頃まで、会えなかったんです。
map_0036#376	サファイラに、何をすればいいか伝えようとしたんですけど……あの子ときたら、造花すら枯らしかねない子で。
map_0036#377	もう駄目だと、確信していました……
map_0036#378	……でも、2階の自分の部屋の窓枠から、身を乗り出した時――
map_0036#379	ちょうど裏の隅にあって、花壇がよく見える場所で――
map_0036#380	ドレディアが庭の世話をしているのが、見えたんです。
map_0036#381	その花はまだ咲いていませんでしたけど、自分の見たものは分かっていました。
map_0036#382	驚いて尻もちをついてしまって、その音でお母さんが気づいたんだと思います。
map_0036#383	すぐに駆けつけてきてくれて、わたしは泣きながら外に連れて行ってと訴えました……
map_0036#384	もちろん、外に出た頃には、ドレディアの姿はもうありませんでした。
map_0036#385	お母さんは「中に入りなさい」と言って、わたしは「嫌」と言って、必死に柵の柱にしがみつきました。
map_0036#386	「ドレディアなんていなかったのよ」って言われました。「幻を見たんでしょう」って。
map_0036#387	でも、わたしは根を張って動きませんでした。
map_0036#388	そのうち、シャルロットがわたしよりも大声で泣き出して――あの頃はまだ小さかったので――結局わたしのかんしゃくは大目に見てもらえました。
map_0036#389	サファイラが、こっそりクッキーと上着を持ってきてくれました。
map_0036#390	それでテントを作ろうとしたんですけど、うまくいきませんでした。
map_0036#391	その夜は外で眠って、わたしが眠くて抗議できなくなった時も、詮索好きな両親に持ち場から連れ戻されないよう、あの子が見張っててくれました。
map_0036#392	目が覚めると朝日が昇っていて、まだ具合が悪く、半分うわごとみたいな状態でしたけど、
map_0036#393	そこには、ドレディアもいたんです。
map_0036#394	サファイラは――お父さんの言葉を借りるなら「ぶっ倒れて」いました。
map_0036#395	肥料の上に、うつぶせで眠っていたんです。
map_0036#396	お母さんが起き出す音が聞こえるまで、ドレディアとわたしは庭の世話を続けました。
map_0036#397	こっそり立ち去ろうとするので、いてほしいと頼みました。
map_0036#398	正直、あの頃の子どもだったわたしに「駄目」と言う気には、なれなかったんだと思います。
map_0036#399	あなたなら、言えましたか?
map_0036#400	でも、迷っているところを見られてしまって。だから、選択はあの子の代わりに決まってしまいました。
map_0036#401	それ以来、あの子とサファイラは、コンビを組むようになりました。
map_0036#402	お父さんは花粉症だって言ってましたけど、本当にアレルギーだったのは、二人の熱い気性のほうだったと思います。
map_0036#403	具合が悪くても、庭仕事がしたかったわたしのために、二人はそれを叶えてくれました。
map_0036#404	少しずつ、すべてが良くなっていきました。
map_0036#405	庭も、わたしの体調も、あの子の花も……
map_0036#406	ひとつが花開く頃には、すべてが花開いていました。
map_0036#407	そこからは、もう後戻りすることはありませんでした。
map_0036#408	子どもだったわたしにも、それは分かっていました。
map_0036#409	あなたも、同じなんじゃないですか?
map_0036#410	この子があなたの仲間になったのは、戦いたいからです。あなたを助けたかったんです。
map_0036#411	最後まで、見届けてあげてくださいね?
map_0036#412	忙しいトレーナーとして世話をするのは、難しいですよね?
map_0036#413	この子は、もっとあなたのそばで過ごしたいって、わたしに伝えてくれています。
map_0036#414	自分の日光を、勝ち取りたいんです。
map_0036#415	あなたの信頼を、勝ち取りたいんです。
map_0036#416	でも、そこにたどり着くには、もう少し支えが必要なんです。
map_0036#417	ボックスの中で、無駄に過ごさせないであげてくださいね?
map_0036#418	パソコンは――ポケモンが快適に過ごせるよう、できることは何でもしてくれます。
map_0036#419	それは、わたしがずっと心配して、たくさん調べてきたから知っているんです。
map_0036#420	でも、この子があなたの仲間になったのは、戦いたいからです。あなたを助けたかったんです。
map_0036#421	あなたのそばでこそ、この子は一番美しく咲くでしょう。
map_0036#422	ローラ: あら、これはシンオウ地方の珍しいドレディアの姿ですね!
map_0036#423	わたしもドレディアを飼っていて、もう調合に加えたんですけど、この姿は十分に違いますね――一匹一匹の個体差は言うまでもなく。
map_0036#424	こういうヒスイのドレディアは、もっと一般的な姿の子に比べて、活力を与えるような香りがするそうです。
map_0036#425	それはそれで、素敵ですね!
map_0036#426	リボーンで、地域による姿の違いが存在するなんて、不思議だと思いませんか?
map_0036#427	このドレディアをここで手に入れたのかは分かりませんけど――もしそうなら、ぜひどこでか教えてください――
map_0036#428	でも、トルマリン砂漠のアローラのナッシーみたいに、他の地域の姿の子も、リボーンには野生でいますよね。
map_0036#429	きっと、環境が故郷の地方に近いところがあるんでしょうね?
map_0036#430	でも、それがリボーンだけで起こるのは、なぜなんでしょう?
map_0036#431	ローラ: この子には、気をつけないといけませんね……
map_0036#432	本当に、あなたのマスカーニャは、これで大丈夫なんですか?
map_0036#433	とても誇り高いポケモンですし、その花を無理に開かせてしまうようなことは、絶対にしたくありません!
map_0036#434	だからこそ、マスカーニャの香水は、とても貴重なものなんです。
map_0036#435	ザクロのような香りがするって聞きます……
map_0036#436	物語の中では、禁断の味とされていたりしませんか?
map_0036#437	サンプルを取ったら自分に何が起きるのか、どうしても不安になってしまいます……
map_0036#438	ローラ: キラフロル? でも、それってそもそも……
map_0036#439	毒のある石から、粉を採るつもりだったんですか?
map_0036#440	これは、いたずらですか? それとも挑戦?
map_0036#441	でも、薬と毒の違いなんて、時には量だけということもありますよね。
map_0036#442	キラフロルって、テラジェムに似てますよね?
map_0036#443	あれは強力な誘引物質です……結晶の粉末になったとしても、きっと。
map_0036#444	よし、これならできそうです。
map_0036#445	とはいえ、念のため、たっぷり薄めておいたほうが良さそうですね……
map_0036#446	ローラ: あら、これは……オーガポン、ですか?
