map_0045#2	それが目当てじゃないなら別だがな。
map_0045#3	好きにしな。
map_0045#4	はっ! 根性あるじゃねえか、坊主!
map_0045#5	気に入ったぜ!
map_0045#6	よし! 裏に入れてやるよ。
map_0045#7	釣竿は持ってるんだろうな。
map_0045#8	それじゃあな。
map_0045#9	好きにしろ。竿が要るなら、オレの相棒が一本余分に持ってるかもな。
map_0045#10	はい
map_0045#11	いいえ
map_0048#0	ペリドットワードは、リボーンで二番目に大きいワードです。オブシディアだけがそれより大きいですね。
map_0048#1	街の皆が力を合わせて、リボーンをかつての栄光に、いえそれ以上に相応しい姿にしたんです。
map_0048#2	それを実現させてくれた人たちには、感謝してもしきれません。
map_0048#3	ちょっと教えといてやるよ。
map_0048#4	もし誰かが近づいてきて、「ふしぎなアメ」とか呼ぶものを渡そうとしてきたら……
map_0048#5	絶対に受け取るな。
map_0048#6	ポケモンにあげたいものでもねえからな。
map_0048#7	あら、たった今びっくりしちゃったわ。
map_0048#8	ゴミ箱からポケモンが飛び出してきたの!
map_0048#9	あら、あなた!
map_0048#10	エネコをちゃんとお世話してる?
map_0048#11	きのみをたくさんあげて、経験値もたくさん稼がせてあげてね!
map_0049#0	こんにちは! わたしはなまえ判定人、名前の運勢を占う者です!
map_0049#1	……いえ、最近まではそうでした。
map_0049#2	最近は、技術がずいぶん進んでしまって……
map_0049#3	パーティメニューから直接、ポケモンの名前を変えられちゃうんですから!
map_0049#4	今どきの子は、まったく。
map_0049#5	もちろん、本当にご希望でしたら、ニックネームの判定はまだできますが……
map_0049#6	昔のよしみでね……
map_0049#7	いかがですか?
map_0049#8	どのポケモンの名前を判定しましょうか?
map_0049#9	そうですか。また来てくださいね。
map_0049#10	おやおや……それはただのタマゴですよ!
map_0049#11	ふむ……\v[3]ですか。なかなか良い名前をつけましたね。
map_0049#12	ですが! もっと良い名前をつけるとしたら、どうでしょう?
map_0049#13	ああ、良かった。それでは、新しいニックネームは何にしましょう?
