map_0057#122	ファーン: はっ、リスペクトってもんがねえな。
map_0057#123	でもいいさ。\PNとはもう会ってるしな。
map_0057#124	というか、あいつがここにいるのは、オレが呼んだからだ。
map_0057#125	というか、あいつがここにいるのは、オレが呼んだからだ。
map_0057#126	というか、あいつがここにいるのは、オレが呼んだからだ。
map_0057#127	まあ、来るのに時間かかったけどな。
map_0057#128	オレのバカロボット姉ですら、お前より先に着いてたぜ。招待すらしてねえのにな。
map_0057#129	フロリニア: これ以上の時間の浪費は避けるべきだ。進行する。
map_0057#130	ファーン: ちなみに、こいつは無視していいぞ。
map_0057#131	しゃべり方が変だから、みんな「フロボット」って呼んでる。
map_0057#132	ジュリア: アタシは「リニ」って呼んでるけどね。だってロボットじゃないもん!
map_0057#133	さあさあ、集中して!!! 悪者をドッカーンしなきゃ!
map_0057#134	ファーン: あーそ。
map_0057#135	ジュリア: 超極秘ウルトラ忍者インテルによると、ここが奴らのアジトだよ。
map_0057#136	ファーン: それはもう分かってる。
map_0057#137	ジュリア: グランドビュー駅を爆破した奴、「チームメテオ」って集団の一員なんだって。
map_0057#138	とにかく、ここに乗り込んでドカーンとやっつけてやらなきゃ、大変なことになっちゃう!
map_0057#139	というわけで、突撃~!!!!
map_0057#140	壁に広告が貼られている……
map_0057#141	「驚異のアゲートサーカス!
map_0057#142	見世物師にピエロ、そして大混乱!
map_0057#143	今なら、あの名高きアゲートエーストリオも登場!
map_0057#144	リボーンリーグの3人のリーダーに挑み、豪快なショーダウンで対決しよう!
map_0057#145	アゲートシティのすぐ西!」
map_0057#146	エース: さて、小さなトレーナーよ、好きな性格は? \ch[62,-1,がんばりや ,さみしがり ,ゆうかん ,いじっぱり ,やんちゃ ,ずぶとい ,すなお ,のんき ,わんぱく ,のうてんき ,おくびょう ,せっかち ,まじめ ,ようき ,むじゃき ,ひかえめ,おっとり ,れいせい ,てれや ,うっかりや ,おだやか ,おとなしい ,なまいき ,しんちょう ,きまぐれ]
map_0057#147	エース: ほう、そうなのか?
map_0057#148	まあ、予想はできていたがね。
map_0057#149	なぜなら、君にはこれがあった――
map_0057#150	ずっと耳の後ろに隠されていたのだよ!
map_0057#151	全く同じだろう?
map_0057#152	エース: そこはもっとちゃんと掃除せねばな!
map_0057#153	エース: 恥ずかしがることはないぞ!
map_0057#154	私は詮索好きではあるが、決して人を裁く質ではないのだからね!
map_0057#155	エース: 中に入る前に、糸がすべてぴんと張られ、しっかり結ばれているか確認しておくといい。
map_0057#156	幕が上がってしまえば、観客の前で調整する余地などほとんどないのだからね。
map_0057#157	ガーディが忠実に外で待っている。
map_0057#158	ジュリア: よし、一件落着! チーム、いけーっ!
map_0057#159	花火ショーが終わったなら、アタシはもう帰るね。
map_0057#160	\PNと違って、アタシはやることがある時に一日中突っ立ってらんないの。
map_0057#161	じゃあね!
map_0057#162	ジュリア: せっかくの雰囲気台無しだよ!
map_0057#163	完璧な勝利だったのに!
map_0057#164	フロリニア: 「雰囲気を台無しにすること」は、彼の数少ない確かな能力の一つである。
map_0057#165	しかし、この発話者もそろそろ出発すべき時である。
map_0057#166	オブシディアワードの状況は、急速に悪化を続けていると報告されている。
map_0057#167	ジュリア: あそこの植物、なんか変なことになってるんだよね?
map_0057#168	どうやったらそんなことになるの?
map_0057#169	あの公園、植物なんて2本くらいしかないのに!
map_0057#170	それすらないかも!
map_0057#171	フロリニア: 「控えめな表現」として知られる修辞技法の使用が確認された。
map_0057#172	それでも、注意を払う必要がある。
map_0057#173	ジュリア: えー、ぶー。まあいっか。
map_0057#174	卒業してから、お姉ちゃん本当によそよそしくなっちゃったのは分かってるけど、
map_0057#175	それでも、少しでも一緒にいられて嬉しかったな~
map_0057#176	昔みたいだったよね?
map_0057#177	フロリニア: そして同じくらい破壊的であった、正しい。
map_0057#178	しかし、感傷は依然として非生産的である。
map_0057#179	話は変わるが、\PNへの質問がある:
map_0057#180	先ほどの作戦中、地形による効果の変化を観測したか?
map_0057#181	フロリニア: それならば、フィールド効果のいくつかの側面については、すでに把握しているはずである。
