map_0071#69	……くそ。
map_0071#70	オレたち全員、殺す気だろ。
map_0071#71	目の前から消えろ。
map_0071#72	行け。
map_0071#73	出てけって言ってんだよ!
map_0071#74	侵入者? ここに何の用だ?
map_0071#75	チッ。オレたちの前から消えろ。
map_0071#76	危ない橋渡ってるって分かってんのか?
map_0071#77	捕まえたぞ!
map_0071#78	オレは何も持ってねえよ。
map_0071#79	消えろ。
map_0071#80	チームメテオは必ず勝つ!
map_0071#81	ここで負けても、チームメテオは必ず上に立つ。
map_0071#82	こっちがまだ慈悲を感じてるうちに、邪魔するのをやめておけ。
map_0071#83	それ以上近づくな。
map_0071#84	フン。どうせ十分時間はあったんだしな。
map_0071#85	ボスに見つかったら、お前終わりだぞ。
map_0071#86	あたしの小さな目が見つけちゃった……侵入者!
map_0071#87	あらあら、どうぞそのまま進んでいいわよ!
map_0071#88	何を待ってるの、ん?
map_0071#89	扉は内側から封鎖されている。
map_0071#90	扉には鍵がかかっている。
map_0071#91	出口は封鎖されている。
map_0071#92	ファーン: どこ行くつもりだよ?
map_0071#93	足引っ張るなって言ったろ。
map_0071#94	でも何かやることがあるなら、行ってこいよ! ここで待ってるからよ。
map_0071#95	???: おやおや、ご立派な貴賓の皆様がお越しとはね!
map_0071#96	???: 入る前にノックするものだとは言うけれど、ドアを丸ごとぶっ壊せとは、誰も言っていないと思うんだけどねぇ!
map_0071#97	まあ、来訪を知らせてくれるとは親切だこと――
map_0071#98	もっとも、警察がこの場所を見つけたって情報は、すでにこちらに入ってたから、必要とまでは言えないけどね――
map_0071#99	それでも親切なことに変わりはないさ!
map_0071#100	おかげで、ちょいちょいっとボタンを押す時間もたっぷりできたし……
map_0071#101	ポチッと!
map_0071#102	???: データは野に放たれた。
map_0071#103	ばいばい、データ!
map_0071#104	ちなみに、名前はエースというのだよ!
map_0071#105	一流のエージェント、統計士、システム管理者、そして手品の達人――
map_0071#106	そして、君たちのような迷える放浪者にとっては、プロの行き止まりというわけさ!
map_0071#107	そもそも、せっかく丹念に集めた情報を、こうして捨てて回らなきゃならないなんて、私はサウナよりも熱くなっているのだよ!
map_0071#108	まあ、確かに、ネットワークには残るがね。
map_0071#109	今どき、クラウドストレージを使わない者などいるかね?
map_0071#110	それでも、気分が悪いのだよ!
map_0071#111	よくもこんな真似をしてくれたものだ。
map_0071#112	それに、確認して削除しなきゃならないものが、これだけ大量にあるとはね!
map_0071#113	このファイル転送、残り2時間だと言っている!
map_0071#114	いや、2分だ!
map_0071#115	いやいや、3時間だ!
map_0071#116	どれだけかかるか、誰にも分からんね。
map_0071#117	だから、そこにじっと立っていてくれると、
map_0071#118	そう、その滑稽な表情のままで――もう少しの間だけ……
map_0071#119	大いに助かるのだがね。
map_0071#120	まあ、そうはしてくれなさそうだが。
map_0071#121	下っ端たちよ!
map_0071#122	それにしても、不憫な呼び名だな。
map_0071#123	失礼だと思わないかね?
map_0071#124	だが、別の呼び方をされたければ、もっと精進すべきだったな。とにかく――
map_0071#125	小さな下っ端たちよ、お客人を足止めしてくれたまえ!
map_0071#126	十分な時間を稼いでくれれば、いつか給料を弾んでやろう!
map_0071#127	ファーン: こいつら一体何なんだよ?
map_0071#128	もっと不気味な集団を期待してたのに、まるで摘みたての果物カゴだな。
map_0071#129	さっさと上に行って、あのバカ面をぶっ飛ばしてやるぞ。
map_0071#130	ファーン: おい、何のつもりだ?
map_0071#131	エース: すまないね、小さな志望者たちよ!
map_0071#132	君たちの小さな救出作戦、電源が切れてしまったようでね!
map_0071#133	「箱に閉じ込める」トリックは、いつだって効果てきめんなんだよ!
map_0071#134	いい子のひな鳥たちらしく、ショーが終わって、ジムリーダーの友人たちの相手が済むまで、そこでじっとしていてくれたまえ。
map_0071#135	ファーン: そんなわけあるかよ!
map_0071#136	エース: ああ――それは困ったな、なぜなら、ね――
map_0071#137	君たちに、その選択肢はないのだよ?
map_0071#138	あれは、修辞疑問というやつだったんだがね?
map_0071#139	心配しなくていい、小さな子よ。そのうち分かるようになるさ。
map_0071#140	そこに閉じ込められている間、考えてみるといい。
map_0071#141	いや、もっといい考えがある!
map_0071#142	君たち二人は、正義感と切迫感にあふれた、たくましい若者に見えるな。
map_0071#143	君たち二人は、正義感と切迫感にあふれた、たくましいトレーナーに見えるな。
map_0071#144	来たばかりで、普通この手の誘いはクライマックスの近くでするものだが、今のうちに済ませてしまおう!
map_0071#145	我々に加わることを、考えてみないかね?
map_0071#146	我々のやり方は人気があるとは言えないが――まあ、それこそが要点なのだよ?
map_0071#147	だが約束しよう、小さな英雄たちよ、この地方を見守っているのは我々なのだ。
map_0071#148	立派な保険と、家族向けプランもついてくるぞ!
map_0071#149	考えてみたまえ、な?
map_0071#150	ファーン: ここから出してくれたら、何を考えてるか正確に教えてやるよ!
map_0071#151	エース: ふぅーむ……
map_0071#152	却下だ!
map_0071#153	片付いたら様子を見に戻ってくるから、それまでじっくり考えているといい!
map_0071#154	ファーン: うぇ、ジュリアがいるぞ――
map_0071#155	下っ端: エージェント、正面の翼棟が破壊されました!
map_0071#156	ジムリーダーたちが上がってきています!
map_0071#157	エース: チッ、せっかく一息つけたところなのにな。
map_0071#158	どうやら自分で対処するしかなさそうだ!
map_0071#159	そこでじっとしていたまえ、二人とも!
map_0071#160	フロリニア: 一次セキュリティ、突破完了。
map_0071#161	エレベーターの電源、復旧完了。
map_0071#162	エース: いや、まさか、やってないよな!? そこは私のセキュリティステーションだぞ、女!
map_0071#163	くそっ!
map_0071#164	ファーン: フロボットも、たまには役に立つこともあるってわけか。
map_0071#165	急ぐぞ、\PN。
map_0071#166	「エレベーターロック」
map_0071#167	コンソールには、数字のキーパッドが表示されている。
map_0071#168	ドアの鍵が開いた!
map_0071#169	何も起こらなかった……
map_0071#170	ファーン: 案の定、しょぼいセキュリティだな。
map_0071#171	下の階を見て回ろうぜ。
map_0071#172	他にも緑色に光ってるコンソールがあるだろうし、あいつらが捨てちまう前にデータをかき集めてやろうぜ。
map_0071#173	画面が光った……
map_0071#174	「3XXX」
map_0071#175	「X1XX」
map_0071#176	「XXX9」
map_0071#177	ファーン: どうやら2階しかないみたいだな。
map_0071#178	押せよ、\PN。
map_0071#179	1階――到着しました。
map_0071#180	ファーン: それ、もう今いる階だろ、間抜けが。
map_0071#181	それすら分からねえのか?
map_0071#182	2階――到着しました。
map_0071#183	ファーン: もう2階にいるって分かってるよな?
map_0071#184	つーか、階数の仕組みくらい習っただろ?
map_0071#185	数字とかもな?
map_0071#186	数を数えるとか?
map_0071#187	聞いたことくらいあるだろ?
map_0071#188	ファーン: は、今度はボタン押さねえのかよ?
map_0071#189	わざとオレをからかってんのか、それともあいつらの味方になったのか?
map_0071#190	ふざけてないで、さっさと押せよ。
map_0071#191	ファーン: いい加減にしろよ、\PN。
map_0071#192	こんなことしてる時間ねえんだよ。
map_0071#193	フロリニア: ブルートフォース攻撃プログラムをシステムに展開した。現在、二次セキュリティの突破を試行中である。
map_0071#194	その間、この発話者はシステムインターフェース上の残存データを解析している。
map_0071#195	大半のデータはすでに削除されており、今この瞬間にも削除が続いている。
map_0071#196	この「エース」なる工作員は、逃げ込んだ中央ステーション内の別端末から、依然として作業を続けている可能性が高い。
map_0071#197	特筆すべきものが見つかり次第、この発話者が報告する。
map_0071#198	例えば、追加のセキュリティパスワードのヒントが発見された:
map_0071#199	「XX6X」
map_0071#200	フロリニア: 二次セキュリティの機能停止を確認。
map_0071#201	ファーン: その「機能停止」ってのが、解除したって意味なら、そうだな。
map_0071#202	フロリニア: 肯定。
map_0071#203	二次ファイアウォールは無効化された。
map_0071#204	アクセス取得中。
map_0071#206	アクセス許可。
map_0071#207	進行しよう。
map_0071#208	ジュリア: ちょっと、アクセス許可ってどういうこと!?
map_0071#209	だってアタシたち、これから――
map_0071#210	ドッカーンするはずだったのに!
map_0071#211	ドッカーンはどこ行ったの!?
map_0071#212	荘厳な爆発、胸を高鳴らせる破壊……
