map_0074#6	フロリニア: この施設のデジタルセキュリティシステムは、水準以下と見受けられる。
map_0074#7	ブルートフォース攻撃で十分だろう。しばし待たれよ。
map_0074#8	ジュリア: ブルートフォース? それドア殴っても開かないと思うよ!
map_0074#9	\PN、爆発物がどこにあるか見つけられそう? 来た道じゃないけど、たぶん近くにあるはず!
map_0074#10	それができれば、簡単に入れるようになるから!
map_0074#11	フロリニア: なぜお前は、あらゆる障害への解決策が燃焼なのだ?
map_0074#12	ジュリア: 家族みんなで楽しめるから?
map_0074#13	フロリニア: なるほど。
map_0074#14	ファーン: ま、いいわ。フロボットがシステムをハッキングするの、一日中待ってる時間はねえからな。さっさと爆弾を探しに行こうぜ。
map_0074#15	ジュリア: その意気だよ! ファーンの言うことに賛成するの、珍しいな!
map_0074#16	急いで、\PN! ドッカーンモービルへ!
map_0074#17	ジュリア: アタシのジムをドッカーンする計画だったんだから、どこかに爆発物があるはずだよ。探そう!
map_0074#18	ファーン: ほら、イカれた姉ちゃん。
map_0074#19	ジュリア: ドッカーン! 取ってきてくれたんだ!
map_0074#20	よし、やるよ!
map_0074#21	ジュリア: よーし! さーん……にー……カ……
map_0074#22	……え?
map_0074#23	フロリニア: アクセス許可。進行しよう。
map_0074#24	ジュリア: ちょっと、でも……
map_0074#25	アタシ――それに……
map_0074#26	ドッカーンが!
map_0074#27	ドッカーンはどこ行ったの!?
map_0074#28	リニ! そんなのアリじゃないよ!
map_0074#29	ちょうどこれから――リニ!!!
map_0074#30	ファーン: はっ、うちの姉貴に任せりゃ、みんなの楽しみは台無しになるってもんだ。
map_0074#31	ま、いいから動くぞ。
map_0074#32	必要な対セキュリティプログラムを組むのには、時間がかかるものだ。
map_0074#33	しばしお待ちを。
map_0075#10	うっ……
map_0077#0	ジュリア: あんた! ここの責任者?
map_0077#1	???: だとしたら?
map_0077#2	ジュリア: グランドビュー駅にしたことの仕返しに、顔面ドッカーンしてやるからね!
map_0077#3	???: 面白い。教えてくれ、それをやるだけの力が、お前たちにあるとでも?
map_0077#4	ジュリア: それであんたこそ、何様のつもりよ!?
map_0077#5	???: もう分かっているだろう。我々はチームメテオ。そして、決して手を緩めることはない。
map_0077#6	ここを突破できたのを、自分たちの実力だと思わない方がいい。
map_0077#7	我々には、お前たちを倒すつもりなど、そもそもなかった。
map_0077#8	ここでの我々の目的は、すでに放棄されていた。
map_0077#9	だが、実演に立ち会わせるためには、お前たちを中に入れる必要があった。
map_0077#10	ジュリア: 入れた?
map_0077#11	???: 我々のセキュリティを、そんなに簡単にハッキングできたと本気で思っているのか? 愚かなことだ。
map_0077#12	システムから任務上重要なデータをすべて削除できるだけの時間、お前たちを足止めするよう、工作員に命じておいたのだ。
map_0077#13	だが、お前たちの実力を過大評価していたようだ。時間はたっぷりあった。
map_0077#14	待つのに飽きてきたのでな。
map_0077#15	さて、無駄話はここまでだ。
map_0077#16	アスター。
map_0077#17	アスター: はい、ボス!
map_0077#18	???: エクリプス。
map_0077#19	エクリプス: あん?
map_0077#20	???: 雑魚どもの相手をしろ。
map_0077#21	ジムリーダーたちは、私が相手をする。
map_0077#22	エクリプス: フン。あんたがそう言うなら。
map_0077#23	アスター: チームメテオのために!
map_0077#24	……え?
map_0077#25	アスター: ぐぬぬ!
map_0077#26	???: もう負けたのか? 実に残念だ。
map_0077#27	私一人なら二人くらい簡単に相手できるが、四人となると……
map_0077#28	まあ、面白い余興ではあったな。
map_0077#29	だが、勝ったと思わない方がいい。
