map_0079#201	吸って、吐いて…
map_0079#202	怒りに意味などない。
map_0079#203	それはただ、自分を見失わせるだけだ…
map_0079#204	ヴィクトリア: さっきは本当にごめんなさい。
map_0079#205	あんな人が来るとわかっていたら、あなたをここに引き止めたりしなかったのに…
map_0079#206	さっき言おうとしていたことだけど――
map_0079#207	あなたの時間と労力に感謝して、これを渡したかったの。
map_0079#208	ヴィクトリア: …でも今となっては、お詫びの方が近いかもしれないわね。
map_0079#209	それを戦闘の外で使うには、シェリーのジムバッジが必要だけど。
map_0079#210	…正直、あいつの言ったことを考えると、あの子のことが少し心配だわ。
map_0079#211	泣いていたの?
map_0079#212	片付けをしてから、念のため様子を見に行ってみようと思うの。
map_0079#213	ヴィクトリア: わたしのおでこ、そんなに大きくないんだけど、もう…
map_0079#214	ヴィクトリア: それなら力を蓄えて、準備ができたら戻ってらっしゃい。
map_0079#215	逆境に全力で立ち向かうことでしか、人は強くなれないもの。
map_0079#216	また急に騒がしくなってきたわね。結構なことだこと。
map_0079#217	ボンジュール、我が友よ! 尋常に勝負といこうじゃないか!
map_0079#218	ダニエル: ああ、参った、参った!
map_0079#219	強さも魅力も、素晴らしいものだ。
map_0079#220	教えてくれ、自分は強いと思うかね?
map_0079#221	ヤガミ: 力とは、ただの勝利ではない。
map_0079#222	戦いが何も変えないのなら、勝利など無意味だ。
map_0079#223	<>- セキタイ通り\n^ - 大門 v - オパール大橋
map_0079#224	> - セキタイ通り\n< - ミアレ通り ^ - 大門
map_0079#225	アドリエンヌ: な…
map_0079#226	これは何?
map_0079#227	カイン: あー、その、大階段がミート団にちょっとボコられちゃってさ。
map_0079#228	アドリエンヌ: いえ、そうじゃなくて、ここは――
map_0079#229	アドリエンヌ: わたし――
map_0079#230	アドリエンヌ: あの…
map_0079#231	ラドマス: 大丈夫かい?
map_0079#232	アドリエンヌ: 混乱しているの。
map_0079#233	ここはどこ?
map_0079#234	カイン: え、リボーンシティだけど?
map_0079#235	ここは北オブシディアワードだよ。
map_0079#236	来たことなかったっけ?
map_0079#237	アドリエンヌ: これは街じゃないわ。
map_0079#238	これは…リボーンじゃない。
map_0079#239	アドリエンヌ: てっきり――
map_0079#240	アドリエンヌ: 中心部はどこ?
map_0079#241	小屋も、港も、それに――
map_0079#242	アドリエンヌ: 湖が…
map_0079#243	茶色に…?
map_0079#244	カイン: 来たばっかりなんだね、きっと。
map_0079#245	アドリエンヌ: 違うわ!
map_0079#246	わたしはずっとリボーンシティで暮らしてきたのよ!
map_0079#247	でも――これはわたしの知っているリボーンシティじゃない!
map_0079#248	こんな場所、ひどいわ…
map_0079#249	わたしが育った静かな街とはまるで違う。
map_0079#250	サーナイト: どなたか、少々おかしくなってしまったようですわね~
map_0079#251	ラドマス: いや、私は少し違う考えを持っているよ。
map_0079#252	アドリエンヌ、君が最後にこの街を見た時、湖はもっと正しい色をしていたはずだ。
map_0079#253	そうだね?
map_0079#254	アドリエンヌ: ええ。完璧な、輝くような青だったわ。
map_0079#255	だからアズリンと名付けたのよ。
map_0079#256	ラドマス: 他に覚えていることを聞かせてくれ。
map_0079#257	アドリエンヌ: そうね…昔はとても緑豊かだったわ。
map_0079#258	どこにでも木が生えていた。
map_0079#259	この滝、セレスティナイン滝は、街を流れる川へと注いでいたの。
map_0079#260	湖の隅には小さくて美しい港があって、それにわたしのジムが――
map_0079#262	わたしのジムがどうかしたの?
map_0079#263	そこに行かなくちゃ!
map_0079#264	ラドマス: 今、この方をひとりにするのは良くないと思う。
map_0079#265	カイン: この人、自分のジムは港にあるって言ってたよね…
map_0079#266	え、ジムリーダーなの?!
map_0079#267	サーナイト: あらあらあら~ やっと気づきましたのね!
map_0079#268	もちろん~わたくし~はずっと前から知っておりましたけれど。
map_0079#269	しばらく代役の方がいらっしゃいましたけれど…
map_0079#270	どうやら、この方が立場を取り戻すことになりそうですわね!
map_0079#271	カイン: じゃあ、コーラルワードのジムのことだ!
map_0079#272	ラドマス: その通りだ。行こう。
map_0079#273	一緒に向かおうか?
map_0079#274	???: よぉ。
map_0079#275	こっちは初めてか?
map_0079#276	ここがどんな場所か知ってるか? リボーンのナイトクラブだ。
map_0079#277	地域のお偉方向けに、ちょっとしたショーをやらせてもらってるだけさ。
map_0079#278	正直言うと、市の規則のせいで、俺が望むよりも排他的になっちまってる。
map_0079#279	俺次第なら、誰でも自由に出入りできるようにするんだけどな。
map_0079#280	だが、すでに内輪にいる連中にとっちゃ、間口を広げるのは単なる損ってわけだ。
map_0079#281	いつか変えられるかもな。
map_0079#282	今のところ、招待される一番の方法は、何か特別なことをすることだ。リーグを丸ごと倒すとか、加入するとかな。
map_0079#283	俺次第なら、もうとっくに歓迎してるところなんだけどな。
map_0079#284	でもまあ、そういうもんだ。
map_0079#285	休憩もそろそろ終わりだ。ちょっと外の空気を楽しんでただけさ。
map_0079#286	トラックに戻らねぇとな。
map_0079#287	DJアークライト、ご用命はお気軽に。
map_0079#288	この名前、覚えとけよ。
map_0079#289	それじゃあな。
map_0079#290	わけがわからん。誰かが大階段を爆破しただと?
map_0079#291	まったく。北オブシディアの半分はもう地震でやられてたってのに。今度はこれか?
map_0079#292	最近の連中は本当にひどいもんだ。
map_0079#293	やあ、トレーナー! 俺と勝負しろ!
map_0079#294	アケミ: え? どうして!?
map_0079#295	絶対イカサマしたでしょ!
map_0079#296	マグマ: おいこら、下がれよ、アクアのクズが! 超レアな景品に大金払ったばっかりだってのに、マジでムカついてんだよ!
map_0079#297	バンソン: くそ、全部負けちまう!
map_0079#298	マグマ: ぐああっ!
map_0079#299	なんでお前らは何でもかんでも台無しにするんだ?! 超レアなポケモンが何だったかも見る間もなく、お前らの仲間に持っていかれたんだぞ!
map_0079#300	腹にパンチ食らわせる前に、俺に構うな!
map_0079#301	マグマ: おい! 聞いてくれよ! マジでムカついてる!
map_0079#302	中央オブシディアでガキから超レアなポケモンを買ったんだけど、アクアギャングの奴が乗り込んできて持ち逃げしやがったんだ!
map_0079#303	ったく、あそこに乗り込んで全員ぶちのめしてやりたいけど、ボスは理由もなく揉め事を起こすのを嫌うからな。
map_0079#304	なあ、もし取り返しに行くなら、これを使えよ!
map_0079#305	仲間からの追加の一発だと思ってくれ!
map_0079#306	マグマ: 中央オブシディアでガキから超レアなポケモンを買ったんだけど、アクアギャングの奴が乗り込んできて持ち逃げしやがったんだ!
map_0079#307	<- セキタイ通り\nv - 9番街
map_0079#308	小銭恵んでくれない?
map_0079#309	ウォルドン: …いいさ。
map_0079#310	最近じゃ、こっちの方に来る人もあんまりいないんだよな。\n最高だよ――ほとんどの奴は俺がここで寝てても気にしないからな!
map_0079#311	<>- セキタイ通り\nv - 8番街
map_0079#312	はい
map_0079#313	いいえ
map_0080#0	ラピス高級自転車店――正しく乗ろう!
map_0080#1	シェリー: わ、わたし――な、何が…
map_0080#2	???: わ、わたし――な、何が…
map_0080#3	???: シェリー、言ってるだろ、今すぐ中に戻れって!
map_0080#4	シェリー: な、なんで…
map_0080#5	わたし――
map_0080#6	???: マジで、目を逸らせって!
map_0080#7	シェリー: う、うん…
map_0080#8	???: こいつ一体何考えてたんだ…
map_0080#9	シェリー: あ、あの、キャル?
map_0080#10	あ、あそこに、その、誰かが…
map_0080#11	エクリプス: エクリプス、報告するわ。
map_0080#12	エージェント・ボレアリス、死亡確認。
map_0080#13	キャル: おい!
map_0080#14	てめえら、こんなとこで何してんだ?!
map_0080#15	とっとと消えろ!
map_0080#16	アスター: これでカニス・マイナーが来なかった理由もわかったってわけだ。
map_0080#17	エクリプス: 誰と話してるか気をつけなさい。
map_0080#18	シェリー: あ、あなたたち、誰なの?
map_0080#19	あ、あなたたちが、その――
map_0080#20	この人を傷つけたの…?
map_0080#21	アスター: まさか!
map_0080#22	それは俺たちの――
map_0080#23	エクリプス: アスター、黙りなさい。
map_0080#24	エクリプス: いい子は自分の立場をわきまえて、そこにとどまるものよ。
map_0080#25	そうしないと、
map_0080#26	まあ、こいつみたいになるってわけ。
map_0080#27	キャル: てめえ何言ってんだ?
map_0080#28	やろうってのか、コラ?!
map_0080#29	ここに降りてこいよ、終わった後もその口が達者かどうか見てやるからよ!
map_0080#30	エクリプス: そうね、やめておくわ。
map_0080#31	行くわよ、アスター。ここでの用は済んだわ。
map_0080#32	アスター: だな! さっさと大階段に戻ろうぜ!
map_0080#33	エクリプス: 黙りなさい、アスター。
map_0080#34	シェリー: だ、大階段…?
map_0080#35	あれは…あれはあなたたちが…?
map_0080#36	アスター: いやいや、ヒマナッツがやったんだよ。
map_0080#37	もちろん俺たちだよ!
map_0080#38	エクリプス: いっそ全部話したらどう?
map_0080#39	アスター: え…
map_0080#40	まあ、いいか。
map_0080#41	つまりさ、大階段の下には――
map_0080#42	エクリプス: 皮肉に決まってるでしょ、バカ!
map_0080#43	行くわよ!
map_0080#44	アスター: だよな。
map_0080#45	キャス: そうだな。
map_0080#46	キャル: そうだ、逃げちまえ!
map_0080#47	クズどもが。
map_0080#48	キャル: シェリー、大丈夫か?
map_0080#49	シェリー: う、うん…ただ…
map_0080#50	ひゃあ、い、いつからそこに?!
map_0080#51	キャル: 何だ?
map_0080#52	おい、何だよ、これ?
map_0080#53	シェリー: あ、あの、シェイドよ…
map_0080#54	な、何の用なの、シェイド?
map_0080#56	キャル: てめえ、何なんだよ?
map_0080#57	噂に聞いたバカなゴーストリーダーってやつか?
map_0080#58	ちっちゃい女の子をこうやって怖がらせて面白いと思ってんのか?!
map_0080#59	シェリー: き、消えて…いくの…?
map_0080#60	キャル: …気持ち悪ぃ奴。
map_0080#61	中に入ろうぜ。
map_0080#62	今夜はイカれた奴と変人しかいねえみたいだな。
map_0080#63	シェリー: う、うん…
map_0080#64	キャル: おい、何か文句あんのか、クソガキ?
map_0080#65	で、名前は何だ?
map_0080#66	\PNね、ふん。
map_0080#67	用がないなら、そこをどけ、\PN。
map_0080#68	用なんてねえだろ。ジムは今閉まってんだよ。
map_0080#69	シェリー: あ、あの、\PN? わたし――
map_0080#70	ごめんなさい、彼の――
map_0080#71	こんなことになって――
map_0080#72	あの、か、彼は悪い人じゃないの…
map_0080#73	でも! でも、また今度来てくれたら、わ、わたし――精一杯やるから――
map_0080#74	そんなに強くないけど…
map_0080#75	キャル: シェリー、行くぞ!
map_0080#76	こんなクズどもがうろついてる中じゃ、危ねえからな。
map_0080#77	シェリー: ご、ごめんなさい、\PN…
map_0080#78	ごめん、今行く…
map_0080#79	カイン: よお、\PN!
map_0080#80	あの騒ぎの中で見かけた気がしたんだよね。
map_0080#81	あれ、一体何だったの、はは?
map_0080#82	何もないのにキレる奴は見たことあるけど、あそこまでのは初めてだよ~
map_0080#83	カイン: まあとにかく、ロドクラインでのあの大惨事のあと、無事な姿を見られて良かったよ。
map_0080#84	正直、あそこで君を見かけて驚いたくらいだよ!
map_0080#85	俺があそこにいたのは、ヴィクトリアがどこに連れていかれたか手がかりを掴めるかもと思ったからでさ…
map_0080#86	結局、自分自身が檻に入れられて首輪までつけられる羽目になったけど。
map_0080#87	あのヘザーって子が助けてくれたから、ミート団に真っ向から立ち向かうのを手伝うって約束したんだ。
map_0080#88	君が現れた時、これぞ絶好の機会だって思ったよ~
map_0080#89	でも俺の方の戦いに引っ張られちゃって、君がどこに行ったか全然わかんなくなっちゃってさ。
map_0080#90	まあ、君が無事ならそれでいいけどね!
map_0080#91	あれからずっとヘザーを探してるんだけど、影も形もなくてさ…
map_0080#92	けっこう心配なんだよね。
map_0080#93	それでさ、北オブシディアで爆発があったって聞いた?
map_0080#94	あの子が調べに行くかもって思って、張り込んでたんだ。
map_0080#95	そしたらついさっき、警察が見てない隙に、大階段の裏から何人か走り出てくるのを見かけてさ。
map_0080#96	そいつらがここまで走ってきて、後をつけてたら君に辿り着いたってわけ。
map_0080#97	…何か俺に話しておくべきことがあったりする、\PN?
map_0080#98	カイン: 実は、ずっと悪の組織側だったとか!?
map_0080#99	まあ、そういうのに魅力を感じる人もいるだろうけどね~
map_0080#100	カイン: はは、もちろん冗談だって。
map_0080#101	ここってシェリーのジムだよね?
map_0080#102	ヘザーもシェリーと友達だって言ってたし…
map_0080#103	ヘザーもシェリーと友達だって言ってたよね?
map_0080#104	でも今はしっかり鍵がかかってるっぽいね。
map_0080#105	それにミート団は明らかに大階段で何かやってるし…
map_0080#106	見たことを警察に話したのに、近づかせてもくれないんだよ!
map_0080#107	なあ、俺が陽動を作ったら、君は忍び込めるよね?
map_0080#108	あいつらが企んでることなんてろくなもんじゃないだろうし、それが一番手っ取り早い対処法な気がするんだ。
map_0080#109	警察の規制線のところで会おう!
map_0080#110	ゲイで、犯罪紛いのことするなんて、最高に楽しいひとときってやつだね~
map_0080#111	ガーディがしっかり外で待っている。
map_0080#112	コナル博士の孤児院兼精神治療センター
map_0080#113	施錠されている。
map_0080#114	???: あっ!
map_0080#115	あの、失礼します………
map_0080#116	ちょうど帰るところで………
map_0080#117	???: やっと………
map_0080#118	中から物音が聞こえる!
map_0080#119	カイン: え、今開いた?
map_0080#120	シェリー: ほ、本当に?
map_0080#121	カイン: 俺たちの時は全然開かなかったのに…
map_0080#122	よし、みんな、行くぞ!
map_0080#123	ヘザー: 何すんのよ、この気持ち悪いバカ!
map_0080#124	さっさと放しなさいよ!
map_0080#125	シグムンド: 被験者は言語的および身体的な攻撃性を示し、指示にも道理にも耳を貸そうとしない。
map_0080#126	では初期治療を100ボルトから始めよう。
map_0080#127	ヘザー: こんなことして無事で済むと思ってんの、この汚らわしいジジイ!?
map_0080#128	シグムンド: ああ――引っかかれたな。
map_0080#129	拘束したまえ。
map_0080#130	それと110ボルトに変更だ。
map_0080#131	シグムンド: さあ、ヘザー、じっとしていなさい。
map_0080#132	少し衝撃を感じるかもしれないが…
map_0080#133	ヘザー: …! ぎゃあああああああ!!!
map_0080#134	???: 今日はお前の誕生日だ。
map_0080#135	やっと逃げられるぞ。
map_0080#136	強くあれ…
map_0080#137	復讐は我らのものとなる。
map_0080#138	???: おっと。
map_0080#139	失礼した。
map_0080#140	さっきの試合負けてマジでムカついてる。取り返す時間だ!
map_0080#141	コール: …また。
map_0080#142	次は違うからな!
map_0080#143	ここからアズリン地方全体が見えるわ! 煙を上げているパイロス山も、灰の浜辺も…なんて綺麗なのかしら!
map_0080#144	アンナ: みんなをあそこから連れ出してくれてありがとう!
map_0080#145	早くみんなと合流しましょう!
map_0080#146	レイルネットにいるって言ってたわ…
map_0080#147	知らないかもしれないけど、オパール大橋の下の線路を辿っていけば着けるのよ!
map_0080#148	…一緒に歩いていく?
