map_0097#138	かつては美しいジムだった。リボーンシティが最初にできた頃の話だ。
map_0097#139	それ以来、このジムは放置されたままだ。
map_0097#140	なぜ完全に取り壊されなかったのか、誰にもわからない。
map_0097#141	<>-フェイワード通り\n^v-10番通り
map_0097#142	<>-シャンティポート通り\nv-10番通り
map_0097#143	<>-グレイキャスト通り\n^-10番通り
map_0097#144	アドリエンヌ: わたし……
map_0097#145	これは冗談でしょう?
map_0097#146	アドリエンヌ: いいえ……冗談にしては手が込みすぎているわ。
map_0097#147	きっと夢を見ているんだわ。
map_0097#148	ラドマス: これが夢であったなら、どれほど楽なことか。
map_0097#149	だが、残念ながら違う。
map_0097#150	アドリエンヌ: 気分が悪いわ。
map_0097#151	ラドマス: 少し気持ちを強く持って、これに答えてくれ。
map_0097#152	この建物はずっと前からこの有様だというのに、君は動揺している。
map_0097#153	これはどういうことか?
map_0097#154	アドリエンヌ: 今朝ここを出たときは、何の問題もなかったのに。
map_0097#155	こんなの……
map_0097#156	この街全部が……
map_0097#157	おかしいわ。
map_0097#158	ラドマス: やはりそうか。
map_0097#159	では、このジムについて私が知っていることを話そう。
map_0097#160	大停電と地震の後、街に人が戻ってきたとき、いくつかの建物は手をつけないまま残すよう定められた。
map_0097#161	その多くは歴史的に重要な施設で、その記憶を後世に残すためだった。
map_0097#162	このジムもその一つだ。
map_0097#163	アドリエンヌ: 大停電? 地震?
map_0097#164	ラドマス: 君にとっては初耳、ということだな?
map_0097#165	アドリエンヌ: 本当に混乱しているの。
map_0097#166	ラドマス: 無理もない。
map_0097#167	では、もう一つはっきりさせておこう。
map_0097#168	先ほど君は、「今朝」までこのジムは普通だったと言った。
map_0097#169	また、あの遺跡に着いたのは私たちより「一時間」ほど前だったとも言っていたな。
map_0097#170	私の記憶に間違いはないか?
map_0097#171	アドリエンヌ: ええ、でも……正直、話についていけないわ。
map_0097#172	ラドマス: 簡単に言えば、君のこの街についての話と、君の記憶をもとに考えると、
map_0097#173	導き出せる結論は一つしかないと私は思う。
map_0097#174	君は、時間の中に閉じ込められていたのだ。
map_0097#175	アドリエンヌ: わたしが……何ですって?
map_0097#176	ラドマス: 君はさっき、あの遺跡に落ちたと言ったが、どうやってそこに?
map_0097#177	アドリエンヌ: 大門の裏にある機械室で、何かを調べていたの。
map_0097#178	床の隙間から光のようなものが見えると報告があって、床の一部を外して下に潜り込んだのよ。
map_0097#179	でも足を滑らせて、地下に落ちてしまって。
map_0097#180	自然にできたトンネルをたどっていったら、いつの間にかあの場所に着いていたの。
map_0097#181	ラドマス: 大門にいたということは、いつも通り大階段から入ったということか?
map_0097#182	アドリエンヌ: ええ。それが何か?
map_0097#183	ラドマス: それで確信が持てた。
map_0097#184	大門はもう何年も機能していない。
map_0097#185	十年以上前、突然動かなくなったのだ。
map_0097#186	アドリエンヌ: そんなこと、まったく覚えがないわ。
map_0097#187	ラドマス: 当然だろう。君はその間ずっと、あの遺跡の中にいたのだから。
map_0097#188	エルが言っていた、あそこがアルセウス誕生の地だという話を信じるなら、あの場所にどんなエネルギーが働いていてもおかしくない。
map_0097#189	遺跡の中に隠された隕石のエネルギーが時の流れを歪め、それとともに大門の機能も狂わせたのかもしれない。
map_0097#190	アドリエンヌ: だったら、あなたたちも一緒に閉じ込められていたはずじゃない?
map_0097#191	ラドマス: もっともな疑問だ。だが我々には、君が持っていなかったものがあった。
map_0097#192	カイン: 鍵だよ! ルビーのゆびわとアメジストのペンダント!
map_0097#193	ラドマス: おそらく、それらが持つ遺跡と結びついたエネルギーが、君にかけられた時間停止の呪縛を解くのに十分だったのだろう。
map_0097#194	アドリエンヌ: つまりわたしは、どれだけの間か分からないくらい長く地下にいて、それに気づきもしなかった……
map_0097#195	わたしにはたった一時間くらいにしか感じられなかったのに……
map_0097#196	それは……嫌な気分ね。
map_0097#197	カイン: これからどうするんだよねぇ?
map_0097#198	アドリエンヌ: そうね……こんな状態のまま、放っておけないわ。
map_0097#199	サーナイト: このジムを直そうとしているんですか?
map_0097#200	それは骨が折れそうですね!
map_0097#201	アドリエンヌ: いいえ。
map_0097#202	ジムじゃないわ。
map_0097#203	この街全部よ。
map_0097#204	ラドマス: 街全体を直すつもりか?
map_0097#205	アドリエンヌ: わたしにできることをするだけよ。
map_0097#206	こんなの間違っているわ。
map_0097#207	これはリボーンじゃない。
map_0097#208	でも、わたしみたいな者でも何かできるなら――
map_0097#209	ほんの少しでも、あるべき姿に近づけられることなら何でも……
map_0097#210	それだけの価値はあるわ。
map_0097#211	誰か話ができる責任者はいるの?
map_0097#212	カイン: えーっとぉ、アメなら大体、街の中心にある大ホールにいるよねぇ。
map_0097#213	アドリエンヌ: それはあまり変わってなさそうね。
map_0097#214	感謝するわ。
map_0097#215	……それに、本当にそうだったなら、わたしをあそこから助け出してくれたことも。
map_0097#216	サーナイト: 街全体を直すの、頑張ってくださいね〜
map_0097#217	それだけの作業をするなら、また時間を止めたくなるかもしれませんね!
map_0097#218	アドリエンヌ: ふふ、そうかもしれないわね。
map_0097#219	そうできたら素敵でしょうね。
map_0097#220	また会いましょう、少し明るい未来で、きっと。
map_0097#221	ラドマス: いや、なかなかの試練だったな。
map_0097#222	サーナイト: ですね! これはとびきりのニュースネタになりそうです〜
map_0097#223	ラドマス: その前に、サーナイト、頼みがある。
map_0097#224	この二人には、まだジム戦をこなしてもらわなくてはならないからな。
map_0097#225	サーナイト: おおっと。まあ、そういうことでしたら〜
map_0097#226	お城でお待ちしていますね!
map_0097#227	ラドマス: うむ。すぐに向かおう。
map_0097#228	カイン: なあ、\PN。今すぐ一緒に城まで歩いて帰る?
map_0097#229	カイン: よっしゃ、みんなで一緒に行こうよねぇ〜
map_0097#230	カイン: オーケー。じゃあまたね、\PN!
map_0097#231	ラドマス: 準備ができたらでいい。
map_0097#232	サーナイト: あの人が限界を迎えるかどうか、賭けを受け付けますよ!
map_0097#233	ラドマス: ふむ。これは一筋縄ではいかなそうだ。
map_0097#234	カイン: てことは、この古い場所、アドリエンヌのものだったんだよねぇ?
map_0097#235	はい
map_0097#236	いいえ
map_0098#0	ダニエール: こんにちは、トレーナーさん。ええ、あなたのことなんて絶対に初めて見るし、このクイズに一度失敗したことなんて絶対にありませんよね。
map_0098#1	さあ、頭を悩ませる問題の数々でおもてなしさせてもらうわ――
map_0098#2	はいはい、もういいから始めましょ。じゃないと、この死んだ目が頭の中に転がっていっちゃいそう。
map_0098#3	ダニエール: 何? もう一回クイズに挑戦したいの?
map_0098#4	どうせ答えをわざわざ調べてきたんでしょ? そんなの、ちっとも面白くないじゃない。
map_0098#5	ふん。まあいいわ、それで気が済むなら、そんなことにも引っかかるくらいバカなふりをしてあげる!
map_0098#6	準備はいい、初心者さん?
map_0098#7	???: 盲目の者からのご挨拶よ。
map_0098#8	名前はダニエール。でも同情なんてしないでよね、トレーナー。
map_0098#9	わたしはあなたよりずっと多くを見ているんだから。
map_0098#10	でも、付き合ってあげる。
map_0098#11	三つ質問するわ。全部答えられたら、ご褒美をあげる。
map_0098#12	挑戦する?
map_0098#13	ダニエール: 第一問――これは簡単よ。
map_0098#14	大ホールの周りにある、頭突きできる木は何本?
map_0098#15	ダニエール: 正解。簡単すぎたかしら?
map_0098#16	じゃあ第二問。ちょっと難しくなるわよ。
map_0098#17	どこかの角度から全部見えると仮定して、オブシディアワードにあるパラボラアンテナは何基?
map_0098#18	ダニエール: ふん。
map_0098#19	そう、正解よ。でもそんなの当然よね。
map_0098#20	いいわ。ここまでよくやったわね、偉大なる回答者様。とっておきの一問をあげる!
map_0098#21	準備はいい?
map_0098#22	ペリドットジムの中にある旗とリボンは合わせて何個?
map_0098#23	ダニエール: ちっ。
map_0098#24	いいわ。正解よ。
map_0098#25	どうやって答えを知ったのか、感心と驚きでいっぱいだわ。
map_0098#26	はぁー、すごいすごい。
map_0098#27	でも約束は守るわ。本当にそれが欲しいなら、ご褒美をあげる。
map_0098#28	……大したものね。
map_0098#29	普通の人は、そう簡単に正解できないのに。
map_0098#30	どうせ答えを最初から知ってたんでしょ?
map_0098#31	まあ、いいけど。
map_0098#32	約束通り、ご褒美をあげるわ。
map_0098#33	\PNはフィールド効果解説書03を手に入れた!
map_0098#34	ミストフィールドの情報が閲覧できるようになった!
map_0098#35	ダニエール: でもね?
map_0098#36	わたしはリボーン中を歩き回ってきたから、こういう情報は苦もなく入ってくるの。
map_0098#37	あなたもそこそこ色々な場所を回ってきたみたいだけど、あなたが思いもしないような場所のことも、わたしはきっと知ってるわよ!
map_0098#38	だから、また挑戦したいなら付き合うわ。
map_0098#39	わたしと同じくらい旅をしてから、また挑戦しに来なさい!
map_0098#40	ダニエール: そこ!
map_0098#41	普通の目が見えるからって、わたしより物知りとは限らないのよ!
map_0098#42	ダニエール: 不正解!
map_0098#43	パラボラアンテナみたいに大きいもの、見逃すはずないわよね?
map_0098#44	それとも、目が見えないのはあなたの方?
map_0098#45	ダニエール: んー、不正解!
map_0098#46	どうしたの? そこ、一度や二度は通ったんじゃないの?
map_0098#47	その完璧な目から、木たちが隠れちゃったのかしら?
map_0098#48	実に嘆かわしいことだ。
map_0098#49	ダニエール: あら。つまらないわね。
map_0098#50	自分より優れてると思い込んでる人をからかうことすらできないなら、女の子に生きてる意味なんてある?
map_0098#51	ダニエール: わたしと同じくらい旅をしてから、また挑戦しに来なさい!
map_0098#52	ダニエール: ふあぁ。
map_0098#53	答え、もう全部見つけた?
map_0098#54	ダニエール: 本当にまたやるの?
map_0098#55	観察して学ぶんじゃなくて、わざわざ答えを探しに行くだけで満足感なんて得られるの?
map_0098#56	それじゃ意味がないけど、それでもそんなに望むなら、もう一度付き合ってあげる。
map_0098#57	わたしが優しくないなんて言わせないわよ。
map_0098#58	準備はいい、偉大なる観察者様?
map_0098#59	ダニエール: あら、もう戻ってきたの?
map_0098#60	ちゃんと何か学んだの?
map_0098#61	ダニエール: それはどうかしらね。
map_0098#62	世紀の再戦、時代を超えた戦い、とかなんとか――第一問!
map_0098#63	ビクスビジョン荒地にある列車の車両は全部で何両?
map_0098#64	ダニエール: はいはい、わかったわ。数を数えられるのね、大したもんだこと。
map_0098#65	念のため言っておくけど、こういう『いくつ』系の問題を続けてるのは、単なる伝統みたいなものよ。
map_0098#66	それに、あなたを圧倒したくもないしね。
map_0098#67	第二問――アメトリンシティ全体にある建物は何棟?
map_0098#68	ダニエール: あなたの鋭い目から逃げられなかったみたいで何より。
map_0098#69	第三問!
map_0098#70	アベンチュリンの森には、大量のピカチュウと一緒に暮らしている男がいるの。
map_0098#71	普段、彼の家の中にいるピカチュウは何匹?
map_0098#72	ダニエール: それはポイントをあげるわ。走り回ってると数えにくいものね。
map_0098#73	でも、まだ終わりじゃないわよ!
map_0098#74	スピネルタウン全体にあるパラボラアンテナは何基?
map_0098#75	ダニエール: 正解!
map_0098#76	ひっかけ問題だったの! やられたわね。
map_0098#77	はいはい。今度は本物の問題よ!
map_0098#78	アポフィルアカデミー全体にある本棚は何個?
map_0098#79	ダニエール: よし! 良い調子じゃない!
map_0098#80	むしろ良すぎるわ。だから、持ってるもの全部ぶつけてやる!
map_0098#81	最終問題! 全部かけての勝負よ!
map_0098#82	クリソリアの森全体にある木は何本!?
map_0098#83	ダニエール: ……
map_0098#84	……
map_0098#85	………
map_0098#86	なんてね!
map_0098#87	それはさすがのわたしも知らないわ。
map_0098#88	でも、正解にしてあげる。
map_0098#89	たとえ答えをわざわざ調べただけだとしても、ただ見るんじゃなく観察するっていうさっきの話を、ちゃんと考えてみて。
map_0098#90	あなた、なかなかやるじゃない。
map_0098#91	本当に、良すぎるくらいに。
map_0098#92	わたしが何を聞くか、最初から知ってたの?
map_0098#93	まあいいわ、結局それなりに楽しかったし。
map_0098#94	からかわせてくれたお礼に、これをあげる。
map_0098#95	\PNはフィールド効果解説書31を手に入れた!
map_0098#96	フェアリーテイルフィールドの情報が閲覧できるようになった!
map_0098#97	ダニエール: いつか世界中を旅してみたいわ。
map_0098#98	みんな「見る」ことばかり話すけど、場所ごとに違う音や匂い、雰囲気のことなんて誰も言わないのよね。
map_0098#99	それがわたしの糧なの。
map_0098#100	それが叶って、全部の場所を回れたら、あなたをからかうための問題をもっと増やしてあげるから!
map_0098#101	ダニエール: ほんとーに?
map_0098#102	ほーんとに、ほんとに、確かなの?
map_0098#103	もう一回確かめた方がいいと思うわ!
map_0098#104	結局、あなたはそうやってしか物事をやらないみたいだし。
map_0098#105	ダニエール: ピィピィ、ピカチューウ!
map_0098#106	ちなみに今のはピカチュウ語で「あなたは間違ってる、それに負け犬」って意味よ。
map_0098#107	ダニエール: あはは……
map_0098#108	違うわ。
map_0098#109	本当に何も学ばなかったのね? 建物すら覚えてないなんて。気づかなかったの?
map_0098#110	ダニエール: 一発アウトね!
map_0098#111	ちょっと、あの列車がどこかに行くわけでもないのに、どうして見逃すのよ?
map_0098#112	わたしなんて、あの辺りを歩いてるだけでほとんど見えてるくらいなのに。
