map_0115#46	ジム目当てなら、反対側のジム入り口を使いなよ。当たり前でしょ。
map_0115#47	とにかく、さっきの話だけど……
map_0115#48	おい、お前、出入り禁止って言われてたやつだろ?
map_0115#49	そんなの、もう知ったことか。
map_0115#50	まあいいや。俺は何も見なかった。
map_0115#51	うそ! それでどうなったの?
map_0115#52	>-イースタリング通り\n^-10番通り
map_0115#53	>-アイビーライン通り\nv-10番通り
map_0115#54	<-アイビーライン通り\nv-11番通り
map_0115#55	<-イースタリング通り\n^v-11番通り
map_0115#56	あらあら、大変……
map_0115#57	家の鍵をなくしちゃったの。
map_0115#58	どこかで落としたはずなんだけど、どこかしら?
map_0115#59	え? うそ、それよ! 見つけてくれたのね!
map_0115#60	よかった! これで一日中雨の中バカみたいに突っ立ってなくて済むわ!
map_0115#61	本当にありがとう!
map_0115#62	ねえ、もう知ってるかもしれないけど、わたしはわざおもいだし屋なの!
map_0115#63	だから、助けてくれたお礼ができるわ! いつもはハートのウロコをもらうんだけど、これを見つけてくれたお礼だから……
map_0115#64	そうね、じゃあ、これはどう?
map_0115#65	さ、わたしはもう中に入るわね。必要な時はいつでも寄ってね!
map_0115#66	探し続けなきゃ……見つけないと。
map_0115#67	はい
map_0115#68	いいえ
map_0117#0	こんにちは! オニキスゲームセンターへようこそ!
map_0117#1	残念ながら、システムウイルスの影響で対戦システムは現在停止していますが、他の機能はぜひお楽しみください!
map_0117#2	こんにちは! 全機能が復旧したオニキスゲームセンターへようこそ!
map_0117#3	ここはポケモン宝くじコーナーです。本日の係員、レアリティです。
map_0117#4	引いた番号が、お手持ちのポケモンのID番号と一致すれば、素敵な景品がもらえますよ。
map_0117#5	本日のラッキーナンバーを確認しますか?
map_0117#6	まず、本日のポケモン宝くじコーナーのラッキーナンバーを調べますね。
map_0117#8	あなたの宝くじ番号は\v[1]です。
map_0117#9	それでは、お手持ちのポケモンのID番号と一致するか確認しましょう。
map_0117#10	残念、一致しませんでした……
map_0117#11	またのご来店をお待ちしております。
map_0117#12	おめでとうございます!
map_0117#13	手持ちの\v[2]のID番号が、宝くじ番号と一致しました!
