map_0132#0	ヘザー: ちょっと、下がってて!
map_0132#1	ヘザー: しっ!
map_0132#2	見て!
map_0132#3	ヘザー: 危なかった!
map_0132#4	もっと気をつけてよね!
map_0132#5	中でポケモンが何か大きな機械につながれてる!
map_0132#6	何であれ、ロクなもんじゃないわ!
map_0132#7	気づかれる前に、こっそりまわりの見張りを片づけましょ!
map_0132#8	これ、役に立つから持ってて!
map_0132#9	ヘザー: 連中の一人から盗んだんだけど、気にしないで!
map_0132#10	こてんぱんにしてやりましょ!
map_0132#11	タマゴが置き去りにされているようだ。
map_0132#12	持っていく?
map_0132#13	\PNはタマゴを手に入れた!
map_0132#14	森で迷っただけの子供? いや、お前は何か違うな。
map_0132#15	まったく別のものよ
map_0132#16	本気を出せば、この場で捕らえることだってできる。ボスから何も命令が出ていないことに感謝することね。
map_0132#17	またお前か! 今度もあたしたちのものを奪いに来たのね!?
map_0132#18	いつか、きっと……
map_0132#19	まあ、今回は何も爆破しないんでしょうね……よね?
map_0132#20	待ちなさい!
map_0132#21	うぐっ……
map_0132#22	どうして一度も勝てないんだ?
map_0132#23	見覚えのある顔だ。おなじみの仕返しの時間だな。
map_0132#24	見慣れた敗北だ
map_0132#25	次はこう簡単にはいかないぞ。
map_0132#26	ヘザー: 他の連中はほとんど片づけたわ。
map_0132#27	ほら、回復してあげる。
map_0132#28	ヘザー: とにかく、あそこに突入する時間よ。
map_0132#29	このタワー、あんたにはちょうどいいジャングルジムに見えるわね。
map_0132#30	入り口が見えるわ。
map_0132#31	あんたにも見えるでしょ?
map_0132#32	「ジャスパーワードジム」
map_0132#33	ヘザー: ……待って、これで終わり?
map_0132#34	崩れなかったの?
map_0132#35	悪者をやっつけたら、悪の基地って崩れるものじゃないの!?
map_0132#36	詐欺じゃない!
map_0132#37	ヘザー: まあ、いっか。
map_0132#38	あたしたち、いいコンビだったじゃない!
map_0132#39	それに、あたしのこと見てた?! あのしたっぱたち、楽勝すぎ。
map_0132#40	ほんと、倒す時間の半分はあいつらのポケモンが倒れきるのを待ってただけよ!
map_0132#41	あれのどこが試練なわけ?!
map_0132#42	コーリー: ヘザー!
map_0132#43	ヘザー: ……やばっ。
map_0132#44	コーリー: ヘザー、いったいこんなところで何をしているんだ?!
map_0132#45	あちこち探し回ったんだぞ!
map_0132#46	どれだけ心配したかわかっているのか?
map_0132#47	ヘザー: そりゃもう、よーくわかってるわよ。
map_0132#48	コーリー: いったい何を考えて、あんな風に飛び出したんだ?!
map_0132#49	お前が一人で出歩くのがどれほど危険か、何度も言い聞かせてきたはずだろう!?
map_0132#50	お前くらいの年頃の娘が――
map_0132#51	お前の母さんですら――
map_0132#53	……また、母さんの指輪を身につけているのか。
map_0132#54	ヘザー: いいから、パパ、その続きを言ってみなさいよ。
map_0132#55	あたしの母さんが、何?
map_0132#56	本当にその話、したいわけ?
map_0132#57	コーリー: ……頼む、ヘザー、今はやめてくれ――ここではだめだ。
map_0132#58	ヘザー: じゃあ、いつなのよ?!
map_0132#59	パパはいつだって、母さんのこと何にも話してくれないじゃない!
map_0132#60	このバカみたいな指輪だけが、母さんの残した唯一のものなのに、どうしてなのよ?!
map_0132#61	母さんのことをそんなに大事に思ってるなら、どうしてそんなに話すのを怖がるの?!
map_0132#62	コーリー: いい加減にしろ!
map_0132#63	お前には理解できない、理解のできようもない事柄に、あまりにも軽率に踏み込みすぎている!
map_0132#64	私がしてきたことはすべて、お前の安全を守るためだ――
map_0132#65	ヘザー: それなのに、何から守ってるのかすら教えてくれないじゃない?!
map_0132#66	パパの保護なんかいらない――\PNに聞いてみてよ!
map_0132#67	あたし、汗ひとつかかずに悪者を三人も倒したんだから!
map_0132#68	パパはただ、あたしを閉じ込めておきたいだけなんじゃないの!
map_0132#69	コーリー: ……すまないが、何をしたと言ったんだ?
map_0132#70	ヘザー: 黒いフードの悪者を三人、\PNが一人倒す間にね!
map_0132#71	だから、よく考えてみてよ!
map_0132#72	コーリー: 指輪は見られたのか?
map_0132#73	ヘザー: 何?
map_0132#74	コーリー: お前の母さんの指輪だ――見られたのか、見られていないのか?!
map_0132#75	ヘザー: いったい何の話をしてるのよ?!
map_0132#76	……というか、もういい。
map_0132#77	忘れて。
map_0132#78	パパがいつもくだらないことで怒鳴ってくるの、もううんざり。
map_0132#79	ボーマンダ、ここから出るわよ!
map_0132#80	コーリー: ヘザー、待て――
map_0132#81	コーリー: この場を去れ。
map_0132#82	二度と私や娘に話しかけるな。
map_0132#83	これは交渉の余地がない。
map_0132#84	わかったな?
map_0132#85	コーリー: よろしい。
map_0132#86	コーリー: では、耳をよく洗っておくことだ。
map_0132#87	お前はここでは歓迎されていない。
map_0132#88	去れ。
map_0132#89	\PNはPULSE解析データ05Bを手に入れた!
map_0132#90	PULSE図鑑が更新された!
map_0132#91	はい
map_0132#92	いいえ
map_0133#0	ようこそ。私はリボーンシティ警察の署長だ。
map_0133#1	民間の要望は何より重要だと考えているが、今は依頼を受けることができない。
map_0133#2	すでに警察はぎりぎりの人員でやっており、今は人手を割く余裕がないのだ。
map_0133#3	ましてや、日に日に行方不明者が増えている状況ではな。
map_0133#4	警官: 次の任務のため参りました!
map_0133#5	警官: あっ! あなたは……うわさは聞いています!
map_0133#6	フロリニアがあなたを通したいと言ったとき、私はオブシディアの外に配置されていました。
map_0133#7	それに、最終的にオブシディアを救ったのもあなたでしたよね?
map_0133#8	署長: ん? この者だと言うのか?
map_0133#9	警官: 間違いありません! ジムリーダーのフロリニアが、この方が力になってくれると言っていました。
map_0133#10	署長: そうか。
map_0133#11	警官: あの、ジャスパーワードにも力を貸しに来てくれたんですか?
map_0133#12	署長: うーむ……
map_0133#13	正式な所属ではない以上、命令に従うよう強制することはできん。
map_0133#14	しかし民間人よ、この一帯を自由に動き回る特別許可を与えよう。
map_0133#15	その代わり、ひとつ頼みたいことがある。
map_0133#16	先ほども言ったが、日に日に行方不明になる隊員が増えている。
map_0133#17	現在、ジャスパーワードとベリルワードを捜索していたはずの警官5名が、行方不明のままだ。
map_0133#18	もし見つけたら、こちらへ帰すか、すぐに知らせてほしい。
map_0133#19	頼んだぞ。
map_0133#20	警官、待機せよ。すぐに新たな命令を出す。
map_0133#21	警官: はい!
map_0133#22	署長: 幸運を祈る。彼らが見つかることを願っている。
map_0133#23	署長: 二人は戻ってきた。だが、まだ三人が行方不明だ。
map_0133#24	署長: 一人見つけたか! だが、まだ四人足りない。
map_0133#25	署長: 三人戻ってきた! ようやく好転してきたか。だが、まだ二人残っている。
map_0133#26	署長: おお! 残るはあと一人だ!
map_0133#27	署長: なんと、やったな! 行方不明の警官を全員見つけてくれたのか!
map_0133#28	ただ、殉職した隊員のことがある……
map_0133#29	彼のガーディを見つけてくれたのではなかったか?
map_0133#30	他の多くの地方と同じく、当署の隊員には皆パートナーとしてガーディが支給されている。だが、トレーナーがいなくなった今、そのガーディは……
map_0133#31	あのガーディを新人にただ譲るのは、亡き隊員への侮辱のように思えてな。
map_0133#32	わかりにくいかもしれんが、よければそのガーディを連れていってやってくれ。見つけたのは、他ならぬ君なのだから。
map_0133#33	それに、君にはこれまで色々と世話になった……
map_0133#34	これは感謝の印だと思ってくれ。
map_0133#35	君は今この瞬間から、リボーンシティ警察の名誉隊員だ!
map_0133#36	署長: わかりにくいかもしれんが、よければそのガーディを連れていってやってくれ。見つけたのは、他ならぬ君なのだから。
map_0133#37	それに、君にはこれまで色々と世話になった……これは感謝の印だと思ってくれ。
map_0133#38	署長: 全力を取り戻したリボーンシティ警察は、いつでも力になるぞ!
map_0133#39	署長: おお、民間人よ!
map_0133#40	皆の協力と新たな志願者のおかげで、我々の戦力は全快した!
map_0133#41	何か困ったことがあれば、遠慮なく知らせてくれ。
map_0133#42	この街の平和を守り抜くことを、我々は誓う!
map_0133#43	ああ、あの「コリン・ルージュ」とかいう男に興味があるのか。
map_0133#44	実に厄介な男でな。
map_0133#45	派手な男だが、身を隠すことと逃げることには長けていてな。動きは相当つかんでいるものの、いまだに捕まえられずにいる。
map_0133#46	他の障害の多くを片づけた今、我々はすでに奴に焦点を絞り始めている。
map_0133#47	もし作戦の先陣を切ってくれるなら、大いに助かる!
map_0133#48	状況はこうだ。
map_0133#49	奴の居場所についての報告が、次々と寄せられている。
map_0133#50	というのも、あまりにも急増していて、同時に三か所にいることになってしまうのだ!
map_0133#51	報告はほぼ同時に届いたが、場所はまるで違っている。それぞれ調べてきてほしい。
map_0133#52	まず、マルコウス森林公園付近で目撃された。
map_0133#53	その少し後、アズリン湖の小島にいるとの報告が入った。
map_0133#54	さらに、同じ頃ペリドットのサンセットサークルで目撃したという警官もいる。
map_0133#55	ほとんどの隊員はまだ他の任務にかかりきりでな、これは君に任せよう!
map_0133#56	署長: また会えたな、旧友よ!
map_0133#57	君のおかげで、リボーンシティ警察は完全復活した!
map_0133#58	作戦の先陣を切ってくれるなら、あっという間に奴を捕まえられるはずだ!
map_0133#59	ほとんどの隊員はまだ他の任務にかかりきりでな、この件は君に任せよう。
map_0133#60	署長: 状況はこうだ。
map_0133#61	奴の居場所についての報告が、次々と寄せられている。
map_0133#62	それぞれの場所を調べて、奴を捕らえてくれ!
map_0133#63	署長: どうだ? 首尾は?
map_0133#64	ふむ、三つの目撃情報はすべて陽動だったか……
map_0133#65	あのずるがしこいコリンめ……
map_0133#66	君が集めた手がかりは、こうだったな。
map_0133#67	「霧の立ちこめる場所で見つけよ!」
map_0133#68	「トレーナーたちが戦う場所で見つけよ!」
map_0133#69	そして「ぼたんの咲く一角に埋もれて見つけよ!」
map_0133#70	実に謎めいているな……トレーナーよ、この一件を解いてみせられるか?
map_0133#71	頼りにしているぞ。
map_0133#72	何だと?! 謎に出てきたコリンも陽動だったのか?!
map_0133#73	あのずる賢いハブネークめ……
map_0133#74	つまり、疑わしき影武者のうちの一体が、本物のコリンだったのか!
map_0133#75	マルコウス森林公園にいた奴、サンセットサークルにいた奴、そしてアズリン湖付近にいた奴……
map_0133#76	時間稼ぎが目的だったなら、逃げ道が一番良い場所を選んだはずだ。
map_0133#77	急ぐんだ、\PN!
map_0133#78	署長: コリン・ルージュの件で、何か進展は?
map_0133#80	つまり、街を逃げ出せたということか……
map_0133#81	なるほど。ならば、もう我々の手には負えん。
map_0133#82	まあ、そう気を落とすな。
map_0133#83	よく見つけ出してくれた。
