map_0150#56	どうせ、こっちより先にとっ捕まえちまうだろうよ。
map_0150#57	メテオ団員: ちょっと寝ててくれよな。
map_0150#58	メテオ団員: 何の音だ、今の?!
map_0150#59	メテオ団員: おい、お前、ここで何してる?!
map_0150#60	メテオ団員: おっと、こんにちは!
map_0150#61	\PNはPULSE解析データ05Aを手に入れた!
map_0150#62	PULSE図鑑が更新された!
map_0150#63	トロピウスが日光を浴びているようだ。
map_0150#65	トロピウスを連れていきますか?
map_0150#66	……トロピウスが勝負を挑んできた!
map_0150#67	トロピウスは日光を浴び続けている。
map_0150#69	\PNのバッグの中で、ふきつなにんぎょうがトーテムのエネルギーに反応している!
map_0150#70	ダーテング: シフ……
map_0150#71	ダーテング: ……テング!!
map_0150#72	シフ……テング……
map_0150#73	ダーテング: シフ……ダーテング!
map_0150#74	コノハナ: コノ……
map_0150#75	コノハナはおとなしくなっているようだ。
map_0150#76	コノハナを連れていきますか?
map_0150#77	コノハナはおとなしくなっている……
map_0150#78	「注意:
map_0150#79	ここは保護区域です!
map_0150#80	わなにご注意のうえ、野生生物を傷つけないようお願いします!」
map_0150#81	カイン: あ、やあ~
map_0150#82	来てくれるとは思わなかったな。
map_0150#83	それで……
map_0150#84	ここが僕の住処ってわけさ……
map_0150#85	くつろいでいってよ~
map_0150#86	カイン: なーんて、冗談だよ。
map_0150#87	カイン: ヴィクトリアがまだ行方不明だって聞いて、力になろうとここまで来たんだ。
map_0150#88	……それで、すぐにメテオ団のしたっぱに捕まって、ここに放り込まれたってわけ。
map_0150#89	君もかい?
map_0150#90	それで、どうやって出たの?
map_0150#91	へえ、他の男の子が出してくれたって?
map_0150#92	誰も見かけなかったけどな。
map_0150#93	ペラップが出してくれたって?
map_0150#94	すごいね。
map_0150#95	まあ、来てくれて、僕を出してくれてありがとう~
map_0150#96	いつになったら白馬の騎士が現れるのかって、思い始めてたところさ~
map_0150#97	あのファーンって奴よりは、君の方がずっとマシだよ。
map_0150#98	鳥よりは、君の方がずっとマシだよ。
map_0150#99	鳥に悪気はないけどね。
map_0150#100	行こうか~?
map_0150#101	カイン: これ……
map_0150#102	壊れてるのかな、これ?
map_0150#103	カイン: 壊れてると思うな。
map_0150#104	別のを試してみよう。
map_0150#105	ほら、ここ持ち上げるの手伝って……
map_0150#106	カイン: いい押しっぷりだね~
map_0150#107	よし、これはいける!
map_0150#108	カイン: ……
map_0150#109	ヘザー: 三つ同時に引かなきゃだめよ。
map_0150#110	コノハナが、自分たちにしかできないように作ったのよ。
map_0150#111	カイン: おっと、驚いた! やあ、上にいたのか!
map_0150#112	どうしてそんなこと知ってるの?
map_0150#113	ヘザー: だって、見ればわかるでしょ?
map_0150#114	それに、ここってあたしの裏庭みたいなものだし。
map_0150#115	それはそうと、また会ったわね\PN!
map_0150#116	なんでわざわざ捕まったりしたのよ?
map_0150#117	捕まるんじゃないわよ、ばか。
map_0150#118	カイン: 二人、知り合いなの?
map_0150#119	ヘザー: マルコウスで悪者をやっつけるの、\PNが手伝ってくれたのよ。
map_0150#120	あたしの相棒みたいなもんよ。
map_0150#121	あたしの相棒みたいなもんよ。
map_0150#122	あたしの相棒みたいなもんよ。
map_0150#123	でもそのあと、バカ父さんが出てきてまた怒鳴りだして、うんぬんかんぬん――
map_0150#124	だから、また飛び出してきたってわけ。
map_0150#125	それで、今ここにいるの。よろしく!
map_0150#126	カイン: 家出はまた、思いきったことするね……
map_0150#127	ヘザー: ううん、しょっちゅうやってることよ。
map_0150#128	結局、戻るんだけどね。
map_0150#129	だいたい、友達のシェリーの家にお泊まりに行くの。
map_0150#130	シェリーはラピスに自分のジムを持ってて、たまに急にお泊まり会になるのよね。
map_0150#131	とにかく、あんたがいてくれてよかったわ。
map_0150#132	今、黒い服の連中がそこら中にいるのよ。
map_0150#133	あんたはあたしのバックアップってことで、あいつらをやっつけるの手伝いなさいよ!
map_0150#134	二人ともよ!
map_0150#135	カイン: ……相棒じゃなくて、バックアップなんだ?
map_0150#136	ヘザー: そうよ、あたし一人でもだいたい何とかなるし――念のためってやつ!
map_0150#137	でも、そこに閉じ込められたままじゃバックアップになれないから、出してあげる。
map_0150#138	3つ数えたら、みんなで引くわよ!
map_0150#139	ヘザー: いち……にの……さん!
map_0150#140	ヘザー: 簡単な指示にちゃんと従えて、えらいじゃない!
map_0150#141	よし、じゃああたしは悪者をやっつけに行くわね!
map_0150#142	そのうち、手伝いに来てよね?
map_0150#143	カイン: 待って、一人で行くのは危ないよ――
map_0150#144	ヘザー: ボーマンダ、飛び立つわよ!
map_0150#145	カイン: ……今の……
map_0150#146	あの小さな子、丸ごとボーマンダに乗って飛んでいったの?
map_0150#147	カイン: ……うん。
map_0150#148	カイン: 僕にうそをついてくれるなんて、優しいね。
map_0150#149	カイン: 引きずり込まれたときはあんまり見えなかったけど、ここってかなり広いエリアみたいだね。
map_0150#150	ヴィクトリアとボレアリスが本当にここにいるなら、手分けした方が見つけやすいと思う。
map_0150#151	そういえば、さっきまでファーンがここにいて、これが出口を塞いでたなら……
map_0150#152	……ってことは、彼がバリアを自分で切り替えたってこと?
map_0150#153	まあ、いいか。
map_0150#154	何か困ったら大声出してよ、すぐ駆けつけるからさ、いい?
map_0150#155	これは「白馬の騎士クーポン」一枚だと思ってよ、お近くのカインでご利用いただけます~
map_0150#156	じゃあね!
map_0150#157	???: 今のは何だ?
map_0150#158	メテオ団員: ただのつるが動いただけのようです、司令官。
map_0150#159	心配ないかと。
map_0150#160	???: よかろう。
map_0150#161	シリウスから、北オブシディア向けのデモンストレーションがほぼ完了したとの報告を受けた。
map_0150#162	したがって、そろそろこの茶番に見切りをつけ、本来の仕事に取りかかるべきだろう。
map_0150#163	あの娘は、私が連れていく。
map_0150#164	下っ端だろうがリーグのリーダーだろうが、誰が首を突っ込んでこようと、この計画まで失うことのないようにしろ。
map_0150#165	???: 了解しました。
map_0150#166	アマリア: また会ったわね、\PN。
map_0150#167	静かにして、メテオ団はすぐ近くにいるから。
map_0150#168	ボレアリスの足取りを追ってきたんだけど、彼は間違いなくここにいるわ。でも、一人じゃない。
map_0150#169	数えたところ、上には幹部級が五、六人はいそうよ……
map_0150#170	どうやら、ジャスパーワードの機械もまた誰かに止められたみたいで、連中は今、極度に警戒してるの。
map_0150#171	……あら、それってあなただったの?
map_0150#172	やるじゃない!
map_0150#173	もっとも、こっちの仕事が楽になるわけじゃないけど。
map_0150#174	わたしは姿を隠して、隙を待つわ。
map_0150#175	連中の警戒が緩んだ瞬間、必ずヴィクトリアを取り戻す。
map_0150#176	アマリア: 思ってたより、大所帯ね……
map_0150#177	あんな組織に加わるどころか、何もせず傍観できる人の気持ちなんて、わたしにはわからないわ……
map_0150#178	個人的には、何か力になろうとしたり、誰かを助けようとしたりしていないと、自分をどうしていいかわからなくなるの。
map_0150#179	あ! ところで、調子はどう?
map_0150#180	手持ちを回復させておく?
map_0150#181	アマリア: 任せて! あっという間に全快させてあげるわ!
map_0150#182	アマリア: 気をつけてね?
map_0150#183	アマリア: よし、気をつけてね!
map_0150#184	ファーン: ……マジかよ、またお前か?
map_0150#185	まあ、いいけどよ。
map_0150#186	メテオ団のしたっぱをかいくぐってきたのは、上出来だな。
map_0150#187	こいつらがこの辺にいるって聞いてよ、雑魚掃除を一休みして、また自らメテオ団に思い知らせてやろうと来たのさ。
map_0150#188	まあ、雑魚っつってもジムリーダー連中のことだから、いい仕事だったぜ。
map_0150#189	フロボットとあのイカれた寮長がこんなに雑魚だって分かってりゃ、とっくの昔に始めてたのによ。
map_0150#190	まあ、お前が今回は使えるって大胆に仮定するとして、バックアップがいても損はねえな。
map_0150#191	こっちだ。
map_0150#192	ファーン: この先に、あいつらの一味がわんさかいるぜ。
map_0150#193	でも、そいつらを相手にする前に――
map_0150#194	まあ、つるが邪魔してたんだけどな。
map_0150#195	もうなくなったみたいだ。
map_0150#196	これで突っ込むのを止めるものは、何もねえってわけだ。
map_0150#197	レディファーストだぜ、\PN。
map_0150#198	でも、そいつらを相手にする前に、あのつるが邪魔なんだよな。
map_0150#199	お前がつるを片づけてる間、オレ様が見張っててやる。
map_0150#200	それが片づいたら、乗り込んでぶちのめしてやろうぜ。
map_0150#201	文句ねえだろ?
map_0150#202	ファーン: どうした? びびってんのか?
map_0150#203	ほら、笑えって!
map_0150#204	トップのファーン様が背後を守ってやるよ!
map_0150#205	ひどい目には遭わせねえよ。
map_0150#206	待ちなさい!
map_0150#207	うう、いったい何がしたいんだ?
map_0150#208	身の安全のためにも、進まないことを勧める。
map_0150#209	まずあのジムリーダー、次はお前かよ!
map_0150#210	ちっ、今日はついてないな……
map_0150#211	それでもまだ、耐え抜いてみせる!
map_0150#212	おい! 前にも相手にした奴じゃねえか?!
map_0150#213	さっさと目をつぶしておけばよかったわ……
map_0150#214	さっさと、どこかへ行きなさい。
map_0150#215	「PULSE-05A」
map_0150#216	ボレアリス: ここへ来るべきではなかったな。
map_0150#217	タカ: 本当に、残念です……
map_0150#218	エース: おお、観客がようやく集まり始めたようだね!
map_0150#219	ゼル: いずれ動くって言っただろ。
map_0150#220	タカ: それはそうと、この方がジャスパーのPULSEを倒したトレーナーです。
map_0150#221	きちんと問題に対処できるよう、\PNをここへ招待しました。
map_0150#222	それで満足ですか?
map_0150#223	ゼル: \PNはオブシディアのPULSEも倒したんだ!
map_0150#224	ボレアリス: よくわかっている。
map_0150#225	エース: ボクたちの舞台に、自ら志願してくれるとは実に親切だね――
map_0150#226	でも残念ながら、君は主役じゃないんだ!
map_0150#227	ボレアリス: その栄誉は、我々の側面で騒いでいる隠れた娘のものだ。
map_0150#228	出てきて、正面から向き合うがいい。
map_0150#229	アマリア: 奇襲も、これで台無しね……
map_0150#230	ボレアリス: それがあったなどと思い込むこと自体、思い上がりだ。
map_0150#231	でなければ、なぜ我々がこうして集まっていると思う?
map_0150#232	エース: どうせ捕まるつもりだったなら、もっと早く出てきてくれれば時間の節約になったのにね!
map_0150#233	カイン: おしゃれに遅刻するのの、何が悪いのさ?
map_0150#234	ファーン: 彼女は一人じゃねえぞ、間抜けが!
map_0150#235	カイン: もう一人分、席は空いてる?
map_0150#236	アメが、ここで何か起きてるって言うから、みんな手が要るんじゃないかと思ってさ~
map_0150#237	行こう、ニドリーノ~
map_0150#238	ファーン: オレ様が手伝わなきゃ、お前ら多分ぶちのめされるだけだろうしな。
map_0150#239	礼は後でいいぜ。
map_0150#240	フクスロー、スタイルってやつを見せてやろうぜ!
map_0150#241	タカ: また私たちの出番のようですね……
map_0150#242	ゼル: 威勢のいいこと言ったって、数じゃまだこっちが圧倒的だぞ!
map_0150#243	ファーン: 数え方を覚えた方がいいんじゃねえか、間抜け。
map_0150#244	カイン: それ、本気で言ってる?
map_0150#245	ファーン: 背後は守るって言っただろ、\PN。
map_0150#246	こいつら、こてんぱんにしてやろうぜ!
map_0150#247	カイン: あのクーポン、もらっておこうかな~
map_0150#248	アマリア: 簡単にはやられないわよ!
map_0150#249	ヴィクトリアをどこに閉じ込めてるか教えて、それで手早く済ませましょう!
map_0150#250	エース: ああ、でもそれは同じ公演の第二幕だよ!
map_0150#251	もっと早ければ、物語も違っていたかもしれないけど――
