map_0150#408	何か面白いことが起きないかなぁ!
map_0150#409	ヘザー: でもこの後、またシャルースを走り回るんでしょ?
map_0150#410	いつでも相手になってあげるわよ!
map_0150#411	ヘザー: よし、ノエルを助けに戻るわね!
map_0150#412	問題解決オッケーありがとねバイバイ!
map_0150#413	ルミ: え、今のなに? ノエルは?
map_0150#414	上に残ったままなの?!
map_0150#415	一体何を考えてるのよ?!
map_0150#416	イヴ: 徒歩で助けに行くのは、多分無駄足になるわ。
map_0150#417	木の入り口にもバリアが現れて、もう中に入ることすらできないの。
map_0150#418	あれが何であれ、急速に広がって、強固になっているわ。
map_0150#419	ルミ: じゃあ、どうすればいいの?
map_0150#420	ここでただ待ってるわけにはいかないよ!
map_0150#421	シェリー: あの――
map_0150#422	あの、実はアイデアがあるんだけど?
map_0150#423	ルミ: 教えて、教えて!
map_0150#424	シェリー: ええと、イベルタルがいるでしょ?
map_0150#425	それで、木の根元にいたとき、Zセルがたくさんあったの……
map_0150#426	……それで、バリアもなんだかそれに似てない?
map_0150#427	イヴ: それで、何が言いたいの?
map_0150#428	シェリー: よくわからないんだけど――昔の神話を読んだのを思い出して、
map_0150#429	巨大な木と、イベルタルと、その根をかじる蛇の話……
map_0150#430	ええと、つまり言いたいのは――
map_0150#431	ジガルデを使ったらどうかなって?
map_0150#432	神話では、蛇が鳥を攻撃したんだと思うの――
map_0150#433	だから、ジガルデみたいな蛇なら、バリアを一気に打ち破る攻撃ができるかもしれない!
map_0150#434	イヴ: 興味深い説ね。
map_0150#435	神話を当てにすることに意味があるかはわからないけれど……
map_0150#436	ジガルデの「コアエンフォーサー」は、相手の特殊な性質を打ち消すことで知られているわ。
map_0150#437	100%フォルムのジガルデが手に入れば、突破できると考えるのは理にかなっていると思うの。
map_0150#438	ルミ: でも、一体どうやってそんなの手に入れるの?
map_0150#439	\PNがセルを集めてるのは見たけど、100個も要るんでしょ!
map_0150#440	イヴ: セルを集めることは可能よ。
map_0150#441	ナイトクラブを手伝ってるあのドーブルが、クリソリアのどこかでギャザーキューブを見たって言ってたはずだわ。
map_0150#442	あとは、それを一つずつ集めるだけよ。
map_0150#443	ルミ: でも、まるまる100個も?!
map_0150#444	間に合うように、そんなに集められないよ!
map_0150#445	シェリー: もしかして、みんな新世界から出てきてるみたいだから、ひとりでに現れたりしないかな?
map_0150#446	イヴ: それはあまりにも都合が良すぎるわ。
map_0150#447	ルミ: でも、あり得ないことじゃないでしょ!
map_0150#448	最近、都合が良すぎることばっかり起きてるじゃない?
map_0150#449	イヴ: ……それは、確かに否定できないわね。
map_0150#450	シェリー: わたしたちはここでできることを続けるから、\PNはZセルを集めながらアノマリーを追い続けて!
map_0150#451	100%フォルムのジガルデが手に入ったら、すぐここに持ってきて!
map_0150#452	何としてでも、ノエルを助けてみせるから!
map_0150#453	ルミ: それじゃ、これで決まりね!
map_0150#454	大変そうに見えるけど、あなたにならできるはずだよ、\PN!
map_0150#455	ヘザー: 頂上まで乗せていこうか?
map_0150#456	ヘザー: ついにやったのね?
map_0150#457	まあ、あたしを負かした奴なら、当然か。
map_0150#458	さっきまで、頂上はすっかりバリアに包まれてて、何しても全然びくともしなかったのに!
map_0150#459	でもさっき、タマゴみたいにひび割れたわ!
map_0150#460	それに、タマゴよりずっと汚くなかったし!
map_0150#461	それはそうと、上にいたときノエルの姿が見えなかったから、ちょっと心配なの……
map_0150#462	頂上まで乗せていこうか?
map_0150#463	ヘザー: 了解!
map_0150#464	乗って、しっかりつかまってて。あれの時間よ!
map_0150#465	ヘザー: 好きにすれば。あんたの足が痛くなるだけよ。
map_0150#466	トモダチ!!!!!!!
map_0150#467	リン: これがジムリーダーですの?
map_0150#468	これが精一杯だと言うのですか?
map_0150#469	アマリア: わ、わからない……
map_0150#470	リン: わからない、と。
map_0150#471	アマリア: どうしてこんなにあっという間に……?
map_0150#472	リン: 何を疑う必要がありますの?
map_0150#473	あなたは弱い。
map_0150#474	それだけのことですわ。
map_0150#475	アマリア: 違う、わたし――
map_0150#476	リン: あなたには、力がない。
map_0150#477	リン: ブレスレットを差し出しなさい。
map_0150#478	アマリア: 待って――何?
map_0150#479	エース: ああ、それについては気になっていたんだ。
map_0150#480	アマリア: これは――贈り物なの。
map_0150#481	あなたなんかに、渡すもんですか――
map_0150#482	リン: 自ら差し出すことになりますわ。
map_0150#483	それ以外の選択肢はありません。
map_0150#484	アマリア: や、やめて――
map_0150#485	エース: もうやめだ。
map_0150#486	リン: ……
map_0150#487	つい先ほど、敵をかばった者をとがめたばかりですのに。
map_0150#488	ほんの数秒で、その決意は折れてしまいますの?
map_0150#489	エース: ボクが求めるのは、家族への忠誠であって、
map_0150#490	無用な残酷さではない。
map_0150#491	もう、やりすぎだ。
map_0150#492	今は、彼女を傷つけずに捕らえる。
map_0150#493	上官として、これは命令だ。
map_0150#494	リン: ……承知しました。
map_0150#495	上官としてのその命令は……
map_0150#496	……あなたにとって最後のものになりますわ。
map_0150#497	探検してるところかな?
map_0150#498	ちゃんと自分の身は自分で守れるようだな。
map_0150#499	コノハナの落とし穴には気をつけろ。かなり厄介だからな。
map_0150#500	福祉には賛成さ。奪われるくらいなら、金をくれてやった方がマシだからな。
map_0150#501	人が自己実現してるかどうかなんて、俺には興味ないね。
map_0150#502	できるならあいつら全員すりつぶして、それで城でも建てたいところだが、あいにくその機械がないんでな。
map_0150#503	はい
map_0150#504	いいえ
map_0151#0	「ベリルワードジム」
map_0152#0	「エリザベス・コナル」
map_0152#1	「モンティ・ベルローズ」
map_0152#2	「キャロライン・ベルローズ」
map_0152#3	「ジーナ・ヴァンハネン」
map_0152#4	「キキ・ミカエル・アーガル」
map_0152#5	「タラ――」
map_0152#6	サイモン: また会ったな、\PN。
map_0152#7	こんな場所に、何しに来た? 弔いに来たわけじゃないだろう。
map_0152#8	だが、俺は違う。
map_0152#9	もう、あまりにも長い時間をここで過ごしてきた。
map_0152#10	そして今、また失ったんだ。
map_0152#11	見てくれ。
