map_0165#124	ラピスに拠点があるんだ、4番街とハイドランジア通りの少し南だ。
map_0165#125	顔を出しゃ、すんなり仲間になれるさ。
map_0165#126	さあ、栄光を追いかけな、ベイビー。
map_0165#127	マクスウェル: 俺たちなら、しっかり手引きしてやれるぜ。
map_0165#128	ブレーク: 顔に何かついてるぜ。
map_0165#129	ブレーク: いや、まだついてる。
map_0165#130	ブレーク: 無視すんなよ! いいか、無視したら「毛虫警察」がお前の心を逮捕しにくるぞ!
map_0165#131	ブレーク: ケーキよりも簡単さ~ チョコレートケーキ! いちごのアイシング付きでね。
map_0165#132	チョコにいちご――というか、チョコに果物ってのは、見た目以上においしいもんなんだよ。
map_0165#133	大抵の人は、チョコレートケーキのチョコはフロスティングにあるものだと思ってるけど、それは絶対に違うんだ!
map_0165#134	何かの本質を、外側の層にだけ詰め込むなんて――そんなの、じゅうたんの下に掃いて隠すようなもんじゃないか。
map_0165#135	それに、ヴィクトリア朝の堅苦しい文化に戻りたいなんて誰も思っちゃいないだろ……ああ、そうそう。
map_0165#136	ヴィクトリア朝時代は、まさにチョコがけのケーキみたいなものだったのさ……わかるだろ?
map_0165#137	ダーム: よお、新入り。名前はダームだ。
map_0165#138	ヒヒダルマの略さ。あのポケモンの? でも、なんでみんなオレをダームって呼ぶかわかるか?
map_0165#139	オレがこの街で唯一の本物の男だって、みんなもう知ってるからさ。
map_0165#140	……わかったか?
map_0165#141	……いや?
map_0165#142	ああ、もういい。
map_0165#143	ダーム: \PNはとても強い。
map_0165#144	クリズ: それとも、昔のオーレ地方のどこかの町だったかな……
map_0165#145	クリズ: おい、すげえじゃん!
map_0165#146	クリズ: うぐっ……
map_0165#147	キバニアはバトルに集中している!
map_0165#148	デルビルはバトルに集中している!
map_0165#149	ブレーク: おっと、後ろを見ろ、これが気を逸らす作戦さ!
map_0165#150	……頼むよ?
map_0165#151	デファクト: 愚かな連中だ。
map_0165#152	こいつは、勝利に必要なのは力任せの一撃だけだと思い込んでいるようだ。
map_0165#153	実に、哀れなものだ。
map_0165#154	ダーム: このパワーを見ろ!
map_0165#155	サメハダーはバトルに集中している!
map_0165#156	アーチャー: 下っ端に足止めされるとは……不運なことだ。
map_0165#157	\PN、急げ、奴らのリーダーをやっつけろ!
map_0165#158	デルビル: ハウゥ?
map_0165#159	デルビルがポケスナックをじっと見つめている。
map_0165#160	空腹のポケモンが攻撃してきた!
map_0165#161	はい
map_0165#162	いいえ
map_0167#0	ああ、こんにちは。ラピス高級サイクルショップへようこそ!
map_0167#1	一生保証つきの最高級モデル、いかがですか? たったの$100,000,000でございます!
map_0167#2	おや? 引換券をお持ちで?
map_0167#3	おかしいですね、私がお渡ししたのは確か……
map_0167#4	……ああ、そうでした。
map_0167#5	それでは、お預かりいたしましょうか。
map_0167#6	\PNはひきかえけんを渡した!
map_0167#7	はい、どうぞ!
map_0167#8	ごゆっくり。
map_0167#9	\Gいかがでしょう?
map_0167#10	ふむ? そんなにお持ちでないようですね。冷やかしはお断りしておりますので。
map_0167#11	ふむ? 本物の品質をご堪能いただける準備が整いましたら、またお越しください!
map_0167#12	お買い上げの品には、ご満足いただけていますでしょうか?
map_0167#13	ちなみに、当店では現在新規採用を行っておりまして、ご興味があればカウンターで応募用紙をお取りください、とお伝えするよう言われております。
map_0167#14	もっとも、そのあたりの方々が当店の厳しい選考を通ることなど、まずあり得ないでしょうから、わざわざお手を煩わせるまでもないかと存じますが。
map_0167#15	カウンターに、ラピス高級サイクルの応募用紙の束が置かれている。
map_0167#16	一枚取りますか?
map_0167#17	はい
map_0167#18	いいえ
map_0168#0	こんにちは。このアパートへの立ち入りは、入居者の方に限らせていただいております。
map_0168#1	恐れ入りますが、お引き取りください。
map_0168#2	それでは、お進みください。
map_0168#3	こんにちは。このアパートへの立ち入りは、居住者の方に限らせていただいております。
map_0168#4	防犯上の理由から、お引き取りいただかなければなりません。
map_0168#5	幸い、あなたが新しい「入居者」だとすでに伺っております。
map_0168#6	どうぞ、お進みください。
map_0168#7	どうぞ、お進みください。
map_0168#8	マニー: よお相棒、行きたいのか?
map_0168#9	問題ないぜ、兄弟。7番街まで行くとしよう。
map_0168#10	もちろんさ、相棒。ラピスへ出発だ。
map_0168#11	クリズ: おい、どこ行くんだ?
map_0168#12	7番街だろ? よし。
map_0168#13	よいしょっと、着いたぞ!
map_0168#14	クリズ: なあ、リボーンシティってもう昔とは全然違う感じがするよな。
map_0168#15	それに、俺たちの家族はどうだ?
map_0168#16	それも、もう昔とは違う。
map_0168#17	クリズ: 最悪だな。
map_0168#18	前は、マクスウェルに何をすべきか、どう生きるべきか、頼りきってたんだ。
map_0168#19	あいつは前は俺のことをわかってくれてたけど、今はもうついていけねえよ。
map_0168#20	仕事を見つけるのが一番だって思ってんのか?
map_0168#21	仕事するためにこの一味に入ったわけじゃねえのに!
