map_0173#5	エリキテルを連れていきますか?
map_0173#6	エリキテルは日光を浴び続けている。
map_0173#7	あなたに気づいていないようだ。
map_0173#8	はい
map_0173#9	いいえ
map_0174#0	クラウドバリーさんのポケモンを持っていきますか?
map_0174#1	マクスウェル: だめだ、急げ\PN! 奴らより先に手に入れろ!
map_0174#2	アーチャー: \PN、何をしている? 早く、持っていけ!
map_0174#3	本の上に、何かメモが走り書きされている。
map_0174#4	85evs
map_0174#5	止まれ、アクアのクズどもめ! オレの男気が貴様らを止めてやる!
map_0174#6	オレの筋肉は……筋を通せてなかったか……
map_0174#7	……オレは、バラされちまった……
map_0174#8	……待て。
map_0174#10	……ふん。
map_0174#11	マクスウェル: \PN! アクアより先にポケモンをつかめ!
map_0174#12	アーチャー: 急げ、\PN! マグマより先にポケモンを確保しろ!
map_0174#13	マクスウェル: くそっ! 取られた……お前ら……新入りを拾ったのか?
map_0174#14	アーチャー: いかにも。アクア団、目的は達成した。直ちに撤退するぞ!
map_0174#15	デファクト: 市警察がまもなく到着するだろう。速やかに退避しよう。
map_0174#16	アーチャー: \PN、拠点で落ち合おう。よくやった。
map_0174#17	デファクト: あきらめろ、マグマ! タイプ相性だけでも、お前たちには覆しようのない不利がある!
map_0174#18	\PN! 急げ、獲物を手に入れろ!
map_0174#19	ブレーク: 消灯の時間だぜ、アクア! 比喩的な意味でな、消えろ。
map_0174#20	おお、\PN! 奴らより先に、ここに来た目的のポケモンを盗んでくれるか? 役に立つかもな、多分。
map_0174#21	キバニアはバトルに集中している!
map_0174#22	マクスウェル: 手に入れたぞ! マグマ、離脱だ! もうここで戦う意味はねえ!
map_0174#23	ブレーク: サツが来る前に、とんずらしようぜ~
map_0174#24	アーチャー: くっ。新入りを迎え入れたのか。運がいいことだな……
map_0174#25	アクア団、撤退!
map_0174#26	マクスウェル: 拠点で落ち合おうぜ、\PN!
map_0174#27	デルビルはバトルに集中している!
map_0174#28	一筋も動くな! 筋肉一本たりとも動かすんじゃねえ!
map_0174#29	自分の代わりにポケモンに筋肉を動かさせるとはな。うーん賢いぜ
map_0174#30	……お前の手の内は、もうお見通しだぜ。
map_0174#31	よお、このあたりじゃ新顔か? 忠告してやるが、お前の最善手は白旗を揚げることだぜ!
map_0174#32	……見事だったぜ
map_0174#33	実に奇妙な言い回しだな……「最善手」? 厳密には正しいが、現代の言葉遣いはそれをとうに超えていると思うが……
map_0174#34	はい
map_0174#35	いいえ
map_0175#0	申し訳ございません、シェリー・シトラ様は現在挑戦者を受け付けておりません。
map_0175#1	普段でしたら、彼女の居場所や対応可能な時間を挑戦者の方にお伝えするのですが、あいにく私自身、存じ上げないのです。
map_0175#2	ある日突然出ていかれまして――そういえば、あなたの挑戦の後のことでしたね――それ以来、何の連絡もございません。
map_0175#3	ジムリーダーらしからぬことですが、まだ子供ですから、仕方ないのかもしれません。
map_0175#4	カイン: 彼女がすべてを見ていたなんて、気づかなかったよ――
map_0175#5	本当に、本当にごめん。
map_0175#6	カイン: とりあえず、僕は……
map_0175#7	行くよ……
map_0175#8	今のところは……
map_0175#9	……
map_0175#10	俺だって、あいつまであの男を知ってたとは信じられねえよ。
map_0175#11	いったいどんな確率だってんだ?
map_0175#12	まあ、今はヴィクトリアが世話をして、面倒見てくれてる。
map_0175#13	俺にも何かできることがありゃいいんだが。
map_0175#14	こんなこと、子供にどう対処しろってんだ?
map_0175#15	具合が悪くなるほどストレスためこんでるなら……
map_0175#16	……医者が要ると思うか?
map_0175#17	この近くにいたよな?
map_0175#18	このワードで看板見かけたぞ。
map_0175#19	コナー先生とかなんとか。
map_0175#20	なあ、シェリーを診てくれるか聞きに行ってくれねえか?
map_0175#21	こんなことがあった後だ、それが必要なのかもな。
map_0175#22	コナー先生とかなんとかに、シェリーを診てくれるか聞きに行ってくれねえか?
map_0175#23	申し訳ございません、シェリー・シトラ様は現在、対応いたしかねます。
map_0175#24	他の連中は上にいるぜ。
map_0175#25	ここにはもう一人子供がいてな――あのろくでなしと同じ頃に来たんだ。
map_0175#26	でも少なくとも、あいつには最低限の分別ってもんがあったぜ。
map_0176#0	キャル: 戻ったか。
map_0176#1	何かわかったか?
map_0176#2	ヴィクトリア: ……お医者様が後で来てくださるのね?
map_0176#3	それが一番いいかもしれないわ……
map_0176#4	シェリー: お、お医者さん……?
map_0176#5	わたし、病気なの……?
map_0176#6	ヴィクトリア: あら、ハニー――病気じゃないわよ。
