map_0183#8	ついに……
map_0183#9	この強化型努力値アイテム、なかなかの効き目だぜ!
map_0183#10	ここの強化版は、他の地方のものより四倍も強力らしいぜ!
map_0183#11	その代わり、対応タイプ以外の努力値は入らなくなる。
map_0183#12	特別だろう?
map_0183#13	ここは4階、消耗品と特別アイテムIのフロアだ。
map_0184#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0184#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0184#4	ばくはつのこなで開けますか?
map_0184#5	はい
map_0184#6	いいえ
map_0185#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0185#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0185#4	ばくはつのこなで開けますか?
map_0185#10	はい
map_0185#11	いいえ
map_0188#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0188#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0188#4	ばくはつのこなで開けますか?
map_0188#5	ヨォォォム……
map_0188#6	ヨームター!
map_0188#7	はっはっ! この宝を見ろよ!
map_0188#8	ここの岩には、レアなアイテムがぎっしり詰まってるんだ!
map_0188#9	つるはしとハンマーさえあれば、こじ開けられるぞ!
map_0188#10	ただし、気をつけろよ。
map_0188#11	無茶をしすぎると、岩が崩れて何も手に入らなくなる。
map_0188#12	ほら、試してみろ!
map_0188#13	ハンマーで壁を叩き、つるはしで削り、ダッシュボタンで切り替えるんだ!
map_0188#14	頑張れよ!
map_0188#15	何が出てくるかは、お楽しみだ!
map_0188#16	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。ばくはつのこなで開けますか?
map_0188#17	はい
map_0188#18	いいえ
map_0190#0	「クライアント記録」
map_0190#1	アーカイブキーでドアの鍵を開けた。
map_0190#2	鍵がかかっている。
map_0190#3	「地下アリーナ通路」
map_0190#4	「男子部屋」
map_0190#5	シェリー: う、うぅ……たぶん、入っちゃだめだと思う……
map_0190#6	「女子部屋」
map_0190#7	シェリー: ね、ねえ、やっぱりやめといたほうが……
map_0190#8	シェリー: あ、あの、\PN?
map_0190#9	何をしている?
map_0190#10	手続きというものを、どう考えているんだ?
map_0190#11	それなら、貴様のことなど知ったことか。
map_0190#12	ふん。
map_0190#13	このエリアは、私たち以外は誰であろうと完全に立ち入り禁止だ!
map_0190#14	私たちを倒すのも禁止よ!
map_0190#15	蛮族め!
map_0190#16	共用エリアのロック解除
map_0190#17	アメ: \PN?
map_0190#18	やっほー! ジムに着いたみたいね。
map_0190#19	この通信システムはグランドホールに直結してるから、どこにいても、ジムに着いたらいつでも相談できるのよ!
map_0190#20	それで……
map_0190#21	アメ: 今いるのは、コナール博士の孤児院なのね?
map_0190#22	あそこの子供たちには、バトルの天才が何人かいてね――
map_0190#23	こっちに紹介されて、他の候補を全員退けてポジションを勝ち取ったのよ。
map_0190#24	それで、孤児院の地下に実際にアリーナを設置したの。
map_0190#25	もうすぐ見られると思うけど――
map_0190#26	え? アリーナが修理中だから、バトルを受け付けてない?
map_0190#27	それ、数ヶ月前とまったく同じ状況ね……
map_0190#28	あれは片づけたと思ってたんだけど。
map_0190#29	コナール博士が嘘をついてるのかもしれない。
map_0190#30	そのことは、彼と話をしないとね。
map_0190#31	まあ、戦えるようになったら、最初の相手はたぶんノエルね。
map_0190#32	ノーマルタイプのポケモンを育ててるけど、切り札のピクシーもワイルドカードとして使っていいことになってる。
map_0190#33	あれには気をつけて。あっという間に大きくなるから。
map_0190#34	ノエルの他のポケモンはどれもバランスがいいけど、彼はだいたい一つのことしかしないの。
map_0190#35	彼と戦うときは、フィールドの変化とか、彼が慣れていない異常な状況を突くチャンスを探すといいかも。
map_0190#36	頑張ってね!
map_0190#37	グランドホールの誰も、電話に出ないみたい……
map_0191#0	「クライアント記録」
map_0191#1	アーカイブキーでドアの鍵を開けた。
map_0191#2	鍵がかかっている。
map_0191#3	ここは博士の診察室だ。出ていってもらおう。
map_0191#4	博士がお怒りになるでしょう。
map_0191#5	博士はお認めになりません。
map_0191#6	一体何を成し遂げようというんだ?
map_0191#7	どこにも辿り着けやしない。
map_0191#8	まあ、物理的にはどこかには辿り着くだろうけど、その、わかるだろ。
map_0191#9	「リンジー・パレア」
map_0191#10	読みますか?
map_0191#11	ページはすべて塗りつぶされているか、破り取られている。
map_0191#12	「――フィー・ヴィルヌーヴェル・ミト――――」
map_0191#13	ページはすべて白紙だ。
map_0191#14	「ローラ・ベルローズ」
map_0191#15	入所時年齢: 8歳
map_0191#16	退所時年齢: 18歳
map_0191#17	診断名: 強迫性障害
map_0191#18	所見: 患者は奇数に不快感を示し、特に8の倍数に対して軽度の執着を見せる。
map_0191#19	患者は、細菌や雑菌の刺激を知覚すると、認知的な不快感が高まると訴えている。
map_0191#20	患者は手袋を着用しない限り、日常動作や他者との関わりを拒否する。
map_0191#21	患者は共用の衛生スペースを、一度に数時間占有する傾向がある。
map_0191#22	患者は、燃える家から逃げる際、肌にまとわりつく煙の感覚に意識を向けることで、精神的な平静を保てたという特異な記憶を語っている。
map_0191#23	本記録者の見解では、彼女の清潔さへの執着は、過去のトラウマに起因する精神的不快感を、身体的に緩和しようとする試みである。
map_0191#24	治療方針: 幼少期のトラウマによる抑圧された罪悪感が、異常行動にどう影響しているかを考慮した精神分析的対話療法。
