map_0208#35	そうなったら、本当に残念なことだ。
map_0208#36	かかってるのは、アカデミーの全てってだけだけどね……
map_0208#37	上で会おうか?
map_0208#38	カイン: ふう! 来てくれるって、わかってたぜ~
map_0208#39	おい、何だよその顔?
map_0208#40	「囚われの乙女」ってのは冗談だって……もう~
map_0208#41	でもまあ、お前がそうしたいなら、王子様のままでもいいけどな。
map_0208#42	カイン: エースを信用したのが、そもそも間違いだったんだよな……
map_0208#43	あいつが再び現れた瞬間、オレは一瞬で気を失ってた。
map_0208#44	幸運が転がり込んでくるのを待ってたけど、それがお前だったってわけだ。
map_0208#45	手遅れになる前に、動こうぜ!
map_0208#46	カイン: というか……
map_0208#47	カイン: こんなもん、置いてったのか。
map_0208#48	カイン: 下っ端の一人がこの荷物を持ってきて、超重要だとか言ってたな……
map_0208#49	「シリウス様専用」だってさ。
map_0208#50	何が入ってるのか、マジで気になるな~
map_0208#51	カイン: これ……ジュエリー?
map_0208#52	あいつに隠れファンでもいるのか?
map_0208#53	ただのブローチっぽいな。
map_0208#54	きれいな緑の宝石つき――エメラルド、なのかな?
map_0208#55	それにメモつき:
map_0208#56	「真贋を確認せよ」
map_0208#57	カイン: まあ、よくわかんねえけど。
map_0208#58	念のため、オレが持っておくか。
map_0208#59	あいつらに持たせとくより、マシだしな~
map_0208#60	カインはエメラルドのブローチを手に入れた!
map_0208#61	カイン: グズグズしてる場合じゃない。
map_0208#62	アポフィルに向かわないと!
map_0208#63	船か何か、あるんだろ?
map_0208#64	すぐに戻る?
map_0208#65	カイン: よし、ロマンチックな船旅の始まりだ!
map_0208#66	雰囲気ぶち壊しの毒の湖と、絶望的な状況には目をつぶってな……
map_0208#67	カイン: よし、中で待ってるよ。
map_0208#68	早めに来てくれよ。あいつらの予定なんてわかったもんじゃないからな!
map_0208#69	チコリータ: チコ、チカ! チコリ、チ!
map_0208#70	チコリータは取り乱している。
map_0208#71	チコリータを連れていきますか?
map_0208#72	はい
map_0208#73	いいえ
map_0211#0	ふう! 外はなかなかの嵐だね。
map_0211#1	しばらくここにいようと思う。
map_0211#2	よければ、話し相手になってくれてもいいよ、旅の人。
map_0211#3	私はこの街の外で、荒れ地の様々な姿と、そこに住むポケモンを研究しているんだ。
map_0211#4	何か変わったもの、見なかったかい?
map_0211#5	ああ、いや、馬鹿な質問だったね。ここでは何もかもが変だ。
map_0211#6	こんな場所で「変なもの」を尋ねること自体が、変なのかもしれない。
map_0211#7	つまり、探しているものが特にあるんだ。
map_0211#8	というのも、この荒れ地のどこかにゼニガメがいるはずなんだ。
map_0211#9	ここがゼニガメのいるべき場所じゃないってことは、君も同意してくれると思う。
map_0211#10	本来なら、きれいな水のある場所にいるべきなのに、ここにはヘドロしかない。
map_0211#11	見つけて安全な場所に連れて行きたいんだけど、今のところ捕まえられていない。
map_0211#12	どこかで見かけたら、ぜひ捕まえてみてくれ!
map_0211#13	そういえば、この辺りの誰かが見てるかもしれないな。
map_0211#14	聞き込みをすれば、何か手がかりが見つかるかもしれない。
map_0211#15	ところで、あのゼニガメ、見つけたりした?
map_0211#16	もし見つけたなら、ぜひその子を見てみたいな。
map_0211#17	ちょっと様子を確認したいだけなんだ。
map_0211#18	旅の人、この辺りにゼニガメがいるらしいって、知ってたかい?
map_0211#19	無事で健康かどうか確かめたくて探してたんだけど、痕跡ひとつ見つけられなくてね……
map_0211#20	ああ、実は持ってたのか!
map_0211#21	あ!
map_0211#22	これは本当に、あのゼニガメなのかい?
map_0211#23	まあ、私にはわからないだろうけど。
map_0211#24	とにかく、荒れ地の影響で体調を崩してないか心配だったんだけど……
map_0211#25	見たところ、この子はぴんぴんしているみたいだ!
map_0211#26	もしかして、このヘドロには、ポケモンにとって独特の居心地の良さがあるのかもしれない。
map_0211#27	まるで、その腕の中に留まるよう誘っているみたいに……
map_0211#28	守るため、なのかな?
map_0211#29	ああ、気にしないでくれ――ただの独り言だから!
map_0211#30	お礼に、これを受け取ってくれないか?
map_0211#31	役に立つかもしれない。
map_0211#32	その小さな友達を、大事にしてあげてね。
map_0211#33	ビクスビシオンは、昔からこんな荒れ地だったわけじゃない……
map_0211#34	でもある日、あっという間に、汚泥の山が積み上がり始めた。
map_0211#35	その出所は誰にもわからず、汚泥は現れ続けた……
map_0211#36	かつて、街は総力を挙げてそれを取り除こうとして――実際にやり遂げた。
