map_0232#87	だから、ここはあたしたちに任せなさい。
map_0232#88	\PNよね? それとローラ。
map_0232#89	あんたたち二人には、この家を守る役目を任せる。
map_0232#90	誰か入ってきたら、叩きのめして。
map_0232#91	あたしの家族には、指一本触れさせない。
map_0232#92	わかった?
map_0232#93	サファイラ: よし。
map_0232#94	サファイラ: 要するに、子供たちが家のどこに隠れてるか見つけて、他の誰にも見つからないようにすること。
map_0232#95	必要なら、力を使ってもいい。
map_0232#96	ドクターは遠回りしてくるけど、チームメテオは水路から来てる。
map_0232#97	頭がいいつもりなんでしょうけど。
map_0232#98	でも、それが逆に隙になってる。
map_0232#99	あたしは先に行く。できるだけ多く倒してくるから。
map_0232#100	あんたたちは配置についてて。
map_0232#101	カイリュー、前へ!
map_0232#102	シャルロット: あれが、あたしたちの姉さんってわけ。
map_0232#103	かっこいいでしょ?
map_0232#104	ノエル: 急いだ方がいい。
map_0232#105	奴らが来るのが見える。
map_0232#106	シャルロット: よし、わかった。姉さんに続いて!
map_0232#107	ほら、みんな中へ!
map_0232#108	ノエル: わかった。僕とノモスは、いつでも準備できてる。
map_0232#109	前と同じように、位置についてくれ。
map_0232#110	シェリー: わかった、わかった。これは6対6の――ええと、シングルバトルだよね?
map_0232#111	どちらのトレーナーも交代ができて、ええと……
map_0232#112	片方のトレーナーの6匹全員が倒れた時点で、バトル終了!
map_0232#113	ノエル: さて、ノモス、こいつらならやれると思う?
map_0232#114	シェリー: は、始め!
map_0232#116	アンナ: やったー!! すごいよ、\PN!
map_0232#117	でも、火を放って勝つのって、ちょっと無神経じゃない? っていうか……
map_0232#118	シャルロットとローラにバレなければ、いいのかな?
map_0232#119	大丈夫! 言わないでおくから!
map_0232#120	それに、ノストラが言うには、フィールド上では焼け跡なんて誤差の範囲だって……何のことかわかんないけど!
map_0232#121	ノエル: リボーンリーグの公式規定に従い、これをスタンダードバッジとして授与する。
map_0232#122	\PNはスタンダードバッジを受け取った!
map_0232#123	ノエル: スタンダードバッジを持っていると、レベル60までのポケモンが言うことを聞くようになる。
map_0232#124	それと、これも渡すことになっている。
map_0232#125	ノエル: 知っているとは思うけど、めざめるパワーのタイプは、使うポケモンによって変わる。
map_0232#126	内に秘めた可能性を引き出すのに役立つ……とか、そういうものだ。
map_0232#127	これで全部、だよね?
map_0232#128	ローラ: ……何か見逃してしまいましたか?
map_0232#129	アンナ: \PNがノエルを倒して、バッジをもらったの!
map_0232#130	シェリー: シャルロットは、大丈夫?
map_0232#131	ローラ: 大丈夫ですけど、今は少し一人にしてあげた方がいいと思います。
map_0232#132	アンナ: 本当は何があったのか、教えてもらえる?
map_0232#133	ローラ: ええと、その……
map_0232#134	ずっと昔、シャルロットがまだ幼い頃、ある事故があったんです。
map_0232#135	あの頃は、みんな一緒に暮らしていて。
map_0232#136	シャルロットと、サファイラと、わたし、それにお父さんとお母さんと。
map_0232#137	シャルロットは毎晩こっそり抜け出して、たいていは庭で遊んだり、湖を眺めたりしていました。
map_0232#138	特に害のあることじゃなくて。
map_0232#139	ここは安全だったから、それで問題なかったんです。
map_0232#140	でも、ある夜、ロコンと遊んでいて……
map_0232#141	見ての通り、こういう場所では火はあっという間に燃え広がってしまって……
map_0232#142	サファイラがわたしを起こして、間一髪で家の外に連れ出してくれたんですけど、両親は助かりませんでした。
map_0232#143	それ以来、ずっとサファイラがわたしたちの面倒を見てくれていて……
map_0232#144	特に、ドクターがわたしたちを引き取ってからは。
map_0232#145	何年も、わたしたちを守ってくれています。
map_0232#146	シャルロットが無事だといいんですけど。
map_0232#147	もし、あの子が――
map_0232#148	もし、あの子がもし……
map_0232#149	ごめんなさい、泣くべきじゃないのに。
map_0232#150	サファイラみたいに強くならないと……
map_0232#151	アンナ: ううん、大丈夫だよ!
map_0232#152	泣きたいだけ泣いていいの!
map_0232#153	涙って、体から悲しみを追い出す方法のひとつなんだから。
map_0232#154	さ、中に入ろう、ね?
map_0232#155	ノストラも、おやつを食べて座れば、気分が良くなるって言ってるよ。
map_0232#156	ローラ: わかりました……
map_0232#157	シャルロット: これは、あたしが審判やることになりそうね。
map_0232#158	何事も収拾つかなくならないようにね……
map_0232#159	本当にここでやる必要あるの?
map_0232#160	……まあ、いいけど。
map_0232#161	準備ができたら、ノエルに言って。
map_0232#162	シェリー: え、えっと……これ、私が審判やるってこと?
map_0232#163	シェリー: えへへ、また別のジムバトルが見られるんだね。
map_0232#164	ねえねえ、\PN、いつか私ともまた対戦してくれるよね、ね?
map_0232#165	シャルロット: ……
map_0232#166	シャルロット: あたしたちのせいじゃなかった。
map_0232#167	感じるより言う方が簡単だけど、ここにいると少し楽になる。
map_0232#168	ここにいる資格があるって、感じやすくなる。
map_0232#169	あんたのせいでもなかった。
map_0232#170	シャルロット: とにかく、うじうじするのはもう終わり。
map_0232#171	あたしたちの新しい仲間を見せたかったの。
map_0232#172	シャルロット: 前にグランドホールに行った時、こいつがついてくるようになって。
map_0232#173	シャルロット: こいつ、ずっとついてきちゃって……
map_0232#174	それで、今はあたしのものってわけ。
map_0232#175	他のタイプにも手を広げてみるのも、悪くないかなって。
map_0232#176	……それに、ロコンはやっぱりかわいいし。
map_0232#177	ロコン: ロコ!
map_0232#178	キュウコン: ……キュウ!
map_0232#179	ロコン: ロコロコ!
map_0232#180	シャルロット: ……いい子。
map_0232#181	シャルロット: よし、破壊野郎。
map_0232#182	かかってきなよ。
map_0232#183	ほのおタイプだろうと何だろうと、あたしはランクを駆け上がるつもりだから。
map_0232#184	ここで全力を出せるって自分を信じられれば、どこででも信じられる。
map_0232#185	だって、本当の美しさは、自分を制御できてこそなんだから!
map_0232#186	はい
map_0232#187	いいえ
map_0233#0	シェリー: あの人たち、本当に仲がいいんだね……
map_0233#1	アンナとノエルも。
map_0233#2	どうして私とお兄ちゃんは、あんな風に仲良くなれないんだろう?
map_0233#3	シェリー: アンナが大丈夫だといいけど……
map_0233#4	さっき言ってくれたこと、覚えてる? 私にたくさん友達がいるって話。
map_0233#5	本当じゃないってわかってるけど……
map_0233#6	それでも、すごく嬉しかった。
map_0233#7	ローラ: ノエル? アンナ?
map_0233#8	？？？: ノエル? アンナ?
map_0233#9	あなたたち、こんなところで何を?
map_0233#10	ローラ: シャルロット!
map_0233#11	？？？: シャルロット!
