map_0233#253	アンナ: ノモスが、ノエルに嘘つくのやめてほしいって言ってるよ。
map_0233#254	彼の言うこと、聞いた方がいいよ。
map_0233#255	シャルロット: まあ、確かに元気になったみたいね。
map_0233#256	ローラ: それが一番大事なことですものね。
map_0233#257	アンナ: あ、こんにちは、ローラ!
map_0233#258	いつ来たの?
map_0233#259	ローラ: あの、ずっといましたよ。
map_0233#260	アンナ: え? 気づかなかった……
map_0233#261	まあ、いっか。
map_0233#262	とにかく、ノストラがあんなに迷惑かけちゃってごめんね!
map_0233#263	特に\PNには。
map_0233#264	でも、今なら埋め合わせできるかも!
map_0233#265	ノエル? ノモスと一緒に、ジムバトルやってくれる?
map_0233#266	ノエル: 今?
map_0233#267	アンナ: うん!
map_0233#268	\PNがすぐに全部のバッジを集めることが、すごくすごく大事な気がするの!
map_0233#269	それに、ここにジムリーダーが二人もいるんだから、理にかなってるでしょ!
map_0233#270	シャルロット: ……\PNはまだ、あたしのランクに追いついてないから、パス。
map_0233#271	アンナ: わかった、でもノエルはやってくれるよね?
map_0233#272	ノエル: ええと……ノモスによると、今はあまりいい時じゃないかもって。
map_0233#273	アンナ: え? ノモスの話、全然聞いてなかったの?
map_0233#274	絶好の機会だって言ってたよ!
map_0233#275	ほら、外に行って、\PNにまたバッジを取ってもらおう!
map_0233#276	ローラ: あの子のこと、もう理解するのをやめました。
map_0233#277	シャルロット: あたしはそもそも最初から理解してない。
map_0233#278	だからこそ、面白いんだけど。
map_0233#279	シャルロット: それで、みんな来る、来ない?
map_0233#280	アンナはぐっすり眠っている。
map_0233#281	ノストラも眠っているようだ。
map_0233#282	ローラ: かわいそうに……
map_0233#283	シャルロット: 起きて、起きて、アンナ。
map_0233#284	誰か戻ってきたよ。
map_0233#285	シェリー: あの子、大丈夫だといいけど……
map_0233#286	ノエル: ここには、あんまりいい隠れ場所がない。
map_0233#287	誰かが入ってきたら、たぶん見つかってしまうだろう。
map_0233#288	シャルロット: それで、この世界がなぜか大好きなくだらない法律のせいで、
map_0233#289	\PNとローラが、あたしたちの主な防衛線ってわけ。
map_0233#290	それでいいけど。
map_0233#291	ローラもエリートフォーの一員だから、誰も勝てやしない。
map_0233#292	それに\PNは、実質破壊兵器みたいなもんだし。
map_0233#293	ここに来るバカなメテオやドクターは、顔面をぶちのめされることになる。だよね、\PN?
map_0233#294	シャルロット: その意気。
map_0233#295	シャルロット: 謙遜する必要ないから。
map_0233#296	手加減しなければ、大丈夫。
map_0233#297	とにかく、全員同じ場所には隠れられないから、二手に分かれよう。
map_0233#298	アンナ: わかった! あたしとノエルは二階に隠れる?
map_0233#299	シャルロット: じゃあ、あたしとシェリーはキッチンのどこかに。
map_0233#300	ローラ: では、わたしが二階を守って、\PNは一階を?
map_0233#301	ただ、リビングにはお手柔らかにお願いします……
map_0233#302	シャルロット: それでいいんじゃない。
map_0233#303	みんな、散開!
map_0233#304	アンナ: あなたはゆっくりしてて、いいね?
map_0233#305	心配しないで、他のことは全部あたしがやっとくから!
map_0233#306	アンナ: チームメテオ、ざまあみろ!
map_0233#307	ローラ: ここに来た職員たちは倒しました。アンナとノエルは無事ですが……
map_0233#308	ローラ: 頑張ってください。
map_0233#309	ここで何かあっても、わたしが対応します。
map_0233#310	アンナ: \PN! 何があったの?
map_0233#311	ローラは大丈夫?!
map_0233#312	ノエル: 静かに、アンナ。
map_0233#313	奴らがいなくなったって確認できるまで、まだ隠れてないといけない。
map_0233#314	シャルロットとシェリーは大丈夫なの?!
map_0233#315	みんな無事なの?!
map_0233#316	ローラ: わ、わたし……ごめんなさい……
map_0233#317	あの人たちを止められなくて……
map_0233#318	シェリー: ア、アンナは大丈夫?
map_0233#319	シェリー: み、みんなは大丈夫?
map_0233#320	シェリー: な、何が、一体何があったの?
map_0233#321	シェリー: あの、頑張って。
map_0233#322	私たちはここにいるから。
map_0233#323	シャルロット: あたしたちは完全に無事。
map_0233#324	みんなは?
map_0233#325	シャルロット: フン、姉さんはあたしに楽しませてくれたことがない。
map_0233#326	まあ、あたしのこと気にかけてくれてるのはわかるけど。
map_0233#327	でも、たまにはあたしがメテオの基地に殴り込みたい時もあるっていうか!
map_0233#328	サファイラ: シャルロット、怪我はない?
map_0233#329	シャルロット: あたしは平気。
map_0233#330	ありがとう、姉さん。
map_0233#331	サファイラ: そっちの子は?
map_0233#332	シェリー: あの、怪我はないですけど、私の名前は――
map_0233#333	サファイラ: 黒髪の男が、シグムンドが二人捕らえたって言ってた。
map_0233#334	サファイラ: 何があったの?
map_0233#335	ローラ: 失敗しました。ドクターに双子を取られました。
map_0233#336	サファイラ: いいの、よくあることだから。
map_0233#337	あんたは何があったの?
map_0233#338	ローラ: ドクターは戦おうとすらせず、ただ……
map_0233#339	自分のポケモンで、わたしを直接攻撃させて……
map_0233#340	昔の電気ショック治療みたいに……
map_0233#341	サファイラ: そう。
map_0233#342	どいてて。
map_0233#343	サファイラ: あいつを見つける。
map_0233#344	それで、双子を取り戻す。
map_0233#345	それと、ドクターの醜い顔を引き裂いてやる。
map_0233#346	シャルロット: 面白そう。あたしも行く。
map_0233#347	サファイラ: だめ、あんたはここに残る。
map_0233#348	ローラが怪我をした。あんたまで危険にさらすつもりはない。
map_0233#349	でも、\PNはあたしと一緒に来る。
map_0233#350	あんたはもう一度、シグムンドからシャルロットを逃がすのを手伝ってくれたよね?
map_0233#351	まず、彼らがどこに連れて行かれたか見つけないと。
map_0233#352	それから、邪魔する者は全員排除する。
map_0233#353	やれる?
map_0233#354	ローラ: 実は、そんなに遠くないかもしれません。
map_0233#355	少し前に、同じような格好の男たちの集団が、タンザン山の中にあの機械を作り始めていました。
map_0233#356	サファイラ: よし。それじゃ、タンザン山で会おう、\PN。
map_0233#357	復讐は、素早くて、甘美なものになる。
map_0233#358	でも、それは今すぐ味わうべき料理よ。
map_0233#359	サファイラ: ローラ、怪我は?
map_0233#360	ローラ: いいえ、大丈夫です。
map_0233#361	職員が二人上がってきましたが、倒すことができました。
map_0233#362	サファイラ: さすがあたしの妹。
map_0233#363	ローラ: こっちは安全です。
map_0233#364	下の子たちは?
map_0233#365	サファイラ: 下には誰がいたの?
map_0233#366	ローラ: 双子はここに隠れて、シャルロットとシェリーが下にいました。
map_0233#367	サファイラ: あの男は、シグムンドが二人捕らえたって言ってた。あんたが無事なら……
map_0233#368	シャルロットが捕まってる。
map_0233#369	ローラ: どこに行くんですか?
map_0233#370	サファイラ: 決まってるでしょ?
map_0233#371	あの子を取り戻す。
map_0233#372	ローラ: わたしも行きます。
map_0233#373	サファイラ: だめ。
map_0233#374	あんたはここに残って。
map_0233#375	ローラ: でも……
map_0233#376	サファイラ: シャルロットはもう捕まった。
map_0233#377	あんたまで危険な目に遭わせるわけにはいかない。
map_0233#378	シャルロットを守る担当だったんでしょ?
map_0233#379	だから、取り戻すのを手伝ってもらう。
map_0233#380	ローラ: あ、その……
map_0233#381	少し前に、あの山に機械を追加し始めた人たちがいました。
map_0233#382	それって、チームメテオがそこを拠点にしてたってことなんじゃ?
map_0233#383	サファイラ: よし。
map_0233#384	それじゃ、タンザン山で会おう、\PN。
map_0233#385	ローラ: あの子たちを守れなくて、ごめんなさい……
map_0233#386	どうか頑張ってください。
map_0233#387	シャルロット: 大丈夫。ありがとう、姉さん。
map_0233#388	シェリー: 私は大丈夫ですけど、あの、私の名前は――
map_0233#389	\PN、二階の状況は?
map_0233#390	……シグムンドがローラを連れて行った?
map_0233#391	あいつにそんな権限はない。
map_0233#392	あの老いぼれ、ボケてきたんじゃないの。
map_0233#393	つまり、あいつを狩って喉を引き裂く時が来たってこと。
map_0233#394	ローラはもう連れて行かれた。あんたまで怪我させるつもりはない。
map_0233#395	サファイラ: でも、\PNはあたしと一緒に来る。
map_0233#396	行くよ。
map_0233#397	シャルロット: どこに連れて行かれたか、わかってるの?
map_0233#398	サファイラ: 何とかする。
map_0233#399	シェリー: あの……あの、考えがあります。
map_0233#400	山を通ってきた時に見た、あの配管とか機械みたいなの、覚えてますか?
map_0233#401	あれ、チームメテオのものだったんじゃ?
map_0233#402	サファイラ: 調べてみる価値はあるわね。
map_0233#403	そこで会おう、\PN。
map_0233#404	ありがと、そっちの子。
map_0233#405	シェリー: 私の名前は――
map_0233#406	……まあ、いいか……
map_0233#407	シャルロット: まあ、姉さんを待たせない方がいいよ。
map_0233#408	でも、あたしの分も何発かぶちかましといて、いい?
map_0233#409	シャルロット: 二階で何があったの?
map_0233#410	シャルロット: あんたまで捕まらないでよ。
map_0233#411	そしたら本当にまずいことになる。
map_0233#412	シェリー: あの……ローラは大丈夫?
map_0233#413	シェリー: 私、\PNを信じてる!
map_0233#414	ローラ: 何があったんですか?
map_0233#415	ああ、そんな!
map_0233#416	ローラ: 壁が!
map_0233#417	部屋を荒らさないでってお願いしたのに……
map_0233#418	ローラ: え、子供たちの代わりにサファイラが連れて行かれたんですか?
map_0233#419	シャルロット: うわぁ、大失敗じゃん。
map_0233#420	シャルロット: 姉さんならたぶん、内側から連中を壊滅させるだけだろうけど。
map_0233#421	ローラ: でも、連れて行かれるままにしておくべきじゃないと思います。
map_0233#422	シャルロット: まあ、明らかに罠だよね。
map_0233#423	一番安全なのは、放っておくことだけど。
map_0233#424	それで、みんな行く準備できてる?
map_0233#425	ローラ: でも、さっき――
map_0233#426	シャルロット: 一番安全だって言っただけ。
map_0233#427	あたしたちは安全じゃなくて、家族。
map_0233#428	だから、姉さんを取り戻しに行く。
map_0233#429	姉さんならあたしたちにも同じことしてくれるって、知ってるでしょ。
map_0233#430	ローラ: ……ええ、その通りですね。
map_0233#431	でも、あなたはここに残ってください。
map_0233#432	シャルロット: は?
map_0233#433	何言ってるの?
map_0233#434	ローラ: 奴らの狙いは元々あなたで、わたしじゃありません。
map_0233#435	だから、これはわたしが対処します。
map_0233#436	シャルロット: 誰もあたしを楽しませてくれない。
map_0233#437	ローラ: 少し前に、あの人たちが山に機械を組み込み始めました。
map_0233#438	そこに、サファイラを連れて行ったに違いありません。
map_0233#439	ローラ: 今からそこに向かいます。
map_0233#440	\PN、力を貸していただけるなら、ありがたいです。
map_0233#441	シェリー: あのカイリューの人が、連れて行かれたの?
map_0233#442	あんなに強そうだったのに……
map_0233#443	アンナ: ひゃっ! 盗み聞きなんてしてないよ!
map_0233#444	……たぶん。
map_0233#445	まあ、ノストラはしてたけど、あたしはしてない。
map_0233#446	あたしはあなたのプライバシーを尊重してたの。
map_0233#447	でもノストラが、ドラゴンのお姉さんの救出、頑張ってって言ってて、それと……
map_0233#448	あ! ローラが倒れても、キャッチしちゃダメだって!
map_0233#449	どういう意味かわかんないけど。
map_0233#450	ノストラって、たまに変なこと言うの。
map_0233#451	ノエル: みんな体裁を保とうとしてるのはわかるけど、明白なことを否定しても意味がない。
map_0233#452	サファイラが死んでいる可能性は、かなり高い。
map_0233#453	ただ座って彼女を待つわけにはいかない。
map_0233#454	でも、アンナは僕を行かせてくれないだろう。
map_0233#455	現実的に考えれば、誰かが彼女を探しに行く必要がある。
map_0233#456	彼女とハガネールが落ちた場所からすると、タンザン山からそう遠くないはずだ。
map_0233#457	アンナ: うわっ!
map_0233#458	今、タンザン山の頂上が爆発した?!
map_0233#459	シェリー: そこって……そこって、チームメテオの基地があった場所だよね?
map_0233#460	ノエル: 急いだ方がいいかもしれない。
map_0233#461	ノエル: サファイラを探しに、急いだ方がいいかもしれない。
map_0233#462	ノエル: 盗み聞きするなって、彼女に言おうとしたんだけど。
map_0233#463	アンナ: うん、でもあの巨大なハガネールに乗ってる姿、すっごくかっこよかったし!
map_0233#464	戻ってきたら、みんなで一緒に乗せてもらえるかな?
map_0233#465	ノエル: アンナ、彼女はタンザン山の頂上から落ちたんだ。
map_0233#466	サファイラは、たぶん助からない。
map_0233#467	アンナ: ノエル! 嘘つかないで!
map_0233#468	ノエル: 嘘じゃない。
map_0233#469	ノモスも、かなり酷い落ち方だったって言ってる。
map_0233#470	期待しすぎない方がいい、いいね?
map_0233#471	アンナ: 希望を持たなかったら、どうやって前に進めるの?
map_0233#472	シャルロット: やめてよ。どうせ空中で「カイリュー、助けて!」とかやって、平然と飛んで逃げるに決まってる。
map_0233#473	うちの家族は、そんな簡単にくたばったりしないの。
map_0233#474	シェリー: 家族と言えば……あなたたちの両親は、どこにいるの?
