map_0234#16	\PNはフィールド効果解説書02を手に入れた!
map_0234#17	グラスフィールドの情報が見られるようになった!
map_0234#18	研究者: 旅の中で、ぜひ役立ててください!
map_0234#19	研究者: 自然の影響というのは、本当に驚くべきものです!
map_0234#20	でも、どうしてリボーンでは他の地方よりも、それが鮮やかに感じられるんでしょうね?
map_0234#21	いつか、その答えを見つけたいと思っています。
map_0234#22	旅人か? 旅を続けるにふさわしいか、見せてもらおうか!
map_0234#23	エリザベス: あたしも、もっと鍛えないとね。
map_0234#24	この辺りには、気をつけてね?
map_0234#25	うう……ずっと同じところをぐるぐる回ってる気がする。
map_0234#26	クリスチャン: 無駄だ。
map_0234#27	この場所は、恐ろしく紛らわしい。
map_0234#28	ポケモンが噴水から飛び出した!
map_0234#29	こ、ここはどこ?
map_0234#30	センターの前に座ってただけなのに、突然空から落ちてきて、ここに着地したの!
map_0234#31	でも、脚から着地しちゃって、動けそうにない……
map_0234#32	すっごく大きなお願いなんだけど、町のポケモンショップでやくそうエキスを取ってきてくれない?
map_0234#33	きっと、脚がすぐ治ると思うから。
map_0234#34	それまでは……いたっ!……動けそうにない……
map_0234#35	それ、やくそうエキスだね!
map_0234#36	もらってもいい?
map_0234#37	\PNはやくそうエキスを手渡した。
map_0234#38	ありがとう! だいぶ楽になった。
map_0234#39	すごく怖かった!
map_0234#40	はい、これ、受け取って。
map_0234#41	\PNはデパートシール「ラッキー」を手に入れた!
map_0234#42	もう町に戻るけど、助けてくれて本当にありがとう!
map_0234#43	あら、街のデパートのメンバーズカード、持ってないの? それはダメだね。
map_0234#44	まあ、手に入れたら、また戻ってきて。シールをあげるから!
map_0234#45	もう町に戻るけど、また会いに来てね!
map_0234#46	でも、それじゃ、あたしどうしよう?
map_0234#47	はい
map_0234#48	いいえ
map_0239#0	ドアは反対側から塞がれている。
map_0239#1	セラ: それで、ポケモンショップに行きたかったのね?
map_0239#2	それは残念だわね。
map_0239#3	うちの家の上に建物が出現するなんて、急にどうにかできる問題じゃないのよね。
map_0239#4	もう気づいてると思うけど、ここ数日、この町では本当に変なことが起きてるの。
map_0239#5	正直なところ、どこかもっとましな場所に再び現れることを願うくらいしかできないかも。
map_0239#6	とりあえず、状況が変わるまで、ここにいてもらって構わないわ。
map_0239#7	ところで、あなた、リボーンリーグの挑戦者よね?
map_0239#8	セラ: それで、リーグの挑戦者なのね?
map_0239#9	言ったと思うけど、あたし、こおりタイプのジムリーダーなの。
map_0239#10	ベネット: ルナもジムリーダーなんだ!
map_0239#11	セラ: ……ええ、そうよ、でも今その話はしてないし、あの子はここにいないわ。
map_0239#12	ベネット: \PN、とても綺麗な金髪で、黒と白の凝ったドレスを着た女の子を、どこかで見なかった?
map_0239#13	それに、本当に可愛くて……
map_0239#14	ええと、その、全部が?
map_0239#15	セラ: もういいわ、ベネット。
