map_0257#39	だから、嫌いなんです。
map_0257#40	リンっていうあの子に、その後何があったのかは、よくわからないんです。
map_0257#41	あの子がドクターにいたずらを仕掛けた後、ドクターはものすごく怒っていました。
map_0257#42	あの子を上に連れて行って、わたしたちを独房に閉じ込めて……
map_0257#43	それ以来、二度とあの子を見ることはありませんでした。
map_0257#44	逃げ出したんだって言う子もいれば……
map_0257#45	ドクターに殺されたって言う子もいて。
map_0257#46	本当のところは、わたしにはわかりません。
map_0257#47	でも、あの子がチームメテオと関係あるはずなんて、もちろんありません。
map_0257#48	あまりにも幼すぎましたから……
map_0257#49	ここから出る道を探しましょう。
map_0257#50	しゃべりすぎてすみません、ただ考えていただけで。
map_0257#51	全部、なんだか変な感じがします。
map_0257#52	わたしたち二人がここに連れてこられたなら、サファイラも近くにいるかもしれません。
map_0257#53	探しに行ってきますね、いいですか?
map_0257#54	回復ユニット、起動
map_0257#55	\PNの手持ちポケモンは全回復した!
map_0257#58	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0257#59	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0257#60	ばくはつのこなで開けますか?
map_0257#61	ローラ: んん……
map_0257#62	\PN……?
map_0257#63	はい
map_0257#64	いいえ
map_0259#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0259#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0259#4	ばくはつのこなで開けますか?
map_0259#5	\PNはPULSEデータ07を手に入れた!
map_0259#6	PULSE図鑑が更新された!
map_0259#7	はい
map_0259#8	いいえ
map_0260#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0260#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0260#4	ばくはつのこなで開けますか?
map_0260#9	はい
map_0260#10	いいえ
map_0263#0	サファイラ: そっちは、何か進展あった?
map_0263#1	新しい通路が現れたって、どういうこと?
map_0263#2	まるで、何かが岩を切り裂いたみたいに?
map_0263#3	それをやったのが何であれ、とんでもなく強くて……大きいはず。
map_0263#4	サファイラ: ……それに、近くにいる。
map_0263#5	気をつけて。あたしは先に進むから。
map_0263#6	ローラ: わかりません。
map_0263#7	あの通路、前はなかったですよね?
map_0263#8	ローラ: そう……ですね、でも、どうしてなのか、はっきりとはわからないんです。
map_0263#9	振り返ったら、新しいトンネルができていて。
map_0263#10	まるで、何か本当に大きなものが岩を掘り抜いたみたいで……
map_0263#11	サファイラ: それをやったのが何であれ、とんでもなく強くて……大きいはず。
map_0263#12	ローラ: 気をつけてください!
map_0263#13	わたしたちも、行きましょう!
map_0263#14	あの人と合流する道が、見つかるかもしれません。
map_0267#0	マグマ団員: おいこら、失せろよアクア団のクズが、超レアな景品に金払ったばっかなんだよ、マジでキレてんぞ!
map_0267#1	バンソン: くそ、全部負けてる!
map_0267#2	マグマ団員: ぐああっ!
map_0267#3	なんでお前らはいつも全部台無しにするんだ?! 超レアなポケモンが何なのか見る暇もなかったのに、お前らの仲間に持ってかれたじゃねえか!
map_0267#4	腹にパンチ食らわす前に、放っておいてくれ!
map_0267#5	マグマ団員: おい兄弟! どうしたよ! マジでキレてんだよ!
map_0267#6	セントラルオブシディアのガキから超レアなポケモンを買ったのに、アクア団の奴が乗り込んできて持ってかれたんだよ!
map_0267#7	あー、あっちに行ってボコボコにしてやりたいけど、ボスは理由もない小競り合いを嫌うからな……
map_0267#8	マグマ団員: セントラルオブシディアのガキから超レアなポケモンを買ったのに、アクア団の奴が乗り込んできて持ってかれたんだよ!
map_0267#9	<>- キャステリア通り\nv - 8番街
map_0267#10	<- キャステリア通り\nv - 9番街
map_0267#11	「ユーレユ本社」
map_0267#12	小銭、恵んでくれない?
map_0267#13	ウォルドン: ……いいさ。
map_0267#14	最近じゃ、こっちの道を通る人も少なくなっちまってな……
map_0269#0	そこで止まってもらおうか。
map_0269#1	アマ: どうやら、チャンスは逃げちまったみたいだな。
map_0269#2	やってみろよ。何が起きるか見てやる。
map_0269#3	好きな神様選んで、祈っとけ!
map_0269#4	クリストファー: ……な、何だと?
map_0269#5	頼むから、地獄に落ちろ。
map_0269#6	ここまで来たのか? お前の仲間の中には、そんなに運が良くなかった奴もいたけどな……
map_0269#7	ミンタ: あはは……本当に可愛いこと。
map_0269#8	さあ、どうぞ~ こっちは何も恐れることないから。
map_0269#9	は? ここで何してるわけ?
map_0269#10	チャド: 身のためになることが、わかってないな……
map_0269#11	十分足止めできたと思うか?
map_0269#12	ヴィクトリア: 中に入ると、外から見るよりずっと大きいですね……
map_0269#13	フロリニア: 知覚とは本質的に主観的なものであり、それが相対し隣接する部分によって影響を受けるものである。
map_0269#14	アマリア: そうだね!
map_0269#15	どういう意味かわかんないけど、まあ、そうだね!
map_0269#16	ここはかなり区画分けされてるみたいだね……
map_0269#17	でも、こっちの装備は万全だよ!
map_0269#18	手分けして、これを引き起こしたものを探すってのはどう?
map_0269#19	何かあっても、そんなに離れてるわけじゃないし!
map_0269#20	ヴィクトリア: それで構いません。きっと対処できるでしょう。
map_0269#21	それに、何かあったとしても、ここがそんなに広いはずもありませんし。
map_0269#22	すぐに他の人を呼べるはずです。
map_0269#23	フロリニア: 了解である。
map_0269#24	リーダーであるアマリアと本話者は、敵対的抵抗に遭遇する可能性が最も高い経路――すなわち中心部を進むべきである。
map_0269#25	支援部隊は、まず区域の外周の確保から始めるべきである。
map_0269#26	予想外の要素が現れた場合は、直ちに本話者に報告せよ。
map_0269#27	アマリア: あんたたちに何かあったら、すぐに駆けつけるから!
map_0269#28	ヴィクトリア: わかりました。
map_0269#29	フロリニア: よろしい。開始する。
map_0269#30	アマリア: 気をつけてね~
map_0269#31	ヴィクトリア: ここの端の方から始めるのは、私たちの役目みたいですね?
map_0269#32	ヴィクトリア: 私はこっちを行くので、あなたはあっちを?
map_0269#33	運が良ければ、どうせすぐに全員合流できるでしょうし。
map_0269#34	それじゃ、行ってきます!
map_0269#35	？？？: 哀れなものだな。
map_0269#36	？？？: これが、この惨めな街が用意できる最良の防衛だとでも?
map_0269#37	ヴィクトリア: くっ、こんなにあっさり負けるなんて――
map_0269#38	せっかくボレアリスを見つけられたのに……
map_0269#39	ボレアリス: 「負けた」とは、あからさまな控えめ表現だな。
map_0269#40	より正確に言えば、お前はそもそも戦いに現れることすら、かろうじてできた程度だった。
map_0269#41	まるで最初から競争があったかのように、その貧弱な結果を美化するな。
map_0269#42	お前には手に負えないのだ。
map_0269#43	ここに来たことこそ、最も愚かしい過ちだった。
