map_0287#10	気を抜くなよ、相棒。誰も怪我してほしくないからな。
map_0287#11	これが自然だ! これぞ栄光!
map_0287#12	モンゴメリー: ああ、ここでは負けることさえ心地よい。
map_0287#13	街の霞さえ、この景色を遮らなければいいのだが。
map_0287#14	はい
map_0287#15	いいえ
map_0289#0	木の樹皮がむき出しになっている。あまいミツを塗りますか?
map_0289#1	木の樹皮に、あまいミツを塗り広げた。
map_0289#2	野生のポケモンが、すぐさまあまいミツに群がってきた!
map_0289#3	樹皮はあまいミツで覆われている。後で戻ってくれば、ポケモンが現れるかもしれない。
map_0289#4	敵意むき出しのヘラクロスが攻撃してきた!
map_0289#5	カイロスが感謝するようにうなずいた。
map_0289#6	カイロスが丸太を粉々に砕いた!
map_0289#7	カイロスはすぐに逃げ去った。
map_0289#8	怒ったカイロスが攻撃してきた!
map_0289#9	ヘラクロスが感謝するように頭を下げた。
map_0289#10	ヘラクロスがクモの巣を引き裂いた!
map_0289#11	ヘラクロスは、穏やかに立ち去った。
map_0289#12	？？？: あら。
map_0289#13	今の、見たわね?
map_0289#14	？？？: 何が起きてるか分かってるつもりにならないで。
map_0289#15	嘘をつく必要はないから。
map_0289#16	お互いのために、これには関わらないで。
map_0289#17	わかった?
map_0289#18	あんたの頭にどんなヒーロー願望が染み付いてるのか知らないけど、他人のことに首を突っ込む必要があるとでも思ってるみたいね。
map_0289#19	でも、ちょっとしたアドバイスをあげる:
map_0289#20	橋でも架けて、渡って忘れなさい。
map_0289#21	花の香りが、\PNをぼんやりとさせる……
map_0289#22	\PNのはなのおまもりが、光り始めた! 取り出しますか?
map_0289#23	お守りが光の中に消えていった!
map_0289#24	はい
map_0289#25	いいえ
map_0290#0	今日はどうだ? 一戦いくか?
map_0290#1	キャメロン: これが嫌いかどうか、聞いてみろよ。
map_0290#2	大嫌いだ。
map_0290#3	怒ったケンタロスが攻撃してきた!
map_0290#4	バッフロンが勝ち誇るように吠えた!
map_0290#5	……バッフロンはやみくもに突進して去っていった!
map_0290#6	……バッフロンが何かにぶつかった音がした!
map_0290#7	怒ったバッフロンが攻撃してきた!
map_0290#8	ケンタロスが勝ち誇るように吠えた!
map_0290#9	ケンタロスは、感謝して素直になっているようだ。
map_0290#10	ケンタロスに乗ってみますか?
map_0290#11	ああ、またお会いしましたね。ノコッチを寄付しに来てくれたんですか?
map_0290#12	アズリン観測繁殖施設からの、再導入用ポケモンの発送が、ひどく遅れているんです。
map_0290#13	先月、ノコッチの個体数を再確立する予定だったのですが、あちらから何の連絡もなくて。
map_0290#14	代わりにはなりませんが、トレーナーさん、もしノコッチを見つけたら、こちらに寄付していただけないかと。
map_0290#15	お礼に、若いポケモンをお渡しします。以前、野生に再導入する予定だったのですが、その計画は中止せざるを得なくなったものです。
map_0290#16	わかりました。
map_0290#17	素晴らしい! さっそく始めましょう。
map_0290#18	\PNはノコッチとバルキーを交換した!
map_0290#19	個体数の再確立に、大いに貢献してくれるはずです。
map_0290#20	それと、ちょっとしたお礼として、これも受け取ってもらえませんか?
map_0290#21	古い観測機器の一部が最近廃棄されて、これが余ったんです。
map_0290#22	トレーナーの中には、これを活用する人もいるとか?
map_0290#23	ノコッチを他にも見つけたら、ぜひ私たちのことを思い出してくださいね!
map_0290#24	そのミルタンクは落ち着いていて、首輪をつけている。
map_0290#25	ケンタロスが、ミルタンクをじっと見つめている。
map_0290#26	ミルタンク先輩は、気づいていないようだ。
map_0290#27	ミルタンクが見つめ返し、ケンタロスの瞳に見入っている。
map_0290#28	この場の艶っぽい緊張感は、ナイフで切れそうなほどだ。
map_0290#29	ミルタンクが頬を赤らめ、ケンタロスに身を寄せる。ケンタロスはミルタンクの首元に息を吹きかけながら、静かに唸った。
map_0290#30	なんだか、今すぐ降りたい気分になる。
map_0290#31	ミルタンクが恥ずかしそうに鳴き、ケンタロスに頭を下げる。
