map_0294#53	これを受け取ってくれないか?
map_0294#54	さて、仕事に戻るか……それとも、また別の言い訳を見つけるか。
map_0294#55	進化してほしくない時に限って進化する、そんなポケモンがいるって知ってた?
map_0294#56	イカれてると思わないか?
map_0294#57	これこそ、オレが生きがいにしてることなんだ! なんで他の地方じゃなくてここでそうなるのか、突き止めないとな……
map_0294#58	ああ、またお会いしましたね。ノコッチを寄付しに来てくれたんですか?
map_0294#59	アズリンセンターからの、再導入用ポケモンの発送が、ひどく遅れているんです。
map_0294#60	先月、ノコッチの個体数を再確立する予定だったのですが、あちらから何の連絡もなくて。
map_0294#61	代わりにはなりませんが、トレーナーさん、もしノコッチを見つけたら、こちらに寄付していただけないかと。
map_0294#62	お礼に、若いポケモンをお渡しします。以前、野生に再導入する予定だったのですが、その計画は中止せざるを得なくなったものです。
map_0294#63	わかりました。
map_0294#64	なるほど。これは大きな助けになります、ありがとうございます。
map_0294#65	\PNはノコッチとバルキーを交換した!
map_0294#66	個体数の再確立に、大いに貢献してくれるはずです。ありがとうございます。
map_0294#67	それと、ちょっとしたお礼として、これも受け取ってもらえませんか?
map_0294#68	古い観測機器の一部が最近廃棄されて、これが余ったんです。
map_0294#69	トレーナーの中には、これを活用する人もいるとか?
map_0294#70	ノコッチを他にも見つけたら、ぜひ私たちのことを思い出してくださいね!
map_0294#71	ああ、この辺りの森を進もうとしているんですか?
map_0294#72	これがきっと役に立ちますよ。
map_0294#73	もっと必要なら、リボーンシティのある花屋で買えます、
map_0294#74	それか、この森に住んでる変わり者の一人が、時々分けてくれることもありますよ。
map_0294#75	あまいミツがもっと必要なら、リボーンシティのある花屋で買えます、
map_0294#76	うわー、ここでインターンの仕事をもらったけど、環境データをまとめるのって、思ってたよりずっとつまんない!
map_0294#77	外で草に触れながら働けると思ってたのに、気づいたらアプリ開発をひたすらこなしてる……
map_0294#78	パスワードを聞かれた時、「allfieldapp」とでも言っておけばよかった……
map_0294#79	そうすれば、フィールド効果みたいな情報をわざわざ集める手間もいらなかったのに……
map_0294#80	本来そうあるべきだったみたいに、草の上に寝転んで、大地と一体になれたのに……
map_0294#81	はい
map_0294#82	いいえ
map_0295#0	ああもう、ペロリームのしっぽめ、また新しい家を探さなきゃ。
map_0295#1	すぐ南にはオブシディア地区の大階段があるけど、運よくあの門は開かないんだよな。
map_0295#2	なんで運がいいかって?
map_0295#3	ここで寝てるとこ、誰にも見つからないからさ!
map_0295#4	って、開かないって、どういうことだよ?
map_0295#5	エル: お前――
map_0295#6	いや。
map_0295#7	アドリエンヌ: ああ、また地上に戻れて良かった!
map_0295#8	ずいぶん長く下にいた気がするわ!
map_0295#9	新鮮な空気よ、来て!
map_0295#10	ラドマス: ときに、誰か何か変なことに気づかないかね?
map_0295#11	カイン: 大いなる門だ! 開いてる!
map_0295#12	サーナイト: なんですって? 何年も封じられていたのに!
map_0295#13	どうして今になって、急に開いたのかしら?
map_0295#14	カイン: ちょっと見てくるわ。
map_0295#15	ラドマス: 確かに、実に興味深いことだ。
map_0296#0	カイン: オレもあいつを見た!
map_0296#1	ラドマス: どうやら、犯人は追い詰められたようだね。
map_0296#2	カイン: 待て、どこに行った?
map_0296#3	あなぬけのヒモでも使ったのか?
map_0296#4	ラドマス: おや、馬鹿げたことを言っているのはどちらかね?
