map_0324#121	へえ、ここらの商売の具合はどうだい？
map_0324#122	私はそれなりに稼がせてもらっているが、下っ端の商人どもを説き伏せるのはなかなか骨が折れる。
map_0324#123	いいかい、ここの経済ってのは――裏市場のどこもそうだが――独自の需給軸で回っているのさ。
map_0324#124	ここで君臨する物質はただひとつ、「ふしぎなアメ」だ。聞いたことは？
map_0324#125	まあ、君のような人間は知らずにいた方がいいだろうな。だがここの連中の多くは、もう「レベルアップ」の虜さ。
map_0324#126	ところで、「ふしぎなアメ」がどう作られるか知っているかい？
map_0324#127	他のアイテム――具体的にはクリスタルのかけらとハートのウロコだ――の合成成分を蒸留すると、非常に反応性の高い物質が残る。
map_0324#128	それを昔ながらの薬用ポケモン用「ふしぎなアメ」と合わせると、猛烈な精神作用物質ができあがる。
map_0324#129	というわけで、ここで需要が高いのはその材料――かけらとハートのウロコさ。
map_0324#130	だから、それらを集められる者にとっては大いに利益になる。
map_0324#131	そこで私の出番というわけだ！
map_0324#132	目端の利く採掘屋の効率を最大化する、真新しい商品を用意している。
map_0324#133	「爆破パウダー」は独特な反応性物質だ。
map_0324#134	ある種の傷んだ岩――君も見たことがあるはずの、あの光る堆積物だ――に置くと、すでに採掘した場所をもう一度実入りのあるものにできる。
map_0324#135	早い話が、同じ石を二度掘れるってわけだ。
map_0324#136	ということで……買ってくれよ！
map_0324#137	デファクト: また来たな！爆破パウダーを買い足しに来たのか？
map_0324#138	ブレーク: おお、\PN！ちょっと待った、とっておきの発見を聞かせてやろう！
map_0324#139	ここは「7番街」と呼ばれちゃいるが、人によっちゃまるで「第七の天国」だ。なぜだかわかるか？
map_0324#140	教えてやろう。連中がイカれちまってるからさ！
map_0324#141	文字通りにな～
map_0324#142	なあなあ、「ふしぎなアメ」を試したことはあるか？
map_0324#143	いや、ないだろうな――ポケモンに与えるようなアレじゃないんだ。
map_0324#144	これはとびきり特別な「レベルアップ」ってわけさ。
map_0324#145	だがその材料は教えてやる！
map_0324#146	砂糖！
map_0324#147	香辛料！
map_0324#148	それとステキなものぜんぶ！
map_0324#149	なんてな、冗談さ。
map_0324#150	本当はベンゾイルメチルエクゴニンの粉末と、ハートのウロコとクリスタルのかけらに封じ込められた結晶異性化ピペロニルアセトンだ。
map_0324#151	それを普通の「ふしぎなアメ」に混ぜ込みゃ、上へ下へ横へ斜めへとお祭り騒ぎさ。
map_0324#152	とにかく、ハートのウロコとかけらは集める価値があるってわけだ。
map_0324#153	とはいえ簡単じゃない！なかなか手に入らないんだ。
map_0324#154	岩みたいな硬いものの中に隠れているからな。
map_0324#155	そりゃ掘り出すことはできるが、その後は？
map_0324#156	教えてやろう！爆破パウダーを岩の根元にぶちこんで吹っ飛ばせば、もっとたくさん掘り出せるってわけさ！
map_0324#157	それを売っ払って世界の王様になれる！あるいは女王様、なんでもいいさ。
map_0324#158	とにかく爆破パウダーだ！同じものを二度掘れる！買ってくれ！
map_0324#159	ブレーク: 爆破パウダー！爆発するチョコレートケーキよりも楽しいぞ！
map_0324#160	楽しい採掘を～！
map_0324#161	デファクト: やっと戻ってきたか！
map_0324#162	新入荷の爆破パウダーに興味はあるかい？
map_0324#163	ああ、頭目がやたらと熱弁してるあの陳腐な就職話は勘弁してくれ。
map_0324#164	あの分析屋の聖人様は認めようとしないが、私はもうここで立派に働いているんだ。
map_0324#165	というわけで、少し贅沢してみないか？
map_0324#166	デファクト: 正直言えば、もう少し知的な仕事に就いていたら良かったかもしれんな。
map_0324#167	知識こそが自己成長の土台だが、どんなうつろな顔の客が上客になりやすいか以外、ここで学べることはほとんどない。
map_0324#168	だがこの街にそんなものがあるとは思えん。私はここで満足しているさ。
map_0324#169	ブレーク: \PN！我が旧友にして最上の上客だ～！
map_0324#170	聞いてくれ！ギャングに問題児がいてね、名をマクスウェルという。
map_0324#171	だが俺たちを解散させようなんて言い出す様子じゃ、「マックス・アンウェル」とでも呼んでやりたいね！
map_0324#172	おっと、そんな目で見るなよ。ゾクゾクしちまう。
map_0324#173	真面目な話、ベンゾイルメチルエクゴニンの合成以上に俺の才能に合う仕事なんて思いつかないね。
map_0324#174	たいていの奴はその言葉すら発音できやしない。
map_0324#175	これぞ才能ってやつさ。
map_0324#176	まあ俺は、変わった趣味の連中に重宝しそうな、化学薬品やら薬草やら合法かどうか怪しい代物やらに精通してるつもりだが……
map_0324#177	だが実際、今どき型破りに考えたがる奴なんていやしない。
map_0324#178	だったらいっそ、何もかも吹っ飛ばしちまえばいいのさ！
map_0324#179	覚えとけ、いい考えに見えないなら、それは花火が足りてないってことだ。
map_0324#180	アクアの半端者どもは相変わらず調子こいて歩き回ってるのか？
map_0324#181	ニヒル: ふん。もう関係ないけどな。
map_0324#182	頼むよ、その虚ろな眼差しが俺の魂を貫いてくる。その黒いドット目の圧力の下じゃ、とても生きていけやしない。
map_0324#183	たとえ滅びの時であろうと――俺はマグマ団の真の力を見せてやる！
map_0324#184	ダーム: 確かに強えな。
map_0324#185	フーハー。俺より強い力に頭を下げるぜ。
map_0324#186	アクア団をむざむざ負けさせてなるかよ！
map_0324#187	ラジー: 強すぎ。
map_0324#188	ったく、アンタのポケモンに「ふしぎなアメ」何個食わせたのよ？うちの子たちじゃ全然足りなかった！
map_0324#189	ポケモンを繰り出せ。
map_0324#191	あたしに話しかける必要はないわ。
map_0324#192	おお、いいねえ。お前、新顔って感じじゃん。
map_0324#193	アンディ: うっ、噛まれて吐き出されたのは俺のほうだったよ。
map_0324#194	勉強になったぜ、見た目で判断すんなってな。
map_0324#195	なあ……バタフリーってばマジでだる～い感じ。あのビームにまんま変身しちゃってさ……
map_0324#196	ケビン: あ、うん、え？何の話だっけ？
map_0324#197	マジ……で……
map_0324#198	なあ。俺マジでレベルアップしまくっててさ。かかってこいよ！
map_0324#199	チャズ: うわぁぁぁ……
map_0324#200	マジ、ヤベえ。ヤッベえ。
map_0324#201	なあ。お前、この辺じゃ新顔？見た覚えねえな。
map_0324#202	笑、冗談だって。元気にしてた？！
map_0324#203	久しぶりだな！ほら、前に一緒にアメやったときのこと覚えてる？
map_0324#204	……待てよ、マジで俺のこと知らねえのか？
map_0324#205	マジかよ、まさかお前、あいつらの仲間じゃねえよな？
map_0324#206	信用できねえ。この辺で見たことねえもん。
map_0324#207	どう見たって変装した警官じゃねえか！あっち行けよ！
map_0324#208	なんで彼氏がいつもここで売りたがるのか、あたしにはわかんない。
map_0324#209	ここの男どもってみんな気持ち悪い。
map_0324#210	なあ、「ふしぎなアメ」余ってねえか？
map_0324#211	へへ……「余りアメ」ね。いいセンスじゃん。
map_0324#212	おい、なんか文句あんのか、相棒？！
map_0324#213	俺がお前から盗んだと思ってんのか？盗んでねえよ！
map_0324#214	文句あるならかかってこいよ！やる気か？！
map_0324#215	ドレイク: くそ、マジかよ。
map_0324#216	何なんだよ、勘弁してくれ。物は返すからよ、まったく。
map_0324#217	くそったれ、楽勝なカモに見えたのによ……クソが。
map_0324#218	もういい、放っといてやるよ。
map_0324#219	なあ、金くれねえか？キメる分が必要なんだ……
map_0324#220	工事中にここが見つかって、サツにぶっ潰されるんじゃないかって心配してた奴もいたな。
map_0324#221	はっ！思い知らせてやったぜ。
map_0324#222	無能な警察には何もわかっちゃいねえ！
map_0324#223	7番街だけは変わらねえ！ここは俺たちの世界だ！
map_0324#224	ニヒル: よお。
map_0324#225	ここに辿り着くまで、ずいぶん時間かけたみたいだな。
map_0324#226	ここは俺たちの縄張りになって結構経つ。
map_0324#227	これまで見かけなかったのが意外だな。
map_0324#228	ん、誰か探してんのか？
map_0324#229	つっても、俺はここにいるけどな。
map_0324#230	落ち着けって、冗談だよ。
map_0324#231	ついさっき、怪しい奴が水場に駆け込んでくのを見たぜ。
map_0324#232	追いかけてみろよ、猛虎さん。
map_0324#233	ニヒル: なあ、お前から逃げるような奴に構う価値なんてねえよ。
map_0324#234	ニヒル: 仕事の話をしに来たんだろ？
map_0324#235	ああ、やめとけ。
map_0324#236	そこまで落ちぶれるつもりはねえよ。
map_0324#237	他の奴らは好きにしていいが、この街に俺にふさわしい仕事なんてねえ。
map_0324#238	俺が働くとしたら、この上なくクールな場所じゃなきゃ話にならねえ。
map_0324#239	それでこの街はリボーンシティときたもんだ。
map_0324#240	クールなんてもんとは無縁だぜ。
map_0324#241	ダーム: ブラザー！お前もハッスルしに来たのか？
map_0324#242	ここは最高の「レベルアップ」があるんだぜ！
map_0324#243	それが目当てじゃねえって、どういうことだよ？
map_0324#244	みんなそれ目当てで来てるんだぜ。
map_0324#245	あれはマジでパワフルなんだよな。
map_0324#246	おお、そうか。誰か探してんのか？
map_0324#247	女の子のことは知らねえけど、変な男が水場の方に向かってくのは見たぜ。
map_0324#248	急げば追いつけるんじゃねえか。
map_0324#249	ダーム: マグマこそ力だ！
map_0324#250	ダーム: ブラザー！俺たち、仕事に就かなきゃなんねえのか？！
map_0324#251	そりゃキツいぜ。
map_0324#252	でもみんなやるってんなら、俺もやるしかねえよな。
map_0324#253	よし――俺はパワフルになれる仕事がいいな。
map_0324#254	「うおっ、あいつマジでムキムキじゃん！」って言われるような仕事じゃなきゃな。
map_0324#255	資格なんて、盛り上がった胸筋とパンプした上腕二頭筋くらいしか持ってねえけどな。
map_0324#256	工事の連中にすら雇ってもらえなかったし。俺は壊す専門で、作る方じゃねえんだよ！
map_0324#257	だったら街の通りの用心棒くらいしかやることねえだろ、なあ？！
map_0324#258	マクスウェルがマグマ団の頭を降りるってんなら、俺が代わりにやってやるぜ！
map_0324#259	ピアース: それで、どうする？
map_0324#260	……誰か探してる？
map_0324#261	あそこの水場を見てみて。
map_0324#262	ピアース: ……ん。
map_0324#263	仕事に就くことになったのか。
map_0324#265	正直言うと、
map_0324#266	僕にはできないと思う。
map_0324#267	人と話すのが苦手なんだ。
map_0324#268	何を言えばいいのか、いつもわからなくなる。
map_0324#269	たいていの仕事は、客の相手をしたり、いつでもクビを切れる上司がいたりする……
map_0324#270	僕には……無理だよ。
map_0324#271	できることなら、静かな場所に行きたい。
map_0324#272	話さなくていい。働かなくていい。
map_0324#273	ただ、そっとしておいてほしい。
map_0324#274	ラジー: ねえ！元気！？アンタも「レベルアップ」でテンション上げてる？
map_0324#275	え、違うの？
map_0324#276	あー、誰か探しに来たんだ。
map_0324#277	きっと見つかるって！アンタなら何でもできるもん！
map_0324#278	あ、ちょっと待って……
map_0324#279	女の子は見てないけど、さっき変な男の人がうろついてたよ。
map_0324#280	水場の方に向かってったと思う。
map_0324#281	追いつけるかどうか見てみる？
map_0324#282	ラジー: アクア団はみんなでいれば何でもできる！
map_0324#283	ラジー: みんなで力を合わせれば、この街を直すことも、壊すことだってできるんだから！
map_0324#284	ラジー: アーチャーはあたしたちに解散して仕事に就いてほしいんだって……
map_0324#285	オッケー！それ、いいと思う！
map_0324#286	働いたことなんて一度もないし、履歴書の書き方だって見当もつかないけど、頑張ってみる！
map_0324#287	でも、どんな場所で働けばいいのかな？
map_0324#288	うーん、すっごく明るくてワクワクするような場所で働きたい！
map_0324#289	あと美味しいものがいっぱいあるところがいい！
map_0324#290	それと、近所だったらいいな！
map_0324#291	あたし、まだ親と一緒に住んでるし、街の外まで働きに出るなんて許してもらえないだろうし。
map_0324#292	それに、ちょっと歩くだけでいいなら、その方が楽だし！
map_0324#293	あれ、そんな都合のいいところ、実際にあるのかな？
map_0324#294	？？？: ふん。
map_0324#295	この辺じゃ見ねえ顔だな？とっとと失せろ！
map_0324#296	オースティン: あー、わかった。まあ穏便にな、みたいな。
map_0324#297	なあ、揉め事を探しに来たわけじゃねえよ。放っといてくれ、いいだろ？
map_0324#298	秘密のスイッチだ！
map_0324#299	押してみる？
map_0324#300	押さない理由がある？
map_0324#301	やめといた方がいいかも……
map_0324#302	それでもないのか？どこにも置いてないのか？
map_0324#303	あ、ごめんなさい。先にどうぞ、並んでるわけじゃないので。
map_0324#304	こんな場所でさえ、私が必要なものは売っていないのね。
map_0324#305	主人が重い病気にかかっていて。治せそうなものを探し回っているのですが、ある薬草の噂を聞いたものの、どこにも見つからなくて。
map_0324#306	驚きはしませんけれど。それを手放してくれる人なんて、まず見つからないから……ああ、いえ、何でもないの。
map_0324#307	あなたが持っているその植物……もしかして、ナゾノクサ草じゃないですか？
map_0324#308	本当に？
map_0324#309	お願いするのは気が引けるのですが、それを譲っていただけませんか？主人のためなんです。
map_0324#310	\PNはナゾノクサ草を渡した。
map_0324#311	これよ、まさにこれだわ！本当にありがとう！
map_0324#312	もう見つからないんじゃないかって、諦めかけていたの。
map_0324#313	ああ、何かお礼ができればいいのだけれど……あ、そういえば、あなたはトレーナーさんよね？
map_0324#314	最近ポケモンを繁殖させていて、余ったタマゴがあるの。よかったらもらってくれる？
map_0324#315	\PNはタマゴをもらった！
map_0324#316	大切にしてね？それと、本当にありがとう！
map_0324#317	まあ、それはあなたの自由よね……でも、他にどこで見つければいいのかしら。
map_0324#318	あ、ごめんなさい。先にどうぞ、並んでいるわけじゃないので。
map_0324#319	主人が重い病気にかかっていて……治せそうなものを探し回っているのですが、ある薬草の噂を聞いたものの、どこにも見つからなくて……
map_0324#320	驚きはしませんけれど。それを手放してくれる人なんて――ああ、いえ、何でもないの。
map_0324#321	とにかく……また明日、探してみることにするわ。
map_0324#322	すみません、失礼、通してください！
map_0324#323	……\PNの「ふしぎなアメ」がなくなっていた！
map_0324#324	よう。
map_0324#325	お前のこと、覚えてるぜ。
map_0324#326	ベリルで閉じ込められてた俺を助けてくれたのは、お前だったよな。
map_0324#327	で、俺がこんな場所で何をしてるかって？
map_0324#328	心配すんな、俺はまだ警察の人間だ。仕事でここにいるんだよ。
map_0324#329	お前、ミート団か何かをやっつけてまわってるトレーナーだよな？
map_0324#330	よくやってるじゃねえか。お前なら信用できそうだから、秘密を教えてやるよ。
map_0324#331	実は俺、警察の人間なんだ。
map_0324#332	実を言うと、この場所のことは前々から把握してた。
map_0324#333	街の復興のあいだに踏み込むべきかどうか議論もあってな、いずれそうなるかもしれねえ。
map_0324#334	だが今のところ、署長の命令はただ監視して手を出すなってことだ。
map_0324#335	署長が何を考えてるかは、なんとなくわかる気がする。
map_0324#336	ここの連中が警察に気づかれてないと思ってる限り、商売はここで続けられるだろ。
map_0324#337	そうやって奴らを見張り続け、証拠を集めて、いざという時に一網打尽にできるってわけだ。
map_0324#338	もしここで摘発をやったとして、それからどうなる？
map_0324#339	しばらくすりゃ、俺たちの知らない別の隠れ場所を見つけて汚い商売を続けるだけだ。それじゃ手綱を失っちまう。
map_0324#340	だから、ここは俺たちに任せておいてくれ。
map_0324#341	ここがひどいことにならねえよう、しっかり見ておくからよ。
map_0324#342	気をつけろよ。リボーンはお前にかかってるところが大きいんだからな。
map_0324#343	ハスラー: よう、そこの兄さん！
map_0324#344	あんただけの特別な取引があるんだ！
map_0324#345	めちゃくちゃレアで強いポケモンなんだが……
map_0324#346	最近、地上のギャング連中が奪い合ってたのを、俺が手に入れたんだよ！
map_0324#347	あおいかけら2個で、この謎めいたレアで強いポケモンがあんたのものになるぜ！
map_0324#348	ハスラー: 毎度あり！
map_0324#349	はい、どうぞ。ご利用ありがとうございました！
map_0324#350	？？？: レアで強いポケモンだと？
map_0324#351	それなら遠慮なくいただこうか。
map_0324#352	フワッ！
map_0324#353	？？？: さあ、見るがいい！我こそは颯爽たる怪盗、コリン・ルージュ！
map_0324#354	コリン・ルージュ: だが――ああ！麗しの姫よ！
map_0324#355	我が求めし稀少にして強きこの賞品が、まさか汝の物だとは知らなんだ――
map_0324#356	このすぐそばに、はるかに稀少なる美しさがあろうとは、思いもよらなんだ！
map_0324#357	ああ、我が心は痛む――
map_0324#358	かくも尊き花より、いかにして奪えというのか？
map_0324#359	だが、奪わねばならぬのだ！
map_0324#360	コリン・ルージュはポケモンを奪い去った！
map_0324#361	コリン・ルージュ: 天使たちよ、我がために泣くがいい。後悔こそが我が破滅とならん！
map_0324#362	いや、そうではないな――なされたことは、もはや取り消せぬのだから！
map_0324#363	このポケモン一匹だけで済ませたのも、我ながら大した自制よ。
map_0324#364	汝のような淑女なれば、口づけまで奪うべきところだったのだがな。
map_0324#365	だが、まことに！
map_0324#366	コリン・ルージュ: それは叶わぬ定めであった！
map_0324#367	我らの道はあまりに違う、姫よ。我らの未来はあまりに広い。
map_0324#368	だがいつの日か、汝も我を想ってくれることを願おう――美しさに奪われし瞳、遠さに奪われし心とともに。
map_0324#369	さらば。
map_0324#370	コリン・ルージュ: 常に最上のポケモンを追い求める男として、目の前でこの賞品を逃すわけにはいかぬ。ゆえに！
map_0324#371	コリン・ルージュ: さあ、退散するとしよう！二度と相まみえることのなきように！
map_0324#372	ハスラー: いや、まいったね。
map_0324#373	ちなみにうちは返金なしって決まりでね、そりゃキツいわな。
map_0324#374	まあ、いつかまたあいつに会うこともあるかもな。
map_0324#375	だがあいつみたいな男は、街と警察がガタガタしてる限り、姿を隠し続けられる気がするぜ。
map_0324#376	ハスラー: 残念だったな！このすばらしい獣、欲しいのは誰だ？！
map_0324#377	よう、見ない顔だね。何かあたしにできることは――えっと、してほしいことは？
map_0324#378	一つ二つ、教えてあげられるかもね～
map_0324#379	なりきり？ああ、それよく頼まれるのよね。むらさきのかけら1個でどう？
map_0324#380	悪いけど、ハニー、タダじゃ働かないの。
map_0324#381	どうもありがとう。また来てね……わかるでしょ～
map_0324#382	あら、優しいのね！あおいかけら3個ってところかしら？
map_0324#383	エレキネットとは、ビリビリな選択ね！それならみどりのかけら3個で～
map_0324#384	ゴッドバード？まあ、後でハイになる人もいるって聞くけど……あかいかけら2個でチャラにしましょ。
map_0324#385	またね、ハニー。
map_0324#386	アーチャー: しばらく姿を見なかったな、\PN。
map_0324#387	何かあったのではと、心配し始めていたところだ。
map_0324#388	もっとも、今こうして来てくれたとはいえ、まだ色々あったのだろうな。
map_0324#389	7番街を除いて、すべてが変わった。
map_0324#390	だがそれは、この場所が思っていたほど安全ではなかったという証でもある。
map_0324#391	アクア団も忙しくしてきたが、いつもの手口とは違う。
