map_0324#473	まだ無いのかもしれないな……だとしたら、俺はどうすればいい？
map_0324#474	なあ相棒！俺に何ができるか、見てみないか？
map_0324#475	よお、お気に入りのお客さんじゃねえか！
map_0324#476	ポケモン売買稼業の友達のこと、覚えててくれたか？
map_0324#477	お前が前の在庫を根こそぎ持ってっちまってからしばらく、サツに目をつけられて散々だったぜ。
map_0324#478	だが俺のやり方は知ってるだろ。あいつらに俺は抑えられねえのさ！
map_0324#479	男たるもの何とかしてかけらを稼がなきゃならねえ。それで今は指南稼業ってわけだ。
map_0324#480	別に悪いことじゃねえよな？
map_0324#481	だから、俺に何ができるか見てみないか？
map_0324#482	お前のポケモンにこういうのを教えてやれるぜ。
map_0324#483	はたきおとす？あかいかけら8個ぽっちだ、ほとんどタダみたいなもんだぜ！
map_0324#484	おいおい、お気に入りの客ではあるが、これは慈善事業じゃねえんだぜ！
map_0324#485	技を覚えるにはかけらが必要ってわけだ！
map_0324#486	いつでも大歓迎だ！
map_0324#487	むらさきのかけらたった7個で、このアイアンヘッドはまるで鋼の掘り出し物だぜ！
map_0324#488	ギガドレインは痛みをもたらす！みどりのかけら6個で、お前の得になるぜ！
map_0324#489	これはアクアブレイクだが、値引きなんてねえぜ、坊主！あおいかけら6個だ！
map_0324#490	またな！
map_0324#491	こんにちは！わざの魔術師の驚異のわざの数々に、驚く準備はできてる？！
map_0324#492	素晴らしい！一言おっしゃるだけで、パラス・トゥ・チェンジョー！あなたのポケモンが、このすばらしい技のひとつを覚えられますよ！
map_0324#493	トリックはわたしの得意分野です。むらさきのかけら2個で、相手を惑わせる方法をお見せしましょう！
map_0324#494	ところで、かけらはお持ちですか？アゲートに返さなければならない分がありまして――
map_0324#495	つまり……かけらがなければ、あなたのポケモンに教えるためのマナが足りないのです！ええ、そういうことです！
map_0324#496	ケーシィ！ユンゲラー！そしてママンボウ！あなたのポケモンが、また一つ素晴らしいわざを覚えました！
map_0324#497	ああ、はっきりと見えてきました！あなたのポケモンは、あかいかけら2個できりばらいを覚えるでしょう！
map_0324#498	とぎすます、ですか？それを教えるのに集中力なんて欠片も要りませんとも！あおいかけら1個いただければ、それで完了です！
map_0324#499	定番の入れ替えわざですね！みどりのかけら1個で、あなたも一瞬でスキルを移し替えられますよ！
map_0324#500	ずつきなら、あおいかけら3個ですね。
map_0324#501	とびはねるなら、むらさきのかけら3個ですね。
map_0324#502	いやしのすずなら、みどりのかけら4個ですね。
map_0324#503	むしくいなら、あかいかけら3個ですね。
map_0324#504	壁に貼られた広告……
map_0324#505	「驚異のアゲートサーカス！
map_0324#506	見世物屋も、ピエロも、混沌もお見せします！
map_0324#507	今なら評判のアゲート・エース三人衆も登場！
map_0324#508	挑戦してみよう、リボーンリーグの3人のジムリーダーと繰り広げる、華麗なる大対決！
map_0324#509	アゲートシティのすぐ西！」
map_0324#510	買う
map_0324#511	いいえ
map_0324#512	みずのはどう
map_0324#513	とっておき
map_0324#514	いかりのまえば
map_0324#515	でんげきは
map_0324#516	はい
map_0324#517	なりきり
map_0324#518	ほしがる
map_0324#519	エレキネット
map_0324#520	ゴッドバード
