map_0331#44	このセーブデータでは聖域のステルスパズルを省略しますか？
map_0331#45	はい
map_0331#46	いいえ
map_0332#0	「主の祝福」\n 読みますか？
map_0332#1	「闇より、
map_0332#2	星屑より、
map_0332#3	過ぎ去りし永劫の記憶と、来たるべき永劫の幻より、
map_0332#4	これらより、主なるアルセウスは天と地と、その上を歩むすべてのものを創り給うた。」\n -- アルセウス書 2章4節
map_0332#5	「主への礼拝」\n 読みますか？
map_0332#6	主を讃えよ。
map_0332#7	主を崇めよ。
map_0332#8	汝の魂を主に捧げよ、さすれば主は汝の穢れを清め給うであろう。
map_0332#9	「すべては、主なるアルセウスの御目の前にて白く清められん。」\n -- アルセウス書 16章5節
map_0332#10	「新世界の残滓」\n 読みますか？
map_0332#11	主なるアルセウスが星屑より世界を創り終えし時、神はその形なき残滓をいかにすべきか。
map_0332#12	これら忘れられし現実の断片は、聖なる地に封じられた。
map_0332#13	石の扉の奥、四本の光の柱が、新世界をわれらの影に結びつけている。
map_0332#14	されど、眠れる伝説はなお残る。
map_0332#15	「主なるアルセウスは再び来たり給う。新世界もまた、生まれ変わるであろう。」\n -- アルセウス書 38章27節
map_0332#16	「アルセウスの呼び声」\n 読みますか？
map_0332#17	「天より堕ちし我らが父よ、\n御名の尊ばれんことを、
map_0332#18	汝の王国、生まれ、\nこの世界、見捨てられ、
map_0332#19	新世界こそが、汝の天となるであろう。」-- アルセウス書 7章1節
map_0332#20	「信徒への使命」\n 読みますか？
map_0332#21	されば、人もポケモンも等しくその務めを負うべし。
map_0332#22	「汝の同胞に光を与えよ。盲いし者に視力を、見失いし者に命を与えよ。
map_0332#23	アルセウスは、新世界にて汝に恩寵を授けるであろう。」-- アルセウス書 12章3節
map_0332#24	「光の果て」\n 読みますか？
map_0332#25	「かくも優しき光は、われらに慈悲を示し、
map_0332#26	その陰にて、われらは異端を育んだ。
map_0332#27	三つの石のはざま、それぞれの陰なる虚空に、
map_0332#28	六本の柱が輝き、その真理を示した。
map_0332#29	翠玉、深紅、紫、金、
map_0332#30	蒼、そして象牙が、語られしごとく封じる。
map_0332#31	おお、愚かなる者どもよ、その牢獄に気をつけよ、
map_0332#32	光の果てには、最も黒き獣が横たわるゆえに。」
map_0332#33	そのノートに題名はない。\n 読みますか？
map_0332#34	「主に信を置け、さすれば主もまた汝に信を置き給う。
map_0332#35	主に敵意を向けよ、さすれば主もまた汝に敵意を向け給う。
map_0332#36	この教えは容易に学べるものではありません。決して完全には理解できない者もいれば、理解したふりをするだけの者も多くいます。
map_0332#37	今日は、私がこれをどのように学ぶに至ったか、その物語を皆さんにお話ししたいと思います。
map_0332#38	私はアルセウスの目的のために生まれましたが、盲目として生まれました。
map_0332#39	このような世界で視力のない少年として育つのは容易なことではありませんでしたが、もちろん、私は自分の身の回りのことを自分でこなせるようになりました。
map_0332#40	しばらくの間、それだけが私の誇れることでした。
map_0332#41	私の一族は古く、リボーンシティがまだクレーターを囲む一つの村に過ぎなかった時代――その村もクレーターも、今では地下に失われてしまいましたが――にまで遡ります。
map_0332#42	アルセウスの生誕の地が初めてこの世界に落下した時、ある一族がそれを祀ることを始めました。
map_0332#43	彼らはそれを世界から守り、その純潔が永遠に損なわれぬようにしたのです。
map_0332#44	それこそが、彼らの生涯の使命でした。
map_0332#45	そして、それは私の一族ではありませんでした。
map_0332#46	私の一族は何年も後にやって来て、彼らの目的に光を見出し、その家に仕えることを誓ったのです。
map_0332#47	こうして、私の家は代々、彼らの家に仕えるようになりました。
map_0332#48	そしてそれは私にまで受け継がれましたが、私は欠陥のある盲目の子供で、従者としてはむしろ害になるような存在でした。
map_0332#49	私が仕えるはずだった相手は、私よりおよそ十年後に生まれました。
map_0332#50	私たちは彼をソラリスと呼んでいます。
map_0332#51	彼は騒々しい若者で、古い遺跡を守るという生涯の務めに、決して満足することがありませんでした。
map_0332#52	私の理解する限り、彼は人生の大半においてこの目的を恨み、多くの若者がそうするように、アルセウスに反抗していました。
map_0332#53	私には彼の気持ちが理解できました。
