map_0355#425	シエル: スターになれば、他の人ともっと近づけると思っておりましたの。
map_0355#426	ですが、憧れというのもまた、一つの距離の形にすぎませんでしたわ。
map_0355#427	ワッホー！新しいおもちゃが欲しい奴はいるかー！？
map_0355#428	アイアンテールがあおいかけらたった4個！こりゃ鋼（すご）い！
map_0355#429	それ、もう聞いたことあるってどういうことだ？？俺のダジャレはメタルだぜ！！！！！！
map_0355#430	ノーノーノープ。それにはもっとかけらが必要だぜ。バジンガ！
map_0355#431	うひょー！このパワーを見ろ！
map_0355#432	ファルコン――！！みどりのかけら3個！
map_0355#433	お決まりの流れだ！4個出しな！むらさきのかけらでな！
map_0355#434	光合成！俺は植物だ！
map_0355#435	あかいかけら3本！
map_0355#436	パワー技はここだ！イケイケワゴンに乗り遅れるな！
map_0355#437	こんにちは、トレーナーさん！
map_0355#438	ポケスナックのパックを買ってみませんか？
map_0355#439	ポケスナックはポケモンのための美味しいおやつです！ポケモンに食べさせてあげれば、もっと幸せになりますよ！
map_0355#440	でも、それだけじゃないんです！
map_0355#441	この美味しくて栄養満点な甘いおやつを持っているだけで、レアな野生のポケモンがあなたに近づいてきやすくなるんです！
map_0355#442	草むらでのランダムなエンカウントの話じゃありませんよ――そんなの誰が望みます？
map_0355#443	でも特別な機会には、普段は逃げてしまうようなポケモンが、あなたに注目してくれるかもしれません。
map_0355#444	いかがですか？
map_0355#445	スナックをいくつか買ってみませんか？
map_0355#446	準備はいい、「レインボーチャレンジ」に挑む？！
map_0355#447	リング上でうちの特製カラーテーマ・ドリームチームと対決して、新しいかけらをゲットしよう！
map_0355#448	やってみる！？
map_0355#449	素晴らしい！それでは――カラーホイールを回して、あなたの運命を決めよう！
map_0355#450	今日のラッキーカラーは……赤！目にもの見せてやるぜ！
map_0355#452	今日のラッキーカラーは……ああ、青にツイてないねえ！
map_0355#453	今日のラッキーカラーは……あっ！黄色を叩きのめす時間だ！
map_0355#454	今日のラッキーカラーは……緑！これだって簡単には戦えないぜ！
map_0355#455	今日のラッキーカラーは……黒！もう後戻りはできないぜ！
map_0355#456	今日のラッキーカラーは……茶色！お前は撃沈だ！
map_0355#457	今日のラッキーカラーは……紫！暴力とセットでな！
map_0355#458	今日のラッキーカラーは……灰色！どの濃淡も痛みだらけだ！
map_0355#459	今日のラッキーカラーは……白！終わらせるのに9秒すら要らないぜ！
map_0355#460	今日のラッキーカラーは……ピンク！ピンクにはなかなかのパンチ力があるんだぜ！
map_0355#461	チンチンチン！
map_0355#462	キャンディをゲット、おまけにかけらも無料でもらえたよ！
map_0355#463	「レインボーチャレンジ」に挑む勇気がある奴はいるか！？
map_0355#464	それに加えて、いつも通りの賞金もあるぜ、聞いてるか？
map_0355#465	聞いてるか？
map_0355#466	ハイヤー！！！！俺は間違いなくサムソンだ！
map_0355#467	パンチ！キック！叩きつけ！
map_0355#468	俺は手加減しねえ、お前もするなよ！
map_0355#469	集中力をぶち壊せ！あおいかけら4個！
map_0355#470	もっとかけらが必要だぜ！それとも殴り合いたいのか？？？？
map_0355#471	きちんとケリをつけろ。拳でな！！！！！！！！！！！！
map_0355#472	敵に突っ込め！相手をマヒさせろ！みどりのかけら5個！
map_0355#473	焼き尽くせ！燃ヤセエエエエエエエエ！
map_0355#474	むらさきのかけら5個！
map_0355#475	お前と対峙する者は皆、恐怖で凍りつく！お前の拳のせいでな！あかいかけら6個！
map_0355#476	ふう。こんなに叫んでたら喉が痛くなってきたな。
map_0355#477	俺は――
map_0355#478	つまり――
map_0355#479	フラアアアア！サムソオオオン！
map_0355#480	おっと、見つかっちまったか！
map_0355#481	隠れてたわけじゃねえけどな！
map_0355#482	丸見えだったろ？
map_0355#483	それとも、そうでもなかったか？
map_0355#484	わかんねえもんだぜ！
map_0355#485	他に知らねえこと、何だと思う？
map_0355#487	あとさ、
map_0355#488	今度誰かにパスワード聞かれたら、「ランダマイザー」って言ってみな！
map_0355#489	どんなおかしなことが起きるか、わかんねえぜ？
map_0355#490	俺は知らねえ！
map_0355#491	それとも、知ってるのか？
map_0355#492	おい、順番待てよ！！
map_0355#493	家に帰れない――混みすぎてて出られないんだ――
map_0355#494	一体何が問題なんだよ！？
map_0355#495	？？？: よう、調子どう？
map_0355#496	なあ、ここのフロステッド・ファンネルケーキ食べた？
map_0355#497	マジでヤバいくらい最高なんだけど。
map_0355#498	なあ――
map_0355#499	あれ、女の子にも「ブロ」って呼んでいいんだっけ？
map_0355#500	女の子も「ブロ」の資格あると思うんだよね、個人的には。
map_0355#501	てか、「ブロ」って呼ばれても平気だよね？
map_0355#502	なんつーか、自分が「ブロ」なら誰でも「ブロ」になれるっていうか、わかる？
map_0355#503	「デュード」も、もう基本的に性別関係ない言葉だよね？
map_0355#504	ほら、進歩派の人たちがもうそういうことにしたし。
map_0355#505	とにかく、なあ――
map_0355#506	あのファンネルケーキ――
map_0355#507	ペロリームで作ってるんだって。
map_0355#508	いや、ペロリームが入ってるってことじゃなくて、その、ペロリーム「と一緒に」作ってるってこと。
map_0355#509	なんつーか、比喩的に手をつないでる、みたいな感じ。
map_0355#510	てか、ペロリームって手あるんだっけ？
map_0355#511	とにかく、言いたいのは、超メガ甘いってこと。
map_0355#512	マジでかっこいい。
