map_0356#0	テントのあちこちにバーがあるだろ?
map_0356#1	シエルが踊るときは、リボンを使ってバーの間を移動するんだ。すごいんだぜ!
map_0356#2	今はただの休憩時間だよね?
map_0356#3	あーあ、立ち上がるのもめんどくさいな。
map_0356#4	次のショーまでここに座ってちゃダメかな?
map_0356#5	こいつ、ずっと首元で息してくるんだけど!
map_0356#6	シエルってサインしてくれるかな?
map_0356#7	キスは無理かな?
map_0356#8	怪力男のコーナーはすごい迫力だった!
map_0356#9	床全体が大きなハイストライカーのパネルになってて、サムソンがちょっと動くだけでベルが鳴るんだ!
map_0356#10	って言っても……話で聞くより、実際に見たほうが断然かっこいいけどね。
map_0356#11	この辺のピエロはけっこう地味なのが多いけど、ひとりだけ目立つ子がいるんだ。
map_0356#12	虹色の髪をしてて、その子が来るとテント中が揺れるくらい盛り上がるんだよ!
map_0356#13	こっそり忍びこんでショーを見てるんだ。内緒だぞ!
map_0356#14	ダルコ: 実を言うと、ショーの主役はこの俺だ! 拍手はまだ早いぜ!
map_0356#15	いつか自分もシエルみたいになりたいな。
map_0356#16	???: おや、また遅れてきたお客さんかい?
map_0356#17	申し訳ないけど、今日のショーはこれでおしまいなんだ!
map_0356#18	また次のショーにも来てくれよな!
map_0356#19	???: あら、サムソン。
map_0356#20	みんなが話してた男の子って、この子のこと?
map_0356#21	意識があるなんて意外だわ。
map_0356#22	この子は誰?
map_0356#23	サムソン: こいつは……
map_0356#24	って、名前を聞くの忘れてたな。
map_0356#25	???: 相変わらず抜けてるのね、サムソン?
map_0356#26	わたしの名前はシエルよ。
map_0356#27	アゲートサーカス特別公演の花形スターですの。
map_0356#28	空中バレエが得意ですわ。
map_0356#29	はじめまして、ダーリン。
map_0356#30	サムソン: とにかく、\PNはあの子を迎えに来たんだ。
map_0356#31	シエル: あら! よかった、誰も迎えに来ないんじゃないかと心配してましたの。
map_0356#32	こちらへどうぞ――すぐそこにいますわ。
map_0356#33	団長: 紳士淑女のみなさああん!
map_0356#34	アゲート三強ジムリーダーへの、またとない挑戦の一戦にご注目を!
map_0356#35	本日は、挑戦者\PNとアゲートサーカスの怪力男サムソンの再戦です!!!
map_0356#36	前回同様、6対6のシングルバトルでお届けします!
map_0356#37	サムソン: あっという間に終わらせてやるぜ。
map_0356#38	団長: それでは、開始!
map_0356#39	アゲート三強ジムリーダーへの、またとない挑戦の一戦にご注目を!
map_0356#40	本日、左のコーナーには、アゲート初挑戦の若者……\PN!!!
map_0356#41	そして、右のコーナーには――
map_0356#42	ハイストライカーでベルを空高く打ち上げるその姿を、あなたも見たはず……
map_0356#43	ビッグトップでは、人を宙に舞わせるジャグリングを披露……
map_0356#44	そして今、センターステージで本物のパワーというものを見せつける!
map_0356#45	彼こそはアゲートサーカスの……
map_0356#46	怪力男うううう……
map_0356#47	サアアアムソオオオン!!!
map_0356#48	サムソン: みんな元気か?
map_0356#49	団長: 6対6のシングルバトルです!
map_0356#50	サムソン: よし、全力でぶちのめし合おうぜ!
map_0356#51	さあ、ぶっ飛ばされてみろ!
map_0356#53	団長: 決着です、みなさん! 勝者は\PN!
map_0356#54	サムソン: ぼろぼろにやられちまったな。
map_0356#55	いい勝負だったぜ、\PN。
map_0356#56	団長: \PNに贈るは、ぴっかぴかのストライクバッジ!
map_0356#57	\PNはストライクバッジを手に入れた!
map_0356#58	団長: ストライクバッジがあれば、みんな憧れの『なみのり』のマシンが使えるようになるぞ!
map_0356#59	だが、それだけじゃない!
map_0356#60	\PNはわざマシン……『かわらわり』もゲットだ!
map_0356#61	団長: サムソンや、アゲート三強の他のリーダーに挑みたくてうずうずしてるそこのあなた……
map_0356#62	バトルパスを見つけるんだ!
map_0356#63	みんな、来てくれてありがとう!
map_0356#64	本日は、挑戦者\PNとアゲートサーカス花形スター、シエルの再戦です!
map_0356#65	シエル: わたしの仕事にアンコールはつきものですのよ?
map_0356#66	喜んでお応えしますわ!
map_0356#67	ついてこられるかしら、\PN!
map_0356#68	本日、左のコーナーには、アゲート再挑戦の若者……\PN!!!
map_0356#69	彼女がステージを軽やかに舞う姿を、あなたも見たはず!
map_0356#70	いや、ステージだけじゃない――空そのものを!
map_0356#71	空を舞い、みんなの心も舞わせる……
map_0356#72	彼女こそはアゲートサーカス花形スター……
map_0356#73	シエル!!!
map_0356#74	シエル: ありがとう、ありがとう!
map_0356#75	みなさん優しすぎますわ! それに気前がよすぎ!
map_0356#76	さあ、今日も演者たちが目を楽しませてくれますわよ!
map_0356#77	シエル: がっかりさせるつもりはありませんし、あなたにもそれを期待しますわ、\PN!
map_0356#78	あなたの全力を見せてくださいまし!
map_0356#79	今がその時ですわ、その実力を見せてくださいまし!
map_0356#81	団長: 決まった! 今回は\PNが勝利をつかんだ!
map_0356#82	シエル: これっぽっちも悔いはありませんわ。
map_0356#83	いいショーでしたわ、\PN! 見事!
map_0356#84	団長: 本日\PNへの賞品は、サスペンションバッジ!
map_0356#85	\PNはサスペンションバッジを手に入れた!
map_0356#86	団長: サスペンションバッジがあれば、レベル80までのポケモンが言うことを聞くようになり、さらに『そらをとぶ』のマシンも使えるようになるぞ!
map_0356#87	だが、まだあるぞ!
map_0356#88	\PNはわざマシン『アクロバット』もゲットだ!
map_0356#89	派手なショーには派手なわざ――ぴったりだと思わないか?
map_0356#90	団長: シエルとの一戦を待ちわびてるそこのあなた……
map_0356#91	バトルパスを見つけるんだ!
map_0356#92	みんな、来てくれてありがとう!
map_0356#93	ドンファン: ドファーン。
map_0356#94	団長: おっと!
map_0356#95	団長: やっぱりな!
map_0356#96	感じてたんだ――
map_0356#97	というか、匂いでわかるくらいだったぜ――
map_0356#98	バトルパスの一枚がここに戻ってきてるってな!
map_0356#99	見つけてきてくれてうれしいぞ、\PN!
map_0356#100	ってことは、意味することはひとつしかない!
map_0356#101	だがその前に――
map_0356#102	お前の腕前を試させてもらうぜ!
map_0356#103	全部ショーのためなんだよ、わかるか?
map_0356#104	うちの連中が何と戦うのか知っておかないと、盛り上げ方も決まらないからな!
map_0356#105	弱い挑戦者でも判官びいきのネタになるし、三強の名を上げる材料にもなる。でも、そう見せ方を考えないとな!
map_0356#106	逆に、手に汗握る接戦になりそうなら、前もって知っておきたい。
map_0356#107	というわけで、\PN、お前がどんな物語を見せてくれるのか、見せてもらうぜ!
map_0356#108	アリスタシア: それなら、手に汗握る接戦にしてみせるよ!
map_0356#109	団長: 運が良けりゃ、全勝もあるかもな……
map_0356#110	いやあ、特にサムソンが負けるのを見るのは、なんだかんだ好きなんだよな。
map_0356#111	特に理由はないぞ!
map_0356#112	サムソンやシエルと、挑戦者の初戦で何回負けるかなんて裏で賭けてることも、絶対にないからな!
map_0356#113	いやいや、そんなことしてないぞ!
map_0356#114	とにかく、すぐに準備をしてくるよ――サムソンにも尻をたたいておいてくれ!
map_0357#0	アヤ: ……
map_0357#1	サムソン: こいつ、お前の友達なんだろ?
map_0357#2	団長: おーい、みんな! また新しいお客さんだぞ!
map_0357#3	カイン: アヤ!
map_0357#4	団長: ところで、テラの様子がおかしくないか?
map_0357#5	さっき走ってきたと思ったら、共同シャワーを殴って、そのまま逃げてったぞ。
map_0357#6	カイン: アヤ、聞こえるか?
map_0357#7	大丈夫か? 頼むから起きてくれ!
map_0357#8	アヤ: うぅん……
map_0357#9	最悪な気分……
map_0357#10	アヤ: ……カイン?
map_0357#11	カイン: ああ、よかった!
map_0357#12	アヤ: 久しぶり……
map_0357#13	カイン: ……ああ……
map_0357#14	……悪かったな。
map_0357#15	その、忙しかったんだ。
map_0357#16	母さんは元気か?
map_0357#17	アヤ: チッ、聞くなよ。
map_0357#18	ハーディはどこ?
map_0357#19	シエル: あら! それって、サーカスの上をあまり優雅とは言えない感じで飛んでいた、あの男の子のことかしら。
map_0357#20	アヤ: ハーディが自分のジムを見せてくれるはずだったの。
map_0357#21	だからアゲートまで行ったんだけど……
map_0357#22	着いてから何があったのか、思い出せなくて。
map_0357#23	サムソン: 街の中で何かが起きて、お前ら二人ともぶっ倒れたんだよ。
map_0357#24	中にいる人間、全員に効くみたいだ。
map_0357#25	だから街全体がずっと封鎖されたままなんだ。
map_0357#26	カイン: 道の真ん中で眠ってるところを見つけたんだ。
map_0357#27	サムソン: そういえば、団長――
map_0357#28	あの件、なんか情報は入ってきてないのか?
map_0357#29	団長: 実は、いくつか情報は入ってきてるんだが……
map_0357#30	お客さんたちを煩わせるようなことでもないだろう。
map_0357#31	気になるのは、この眠りの災難が街全体にかけられてるってことくらいだ。
map_0357#32	カイン: 俺も危うくやられるところだったんだけど、そこにテラが来てさ。
map_0357#33	シエル: 彼女のこと、申し訳なく思ってますわ。
map_0357#34	団長: あはは、あいつは暴れん坊だが、手放すわけにはいかないからな!
map_0357#35	アゲートサーカスの看板ジムリーダーを失うわけにはいかないだろう!
map_0357#36	シエル: たしかに、彼女がいなければアゲート三強とは呼べませんものね。
map_0357#37	残念ながら。
map_0357#38	団長: そのとおり! ジムバトルは最高のショーになるからな!
map_0357#39	シエル: ひこうタイプのリーダー、お呼びとあらば参上ですわ〜
map_0357#40	団長: テラはじめんタイプのリーダー、そしてサムソンはかくとうタイプだ!
map_0357#41	サムソン: よう。
map_0357#42	アヤ: つまり……ハーディはここにいないの?
map_0357#43	団長: 残念だが、いないな。
map_0357#44	おそらく2番道路のどこかで倒れてるんじゃないか。
map_0357#45	アヤ: なら……探しに行かないと、だよね?
map_0357#46	カイン: お前、そいつのことけっこう気に入ってるんだな?
map_0357#47	アヤ: 何?
map_0357#48	ち、違う!
map_0357#49	そういうんじゃないから。
map_0357#50	ただ心配なだけ。
map_0357#51	それだけ。
map_0357#52	それに、あいつだって同じことしてくれるはずだし。
map_0357#53	だから……行かなきゃ。
map_0357#54	サムソン: ダメだ、お嬢ちゃん。
map_0357#55	お前はそこでじっとしてろ。
map_0357#56	テラにあんな目に遭わされて、よく歩けるもんだと感心するぜ。
map_0357#57	シエル: わたしも同意せざるを得ませんわ。
map_0357#58	その状態で行かせるわけにはいきませんもの。
map_0357#59	カイン: \PN、ハーディを探しに行ってもらってもいいか?
map_0357#60	俺はちょっとアヤと積もる話がしたくてさ。
map_0357#61	アヤ: 今?
map_0357#62	こんなことがあった後で?
map_0357#63	カイン: ……なあ、説明……できると思う、
map_0357#64	一応な、
map_0357#65	でも、お前を一人にするつもりなんて一度もなかったんだ。
map_0357#66	ただ、あそこにはいられなかった。
map_0357#67	だからこそ、今きちんと向き合う義理があるだろ?
map_0357#68	アヤ: ……もういい。
map_0357#69	団長: おっと! \PNが探しに行くってなら……
map_0357#70	予定を変更したほうがよさそうだな!
map_0357#71	団長: さっきアゲートの情報がどうとか言ってたよな?
map_0357#72	お前さんに手を貸してもらえるかもしれない。
map_0357#73	薄々感づいてはいたんだが、この眠りの呪いが、あのテロ組織――チームメテオの仕業だってことが確認できたんだ。
map_0357#74	内部の人間から密告があってな――それで確かめられたんだ。
map_0357#75	サムソン: そいつに担がれてるってことはないのか?
map_0357#76	団長: 電話の相手にもそう聞いたんだが……
map_0357#77	自分はただ自分の利益のために動いてるだけだと、やたら回りくどくて大げさな話し方で保証してきたよ。
map_0357#78	考えてみりゃ、その話し方、どこか聞き覚えがあった気がするんだよな……
map_0357#79	ああ、もしかしたらシエル、お前の話し方に似てたからかもな。
map_0357#80	シエル: わたし――???
map_0357#81	何のことだか、さっぱりわかりませんわ。
map_0357#82	団長: ああ、そうそう、その話し方だ。
map_0357#83	とにかく、この件の張本人はここからそう遠くない場所にいて、ティタウィン、あるいは『T』と名乗ってるらしい。
map_0357#84	サムソン: ティタウィンって、なんつー名前だよ。
map_0357#85	団長: たぶんコードネームだろうな。
map_0357#86	まあ、俺にもよくわからん、お前の勘と大差ないさ、
map_0357#87	だが、他の誰かの勘のほうが当たってるかもな。
map_0357#88	ここからそう遠くないところに、もう一人ジムリーダーが住んでるんだ――2番道路の滝の近くにな――
map_0357#89	彼女は以前、チームメテオのことを調べてたって聞いてる。
map_0357#90	たしか名前は……
map_0357#91	アマリア・フィオーレ。
map_0357#92	\PN、どうせそっちの方向を探しに行くなら、彼女のところに寄って、情報交換できないか聞いてみてくれないか?
map_0357#93	ああ、それとこれが役に立つかもしれないぞ。
map_0357#94	団長: そのこなのビンは、2番道路を通り抜けるのに役立つはずだ。
map_0357#95	使い方は西門のレンジャーに聞くといい。
map_0357#96	アヤ: ハーディのこと、忘れないでよね?
map_0357#97	べ、別に会いたいとか、そういうんじゃないけど……
map_0357#98	団長: 頑張ってこいよ、\PN、報告を待ってるぞ〜
map_0357#99	カイン: それでさ、そのハーディってやつ……
map_0357#100	アヤ: 何言おうとしてるかわかってるから、言わなくていいよ。
map_0357#101	カイン: ちぇっ、そんなこと言うなよ。
map_0357#102	そいつのこと、教えてくれよ。
map_0357#103	だってさ、そいつがお前を傷つけたら、誰をぶちのめせばいいか知っとかないと。
map_0357#104	それが兄貴ってもんだろ?
map_0357#105	アヤ: 兄貴は家出もしないもんだけどね。
map_0357#106	カイン: 痛いとこ突くな。
map_0357#107	アヤ: アゲートシティのいわタイプリーダーだよ。
map_0357#108	わたしが仕事に慣れるのを手伝いに来てくれたの――
map_0357#109	そう、あんたが丸投げしてきた仕事のこと。
map_0357#110	カイン: わかった、わかったって!
map_0357#111	悪かったよ。
map_0357#112	爪をしまってくれ。
map_0357#113	アヤ: わたしのジムにどんな謎解きを置くか、二人で考えてたの。
map_0357#114	だって、どのジムにも謎解きが必要みたいだから。
map_0357#115	変かな?
map_0357#116	とにかく、例として自分のジムの謎解きを見せてくれるって言ってくれて。
map_0357#117	音とか音楽がテーマみたい?
map_0357#118	それで……こうなったの。
map_0357#119	カイン: でも、まだそいつのこと全然話してもらってないぞ。
map_0357#120	かわいい系?
map_0357#121	アヤ: その、彼は――
map_0357#122	何その質問!?
map_0357#123	カイン: あはは〜 やっぱりそうなんだ!
map_0357#124	アヤ: そんなこと言ってない!
map_0357#125	カイン: 否定もしてないけどな。
map_0357#126	アヤ: だからって本当とは限らないでしょ!
map_0357#127	カイン: で、本当なのか?
map_0357#128	アヤ: それは――わたし――
map_0357#129	……かもね。
map_0357#130	カイン: ちゃんと気をつけろよ。
map_0357#131	アヤ: なんですって?!
map_0357#132	アヤ: アゲートシティが閉鎖されてるなら、これからどうすればいいの?
map_0357#133	ハーディ: カルセノンで何かヤバいことが起きてるみたいだぜ。
map_0357#134	ちょっと見に行ってくるかな。
map_0357#135	全身の痛みが引いたらの話だけど……
map_0357#136	バッフロンの群れにひかれた気分だぜ。
map_0357#137	カイン: テラにクロッケーの球みたいに扱われてたもんな。
map_0357#138	まあ、大差ないさ。
map_0357#139	つーか、よく生きてたなって驚いてるくらいだよ。
map_0357#140	アヤ: がっかりした?
map_0357#141	カイン: いやいや〜
map_0357#142	ハーディ: はは、あれくらいじゃ俺たちは倒れないぜ。
map_0357#143	アヤ、お前もやられたんだろ?
map_0357#144	アヤ: 顔面に『じしん』を食らった気がする。
map_0357#145	カイン: 俺もあやうくぺしゃんこにされるところだったんだぜ。
map_0357#146	しかも、いい意味じゃなくてな。
map_0357#147	ハーディ: ぷっ、いい意味じゃないほうがいいだろ、相棒。あいつ、お前にはちょっと年上すぎないか?
map_0357#148	アヤ: 何歳なの、あの人?
map_0357#149	カイン: 態度だけ見たら、6歳ってとこだな。
map_0357#150	テラ: あたしゃ6歳じゃないよ、このごろつきどもがァ!
map_0357#151	カイン: 聞こえてたのか?
map_0357#152	気まずいな……
map_0357#153	テラ: ほえろオオオ!!!!
map_0357#154	シエル: 寂しいなんて言いませんわよ。
map_0357#155	二人とも、無作法でどうしようもないところがありますけれど……
map_0357#156	口にしなくても、寂しいってことくらいみんな分かってますもの。
map_0357#157	やっぱり、演技の練習をしたほうがよさそうですわね。
map_0357#158	シエル: ご心配なく、彼女は元気ですわ。
map_0357#159	奇跡的に。
map_0357#160	サムソン: おっ、来たぞ。
map_0357#161	ハーディ: よう、相棒。さっきは迎えに来てくれてありがとな。
map_0357#162	うちの妹の相手させちまって悪かったな。
map_0357#163	あいつ、昔からちょっと激しいんだよ、わかるだろ?
map_0357#164	俺自身、口実さえあればさっさとおさらばする気満々だったぜ。
map_0357#165	カイン: へえ、お前の妹も生意気なタイプなのか?
map_0357#166	アヤ: すぐそこに座ってるんですけど。
map_0357#167	ハーディ: いや、生意気ってほどじゃないな。
map_0357#168	むしろ、今にも人を殺しかねない暴力女って感じだ。
map_0357#169	カイン: ああ、それアヤっぽいな。
map_0357#170	アヤ: 違うから!
map_0357#171	ハーディ: はは、冗談だよ。アヤはけっこういい女だぜ。
map_0357#172	優しくしてやれよ、相棒。
map_0357#173	カイン: 考えとくよ。
map_0357#174	アヤ: バカ。
map_0357#175	カイン: クソ女。
map_0357#176	アヤ: クズ野郎。
map_0357#177	カイン: ババア。
map_0357#178	アヤ: クソ野郎。
