map_0357#587	あたしの父は名高き医者で、妻とともに幸せに暮らしていた、
map_0357#588	しかしある日!
map_0357#589	強盗が我が家に押し入り……
map_0357#590	……二人とも殺されてしまった。
map_0357#591	あたしは一人、闇の中に取り残された……
map_0357#592	ただ一匹の生き物があたしの前に現れた、その瞬間、あたしは自分の使命を悟った。
map_0357#593	あたしは秘密の正体のもと、この街の犯罪と戦うことに人生をささげると誓ったのだ……
map_0357#594	サムソン: テラ、それ完全にヒーロー漫画のあらすじじゃねえか。
map_0357#595	もう一回やり直せ。
map_0357#596	テラ: あちゃー バレちった
map_0357#597	けどまあいいや。
map_0357#598	だってここならぜってー見つからねえもん!
map_0357#599	サムソン: お前、一体何やってんだ?
map_0357#600	テラ: よぉしオッケー、いっちょやったろ。
map_0357#601	メガテラ、ヌいてけ! 実行!\tts[MEGATERRA, JACK OFF! EXECUTE!]
map_0357#602	シエル: わたし……今何と?
map_0357#603	サムソン: おい、まさかあいつ、あのバカでかいコンピューターの中に逃げ込んだんじゃねえよな?
map_0357#604	シエル: わかりましたわ。
map_0357#605	彼女はあのコンピューターの中に逃げ込んだりしていません。
map_0357#606	サムソン: 助かるぜ。
map_0357#607	サムソン: ポケモンをボックスに預けるのと同じ仕組みってことか。
map_0357#608	……それに、どうやら「プレイヤー2」を待ってるみたいだな。
map_0357#609	\PN、それはお前しかいないと思うぜ。
map_0357#610	お前が一番この状況を分かってるし、あいつと戦えるだけの強さもあるはずだ。
map_0357#611	できれば俺たちもついていきたいが、このコンソールは「プレイヤー」を二人までしか受け付けないみたいだ。
map_0357#612	準備ができたら声をかけてくれ、中に入れるかどうかやってみる。
map_0357#613	シエル: でも正直なところ、もし本当だとして、あんな娘がなぜチームメテオになんかいますの?
map_0357#614	シエル: そのまま自由にさせておくわけにはいかないと分かってはいますけれど、あの騒々しいおしゃべりが、妙に、だらしなく恋しくなりますわ。
map_0357#615	結局のところ、彼女はわたしたちの友達でしたもの。
map_0357#616	この間ずっと敵のために働いていたなんて、とても信じられませんわ。
map_0357#617	大ホールでは誰も電話に出ないみたいだけれど……
map_0357#618	アメ: \PN?
map_0357#619	やっほー! ジムに着いたみたいだね。
map_0357#620	この通信システムは大ホールに直接つながってるから、どこにいても、ジムに着いたらいつでもアドバイスを聞きに連絡できるんだよ!
map_0357#621	それはさておき……
map_0357#622	アメ: アゲートサーカスまで来たんだね? そっちは大変なことになってるみたいだね。
map_0357#623	知ってるかもしれないけど、アゲートサーカスには三人のリーダーがいるんだよ。ってことは、最初はサムソン?
map_0357#624	了解。彼はリーダーとしてはまだ新人だから、詳しくは言えないけど、ビッグトップ・アリーナについて知ってることを教えるね。
map_0357#625	実はあそこには大きく分けて二つの仕掛けがあるの。ひとつはサムソンの仕掛け、ハイストライカーだよ。
map_0357#626	床全体がそれを起動させるパネルでできてるんだ。
map_0357#627	もともとはテラのために設置されたもので、床を強くたたくわざなら何でも起動するようになってるの。
map_0357#628	でも、かくとうタイプのわざは踏ん張って力を込めるから、それでもパネルが反応するんだ。そこからボーナスが得られるか試してみて!
map_0357#629	それか、シエル用のタイプ相性フィールドを、逆にサムソンに使うって手もあるよ。
map_0357#630	アクロバットやとびはねるみたいなひこうタイプのわざなら、シエルの空中足場を使ってビッグトップ全体に追加効果を出せるんだ。
map_0357#631	そういうのを何回か決めれば、サムソンなんてあっという間に倒せるよ!
map_0357#632	頑張ってね!
map_0357#633	アメ: 出てくれてよかった。キャルから状況は聞いたよ。
map_0357#634	よりによってテラがメテオだったなんて、思いもしなかったな。
map_0357#635	まあ、もともと苦手だったし、別にいいけど。
map_0357#636	彼女のコンピューターに何かおかしいって聞いて中に入ってみたら、彼女の存在を検知してるのが見えるよ。
map_0357#637	どうやってコンピューターの世界に入り込んだのかは、もう突っ込まないでおくよ。あの子はもう論理を超えた存在だからね。
map_0357#638	今、解析をかけてるところ。ちょっと待って、何が起きるか教えるから。
map_0357#639	結果がちょっと変なんだよね。
map_0357#640	このコンピューターの環境、どうやら昔のゲームを再現するように設定されてるみたい。
map_0357#641	そのゲームでは、わざが物理か特殊かはタイプによって決まるんだって。
map_0357#642	しかも、とくこうととくぼうがひとつの数値として扱われてて、高いほうの値が使われる仕組みみたい。
map_0357#643	最後に、あくタイプとはがねタイプ、フェアリータイプは削除されてるみたい。
map_0357#644	なんだか聞き覚えがある話でしょ?
map_0357#645	中に入ったら、これを頭に入れておいて。あなたなら必要なことができるって信じてるよ。
map_0357#646	アメ: シエルと戦わないといけないんだね?
map_0357#647	うん。このフィールドで戦うのは初めてじゃないから、サムソンとの時に使った作戦を思い出してみて。
map_0357#648	サムソンの全力攻撃と違って、シエルはもっと守りを重視するタイプだよ。
map_0357#649	彼女のポケモンはタフな型が多いから、削り切るのが大変なんだ。
map_0357#650	でも、シエルは根っからのパフォーマーだから、それが戦い方にも出てて、ダンスや音を使うわざを好んで使うよ。
map_0357#651	アリーナっていう場所は、そういうわざを活かすのにぴったりなんだ。
map_0357#652	彼女が宙に浮く前に態勢を整えてたたければ、有利に進められるはずだよ!
map_0357#653	でも、いったん彼女が空中でショーを始めたら、こっちは奈落の底行きだからね。
map_0357#654	シエル: 踊っていただけますかしら?
map_0357#655	シエル: さあ、あなたの持てるすべてを見せてくださいまし!
map_0357#656	シエル: 焦らなくていいですわ、あなた。最高のパフォーマンスを期待してますの!
map_0357#657	団長: よし、二人ともお見事だったぞ!
map_0357#658	シエル: 当然ですわ〜
map_0357#659	団長: だがな。
map_0357#660	今後は、ああいう危ない真似はもうやめとけよ、シエル。
map_0357#661	シエル: あら、わたしのこと?
map_0357#662	何のことだか、さっぱり見当もつきませんわ。
map_0357#663	団長: 見逃したのは、テラがいなくてショーが足りてないってだけの理由だからな。
map_0357#664	シエル: あなたの慈悲深いご厚意に感謝いたしますわ、若様〜
map_0357#665	団長: 「若様」?
map_0357#666	お前らはまた減らず口をたたき合ってろ。
map_0357#667	俺は閉会の挨拶があるんだ!
