map_0359#150	ティタニア: 何とかするわ。
map_0359#151	とりあえず、わたしはここを離れる。
map_0359#152	ブレスレットは、できる限り遠くへ持っていくつもり。
map_0359#153	メテオが欲しいなら、自分たちで取りに来ることね。
map_0359#154	でも言っておくけど、そんなことすれば後悔するわよ。
map_0359#155	ティタニア: エアームド、行くわよ!
map_0359#156	ティタニア: そういうことなのね。
map_0359#157	やっと言うべきことを言えた。
map_0359#158	あの子が死ぬだけで済んだんだから。
map_0359#159	彼女は自殺するかもしれない。
map_0359#160	どのみち止められなかったでしょうし。
map_0359#161	結局、リンがここに来るかもしれない。
map_0359#162	それはあなた次第ってことね。
map_0359#163	彼女とは手を切るわ。
map_0359#164	あんな真似をされた後じゃ、もうお芝居を続ける意味もない。
map_0359#165	ここに留まる意味もない。
map_0359#166	また会いましょう、\PN。
map_0359#167	はい
map_0359#168	いいえ
map_0360#0	見慣れない植物から、粉状の胞子がしたたっている……
map_0360#1	いかりのこなを捨てて、ねむりごなと交換しますか?
map_0360#2	\PNはこなのビンを使った。
map_0360#3	ねむりごなを手に入れた!
map_0360#4	こなのビンには、すでにねむりごなが入っている!
map_0360#5	イワパレスにねむりごなを使いますか?
map_0360#6	イワパレスは眠ってしまった!
map_0360#7	イワパレスが攻撃してきた!
map_0360#8	いかりのこなを使ってイワパレスを起こしますか?
map_0360#9	イワパレスは逃げてしまった!
map_0360#10	巣からイワパレスが現れた!
map_0360#11	巣は今、空っぽのようだ……
map_0360#12	はぁ……この岩場を飛び移り続けるのは、ちょっと休憩がいるな!
map_0360#13	とはいえ、あの山に投げ飛ばされてきたガキに比べりゃ、俺なんてまだまだマシだと思うぜ。
map_0360#14	そいつはこの道路の南のほうに落ちたみたいだ。
map_0360#15	無事だといいけどな。
map_0360#16	俺みたいな男は、こんな岩場をそう簡単には飛び越えられねえよ。別のことにしようぜ!
map_0360#17	うおっ。やっぱり岩場に戻るとするか。
map_0360#18	そろそろ家に帰って引退する頃合いかもな。
map_0360#19	\PNはフィールド効果データ14を手に入れた!
map_0360#20	ロッキーフィールドの情報が見られるようになった!
map_0360#21	ねむりごなを捨てて、いかりのこなと交換しますか?
map_0360#22	いかりのこなを手に入れた!
map_0360#23	こなのビンには、すでにいかりのこなが入っている!
map_0360#24	石には気をつけろよ! 粉をしっかり守れ!
map_0360#25	ニック: ついでに、あんた自身からも俺を守ってくれよな!
map_0360#26	東の端に旅人用のいい近道を作ろうとしてるんだけど、要になる石だと思ったら、それがまたイワパレスだったなんてことがよくあるんだよな……
map_0360#27	ヌメラ様万歳!
map_0360#28	ヌメラ: ヌメヌメ。
map_0360#29	ヌメラ様がお話しになった、ならば我らは耳を傾けるのみ〜
map_0360#30	はい
map_0360#31	いいえ
map_0361#0	アヤ: どこ行くつもり?
map_0361#1	ハーディに追いつかないと。
