map_0362#270	それに、チームメテオに彼女を二度と渡すつもりなんて絶対にないから。
map_0362#271	ジュリア: なら、やることはひとつだね!
map_0362#272	戦って戦って戦い抜いて、今日も勝つのみ!
map_0362#273	メテオの馬鹿どもは、追い返してやる!
map_0362#274	フロリニア: 了解。
map_0362#275	構造を解析します。
map_0362#276	ティタニア: 解析することなんて何もないわ。
map_0362#277	家の出口それぞれに、防衛陣を敷いて。
map_0362#278	中には一歩も入れさせない。
map_0362#279	フロリニア: 誤りです。
map_0362#280	本発言者は、チームメテオが新たな侵入経路を作り出す可能性を想定します。
map_0362#281	ティタニア: その話し方、いつになったらやめるの?
map_0362#282	もう何年も経つのに、まだそんな大げさな反応してるわけ?
map_0362#283	ジュリア: 今そんなこと言ってる場合じゃないから!
map_0362#284	フロリニア: この上階に防衛線を構築します。
map_0362#285	フロリニア: わたしと\PNが主防衛ラインを形成します。
map_0362#286	フロリニア: ジュリアは、北東の奥の部屋や東側の壁からの侵入に備え、後方を固めます。
map_0362#287	ジュリア: おおー、忍者みたいに窓をぶち破って来るかもだもんね!
map_0362#288	フロリニア: ティタニアは、不測の事態に備えてアマリアのそばに残ります。
map_0362#289	ティタニア: いいわ。
map_0362#290	でも、時間切れみたいね。
map_0362#291	しっかり持ちこたえて。
map_0362#292	ソラリス: 予想されていなかったわけではないようだな。
map_0362#293	ならば話は単純にしよう。
map_0362#294	サファイアのブレスレットを渡せば、お前たちは無事に済む。
map_0362#295	さもなくば、我々がそれを奪い、お前たちには廃虚だけが残るだろう。
map_0362#296	ジュリア: お断り!
map_0362#297	あんたらの邪悪な企みになんて屈するわけないでしょ!
map_0362#298	顔面ドッカンされる前に、とっとと出てって!
map_0362#299	ソラリス: 承知した。
map_0362#300	チームメテオよ、攻撃せよ。
map_0362#301	ダイアナ: いい加減、あきらめなさいよ!
map_0362#302	キーナン: 数で圧倒的に負けてるんだからな!
map_0362#303	シリウス: もういい。
map_0362#304	この茶番も、そろそろ終わりにできそうだ。
map_0362#305	ファーン: おい、放しやがれ!
map_0362#306	何のつもりだよ?
map_0362#307	姉貴、助けてくれ!
map_0362#308	シリウス: ブレスレットと、この少年の命を交換だ。
map_0362#309	ジュリア: 確かに奥にあるけど!
map_0362#310	フロリニア: 計算通りです。
map_0362#311	ジュリア: あたしに任せて!
map_0362#312	シリウス: 答えは、フロリニア?
map_0362#313	ファーン: 頼む!
map_0362#314	こんな風に俺を見捨てるなんてありえないだろ!
map_0362#315	ファーン: な――何言ってんだよ?!
map_0362#316	フロリニア: 目的は変わりません。
map_0362#317	ファーン: チッ……
map_0362#318	冷てえな、姉貴。
map_0362#319	ファーン: いや、ロボットになりたがってんのは知ってたけど、多少は感情が残ってると思ってたのによ。
map_0362#320	ブレイク: おいおい姉ちゃん、ちょっと落ち着けねえのか?!
map_0362#321	封じろ、トドゼルガ!
map_0362#322	ブレイク: あーあ。
map_0362#323	またお前かよ。
map_0362#324	ソラリス: ブレイク。
map_0362#325	ファーン。
map_0362#326	この障害を排除せよ。
map_0362#327	ブレイク: はいはい。
map_0362#328	ファーン: 了解っす、ボス。
map_0362#329	フロリニア: 「ボス」?
map_0362#330	本発言者は、あなたがこの組織の指示に従っていると結論づけますが、正しいですか?
map_0362#331	ファーン: ああ、それがどうした?
map_0362#332	人質のふりは、あんたを動揺させるための演技だったんだよ。
map_0362#333	でもそれとは別に、俺はこいつらにとって一番の切り札ってわけだ。
map_0362#334	ここに来る道中で、この家の間取りを全部教えてやったしな。
map_0362#335	あんたと一緒にここに来るのはずっと嫌だったけど、無駄じゃなかったってことか。
map_0362#336	フロリニア: ……了解しました。
map_0362#337	この過ちは、直ちに正します。
map_0362#338	ファーン: かかってこいよ、フロボット。
map_0362#339	あんたなんて怖くねえよ。
map_0362#342	フロリニア: 後悔は不要です。
map_0362#343	むしろ、あなたの敗北は明確な成功と言えます。
map_0362#344	自らがどのような手順の誤りを犯したか考え、直ちに正しなさい。
map_0362#345	具体的には、この組織への忠誠についてです。
map_0362#346	ソラリス: なるほど。
map_0362#347	\PN、相変わらず厄介だな。
map_0362#348	機会があった時に、この障害を排除しておくべきだった。
map_0362#349	ファーン: はっ、\PNを買いかぶりすぎだろ。
map_0362#350	悪いのは俺の姉貴だよ。
map_0362#351	なあ、姉貴。
map_0362#352	あんたが何を成し遂げてるつもりか知らねえけど、俺たちは世界を変えるんだ。
map_0362#353	みんなを幸せにするんだよ。
map_0362#354	そんで、俺たちの新世界で誰が頂点に立つと思う?
map_0362#355	あんたじゃねえよ、フロボット!
map_0362#356	チャンスがあった時に、こっち側に来るべきだったんだよ!
map_0362#357	一緒にできたはずなんだ!
map_0362#358	なのに、あんたはそれを捨てたんだ!
map_0362#359	もし本当に俺の命が危なかったらどうすんだよ、あ?
map_0362#360	とんだ姉貴だな。
map_0362#361	中身は本当に死んでるんだな。
map_0362#362	本当にただの馬鹿なロボットになっちまったんだな。
map_0362#363	ファーン: それがあんたのなりたかったものだろうが!?
map_0362#364	フロリニア: ……誤りです。
map_0362#365	ファーン: 俺のことも、自分自身のことも、他のみんなのことも見捨てたから、隠れるしかなくなったんだろ!
map_0362#366	フロリニア: ……誤りです……
map_0362#367	ファーン: 自分の感情を見せるくらいなら、俺を傷つけるほうを選ぶんだもんな。
map_0362#368	自分が怖いってだけで、全部他人にやらせようとしてる。
map_0362#369	ただの身勝手だよ。
map_0362#370	それに臆病者だ。
map_0362#371	そもそも、俺のことをこれっぽっちも気にかける気なんてなかったんだろ。
map_0362#372	色々あった後でもな。
map_0362#373	ファーン: ふん、もういい。
map_0362#374	ファーン: 後でまた合流するわ。
map_0362#375	それまで、そいつは好きにしていいぜ。
map_0362#376	もう姉貴なんていないってことがはっきりしたしな。
map_0362#377	廃品置き場行きの、壊れたロボットがいるだけだ。
map_0362#378	ソラリス: ……聞いたな、シリウス。
map_0362#379	彼女を排除しろ。
map_0362#380	シリウス: ハブネーク、どくどくのキバ!
map_0362#381	ソラリス: \PNは私が直々に相手をしよう。
map_0362#382	ジュリア: ズッキュゥゥン!
map_0362#383	ちょっとそこの! それはよくないと思うなー!
map_0362#384	ブレイク: おい姉ちゃん、落ち着けって!
map_0362#385	何をキメてんだよ?
map_0362#386	ジュリア: コーヒー!!!
map_0362#387	ブレイク: おい、なんだそりゃ!
map_0362#388	ジュリア: リニ!!!
map_0362#389	ジュリア: これ、あんたがやったんでしょ!?
map_0362#390	マルマイン、いっちゃえ!
map_0362#391	シリウス: がはっ――
map_0362#392	隊員: 司令官、お手伝いします!
map_0362#393	ジョン: 全力を尽くしました、司令官。
map_0362#395	隊員: 申し訳ありません、司令官。
map_0362#396	メテオ隊員: 司令官!
map_0362#397	ヘリコプターが破壊されました!
map_0362#398	ソラリス: 何だと?
map_0362#399	ジュリア: 勝利に向かってびゅーん、だってあれをドッカンドッカンにしてやったからね!
map_0362#400	ティタニア: ……フロリニア。
map_0362#401	ソラリス: ずいぶんと成長したようだな、\PN。
map_0362#402	ファーン: チッ、こいつらなんて大したことねえよ。
map_0362#403	フロリニア: あなたの失敗について、詳しく説明しましょうか?
map_0362#404	ファーン: 俺の失敗だと? これをやってるのはあんただろ!
map_0362#405	ブレイク: おいおい、自分を証明するとか言ってたのはどこ行ったんだよ、坊主。
map_0362#406	ファーン: 邪魔しかしてない奴が偉そうに言うなよ。
map_0362#407	ブレイク: 好きに思ってろよ、弟。
map_0362#408	ファーン: もういい、俺は抜ける。
map_0362#409	こんなの時間の無駄だ。
map_0362#410	シリウス: 情けない。
map_0362#411	ソラリス: それでも、この二人は私が直々に片付ける。
map_0362#412	ブレイク: うわ、姉ちゃん、頼むから落ち着けって。
map_0362#413	ティタニア: もういいわ。
map_0362#414	明らかに、こっちのほうがわたしを必要としてるみたいね。
map_0362#415	ソラリス: シリウス。
map_0362#416	シリウス: はい、司令官。
map_0362#417	ソラリス: この集団は、かなりの防衛態勢を築いているようだ。
map_0362#418	シリウス: そのようですね。
map_0362#419	ソラリス: これを突破するのは難しいだろう。
map_0362#420	ならば、向こうから自ら崩れるよう仕向けるとしよう。
map_0362#421	シリウス: 承知しました。
map_0362#422	ティタニア: そんなこと、させるわけないでしょう。
map_0362#423	シリウス: ええ、選択はお前たち次第だ。散り散りに逃げるか……
map_0362#424	……それとも、ここで焼け死ぬか。
map_0362#425	シャンデラよ。
map_0362#426	シリウス: ふむ。
map_0362#427	歴史というのは、妙な形で繰り返すものだな。
map_0362#428	このブレスレットのために家を燃やすのは、これで二度目になる。
map_0362#429	焼き尽くせ。
map_0362#430	ティタニア: ……ふん、そう。
map_0362#431	でも前の家には、水タイプのジムが備え付けじゃなかったでしょうね。
map_0362#432	ティタニア: ドリュウズ! じわれ!
map_0362#433	はい
map_0362#434	いいえ
map_0364#0	「PULSE-02」
map_0364#1	シェリー: え?
map_0364#2	シェリー: \PN!
map_0364#3	氷の壁が消えたの!
map_0364#4	あなたがやったの?!
map_0364#5	何があったの?
map_0364#6	シェリー: つまり……
map_0364#7	これがメテオのPULSEマシンのひとつってことね。
map_0364#8	それで、クレベースが山を塞いでたの?
map_0364#9	コールマン: あの……
map_0364#10	俺が馬鹿なだけかもしれないけど、それってちょっと変じゃないか?
map_0364#11	つまり、チームメテオが山を封鎖したいなら、マシンを置くとしたら……
map_0364#12	シェリー: ……他のどこでもよかったんじゃないかって?
map_0364#13	簡単に塞げる狭い道なんて他にいくらでもあったのに、どうしてこんな開けた場所に置いたのかしら。
map_0364#14	本当にそれが狙いだったの?
map_0364#15	筋が通らないけど、わたしの考えすぎかもしれないわね。
map_0364#16	まあ、どうでもいいことかもしれないけど。
