map_0369#19	デザイナー: なるほどな。
map_0369#20	古い診断キットを持ってきてるから、ボールに残ってるデータがあるか調べてみよう。
map_0369#22	……………
map_0369#23	……………
map_0369#24	うむ……データの破損はすでに96%だな。
map_0369#25	たぶん無駄だろうが、何が使えるか見てみるとしよう……
map_0369#26	ああ、じしゃくのこなか。
map_0369#27	これならひびの中に入り込むくらい小さい。うまくいけば、内部回路を再起動できる可能性がある。
map_0369#28	もちろん、回路ごと消し去ってしまう可能性もあるがな。
map_0369#29	だが、この状況じゃ他にましな手はない。賭けだ。
map_0369#30	デザイナー: それが分別のある選択だな。
map_0369#31	壊れたボールを捨てなきゃいけないのは、いつだって悲しいものだ。
map_0369#32	デザイナー: じしゃくのこなを持ってきたのか。その意気込みは大したもんだが、たぶん無駄になるぞ。
map_0369#33	とにかく、できることをやってみよう。
map_0369#34	破損は今、98%だ。
map_0369#35	中にいるけつばんを倒す覚悟はあるか? 野放しにするのはまずいからな。
map_0369#36	デザイナー: よし、そのつもりなら……
map_0369#37	この方法でやってみよう。
map_0369#38	デザイナー: じしゃくのこなを投入……回路が多少かき乱されるはずだ、うまくいけば、ボールが自分が壊れてることを一瞬「忘れる」かもしれない。
map_0369#39	それか、データが完全に消え去るかのどちらかだ。
map_0369#40	それじゃ、行くぞ……
map_0369#41	破損は99%に達した。どのみち、もう手遅れかもしれんな。
map_0369#42	来たぞ!
map_0369#43	ラルトス: ラル……?
map_0369#44	デザイナー: え? ポケモンが生き残った?
map_0369#45	でも、その確率は1%にも満たなかったはずだが……
map_0369#46	デザイナー: ふむ……この破損に耐え抜いたとは、このラルトス、よほど勇敢だったんだろう。
map_0369#47	ラルトスは忠実なポケモンとして知られているからな、消え去る前にトレーナーが解放してくれると信じていたのかもしれない。
map_0369#48	だが、破損が100%に達していたら、このラルトスは間違いなく消えていただろう。
map_0369#49	どうやら、ぎりぎり間に合ったようだな。
map_0369#50	お前の判断を疑ったりして。
map_0369#51	私の完全な過ちだ。すまなかったな。
map_0369#52	まあ、前のトレーナーがどうなったかは分からないし、このボール自体ももう使い物にならない。
map_0369#53	このラルトスは、もうお前のものだと言ってよさそうだな。
map_0369#54	ラルトス: ラルゥ……
map_0369#55	デザイナー: それなら、これはやらないほうがいい。どのみち意味はないだろう――バグまみれの苦しみから解放してやる、というくらいのものだ。
map_0369#56	デザイナー: じしゃくのこなが必要だな。
map_0369#57	回路ごと消してしまう可能性もあるが、この状況じゃ他にましな手はない。賭けだ。
map_0369#58	デザイナー: 壊れたボールを捨てなきゃいけないのは、いつだって悲しいものだ。
map_0369#59	お前は最後までラルトスを信じてたんだな。こいつには、お前みたいなトレーナーがふさわしいよ。
map_0369#60	「クリティカルキャプチャー」へようこそ! 追加の在庫が入ったんだ。見てみるか?
map_0369#61	良い狩りを、トレーナーよ。
map_0369#62	カウンターに、「クリティカルキャプチャー」の求人応募用紙の束が置いてある。
map_0369#63	一枚もらう?
map_0369#64	はい
map_0369#65	いいえ
map_0371#2	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0371#3	この岩の土台には、まだお宝が隠されているかもしれない。
map_0371#4	ばくはつのこなを使って開けますか?
map_0371#5	はい
map_0371#6	いいえ
map_0379#2	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0379#3	この岩の土台には、まだお宝が隠されているかもしれない。
map_0379#4	ばくはつのこなを使って開けますか?
map_0379#5	はい
map_0379#6	いいえ
map_0380#2	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0380#3	この岩の土台には、まだお宝が隠されているかもしれない。
map_0380#4	ばくはつのこなを使って開けますか?
map_0380#5	はい
map_0380#6	いいえ
map_0384#1	PULSE図鑑が更新された!
map_0390#0	アヤ: あ、\PN。
map_0390#1	思ったより早く追いついたね。
map_0390#2	ハーディ: よう!
map_0390#3	カイン: よぉ相棒、よぉ。
map_0390#4	アメトリンまでどこまで行けるか試してみるって言ってたの、覚えてるか?
map_0390#5	その、えっと……
map_0390#6	見ての通りだよ。
map_0390#7	ハーディ: 見ての通り、完全に凍りついちまってる。
map_0390#8	……なんつーか、そのまんまな意味でな。
map_0390#9	アヤ: ……で、アメトリンって雪深い街だよね?
map_0390#10	ハーディ: ほぼ間違いなくな。
map_0390#11	この地方で一番高い山の頂上にあるんだから、そうもなるさ。
map_0390#12	アヤ: それで、ちょっと気になったんだけど、
map_0390#13	あそこ、食料はどうやって手に入れてるの?
map_0390#14	ハーディ: え、どういう意味だ?
map_0390#15	アヤ: だって、寒すぎて何も育てられないから、輸入してるんだろうけど……
map_0390#16	でも、道がないんだとしたら……
map_0390#17	カイン: え、物資もなく閉じ込められてるってこと?
map_0390#18	アヤ: 分かんないけど、ふと思っただけ。
map_0390#19	ハーディ: なおさら突破しないとな!
map_0390#20	ギガイアス!
map_0390#21	ハーディ: よし、ギガイアス、あの氷をたたき割ってこい!
map_0390#22	1、2の、1-2-3-4!
map_0390#23	カイン: へこみもしないな……
map_0390#24	ハーディ: おい、マジかよ?
map_0390#25	ギガイアスでも傷ひとつつかないなら、他の何にも無理だろうな。
map_0390#26	この氷、一体何でできてるんだ?
map_0390#27	アヤ: えっと……
map_0390#28	氷……とか?
map_0390#29	ハーディ: ああ、そうだよな……
