map_0412#42	アヤのことも……
map_0412#43	こんなこと、絶対に許すわけにはいかねえ!
map_0412#44	ハーディ: よう、\PN!
map_0412#45	え、ここに来る途中でシャルロットとサファイラに会ったのか?
map_0412#46	俺は全然見かけなかったな……すれ違っちまったのかもな。
map_0412#47	じゃあ、二人とも無事だったってわけか。よかったな。
map_0412#48	心配する相手が二人減ったってのはありがたいぜ!
map_0412#49	で、リニによると、眠りの効果の発信源はここより東のどこかにあるはずなんだ。
map_0412#50	エイミーは倒したんだよな、相棒?
map_0412#51	なら、これを受け取ってくれ!
map_0412#52	ハーディ: しばらく預かってたんだ。
map_0412#53	前までは大して役に立たなかっただろうけど、今ならこういう急な壁も登れるようになるぜ!
map_0412#54	まあ、もう分かってたと思うけどな。
map_0412#55	なら、無駄にしてる時間はねえな!
map_0412#56	俺は先に行くぜ。
map_0412#57	アゲートシティを取り戻そうぜ!
map_0412#58	それに、いずれは……アヤのことも。
map_0412#59	おっと、ここを通りたかったのか?
map_0412#60	悪いな!
map_0412#61	さっき道の上のほうから岩がどっと落ちてきちまってな、でも心配すんな!
map_0412#62	すぐに片付けるから、ちょっとだけ待っててくれ。
map_0412#63	戦わずにここまで来られるとでも思ったのか?
map_0412#64	エディ: 待て――お前は――
map_0412#65	俺のエリートハッカー軍団を倒すなんて信じらんねえ……
map_0412#66	キャンプファイヤーの燃えかすの中で何かが光っているが、取り出すことはできそうにない。
map_0412#67	火花を起こせば、引き出せるかもしれない。
map_0413#0	エクリプス: 元気でね、アスター。
map_0413#1	たまには顔出しなよ。
map_0413#2	エクリプス: まあ、ちょうどいいタイミングで来てくれて助かった。
map_0413#3	これ以上ないタイミングだったよ。
map_0413#4	そういうの、得意みたいね。
map_0413#5	それに、もう抵抗しなくていいのは、正直ほっとする。
map_0413#6	寄ってくれてありがとう。
map_0413#7	そういえば、これ、渡そうと思ってたの。
map_0413#8	エクリプス: なぜか、目が覚めたらポケットに入ってて。
map_0413#9	わたしには使い道がないから、はい、どうぞ。
map_0413#10	改めて、ありがとう……
map_0413#11	エクリプス: その、色々と、全部。
map_0413#12	デリバードが玉ねぎを刻むところを急に見たくなったら、どこに来ればいいか、まあ分かるよね。
map_0413#13	またね。
map_0413#14	ねえ、それで……
map_0413#15	もう外を出歩いても安全なの?
map_0413#16	ちょっと気になってたんだけど、えっと……
map_0413#17	その、チームメテオが悪者だってことは分かってるんだけど……
map_0413#18	でも……幹部の何人か、衣装がすごくかっこよくない?
map_0413#19	バリアのところまで行って丁寧にお願いしたら、衣装の仕入れ先、教えてくれるかな?
map_0413#20	あら!
map_0413#21	本当にバリアを撤去してきたの?
map_0413#22	これでやっと、チームメテオの誰かにファッションのこと聞きに行けるかも!
map_0413#23	でも、考えてみたら……
map_0413#24	ラブラドラから死の光線とか爆発とかが飛んでこなくなるまで、聞くのは待とうかな。
map_0413#25	え、なんて?
map_0413#26	チームメテオはラブラドラから追い出されたの?
map_0413#27	で、でも聞きたいことがあったのに!
map_0413#28	女の子には新しいファッションのインスピレーションが必要なのよ!
map_0413#29	この雑誌たちじゃもう物足りないの!
map_0413#30	はは、というか……
map_0413#31	街が安全になったのよね! そうだよね……
map_0413#32	よお! トレーナーさん!
map_0413#33	聞いてくれよ、ファッションはもう卒業だ。俺はラジオスターになるんだ! それかテレビのスター!
map_0413#34	ナイトクラブに入れてもらえるよう、口利きしてくれないか?
map_0413#35	コネくらいあるだろ?
map_0413#36	というか――
map_0413#37	みんなを救ってくれてありがとうな!
map_0413#38	俺のファッションのインスピレーション……とかそういうんじゃないやつからな……
map_0413#39	おい、トレーナー!
map_0413#40	ずっと閉じ込められてたんだ――ようやくここから出られるのか?
map_0413#41	また4番道路を登りたくてうずうずしてたのに、あのレーザーだかなんだかのせいで、家から出ることすらできなかったんだよ……
map_0413#42	今度こそ、アゲートまでたどり着けると思うか?
map_0413#44	今はあんまりいい考えじゃないかもな。
map_0413#45	やあ、トレーナーよ!
map_0413#46	お前さんのおかげで、ようやく思う存分ハイキングに出られるようになったぞ!
map_0413#47	アゲートまで行ってやる!
