map_0414#67	リン: 先生がお呼びよ。
map_0414#68	キャル: チッ、こんなに早く足止め食らうつもりはなかったんだけどな……
map_0414#69	ジュリア: 今日は決着をつける日〜\nAllつまり、わたしたちが戦争に勝つ日ってこと〜!
map_0414#70	チャーレムは戦いに集中している!
map_0414#71	マルマインは戦いに集中している!
map_0414#72	ハーディ: おい、俺の足止めするつもりなら、片付けた後くらい道案内してくれよな!
map_0414#73	返事はない。
map_0414#74	ガオガエンは戦いに集中している!
map_0414#75	ヴィクトリア: 目の前の敵に集中しなさい。
map_0414#76	戦いの最中には、それ以外何も重要じゃない。
map_0414#77	他のことなんて、意味を持ちようがない……
map_0414#78	PULSE2の力がこっちにある以上、何も恐れる必要はない――あんたのことすらもね!
map_0414#79	キーナン: チッ……しくじった! あとは他の連中のポケモンが、あんたを倒すしかねえな!
map_0414#80	マジで、その子たちに何食わせてんだよ?
map_0414#81	計画完成前の最後のあがきだ――負けるわけにはいかねえ!
map_0414#82	ダイアナ: バトルに勝つことより、戦争に勝つのよ! ひとつ負けても、もうひとつ勝てばいい!
map_0414#83	まだ希望はある……
map_0414#84	サファイラ: 今度は違う。
map_0414#85	リン: 「違う」なんて安っぽい言葉ね。
map_0414#86	成功なんて紙みたいに薄っぺらい。
map_0414#87	あんたと同じでね。
map_0414#88	忘れたの?
map_0414#89	サファイラ: 何を忘れたって言うの? この前――
map_0414#90	サファイラ: うっ――それは――
map_0414#91	立ち向かえないものなんてない!
map_0414#92	リン: 一人ならね、たぶん。
map_0414#93	でも、これは一人じゃない。
map_0414#94	そして、あんたはいつだって一人だった。
map_0414#95	リン: あんたは誰かを守れるほど強かったことなんて、一度もない。
map_0414#96	特に、自分自身をね。
map_0414#97	あれはただの、追い詰められた子供のうそだった。
map_0414#98	誰も答えてくれることのない、助けを求める叫び。
map_0414#99	???: これで答えになるかしら――
map_0414#100	ヘザー、かまいたち!
map_0414#101	シェリー: 大丈夫?
map_0414#102	サファイラ: あら……あなた、あの子……
map_0414#103	シェリー: 「あの子」じゃなくて、
map_0414#104	こうやって助け起こしてあげてるんだから、せめて名前くらい覚えてよ。
map_0414#105	シェリー: シェリーよ。
map_0414#106	いつか、世界一のむしタイプのジムリーダーになるんだから、覚えておいてね?
map_0414#107	サファイラ: フン。
map_0414#108	よく言うわね。
map_0414#109	ありがとう、シェリー。
map_0414#110	ティタニア: 誰か援軍でも呼んだかしら?
map_0414#111	シェリー: あの人を相手するの、手伝うよ!
map_0414#112	リン: 数なんて役に立たない。
map_0414#113	フロリニア: 統計的にはあり得ない話です。
map_0414#114	リン: 戦術なんて役に立たない。
map_0414#115	サファイラ: それなしで動く人間なんていないでしょう。
map_0414#116	リン: 友達なんて役に立たない。
map_0414#117	シェリー: 見てなさい!
