map_0417#520	もしかしたら、あなたを守れていたのかもしれない。
map_0417#521	それとも、守れていなかったのかも。
map_0417#522	どうして分かるっていうの?
map_0417#523	サーキットの中で過ごした時間や、あなたと離れていた時間を思うと、確信なんて持てない――
map_0417#524	それに、他の子供たちのことだって、まだ何も言ってない――
map_0417#525	ずっと考えてた――
map_0417#526	あなたにも、その兆候はある――
map_0417#527	どっちにでも、起こり得ることだった――
map_0417#528	もしかしたら、ただ記憶を閉ざしただけかもしれない。
map_0417#529	あの人が、そのことを教えてくれたんだよね?
map_0417#530	ローラ: サファイラ、あなた何を――
map_0417#531	サファイラ: 知らなかったの……
map_0417#532	あなたを守るはずだったのに……
map_0417#533	知らなかった……
map_0417#534	ごめんなさい……
map_0417#535	ごめんなさい、でも……
map_0417#536	あの人のことは、絶対に許せない。
map_0417#537	一秒たりとも。
map_0417#538	あんな人間でいる限り、無理。
map_0417#539	子供にあんなことをするような人間には――
map_0417#540	ああいう人間は、変わったりしない。
map_0417#541	力を持つ者が虐待に手を染めるなら、その力を失うまで、虐待をやめたりしない。
map_0417#542	こんなことが、これ以上何度も起きるなんて耐えられない――
map_0417#543	あなたにも、
map_0417#544	他の子供たちにも。
map_0417#545	だから、わたしが直接、あの人からその力を奪う。
map_0417#546	あの人が持っているもの全部、奪ってやる。
map_0417#547	わたしが感じた恥を、あの人にも思い知らせてやる。
map_0417#548	ローラ: 人が変わることが不可能だとは、わたしは思わない………
map_0417#549	それでも、暴力だけが答えだなんて、信じたくない。
map_0417#550	それって、今までの繰り返しを、ただ続けているだけなんじゃない?
map_0417#551	サファイラ: そういう考え方こそが、それを続けさせるのよ。
map_0417#552	だから、あなたみたいな人が傷つくことになるの!
map_0417#553	ローラ: それなら、わたしは傷つくほうを選ぶわ。
map_0417#554	サファイラ: だったら、あなたはまだ甘いのよ。
map_0417#555	まだ子供のまま……
map_0417#556	ローラ: あなたの導きと守りには感謝してる。でも、何が最善かを自分で考える権利くらい、わたしたちにもあるんじゃない?
map_0417#557	シャルロットも、\PNも、みんなにも。
map_0417#558	シャルロット: 今さらわたしを巻き込まないでよ。
map_0417#559	ローラ: このジレンマは、わたしたち全員のものよ。
map_0417#560	シャルロット: 何、\PNも?
map_0417#561	ローラ: そういうつもりで言ったんじゃ――
map_0417#562	シャルロット: 聞いての通りよ。
map_0417#563	で、あんたはどう思うわけ?
map_0417#564	虐待への答えとして、暴力を使うのはアリだと思う?
map_0417#565	シャルロット: 陪審の判決は出た。わたしは降りる。
map_0417#566	シャルロット: へえ、どっちの味方もしないのが無難な選択ってわけね。
map_0417#567	でも、それには賛成かな。
map_0417#568	誰かが道徳的な正しさを主張するようなことじゃないと思うし。
