map_0418#96	ちょっとここで休憩してただけ――あの子を運ぶのって、思ったより大変なのよ。
map_0418#97	ひどい状態だけど、生きてる。
map_0418#98	それが大事なところ。
map_0418#99	それに、もしこれがチームメテオの仕業だと思ったら、ラブラドラシティはもう焼け野原になってるはず。
map_0418#100	でも、下の被害の様子からすると、たぶんあの子が自分でやったんだと思う。
map_0418#101	暴れ回って、
map_0418#102	無防備な機械に八つ当たりしたのよ。
map_0418#103	たぶん、その過程で自分にも感電したんでしょうね。
map_0418#104	それと、あの子の手を見て。
map_0418#105	それ、ローラの髪の毛の束よ。よくもまあ、まだ握りしめたままね。
map_0418#106	きれいに切られてるように見える。
map_0418#107	たぶんチームメテオがローラから切り取って、餌としてあそこに置いていったんだと思う。
map_0418#108	ただの推測だけど、サファイラがそれを見て、逆上したんだと思う。
map_0418#109	今回が初めてってわけでもないし。
map_0418#110	つまり、あいつらはローラも捕まえてて、わたしたちが欲しいってわけ。
map_0418#111	たぶん、全員ね。
map_0418#112	何か手を打つつもり?
map_0418#113	シャルロット: そうそう、鉄球さん、代わりにその餌に食いついてきなさいよ。
map_0418#114	あのホラー映画の夢、叶えてあげて。
map_0418#115	シャルロット: それが分別のある判断ってやつね。
map_0418#116	でも、分別があるだけで、どこかにたどり着けた人なんている?
map_0418#117	わたしもローラを探しに行きたい気持ちはあるけど、この状態のサファイラを置いていくつもりはない。
map_0418#118	だから、あんたが何をするにしても、頑張って。
map_0418#119	シャルロット: サファイラをここまで運んでくるのに、結局けっこう時間かかっちゃったみたい。
map_0418#120	まあ、いいけど。
map_0418#121	そのうち、あの子を安全な場所に連れて帰るから。
map_0418#122	それまでの間、わたしの代わりに暴れてきて。
map_0418#123	返事はない。
map_0418#124	きれいに切られたピンクの髪の束が、まだ握りしめられた拳の中に巻きついている。
map_0418#125	はい
map_0418#126	いいえ
map_0420#0	オブシディアでは何が起きているのだろう?
map_0420#1	コーラルワードは小さいながらも、かつては活気ある大きな波止場だった。
map_0420#2	湖が毒に侵されてからというもの、波止場は閉鎖され、今ではゴーストタウンのようになっている。
map_0422#0	ジャスパーワードを通り抜けるつもりなら? これをいくつか持っていくのをおすすめするよ!
map_0424#0	ラピスは、リボーンで一番裕福なワードだ。
map_0424#1	残念ながら、そのせいでギャング活動の格好の標的にもなっている。
map_0424#2	年寄り連中は、自分で街のために働こうなんて誰も思っちゃいない……
map_0424#3	でも、修理費用のためにあいつらからしっかり金を絞り取ってやったのは間違いない!
map_0425#0	自動販売機だ。\nどの飲み物にする? \G
map_0425#1	\Gおいしいみずが出てきた!
map_0425#2	\Gボーナス! もう一本、おいしいみずが出てきた。
map_0425#3	\Gバッグに空きがない。
map_0425#4	\Gお金が足りない。
map_0425#5	\Gサイコソーダが出てきた!
map_0425#6	\Gボーナス! もう一本、サイコソーダが出てきた。
map_0425#7	\Gミックスオレが出てきた!
map_0425#8	\Gボーナス! もう一本、ミックスオレが出てきた。
