map_0462#60	ヘザー: あの、もしもし?
map_0462#61	無理。
map_0462#62	まだドアがあるんだもん。
map_0462#63	シェリー: ち、違うの、ヘザーじゃなくて! ごめんね!
map_0462#64	はい
map_0462#65	いいえ
map_0464#0	タマゴが置き去りにされているようだ。
map_0464#1	受け取りますか?
map_0464#2	\PNはタマゴを手に入れた!
map_0467#0	ティタニア: あたしがどれだけここに閉じ込められてると思ってんの?
map_0467#1	ティタニア: だって、あたしにも分かんないんだもの。
map_0467#2	ようこそ、ねずみ取りへ。
map_0467#3	ここに来たときにはもう、メテオの連中がアマリアを連れ去った後だった。
map_0467#4	チームメテオがここにいるなんて、正直ちょっと驚きね。
map_0467#5	まあ、下水道はねずみが集まる場所だもの。
map_0467#6	ティタニア: その理屈だと、フロリニアの弟もここにいるかもしれないわね……
map_0467#7	ティタニア: 見ての通り、最初の一団はもう片づけたわ。
map_0467#8	認める、ちょっとキレたけど、あたしなりに……ちゃんと対処したと思う。
map_0467#9	それでこの中に閉じ込められたってわけ。
map_0467#10	それ以来、ずっと動けないの。
map_0467#11	尋問しようとはしたのよ。
map_0467#12	でもそれって、相手を殺す前にやったほうが効果的なのよね。
map_0467#13	ナディラ: 残念ね。
map_0467#14	ティタニア: とにかく、そういう状況ってわけ。
map_0467#15	まさかとは思うけど、ここの鍵とか持ってないわよね。
map_0467#16	だって聞くところによると、あんた、人のものを勝手にあさる癖があるらしいじゃない。
map_0467#17	時にはそれが役に立つこともあるでしょ。
map_0467#18	ティタニア: お客さんね。やっと来た。
map_0467#19	ティタニア: ギルガルド。
map_0467#20	ティタニア: あたしのいる部屋に足を踏み入れたのが、あんたの最後の愚行になるわよ。
map_0467#21	メテオ団員: 新任の司令官が現場に到着しました。
map_0467#22	我々はあなたに、この浄水センターの奥への立ち入りを許可するよう指示されています。
map_0467#23	ティタニア: なんで?
map_0467#24	メテオ団員: それにはお答えできません。
map_0467#25	私はただ、上位の信仰の指示に従っているだけです。
map_0467#26	ティタニア: いいわ、命令に従って生きなさい。
map_0467#27	そのまま、命令のために死になさい。
map_0467#28	メテオ団員: お前――
map_0467#29	ティタニア: またね。
map_0467#30	ティタニア: 閉じ込められてたのも、これまでね。
map_0467#31	あんたと同時に、新しい司令官が到着したってわけ。
map_0467#32	それについて詮索するのはお互いやめとくわ。
map_0467#33	連中はドアを開けっぱなしにしていった。
map_0467#34	明らかに罠ね。
map_0467#35	でも今は、それを気にしてる余裕なんてないけど。
map_0467#36	ティタニア: 遅かったじゃない。
map_0467#37	あいつと戦ったんでしょ。
map_0467#38	まあいいわ。
map_0467#39	自分で決めたことなんだから、その結果は自分で引き受けなさい。
map_0467#40	デリバランスがあたしたちを上に連れて行ってくれる。
map_0467#41	ティタニア: デリバランスがあたしたちを上に連れて行ってくれる。
map_0467#42	あんたのポケモンに二人でぎこちなくしがみつくよりはマシね。
map_0467#43	だから、結局あんたは必要なかったってわけ。
map_0467#44	……でも、まあ、連れてきたこと自体は後悔してないわ。
map_0467#45	悪いとも思ってないけどね。
map_0467#46	行くわよ。
map_0467#47	このファイルで浄水センターの探索をスキップする?
map_0467#48	これをすると、物語に関わる重要な部分を飛ばすことになる。
map_0467#49	本当に続けてもいい?
map_0467#50	はい
map_0467#51	いいえ
map_0468#0	ラピスシャッター解除
map_0468#1	アルセウスは救われなければならない。それだけが真の道だ。
map_0468#2	アークトゥルス: なぜこのような苦しみをもたらすのだ?
map_0468#3	我々は救済者である。救われるべきは我らの主なのだ。
map_0468#4	いずれ、その異端の報いを受けることになるだろう。
map_0469#0	「G.U.M.の部屋」
map_0469#1	鍵がかかっている。
map_0469#2	\PNはGUMのカギを使った。
map_0469#3	ドアが開いた!
map_0469#4	中央オブシディアシャッター解除
map_0469#5	ティタニア: ちょっと待って。
map_0469#6	二回くらいジャンプしたってめまいなんて起こさないと思うでしょ、でも滝から飛び降りて、その後クソ長いこと底に座り込んでたら話は別なのよ。
map_0469#7	とにかくアマリアを見つけて、メテオの顔面をぶん殴って、さっさとここを出ましょう。
map_0469#8	その後、あたしがどこに行くかなんて誰にも分からないけど。
map_0469#9	こんなことがあった後じゃ、エイミーの家に居座るなんてまず無理ね。あたしをドブに突き落としたって、彼女には十分その権利がある。
map_0469#10	自分のしたことは好きじゃない。むしろ嫌悪してるくらい。
map_0469#11	でも自分の理由は分かってる。許しも償いも要らない。ただ問題を解決したいだけ。
map_0469#12	彼女を無事に取り戻して、それから――
map_0469#13	それから、彼女の前から消える。永遠に。
map_0469#14	みんなの前からもね。
map_0469#15	中央オブシディアゲート起動
map_0469#16	ティタニア: くそ、腹減った。
map_0469#17	聞くのは嫌だけど、何か食べるもの持ってない?
map_0469#18	分けてもらえるなら、アイスがめちゃくちゃ食べたい。
map_0469#19	キャンディでもいいわ。それくらい我慢できる。
map_0469#20	……持ってるのはブルームーンアイスだけ?
map_0469#21	じゃあいいわ。それ、貴重なやつだから。自分のために取っておきなさい。
map_0469#22	\PNはバニラアイスを渡した。
map_0469#23	ティタニア: 今まで食べた中で一番おいしいアイスね。こんな場所でこれを食べることになるなんて。
map_0469#24	\PNはハッカキャンディを渡した。
map_0469#25	ティタニア: 今まで食べた中で一番うまいキャンディね。普段はこういうの、そんなに好きじゃないんだけど。
map_0469#26	\PNはチョコアイスを渡した。
map_0469#27	\PNはパチパチキャンディを渡した。
map_0469#28	\PNはチューインガムを渡した。
map_0469#29	\PNはストロベリーアイスを渡した。
map_0469#30	\PNはソルトタフィーを渡した。
map_0469#31	\PNはシナモンキャンディを渡した。
map_0469#32	\PNはわたあめを渡した。
map_0469#33	ティタニア: どうせ自分だけでも何とかできるわ。
map_0469#34	でも、ありがと。
map_0469#35	これで十分。少し待って、それで準備できるから。
map_0469#36	ティタニア: 「いらない」ってどういうこと?
map_0469#37	いらないって言ってるの。欲しくないの。
map_0469#38	ティタニア: 気持ちだけもらっとく。そこまで落ちぶれてないから。
map_0469#39	ティタニア: あんたに返せるものなんて何もないけど。
map_0469#40	何が目的なの?
map_0469#41	これが何をするか分かってて渡そうとしてるの? それとも他に理由でもあるわけ?
map_0469#42	いいから、そのアイスは自分でとっとけばいいでしょ。
map_0469#43	ティタニア: やっとね。
map_0469#44	ティタニア: いいわ、そこまで押し付けたいなら、好きにして。もらっとく。
map_0469#45	渡しなさい。もう気にしないから。
map_0469#46	\PNはブルームーンアイスを渡した。
map_0469#47	ティタニア: でも、お礼は言わないから。
map_0469#48	これ、実際すごくおいしいけど。
map_0469#49	評判通りってわけね。
map_0469#50	ああもう、五回くらい断ったのに、なんだか申し訳なくなってきた。
map_0469#51	半分こしようかって聞きたいけど、それはちょっと変よね。
map_0469#52	だから。
map_0469#53	ありがと。
map_0469#54	文句あるなら言えば。
map_0469#55	とにかく、これ食べ終わったら、メテオの連中をぶちのめしにいきましょう。
map_0469#56	ティタニア: チッ、いいわよ。どうせ自分で乗り越えるから。施しなんていらない。
map_0469#57	ティタニア: これで十分。少し待って、それで準備できるから。
map_0469#58	ティタニア: とにかく、これ食べ終わったら、メテオの連中をぶちのめしにいきましょう。
map_0469#59	中央オブシディアゲート2起動
map_0469#60	中央オブシディアシャッター2解除
map_0469#61	はい
map_0469#62	いいえ
map_0471#0	オニキスシャッター解除
map_0471#1	ティタニア: 今度は何?
map_0471#2	タカ: ああ、まずいな……
map_0471#3	水位が下がって、離れ離れになって取り残される……
map_0471#4	さて、どうする気だい?
map_0471#5	ティタニア: このまま様子を見ればいいでしょ。
map_0471#6	タカ: うーん、それはやめとくよ。
map_0471#7	ティタニア: あんたが、みんなが言ってた新しい司令官?
map_0471#8	タカ: 自分が司令官って柄かどうかは分からないけど、ここでやってることはまあそんな感じかな。
map_0471#9	ティタニア: ふーん。
map_0471#10	それで、何が目的なの?
map_0471#11	タカ: 目的?
map_0471#12	僕はただ命令に従ってるだけだよ。
map_0471#13	ティタニア: さっきの男も同じこと言ってたわね。
map_0471#14	あいつはうまくいかなかったけど。
map_0471#15	そもそも、あたしたちをここに入れて、何を成し遂げるつもりなの?
map_0471#16	あたしたちを入り口に閉じ込めたまま、アマリアとサファイアのブレスレットを持ち去ることだってできたはずでしょ。
map_0471#17	でも、そうしなかった。何か理由があるはずよ。
map_0471#18	教えなさい。
map_0471#19	タカ: 質問も要求も多いなぁ……
map_0471#20	今、それを言える立場だと思ってるの?
map_0471#21	ティタニア: 話をそらすのはやめて。
map_0471#22	答えなさい。
map_0471#23	タカ: いやぁ、それはやめとくよ。
map_0471#24	だって、なんで敵になるはずの相手にそんな情報を教えないといけないの?
