map_0494#14	これから、こうするから。
map_0494#15	あんたを殺す。
map_0494#16	ティタニア: これで。かつてのあんたはもう死んだの。
map_0494#17	そして二人とも、どこか遠くへ行って、こんなことは全部忘れて、本当に自分のために生き始めなさい。
map_0494#18	分かった?
map_0494#19	じゃあ、行きなさい。
map_0494#20	ティタニア: あっさり殺しちゃうより、全然満足できないわね。
map_0494#21	ティタニア: あとのドアはあんたに任せるわ。
map_0494#22	ティタニア: あら、もう終わったの。
map_0494#23	残り少ないエネルギーで無茶するけど、大目に見てね。
map_0494#24	ティタニア: とにかく、あとのドアはあんたに任せるわ。
map_0495#0	ベリルシャッター解除
map_0495#1	管理室解除
map_0495#2	「管理室」
map_0495#3	鍵がかかっている。
map_0496#0	「管理室」
map_0496#1	鍵がかかっている。
map_0496#2	ベリルシャッター解除
map_0496#3	管理室解除
map_0496#4	ティタニア: 先に行くわ。
map_0496#5	ティタニア: 冗談でしょ、マジで。
map_0496#6	ティタニア: また、あたしが足止めってわけ。最高ね。
map_0496#7	これって何かの比喩のつもり? だとしても全然分かんないんだけど。
map_0496#8	この部屋の水位操作はここにあるみたいだけど、あたしにはあんまり役に立たなそうね。
map_0496#9	それはあたしがやっとくから。あんたはどこまで進めるか見てきて。
map_0496#10	あたしを置いていくなんて、考えるだけでも許さないから。
map_0496#11	ティタニア: 何か見つかった?
map_0496#12	やっぱりメインタービンだったのね。
map_0496#13	連中、単純すぎるのよ。
map_0496#14	あれが片付いたから、これでシステムを洗い流せるはずね。
map_0496#15	やりましょう。
map_0497#0	シェイド: 忘れるな:
map_0497#1	四つの画面が、四つの魂の見放された運命を告げていた、
map_0497#2	まことに、その予兆の中から選ばれるのは、ただ二つのみ。
map_0497#3	北オブシディアシャッター解除
map_0498#4	鍵がかかっている。
map_0499#0	オニキスシャッター解除
map_0499#1	今の私の務めは果たされた。もう二度と、私があなたを煩わせることはない。
map_0500#0	コーラルシャッター解除
map_0500#1	あたしのはずだったのに……
map_0501#0	オパールシャッター解除
map_0501#1	サンディ: ちょっと! なんなの、もう?!
map_0501#2	びしょ濡れにするところだったんだから!
map_0501#3	このファイルで水の浄化をスキップする?
map_0502#0	\PNはPULSEデータ03を手に入れた!
map_0502#1	PULSE図鑑が更新された!
map_0502#2	「システム倉庫」
map_0502#3	鍵がかかっている。
map_0502#4	ペリドットシャッター解除
map_0502#5	ペリドットゲート起動
map_0502#6	システム倉庫解除
map_0503#0	ラピスシャッター解除
map_0503#1	我々は救済者である。救われるべきは我らの主なのだ。
map_0503#2	いずれ、その異端の報いを受けることになるだろう。
map_0504#0	「ベリル水路網」
map_0504#2	\PNはベリルはいでんもうのカギを使った。
map_0505#0	「管理室」
map_0505#2	ベリルシャッター解除
map_0505#3	管理室解除
map_0505#4	ティタニア: これで街全体がきれいな水になったはずね。
map_0505#5	アマリアも誇りに思ってくれるはず。
map_0505#6	あとは彼女が目を覚まして、それを見られるようにしないと。
map_0505#7	ティタニア: はっ。
map_0505#9	そこからじゃ見えないでしょうけど、この部屋の奥のゲートの一つが、今、動き出したの。
map_0505#10	ずらっと並んでるの。多分、それぞれこの施設の各部屋に対応してるんだと思う。
map_0505#11	水がきれいになると、起動する仕組みみたい。
map_0505#12	あれが全部開けば、あたしもここから出られるはずよ。
map_0505#13	だから、あんた次第ってわけね、坊や。
map_0506#0	割れたガラスで\PNは痛みを受けた!
map_0506#1	セラ・ヴォクランさんの鏡の闘技場へようこそ!
map_0506#2	喜んでお手伝いしますとも――
map_0506#3	あなたにその資格があれば!
map_0506#4	リディア: へえ~ つまり、自分には資格があるって言いたいわけ?
map_0506#5	ここでは、鏡の壁を突き破ることで先に進めるの。
map_0506#6	でも気をつけて!
map_0506#7	通り抜けられる場所は一つだけ、違うところを割ると痛い目に遭うわよ!
map_0506#8	ヒントが欲しい?
map_0506#9	まずは自分の力を証明してもらわないとね!
map_0506#10	ラリア: ハハ~ 証明できたって思っていいわよ!
map_0506#11	どこを通り抜ければいいか知りたければ、対称性が崩れているところを探して!
map_0506#12	セラ様って、本当にすごい人なのよ?
map_0506#13	あなたを彼女のところには行かせないから!
map_0506#14	ラニア: 知ってた? 彼女、昔は有名なモデルだったのよ! テレビや雑誌にひっぱりだこだったんだから!
map_0506#15	あたしも頑張り続ければ、いつか彼女みたいな立場になれるかも!
map_0506#16	セラ様って昔はすっごくかっこよかったのよ!
map_0506#17	本当に彼女に挑む資格があるの?
map_0506#18	レイラ: 何でも手に入れられたはずなのに、息子のためにそれを全部手放したのよ。すごい献身だと思わない? でも、ちょっと切ないところもあるけど……
map_0506#19	ベネットはもっと感謝してもよさそうなものだけどね……
map_0506#20	ベネット: \PN。元気そうだな。
map_0506#21	単刀直入に言おう。
map_0506#22	あなたと戦わせてもらえれば、大変ありがたいのだが。
map_0506#23	つまり、母に挑む者とは全員、戦いを申し込むことにしているのだ。
map_0506#24	いずれは自分もジムリーダーになりたいと思っているのでね、これが自分を鍛える最も効率的な方法ではないかと。
map_0506#25	それでは、あなたを相手に自分の力を試させてもらおう!
map_0506#27	エル: 見事だ、若人たちよ。
map_0506#28	あなたたち二人は、アルセウスの光の恩恵を受けているのだと思う。
map_0506#29	ベネット: それは「光」などではなく、努力と献身の結果だと思っていますが。
map_0506#30	エル: そして、その努力こそが、あなたを遠くまで導いてくれるだろう。
map_0506#31	しかし、ベネット、あなたの夢はまだ小さすぎると言ったら、信じてもらえるだろうか?
map_0506#32	ベネット: 小さすぎる、ですか?
map_0506#33	エル: そうだ。
map_0506#34	あなたはジムリーダーになりたいと言うが、
map_0506#35	あなたのその決意があれば、四天王にまで名を連ねることさえできると、私は思っている。
map_0506#36	ベネット: そ、それは……考えられません! 四天王、本当にですか?
map_0506#37	素晴らしい話ではありますが――
map_0506#38	ご覧の通り、まだそのチャンスにすら程遠い状態で……
map_0506#39	エル: そうかもしれない。
map_0506#40	だが、あなたほどの献身があれば、私が力になれるのではないかと思う。
map_0506#41	あなたの友人には、挑戦を続けてもらうとしよう。
map_0506#42	詳しい話は別の場所でしよう、そのうちあなたも新しい立場を得ることになるかもしれない。
map_0506#43	ベネット: そ、それは……
map_0506#44	本当ですか?!
map_0506#45	エル: 本当だ。
map_0506#46	ベネット: では、すぐにでも参りましょう、エル様!
map_0506#47	こちらへ!
map_0506#48	エル: あなたにも祝福を、\PN。
map_0506#49	すべては、主の瞳に映し出されている。
map_0506#50	そのことを、忘れないでほしい。
map_0506#51	セラ: わたくしの闘技場へようこそ。
map_0506#52	見栄っ張りだと思われるかもしれないけれど、わたくし、昔から鏡がとても好きなの。
map_0506#53	鏡は、見た目以上のものを映し出すから。
map_0506#54	わたくしは、自分の人生が銀色の額縁に描かれていくのを見てきたわ。
map_0506#55	そして、その同じ額縁が砕け散って、今のわたくしの人生になるのも見てきたの。
map_0506#56	それでいいんだと思うけれど。
map_0506#57	こおりタイプは一番美しいタイプよ。
map_0506#58	反射と、結晶の不完全さの中にこそ、芸術があるの。
map_0506#59	でも、わたくしの話はもう十分ね。
map_0506#60	古い人形のたわごとなんて、聞きたくないでしょう。
map_0506#61	始めましょうか?
map_0506#62	セラ: どんな経験も、二つと同じものはないわ。
map_0506#63	鏡は、同じ姿を二度と映さないもの。
map_0506#64	くじけそうになったら、すべては変わっていくものだと思い出して。
map_0506#65	セラ: それじゃあ、始めましょうか。
map_0506#66	あなたの場所へ。
map_0506#67	セラ: 成功を重ね続ければ、いずれ失敗も訪れるものよ。
map_0506#68	あなたにも、いつかその瞬間が来るわ。
map_0506#69	ベネット: こちらです。
map_0506#70	エル: ここでの話は、あちらに聞こえるだろうか?
map_0506#71	ベネット: それはまた、変なことを聞きますね……
map_0506#72	でも、手が空いていれば聞こえるかもしれません。
map_0506#73	これはマジックミラーなので、姿は絶対に見えませんが、防音というわけではありませんから。
map_0506#74	エル: なるほど。
map_0506#75	セラ: これも、あっという間に終わってしまうわ。
map_0506#76	他のすべてと同じようにね。
map_0506#78	セラ: もう、わたくしの限界のようね。
map_0506#79	エル: ベネット。少し外に出ようか。
map_0506#80	ベネット: え……? はい、分かりました。
map_0506#81	セラ: このしものバッジは、もうあなたのものよ。
map_0506#82	\PNはしものバッジを受け取った!
map_0506#83	セラ: しものバッジがあれば、レベル55までのポケモンが、喜んであなたの言うことを聞いてくれるわ。
map_0506#84	それと、このわざマシンも受け取ってちょうだい。
map_0506#85	セラ: もうご存じかもしれないけれど、オーロラベールはチームを守るのに長けていて、見た目もとても美しいのよ。
map_0506#86	もっとも、他のすべてと同じように、やがて消えてしまうけれど。
map_0506#87	それで、ショーはおしまい。もし――
map_0506#88	セラ: ……今度はポケモンセンターがうちに倒れてきた、なんて賭けをする人はいるかしら?
map_0506#89	見てくるわね。
map_0506#90	セラ: さあ、どうかしら?
map_0506#91	今度は大ホールごと来ちゃったのかもね。
map_0506#92	セラ: 急がなくて大丈夫よ。
map_0506#93	ポケモンショップだって、そう簡単にはどこにも行かないでしょうし。
map_0506#94	準備完了
map_0506#95	まだ
map_0507#0	\PNはフィールド効果データ04を手に入れた!
map_0507#1	暗黒クリスタルのどうくつの情報が見られるようになった!
map_0508#0	部下: 隊長、ご無事ですか?
map_0508#1	部下: ……隊長?
map_0508#2	ソラリス: もういい。無事だ、ずぶ濡れではあるがな。
map_0508#3	だが、心は痛んでいる。
map_0508#4	今日、我がチームが見せた不甲斐ない結果には、心が痛む。
map_0508#5	そして、この地を守ることに、またも失敗したことに、平静ではいられない。
map_0508#6	ソラリス: うむ……
map_0508#7	リンを関わらせることには、ためらいがある。
map_0508#8	あれほど有能でありながら、彼女には信念も忠誠心もない。
map_0508#9	だが、我々への脅威がこれほど高まった以上、他に手立てはないようだ。
map_0508#10	よかろう。
map_0508#11	チームメテオよ、今日のところは撤退する。
map_0508#12	ブレイク: で、結局、歩いて帰るってわけか。
map_0508#13	はいはい。
map_0508#14	シリウス: 今はお前の文句を聞いている場合ではない。
map_0508#15	ジュリア: リニ、大丈夫かな?
map_0508#16	ティタニア: ……うーん。
map_0508#17	普通なら「大丈夫」って言うところだけど。
map_0508#18	でも、フロリニアって、必要以上にダメージ受けがちなところがあるのよね。
map_0508#19	ジュリア: いい加減にしてよ、もう?!
map_0508#20	ティタニア: あの子がやめたら、あたしもやめるわ。
map_0508#21	ジュリア: もしかして気づいてないの? 友達に爆発されたら、傷つくのが普通なんだからね!
map_0508#22	あの子はあんたを信じてたのに、あんたはそれを裏切ったのよ!
map_0508#23	ティタニア: 最近、それがお決まりのパターンになってきてる気がするわね。
map_0508#24	アマリア: ねえ、何でみんな怒鳴ってるの……?
map_0508#25	ジュリア: エイミー!!!
