map_0508#188	あたしの代わりに行って。
map_0508#189	リンを止めて、あたしを自由にして。
map_0508#190	――知らなかったのに!
map_0508#191	――大嘘つきよ。
map_0508#192	アマリア:ごめんって言ったでしょ!
map_0508#193	ティタニア:でも本当のことは認めない。
map_0508#194	アマリア:知らなかったって、もう言ったでしょ!
map_0508#195	ティタニア:あの壁は勝手に閉まったりしない。
map_0508#196	アマリア:何が起きたか、あたしにもわからないの。
map_0508#197	ティタニア:誰も騙せてないわよ。
map_0508#198	アマリア:あら、\PN、目が覚めたのね!よかった!
map_0508#199	ティタニア:あたしがそこから助け出したの。
map_0508#200	これでお互い様ね。
map_0508#201	ティタニア:\PNがここで聞いてるのに、まだこんな調子を続けるつもり?
map_0508#202	アマリア:聞いて……
map_0508#203	ティタニア:あんた、\PNを本気で殺そうとしたのよ。
map_0508#204	アマリア:あんたはそんなことしたことないっての?!
map_0508#205	ティタニア:あたしはみんなを生かすためにチームメテオと戦ってきたのよ!
map_0508#206	それであんたは?
map_0508#207	アマリア:あたしは自分が生きるために戦ってきたのよ!
map_0508#208	ティタニア:そうは見えないけど。
map_0508#209	アマリア:あんたにはわからない……
map_0508#210	アマリア:ターニャ、あんたしかいないのよ……
map_0508#211	ティタニア:よくわかってる。
map_0508#212	それであんた、知ってる?
map_0508#213	あたしにも、あたし自身しかいないの。
map_0508#214	アマリア:あんたにはあたしがいる……
map_0508#215	ティタニア:……
map_0508#216	そうね。
map_0508#217	あたしには傷がある。
map_0508#218	あんたもそのひとつ。
map_0508#219	アマリア:\PN、あんたに八つ当たりしてごめん。
map_0508#220	あれは間違ってた。
map_0508#221	あたしが間違ってた。
map_0508#222	あたしは間違ってる。
map_0508#223	あたしはクズよ。
map_0508#224	アマリア:あたしは闘技場にいるから。
map_0508#225	シラス:シャワ!
map_0508#226	シラスは水に半分浸かってくつろいでいる。
map_0508#227	シラスをなでる?
map_0508#228	シラス:シャワーズ!
map_0508#229	コップの水に手を入れたような感触がする。
map_0508#230	シラス:シャワァ……
map_0508#231	シラスはまた昼寝に戻った。
map_0508#232	シラス:シャワッ!
map_0508#233	シラスはあなたのことを覚えている!
map_0508#234	シラス:シャワ~
map_0508#235	シラスがこちらに小首をかしげる。
map_0508#236	ここにポケモンがいる!
map_0508#237	受け取る?
map_0508#238	はい
map_0508#239	いいえ
map_0511#0	鍵がかかっている。
map_0512#0	結晶にひびが入り、きらめいている……
map_0512#1	結晶が砕け散った!
map_0512#2	\PNはフィールド効果リードアウト25を手に入れた!
map_0512#3	クリスタル洞窟のフィールド情報が閲覧可能になった!
map_0513#0	ヤベっ、こいつは前に橋の上で俺たちをボコった、あのトレーナーじゃねえか。
map_0513#1	揉め事は御免だ、絶対にな。
map_0513#2	俺たちはずっと大人しくしてた。誓うよ。
map_0513#3	落ち着けって。俺は何もしてねえ。
map_0513#4	マジで、お前やりすぎだって。
map_0514#0	^ アメトリン山、カルセノンシティ\n > アゲートサーカス、アゲートシティ\n v フィオレ屋敷ジム――「遊びに来てね!」
map_0514#1	不思議な植物から、粉状の胞子が滴り落ちている……
map_0514#2	いかりのこなを捨てて、ねむりごなにする?
map_0514#3	\PNはこなのビンを使った。
map_0514#4	ねむりごなを手に入れた!
map_0514#5	こなのビンはすでにねむりごなでいっぱいだ!
map_0514#6	ねむりごなを捨てて、いかりのこなにする?
map_0514#7	いかりのこなを手に入れた!
map_0514#8	こなのビンはすでにいかりのこなでいっぱいだ!
map_0514#9	アメトリントンネル カルセノンシティ方面
map_0514#10	巣からイワパレスが現れた!
map_0514#11	今、巣は空っぽだ……
map_0514#12	イワパレスにねむりごなを使う?
map_0514#13	イワパレスは眠りに落ちた!
map_0514#14	イワパレスが攻撃してきた!
map_0514#15	いかりのこなを使ってイワパレスを起こす?
map_0514#16	イワパレスは逃げ出した!
map_0514#17	おっと、サーカスから出て行くのかい!ダメダメ、まだ帰しはしないよ!
map_0514#18	ずっと……ずっとここにいておくれ!
map_0514#19	それが無理なら、せめてもっとお金を……
map_0514#20	この近くにはアメトリン、セレスティナイン、シトリンと三つの山があるんだ……今日はどれに登ろうか?あんたとのバトルで決めるとしよう!
map_0514#21	うーん。アメトリンはやめとこう。どのみち奥まで行くには「なみのり」が要るしな……
map_0514#22	三つの中でアメトリンが断トツで大きい。あれはまた今度にしよう……
map_0514#23	アメトリンの周りは寒くて湿ってるからな……通り抜けるにはあのわざマシンを見つけなきゃいけないが、その前にウォーミングアップといこう!
map_0514#24	いい準備運動になったな!行くぞ!
map_0514#25	アメトリンは氷と水でできた巨大な石の円柱みたいなものだ。手強い挑戦になるぞ!
map_0514#26	はぁ……まったく……この岩をずっと飛び回ってたら休憩が要るよ!
map_0514#27	とはいえ、山に放り込まれたみたいなあの子に比べたら、俺なんてまだマシだと思うけどな……
map_0514#28	ルートの南側のどこかに落ちたらしい……無事だといいけど。
map_0514#29	はい
map_0514#30	いいえ
map_0515#0	不思議な植物から、粉状の胞子が滴り落ちている……
map_0515#1	いかりのこなを捨てて、ねむりごなにする?
map_0515#2	\PNはこなのビンを使った。
map_0515#3	ねむりごなを手に入れた!
map_0515#4	こなのビンはすでにねむりごなでいっぱいだ!
map_0515#5	イワパレスにねむりごなを使う?
map_0515#6	イワパレスは眠りに落ちた!
map_0515#7	イワパレスが攻撃してきた!
map_0515#8	いかりのこなを使ってイワパレスを起こす?
map_0515#9	イワパレスは逃げ出した!
map_0515#10	巣からイワパレスが現れた!
map_0515#11	今、巣は空っぽだ……
map_0515#12	アメトリントンネル カルセノンシティ方面
map_0515#13	俺みたいな男には、この岩を飛び回るのは簡単じゃない。何か別のことをしよう!
map_0515#14	うっ。やっぱり岩に戻ろうかな。
