map_0519#46	あ、えっと……わかった。
map_0519#47	声が聞こえるか?
map_0519#48	「ありがとう」と、彼らは私にささやくよう命じる。「すべてに」と。
map_0519#49	<>- グランドビューアベニュー\n^ - オパール大橋
map_0519#50	テスラ:あら、あなたもオパールワードをお散歩中?
map_0519#51	仕事でこっちに来てるんだけど、家族とのちょっとした休暇にしたら楽しいかなって思って!
map_0519#52	家族っていうのは、うちの娘のアンバーのことよ。
map_0519#53	アンバー:あたし、もう子供じゃないもん……もう12歳なんだから、赤ちゃん扱いしないでよ!
map_0519#54	パパもここにいてくれたらな……
map_0519#55	テスラ:そうね、パパもトラブルを起こすことばかり考えてなければ、たまには楽しめたでしょうに……
map_0519#56	まったくあの人には……どうしたらいいのかしら。
map_0519#57	あら、こんなくだらない話でお時間を取らせてしまってごめんなさいね!
map_0519#58	お詫びに何かご馳走させて……そうね……何がいいかしら……
map_0519#59	テスラ:あ、そうだ!
map_0519#60	オブシディアの露店の人が、間違えて綿あめを余分にくれたのよ。
map_0519#61	はい、これあげるわね!
map_0519#62	テスラ:どうか、残りの一日も素敵に過ごしてね~!
map_0519#63	テスラ:ずいぶん長く旅をしてきたみたいね、あなた……
map_0519#64	ちゃんとご飯を食べてる?水分もできるだけ取らないとダメよ!
map_0519#65	睡眠もしっかりね。お肌にも心にもいいんだから!
map_0519#66	それにビタミンもちゃんと摂らないと――
map_0519#67	アンバー:ママ……もうやめてよ。誰もアドバイスなんて頼んでないのに……
map_0519#68	テスラ:あら、そうね!ごめんなさい!すぐ夢中になっちゃうのよね……
map_0519#69	素敵な一日を!
map_0519#70	ねえ!アイスクリームなんてどう?
map_0519#71	アンバー:……
map_0519#72	何か用?
map_0519#73	テスラ:アンバー、失礼でしょ!
map_0519#74	アンバー:あたしが失礼なの?この大人が子供に話しかけてるんじゃない……
map_0519#75	テスラ:きっと悪気はないのよ。
map_0519#76	アンバー:はいはい……
map_0519#77	とにかく、あたしはアンバー。家に帰りたい。
map_0519#78	テスラ:でも来たばかりじゃない……
map_0519#79	アンバー:うん、でもさ……ここどんなとこか知らないし、わかる?
map_0519#80	リゾートからこんなに離れたの初めてだもん。よくわかんないけど、とにかく帰りたいの。
map_0519#81	テスラ:それが新しい場所を訪れる楽しさなのよ!
map_0519#82	探検して、景色を見てまわって……
map_0519#83	聞いたこともない食べ物を見つけたり!可能性は無限大よ、あなた!
map_0519#84	アンバー:お腹はすいてるけど……あのお菓子屋さんのレッドホットしか食べてないし。
map_0519#85	別に嫌じゃなかったけど、ちゃんとしたご飯が食べたいの。
map_0519#86	テスラ:わかったわ!すぐどこかに行きましょう!あなたが選んでいいから、ね?
map_0519#87	アンバー:さっき通った、ちょっと良さそうなお店があったんだけど……
map_0519#88	たしか「スパイス」とかいう名前だった気がする。
map_0519#89	テスラ:じゃあそこで食事にしましょう。良さそうね。
map_0519#90	アンバー:うーん……わかった!いいかも……ありがとう、ママ!
map_0519#91	あ、悪いけどあんたは一緒に来れないから。これはあたしとママだけのだから。
map_0519#92	テスラ:アンバーったら……いつもそんなに失礼な態度取らないで。
map_0519#93	アンバー:ちょっと、ママには失礼にしてないでしょ!……たいていは。
map_0519#94	あたしはただ、他の人を信用してないだけ。そんなに気にしないでよ。
map_0519#95	テスラ:はぁ……
map_0519#96	キクサー:俺たちは完璧な街を作る旅の途中なんだ!
map_0519#97	できることがあれば、いつでも喜んで手伝うぜ、そこの人。
map_0519#98	みんながちょっとずつでもそういうことをしていけば、いつか居続ける価値のある世界が見つかるかもしれないな。
