map_0522#11	また会って、あんたのわざにもう一度素晴らしい魔法をかけようじゃないか!
map_0522#12	よう、あんた!街の復興を手伝ってるんだろ?
map_0522#13	まだなら、グランドホールに行って申し込まなきゃな!
map_0522#14	少なくとも、アドリエンヌがみんなに伝えろって言ってたのはそれだ!
map_0522#15	うちの特別訓練プログラムは、ポケモンの努力値をごっそり下げられるペダル逆漕ぎってやつなんだ!
map_0522#16	あんたのポケモンにもっと成長の余地を与えたいと思わないか?
map_0522#17	こんにちは!当店最新の「最適化の最適化」お試しパックはいかがですか!?
map_0522#18	ご紹介します、EVチューナー!
map_0522#19	攻撃型から防御型へ、また元に戻したいと思わない?
map_0522#20	この便利な使い切りアイテムで、ポケモンの努力値2つを入れ替えられるんだ!
map_0522#21	あんたのために特別な一回限りの取引を用意してるぞ!
map_0522#22	5個入りお試しパックが$40,000――お買い得だぞ!
map_0522#23	\Gどうする?!
map_0522#24	この取引は本物だぜ!
map_0522#25	EVターナー5個、あんたのものだ!
map_0522#26	将来的には通常流通させたいと思ってるから、注目しててくれよな!
map_0522#27	あんたの損だけどな、気が変わったらどこにいるかわかってるだろ!
map_0522#28	……あんたにはないけどな。
map_0522#29	おっと!忘れてくれ!
map_0522#30	将来的にはEVチューナーを通常流通させたいと思ってるから、注目しててくれよな!
map_0522#31	よう、あんた。
map_0522#32	ここは俺たちの公園だ。
map_0522#33	つまり、敬意を払えってことだ。
map_0522#34	ゴミ捨て禁止。たむろ禁止。ポケモンいじめ禁止。わかるか?
map_0522#35	行く場所がない俺たちだって、どこかにはいなきゃならないんだ。
map_0522#36	でもこんな素敵な場所になってくれて、ありがたいと思ってるよ。
map_0522#37	「限界を超えて鍛えろ!――
map_0522#38	特許取得済み努力値リセットディスク、当店で販売中(もう販売終了)!
map_0522#39	―売り切れ―
map_0522#40	今や無限に再利用できるようになったリセットディスクをご愛顧いただいた、熱心なお客様方に感謝します!
map_0522#41	グランドホールと連携して皆様に配布する新デザインをお楽しみに!」
map_0522#42	え?でもどうやったらレベル100を超えるポケモンなんて手に入るんだ?
map_0522#43	こいつらは頑張って働いてるが、砂漠への正式な立ち入りを許可するにはまだやることが多いんだ。
map_0522#44	それに、このあたりの計画には遅れも出ててな。
map_0522#45	怪しい連中が、手を出しちゃいけない場所に手を伸ばしてるみたいだな、うん?
map_0522#46	街の計画も、そろそろ全部片付きそうだな……
map_0522#47	やっとビクスビジョンのことをまた考えられるかもしれないな。
map_0522#48	こんにちは。お家の構造的な修理が必要でしたら、遠慮なく言ってください、誰かを見に行かせますので。
map_0522#49	もちろん復旧サービスの費用は前払いしていただく必要がありますが、あなたのような若い方ならきっと大丈夫でしょう?
map_0522#50	なあ、俺たちはとにかくすごい、次元の違うポケモンを捕まえなきゃな、ジョーイでさえ手に負えないくらいの。
map_0522#51	「サンセット駅」
map_0522#52	やあ、トレーナー。
map_0522#53	自警団はトラブルに目を光らせている。何か怪しいものを見かけたら、我々に報告してくれ。
map_0522#54	ドアには鍵がかかっている。
map_0522#55	切符を購入しますか?\ch[321,-1,グランドビュー駅,コガネ駅,アイビーライン駅,ヘザーヒル駅,ピオニー駅,キングスベリー駅,シャンティポート駅]
map_0522#56	ん?
map_0522#57	よくここにいるってわかったな。ヤマ勘か、それとも誰かに聞いたのか?
map_0522#58	ま、いいさ。わざわざ話しかけてくれたんだから、これをやるよ。
map_0522#59	クールにな、トレーナー。
map_0522#60	誰かさん、痛い目に遭いたがってるみたいだな!
map_0522#61	ん?俺、突っ込んだのか?
map_0522#62	派手に水しぶき上げて、ボコられちまったみたいだな……
map_0522#63	アヤ:うっ。
map_0522#64	どうしてあいつら、来なきゃいけなかったのよ……?
map_0522#65	このショー自体、そもそも十分大変だったのに、
map_0522#66	あいつがここにいるとなると……
map_0522#68	ティタニアの言ったこと、全部図星だった。
map_0522#69	あいつが大嫌い。
map_0522#70	それに、あたし一人にあいつの相手を押し付けたカインのことも憎かった。
map_0522#71	どうしてあいつだけ逃げられるのよ?
map_0522#72	何度も後を追おうかと思った……
map_0522#73	……でも、もっと大人な方法で問題に対処しなきゃいけないってこともわかってる……
map_0522#74	……あれが何だったにしても。
map_0522#75	「くもり、ところによりクズ野郎」を理由にリハーサル中止にしてくれたりしないわよね?
map_0522#76	……もちろんそんなわけない。
map_0522#77	今まで誰も止められたことなんてないもの。
map_0522#78	中に戻って、あいつとママを説得して家に帰らせるとか、なんとかしてみるわ。
map_0522#79	ヨーテリー:ウー……
