map_0524#55	リボーン、待ってろ！今から行くぜ！
map_0524#56	ラピスワードはこの街で一番の高級ワードだ。
map_0524#57	言うまでもなく、うちのポケモンには高い基準を求めているんだよ。
map_0524#58	他のワードのトレーナーに比べて、うちのポケモンの個々の強さは段違いでね――
map_0524#59	もう勝負にすらならないよ！
map_0524#60	誰かに「highstandard」って言えたらよかったのになあ。
map_0524#61	そうすれば相手もみんな同じ基準になるのに――完璧に厳選されたポケモンってね！
map_0524#62	<- ピオニーサークル\n^v -4番街
map_0524#63	>- クロッカス通り\n^v -4番街
map_0524#64	<- ハイドランジア通り\n^v -5番街
map_0524#65	<- ダリア通り\nv -5番街
map_0524#66	<>- ダリア通り\nv -4番街
map_0524#67	<>- ハイドランジア通り\n^v -4番街
map_0524#68	アーチャー: 彼女の相手は君に任せる、\PN。私は見張りをして、誰にも邪魔をさせない。
map_0524#69	マクスウェル: 舞台は譲るぜ、\PN。「栄光」ってやつを彼女に見せつけてやれ。オレが邪魔者は片づけとく。
map_0524#70	アーチャー: よくやった。これで彼女を7番街から締め出すには十分だろう。
map_0524#71	長くは引き止めない。だが一つ、私から君への贈り物だ。アクア団の一員なら当然役に立つはずだ。
map_0524#72	アーチャー: また会おう。
map_0524#73	マクスウェル: いやあ、傑作だったな。いい見世物だったぜ！しばらくはあいつもあの辺りに顔を出せないだろうよ。
map_0524#74	おい、手伝ってくれて助かったぜ。もう一つ贈り物があるんだ。
map_0524#75	マクスウェル: オレたちにしちゃ上出来だろ？じゃあまたな。栄光のために、ベイビー！
map_0524#76	ああ、残された時間があとわずかだとしても、この場所がどうなったか見届けながら過ごせて嬉しいよ。
map_0524#77	ねえ、知ってた？
map_0524#78	リボーンの風は時々とても強くて、ひこうタイプのポケモンが弱点を無視できるくらいなんだよ！
map_0524#79	それに今じゃ街中に花があふれてて、いい香りがするでしょ？
map_0524#80	あたしが小さな女の子だった頃から、もう長い時間がたったわ。
map_0524#81	あの頃はここに座って、電車が通り過ぎるのを眺めてたの。
map_0524#82	今は何もかもが違う――
map_0524#83	でも、もうすぐまた次の電車が来るのかもしれない。
map_0524#84	「あまいかおり」花屋
map_0524#85	お花のことなら何でもおまかせ～
map_0524#86	あたし、ラピスワードを最高の場所にするためにめちゃくちゃ頑張るんだ！
map_0524#87	まあ少なくとも、年寄り連中の信用を得てその金をちょろまかせるくらいには頑張るけどね、ふふ……
map_0524#88	アクア: よお兄弟、調子はどうだ？
map_0524#89	ん？オレが持ってたレアポケモンを取り返しに来たのか？
map_0524#90	くそ、仲間のポケモンだったなんて知らなかったぜ。
map_0524#91	悪いな、それなら7番街で売っちまった。あそこに業者がいるから、そいつから買い戻せるかもな。
map_0524#92	アクア: 悪いな、そのポケモンなら7番街で売っちまった。あそこに業者がいるから、そいつから買い戻せるかもな。
map_0524#93	アクア: ふん。また泣き言を言うマグマの馬鹿かよ。あのポケモンを奪った時と同じように、お前もぶちのめしてやる！
