map_0528#8	まだ希望はあるかもしれないな。
map_0528#9	レンガ積みでも始める気がないなら、おれに構うんじゃねえよ。
map_0528#10	この街はもう、金のない連中のために指一本動かそうとしない気取った連中でいっぱいだ。
map_0528#11	サロン・ド・グラマゾニア
map_0528#12	また一日過ぎるたび、あいつらはここの状況について何もしやしない。
map_0528#13	くたばれ！
map_0528#14	スラムから男を連れ出すことはできても、男からスラムを消すことはできねえのさ。
map_0528#15	ここでただ海を眺めてるのは楽なもんだ。
map_0528#16	まだやるべき仕事が山ほどあるってこと、忘れられるからな。
map_0528#17	やらなきゃいけないのか？
map_0528#18	あら、アドリエンヌがまたコーラルジムで人を募集してるの？
map_0528#19	はっ、正直に言うと、前は作業班にいたんだけど、サボってたんだ。
map_0528#20	戻って報告してくるとするか。
map_0528#21	> - リリーコーブ通り\n^ -10番街
map_0528#22	> - ジュビライフ通り\n^v -10番街
map_0529#0	コーリー: ……
map_0529#1	……ゾル……
map_0529#2	ゾロア: ゾロォォォォォォォ！
map_0530#0	泳ぐには最高の日ね！
map_0530#1	バトルするにも最高の日だ！
map_0530#2	湖がきれいになったのが本当に嬉しいわ。
map_0530#3	水上でのバトルに勝るものはないぜ！
map_0530#4	流されちゃったよ！
map_0530#5	いやあ、この湖が恋しかったな。
map_0530#6	君と過ごす時間、本当に楽しんでるよ。
map_0530#7	またすぐこうしようね？
map_0530#8	今夜はさ……あたしの部屋に戻ってもいいけど。
map_0530#9	<>- グランドビュー通り\n^ -4番街
map_0530#10	アズリン湖が戻ってきたな、友よ。
map_0530#11	こんな日が来るとは思わなかった。
map_0530#12	たまには外に出るのもいいものね。
map_0530#13	その、しばらくぶりだったし。
map_0530#14	一緒に来てくれてありがとう。
map_0530#15	街がどんなにきれいになろうと、女だって生活していかなきゃならないのよ。
map_0530#16	それに、生活の質が上がれば、その分お金もかかるようになる。
map_0530#17	はっ、うるさい連中がみんなコミュニティがどうとか言い出しやがって。
map_0530#18	これはあたしのコミュニティなんかじゃない。ただ流れ着いた穴ぐらってだけ。
map_0530#19	どんなにピカピカにしたって、しょせんはどん底さ。
map_0530#20	街全体が花畑になったら、一番鮮やかに咲く花を誰が見分けられるっていうの？
map_0530#21	まあいいわ。あたしは自分自身をいつだって大切にするから。
map_0530#22	公式ネームレーターの店
map_0530#23	グランドビュー駅は現在再建中です。
map_0530#24	開業までもうしばらくお待ちください！
map_0530#25	この場所こそ、ずっと夢に見てきた場所そのものだ！
map_0530#26	街のチームワークが市民の夢をかなえるんだ！
map_0530#27	<>- グランドビュー通り\n^ -3番街
map_0530#28	<>- ネオパス通り\n^v -3番街
map_0530#29	<>- スピットレイル通り\n^v -3番街
map_0530#30	<>- スピットレイル通り\n^v -2番街
map_0530#31	<>- ユニオン通り\n^v -3番街
map_0530#32	こんにちは！街の復興を手伝ってくれる気があるなら、ぜひ大ホールに報告してください！
map_0530#33	ようこそ、友よ！
map_0530#34	この場所もずいぶんきれいになっただろう？帰る時はちゃんと片づけていってくれよな！
map_0530#35	来られる一番早い電車でここまで来たの！
map_0530#36	リボーンにはすごいリーグがあるって聞いたから、挑戦しに来ないわけにいかなくて。
map_0530#37	ねえ、チャンピオンってどんな人なの？
map_0530#38	シークレスト: ようこそ、我が友よ！
map_0530#39	ずいぶん久しぶりですね？
map_0530#40	前に会った時から、私も多くを学びました。
map_0530#41	あの頃の私は、庭を守るためにずっと閉ざしておくことばかり考えていました。
map_0530#42	ですが今は、静けさを外へ解き放つ方がずっと良いのだと分かるのです――そうすれば、それが世界に広がり、世界を癒すのですから。
map_0530#43	若きアドリエンヌからそれを学んだあと――
map_0530#44	記憶の中の姿から一日たりとも歳をとっていないと思うのですが――
map_0530#45	私は懇願したのです、街中の公共の庭園を手入れさせてほしいと。
map_0530#46	皆で力を合わせて……
map_0530#47	本当にこの街を花開かせることができました。
map_0530#48	シークレスト: ようこそ、トレーナーさん。
map_0530#49	私はこの街の公共庭園と公園を管理しております。シークレストとお呼びください。
map_0530#50	どうかこの街の庭園を大切に、心を込めてお楽しみください。
map_0530#51	実は、一つお手伝いいただきたいことがあるのです。
map_0530#52	少々困った状況になってしまいましてね。
map_0530#53	実は、あちらにいる記憶喪失の作業員が、堆肥を私のもとへ届けるはずだったのですが、そうして初めて作業を続けられるのです。
map_0530#54	どうやら4袋のうち、街を歩き回るうちに全部なくしてしまったようでして。
map_0530#55	おそらくそのまま転がっているようなことはないでしょうが、もし見つけたら、私のもとへ届けていただけますか。
map_0530#56	彼に聞けば、どこに行ったかの手がかりも得られるかもしれません。
map_0530#57	シークレスト: おお！すくすくこやしを見つけてくれたのですね。お預かりします。
map_0530#58	\PNはすくすくこやしを渡した。
map_0530#59	シークレスト: おお！ねばねばこやしを見つけてくれたのですね。お預かりします。
map_0530#60	\PNはねばねばこやしを渡した。
map_0530#61	シークレスト: おお！じめじめこやしを見つけてくれたのですね。お預かりします。
map_0530#62	\PNはじめじめこやしを渡した。
map_0530#63	シークレスト: おお！ながながこやしを見つけてくれたのですね。お預かりします。
map_0530#64	\PNはながながこやしを渡した。
map_0530#65	シークレスト: あちらの記憶喪失の作業員は、堆肥を私のもとへ届けて、作業を続けるはずだったのです。
map_0530#66	シークレスト: おお！それで全部そろいましたね！
map_0530#67	あなたはなかなか有能なトレーナーですね。
map_0530#68	ご面倒をおかけしたことでしょう。これを感謝の印にどうぞ。
map_0530#69	シークレスト: それは、あの一帯を片づけて作業場を作っていた時に見つけたものです。
