map_0533#42	彼女のこと、少し見ておいてもらえますか。
map_0533#43	サンディ: まあ……わかりました。
map_0533#44	ちょっと性急だったかもしれないけど……
map_0533#45	これは半分成功ってことにしとこう！
map_0533#46	さて、次は何をしようかな……
map_0533#47	うーん……そうだ！
map_0533#48	アズリン湖は浄水センターが再稼働してからすっかりきれいになったけど……
map_0533#49	でも実は、湖を「浄化」するのに使われてる薬品の一部が、まだポケモンには有害なんだよね！
map_0533#50	匿名の情報源のおかげで、浄水センターの主要な取水口に取り付けられる代替フィルターを手に入れられたの……
map_0533#51	これがあれば湖のポケモンを守るのに大いに役立つはず！
map_0533#52	浄水センターの中心部、オパール水路網で会いましょう！
map_0533#53	一緒に湖を守りましょうね！
map_0533#54	コリン・ルージュ: ああ！
map_0533#55	我が麗しの淑女よ！
map_0533#56	我が輝ける女神よ！
map_0533#57	とうとう私を見つけましたね！
map_0533#58	いや、本当にそうでしょうか？
map_0533#59	本物のコリン・ルージュが、そう易々と捕まるはずがありません！
map_0533#60	だが、しかし！もしあなたが私を倒すことができれば、本物の居場所についてヒントを差し上げましょう！
map_0533#61	ああ、ああ、しかし勝負に勝つには強さだけでは足りませんよ～
map_0533#62	ああ～さすがはあなたのように輝かしいご令嬢だ！
map_0533#63	しかし私は誉れある男。淑女への約束を破ることは決してありません。
map_0533#64	というわけで、本物のコリン・ルージュの居場所について、気前よくヒントを差し上げましょう……
map_0533#65	ふむ、なかなかやりますね。
map_0533#66	約束どおり、本物のコリン・ルージュの居場所についてヒントを差し上げます……
map_0533#67	芍薬（しゃくやく）の茂みの中に埋もれた彼を見つけてください！
map_0533#68	私から差し上げられるのはこれだけです！
map_0534#0	すみません、この先は住民の方のみとなっております。
map_0534#1	ああ、この場所が破壊されてから長いこと路上暮らしをしていた身としては……
map_0534#2	今こうしてここに戻ってこられるなんて、現実とは思えない。
map_0534#3	リリン: ん？あたしを探してた？
map_0534#4	え？ドゴームを持ってるの？
map_0534#5	こんなに時間が経ってから……
map_0534#6	……あたしの平穏、ついに終わっちゃったか。
map_0534#7	本当にあれ、引き取らなきゃダメ？
map_0534#8	マジで？育て屋にずっと預けておくつもりだったのに。
map_0534#9	冗談じゃなくて！あれがいるとマジで眠れないんだから！
map_0534#10	夜に夢を見るのがどんな感じだったか、やっと思い出せたところだったのに！
map_0534#11	もういい！引き取らない！無理強いはできないよ！
map_0534#12	リリン: はいはい、わかった、引き取るよ。
map_0534#13	リリン: ちょっと！何のつもり？それ、あたしのドゴームじゃないんだけど。
map_0534#14	まあ別のポケモンをもらえるのも悪くないか。
map_0534#15	リリン: さようなら、心地よい眠り。
map_0534#16	さようなら、甘い夢。
map_0534#17	不眠でぼんやりする夜が戻ってきても、あなたのことを懐かしく思い出すからね。
