map_0535#212	スカーボロー：誰に愛情を注ぐかを選ぶのは、あの子の権利よ。
map_0535#213	ロッティ：エディーのためにやって!
map_0535#214	今すぐ!
map_0535#215	スカーボロー：でも、今は……
map_0535#216	エディー：ママは大丈夫だよね?
map_0535#217	バリー：大丈夫さ、ちびちゃん。
map_0535#218	そうじゃなきゃ困る。
map_0535#219	エディー：ママを迎えに行くよね?
map_0535#220	バリー：迎えに行くとも。
map_0535#221	ただ、いったん……
map_0535#222	スカーボロー：わたし、ずっとこのままなのね。
map_0535#223	サーナイト：―結局、生き残ったのはエディーの母親だけでした。―
map_0535#224	サーナイト：―主人のポケモンの多くは、チームメテオに回収されるか、処分されました。―
map_0535#225	―ですが、あの子と離ればなれになったスカーボローは、逃げ延びたのです。―
map_0535#226	―しばらくは一人で生き延びていたのでしょうが、最後には捕らえられてしまったのだと思います。―
map_0535#227	ロッティ：サーナイト?
map_0535#228	誰かいるの?
map_0535#229	サーナイト：―見つけたものを、あの方にお見せしたほうがよいでしょう。―
map_0535#230	―ですが、勘違いなさらないでください。―
map_0535#231	―スカーボローは、この家の子ではありません。―
map_0535#232	―まだ知らぬ自由へと、あの子を連れていってあげてください。―
map_0535#233	サーナイト：―見つけたものを、奥様にお見せしたほうがよいでしょう。―
map_0535#234	ロッティ：あら、お客様?
map_0535#235	あまりおもてなしできなくてごめんなさいね……
map_0535#236	元気を失ってから、もうずいぶん経つのよ。
map_0535#237	どんなご用かしら?
map_0535#238	\PNはリボンのくびわを渡した。
map_0535#239	ロッティ：これは……
map_0535#240	ロッティ：……そう。
map_0535#241	これを届けてくれてありがとう。
map_0535#242	スカーレット……
map_0535#243	いえ……スカーボローだったかしら?
map_0535#244	あの子は元気にしているの?
map_0535#245	ロッティ：それは……
map_0535#246	それを聞けてうれしいわ。
map_0535#247	ロッティ：そう……
map_0535#248	あの子をこの家から遠ざけておくのが、いちばんいいのでしょうね。
map_0535#249	うちの娘があの子にやさしくしてやれなかったことは、誰よりもよくわかっているの。
map_0535#250	でも、シードラを水辺まで連れていくことしかできないものよ。
map_0535#251	……結局、あの子は水に落ちてしまったのね。
map_0535#252	わざわざ見つけたものを届けてくれて、本当にありがとう。
map_0535#253	どうかスカーボローをよろしくお願いね。
map_0535#254	お礼にこれを受け取ってもらえるかしら?
map_0535#255	最近はデパートにもあまり出かけられなくてね。
map_0535#256	\PNはデパートシール「イーブイ」を手に入れた!
map_0535#257	ロッティ：あの人のサーナイトが見守っていてくれる限り、わたしは大丈夫よ。
map_0535#258	ある意味、あの人がまだいるようなものだもの。
map_0535#259	だから、あなたはあの子を見守ってあげてね。
map_0535#260	わたしはもう、それに失敗してしまったから。
map_0535#261	ロッティ：……あら、メンバーズカードを持っていないのね。
map_0535#262	いつか手に入れたときのために、これを取っておいてあげる。
map_0535#263	わたしもね。
map_0535#264	どうせどこにも出かけやしないもの。
map_0535#265	何か用があって来たの?
map_0535#266	はい
map_0535#267	いいえ
map_0536#0	コリン・ルージュ：あら?
map_0536#1	なんて魅力的な!
map_0536#2	まぶしいほどだわ!
map_0536#3	息をのむほどよ!
map_0536#4	この驚くべき美しさが意味することは、ひとつしかないわ!
map_0536#5	ご安心を、神が彫り上げしわたしの求婚者。もう逃げたりはしないわ。
map_0536#6	ここまで追いかけてきたのね。
map_0536#7	それでかまわないの。
map_0536#8	だって、わたしは偽物のコリン・ルージュだもの!
map_0536#9	本物が、あなたのその魅力的な瞳にこんな風に捕まるはずないもの。
map_0536#10	本物があなたに捕まるなんて、ありえないわ!
map_0536#11	でも! もしあなたがわたしを倒せたら、本物のいる場所のヒントをあげる!
map_0536#12	高鳴るこの胸よ、静まれ……
map_0536#13	ああ、もっと何かできればよかったのに……
map_0536#14	それでも、初めて会ったときと同じくらい、あなたに胸を打たれているの。
map_0536#15	そしていつか、もっと親しい仲になれたらと願っているわ。
map_0536#16	でも、その話はもう十分ね!
map_0536#17	約束通り、本物のコリン・ルージュを見つけるヒントをあげる!
map_0536#18	トレーナーたちが戦う場所で見つけて!
map_0536#19	わたしから教えられるのはそれだけよ!
map_0536#20	やあ! この海で楽しんでる?
map_0536#21	まあ、実際は海じゃないんだけどね。
map_0536#22	心の中の海ってやつさ。
map_0537#0	こんにちは!
map_0537#1	リボーン地方の地質の歴史を研究しているの!
map_0537#2	興味ある?
map_0537#3	よかった! まずはこれから。昔、アメトリン山が火山だったって知ってた?
map_0537#4	それだけじゃないの! アポフィルのパイロス山は、昔は今のアメトリン山みたいに凍りついていたのよ!
map_0537#5	古い文明の伝説によれば、その文明が滅びた日こそ、ギラティナがリボーンに現れた日なんですって。
map_0537#6	そのドラゴンは狂乱していて、周囲では奇怪な出来事が次々に起きたそうよ。
map_0537#7	物が消えたり、大地がひっくり返ったり、町ごと一瞬で地方の別の場所へ移動したり。
map_0537#8	伝承によれば、その次元の戦士が地方の南東にようやく落ち着いたころには、その混乱がすでにリボーンの運命を決定づけていたの。
map_0537#9	アメトリンは凍りつき、マグマの一粒一粒が透き通った氷の水に変わった。
map_0537#10	パイロスは一気に噴火し、頂上から煙と雪が吹き上がったの。
map_0537#11	溶岩が斜面を流れ落ち、今のアポフィルにあった生活の痕跡を焼き尽くしたわ。
map_0537#12	その後の数か月で気温が上がり、雪が解けて、今のアズリン湖ができたの。
map_0537#13	古い都市はその下に埋もれてしまった。
map_0537#14	今でも潜水士があの頃の遺物を見つけることがあるらしいわよ!
map_0537#15	ギラティナのことだけど……
map_0537#16	あれからどうなったのかしら? 記録はそこで途切れているの。
map_0537#17	うそ、あなただったのね!
map_0537#18	テレビで見たわ――ほら、ゴシップサーナイトの番組! いつか紹介してよ!
map_0537#19	あなたがチームメテオと戦って、リボーンを救ってきたこと、彼女がみんなに見せてくれたの!
map_0537#20	すごくかっこいいわ!
map_0537#21	ねえ、何かあなたの力になれることないかしら?
map_0537#22	何でもいいの? あ! そうだ!
map_0537#23	シールを持ってるの! たいしたものじゃないけど!
map_0537#24	こんなこと言うと子どもみたいだけど……でも、少しは役に立つはずよね?
map_0537#25	\PNはデパートシールを手に入れた!
map_0537#26	使うときはわたしのこと思い出してね!
map_0537#27	あ、これも持っていって!
map_0537#28	ちょっと、デパートカードを持ってないってどういうこと!?
map_0537#29	リボーンでずっと大活躍してきたのに、まだ持ってないなんて?
map_0537#30	それは今すぐ直さなきゃ!
map_0537#31	それで! ああっ!
map_0537#32	わたしがあなたの最初の……
map_0537#33	……えっと、最初にシールをあげた人ってことよ! そういう意味!
map_0537#34	変な意味に取らないでよね!
map_0537#35	あのお店に行くときは、わたしのこと思い出してね!
map_0537#36	大変な時期になってアポフィルに引っ越したの。落ち着いてきたから、戻ってこられて嬉しかったわ。
map_0537#37	でも、なんだかあっちが恋しくなっちゃって?
map_0537#38	また戻ろうかしら――今度は自分の意志でね。
map_0537#39	そうしたら、キキも喜んでくれるわよね?
map_0537#40	指輪を取り戻せたらいいんだけど、あれはオーダーメイドだから、同じものをただ買うわけにはいかないの。
map_0537#41	それに、湖の中から見つけ出せるわけもないし。
map_0537#42	ああ、わたしどうすればいいの?
map_0537#43	わたしたちの関係はもう終わりよ。
map_0537#44	ううん、
map_0537#45	わたしの人生が終わりよ。
map_0537#46	恥ずかしさで死んでしまいそう。
map_0537#47	ごめんなさい、最初から話すわね。
map_0537#48	婚約者とちょっとした……誤解があったの。
map_0537#49	浮気されてると思い込んで、腹が立って、婚約指輪を湖に投げ捨ててしまったの。
map_0537#50	誤解は後で解けて、今は仲直りしてるんだけど、
