map_0546#4	頑丈すぎて壊したり動かしたりできそうにない……
map_0546#5	この岩の台座には、他にも貴重なものが眠っているかもしれない。
map_0546#6	ばくはつのこなで開けてみますか?
map_0546#7	はい
map_0546#8	いいえ
map_0547#0	潮にさらされ、色あせた道路標識がかろうじて読み取れる……
map_0547#1	「フェアビュー」
map_0547#2	「北西: サンライズ」
map_0547#3	「北東: フェイワード」
map_0547#4	「フェアビュー19」
map_0547#5	鍵がかかっている。
map_0547#6	「フェアビュー22」
map_0547#7	「フェアビュー26」
map_0547#8	「フェアビュー29」
map_0547#9	「フェアビュー34」
map_0547#10	F34の鍵を鍵穴に差し込む……
map_0547#11	扉がゆっくりと開いた!
map_0548#0	あら! ごめんなさい、あなたのこと、チームメテオの騒動のときこの辺りで見かけたかしら?
map_0548#1	それはともかく、元気そうで何よりだわ!
map_0548#2	この街の誰もが大変な思いをしてきたけど、そのおかげでみんなで力を合わせられたのよ!
map_0548#3	ベリル図書館へようこそ!
map_0548#4	自由に見て回ってね。何か困ったら、わたしかゴチルゼルに聞いて。
map_0548#5	新しいスタッフも募集中なの。
map_0548#6	手伝ってみたいなら、遠慮せず申込書を持っていってね。
map_0548#8	なぜか、ここには昔、上の階があったような気がするのよね……
map_0548#9	そこにあった情報は、どこか他の場所に移されたのかしら?
map_0548#10	あら、なんてかわいいの!
map_0548#11	ああ、この古い場所が恋しかったわ。
map_0548#12	なかなか奇妙な場所よね。
map_0548#13	この建物の持ち主が誰なのか、はっきりわかっている人はいないけど、ゴチルゼルが世話をしているのはみんな知ってるわ。
map_0548#14	わたしが初めてリボーンに来たときから、あの小さなゴチミルが、いつもここで人を助けていたのを覚えているの。
map_0548#15	自分の過去について話してくれたことはないけど、もしかしたらこの図書館を設立した人が飼っていたポケモンなんじゃないかって、つい思ってしまうの。
map_0548#16	もちろん、それにはそれで、いろいろと意味することがあるけれど……
map_0548#17	カウンターにはベリル図書館の求人申込書が積んである。
map_0548#19	デファクト：\PN! やあ、こんにちは!
map_0548#20	また会えて嬉しいよ!
map_0548#21	すっかり馴染んでうまくやっているよ。
map_0548#22	紹介してくれてありがとう。
map_0548#23	何か助けが必要なら、僕か他のスタッフに聞いてくれ。
