map_0573#31	それまでは助け出されるわけにはいかないんだ。
map_0573#32	なのに、君は僕を助けようとしてる。一体どういうつもりだい?
map_0573#33	まあ、なんでこんな話をしてるかわかるよね?
map_0573#34	当然、もう君をここから帰すわけにはいかない。
map_0573#35	な――大人はいつだって全部台無しにするんだ!
map_0573#36	ユースタス: うぐっ!
map_0573#37	バカな大人どもが、いつも邪魔ばかりしやがって!
map_0573#38	なのに、実際には何にも手伝いやしない!
map_0573#39	もうやめだ!
map_0573#40	どうせ作戦はもうバレてる。
map_0573#41	ユースタス: お前はクビだ。
map_0573#42	ユースタス: お前もクビだ。
map_0573#43	ユースタス: 君のことはクビにできないけど、できるならとっくにクビにしてるところだよ。
map_0573#44	とにかく、僕は家に帰る。
map_0574#1	鍵がかかっている。
map_0577#0	戸棚の奥にポケモンが隠れている。
map_0577#1	具合が悪いのか、か細く鳴いている。
map_0577#2	どくけしを使いますか?
map_0577#3	\PNはどくけしを使った。
map_0577#4	モモンのみをあげますか?
map_0577#5	ポケモンはモモンのみを食べた。
map_0577#6	ばんのうごなを使いますか?
map_0577#7	\PNはばんのうごなを使った。
map_0577#8	ハッカキャンディをあげますか?
map_0577#9	ポケモンはハッカキャンディを食べた。
map_0577#10	ラムのみをあげますか?
map_0577#11	ポケモンはラムのみを食べた。
map_0577#12	なんでもなおしを使いますか?
map_0577#13	\PNはなんでもなおしを使った。
map_0577#14	かいふくのくすりを使いますか?
map_0577#15	\PNはかいふくのくすりを使った。
map_0577#16	ポケモンの毒が治った!
map_0577#17	ミズゴロウ: ミズゴロウ!
map_0577#18	ポケモンは元気を取り戻した。あなたについていきたそうにしている。
map_0577#19	ミズゴロウを連れていきますか?
map_0577#20	ミズゴロウ: ……ゴロウ!!!
map_0577#21	ミズゴロウ: ミズ……
map_0577#22	ミズゴロウは静かに巣へと戻っていった。
map_0577#23	動きたくなさそうだ。
map_0577#24	ミズゴロウ: ミズ……ゴロウ?
map_0577#25	ミズゴロウを連れていきますか?
map_0577#26	ミズゴロウ: ……ゴロウ。
map_0577#27	はい
map_0577#28	いいえ
map_0580#0	この試合のフィールドは……
map_0580#1	\v[1]!
map_0580#2	\v[574]
map_0580#3	プレイありがとうございました。手持ちを回復しましょう。
map_0580#4	次はバトル\v[776]番です。準備はいいですか?\ch[564,0,続ける,休憩,リタイア]
map_0580#5	本当に挑戦をやめますか?
map_0580#6	セーブして、また後で続けますか?
map_0580#7	セーブしました。
map_0580#8	はい
map_0580#9	いいえ
map_0585#0	市がまた荒地の浄化に取り組む計画を立てているらしい。
map_0585#1	無理だろうね。
map_0585#2	でも、この街自体についても同じことを言っていただろう。
map_0585#3	まだ望みはあるのかもしれない。
map_0585#4	グラマゾニア美容室
map_0585#5	こんな場所に住むことになるとは思ってもみなかったよ。
map_0585#6	正直、できすぎなくらいだよ。
map_0585#7	> - ミナモ通り\n^ - 10番通り
map_0585#8	> - トバリ通り\n^v - 10番通り
map_0585#9	???: すみません! この美しい星のために少しお時間をいただけますか?
map_0585#10	???: わたしたちが暮らすこの世界を気にかけてくださってありがとうございます!
map_0585#11	実を言うと、誰もがこの星に頼って生きているというのに、多くの人はまるで気にも留めていないんです!
map_0585#12	リボーンは確かに大きく変わりました。でも、かつて衰退を招いたあの無頓着さは今も健在なんです!
map_0585#13	毎日、環境はさらに傷つけられ、罪のないかわいいポケモンたちが住処を失っているんです!
map_0585#14	ご存じですか? 毎年1万匹以上のキャモメが、管理の行き届いていない埋立地に巻き込まれているんですよ。
map_0585#15	しかも毎月、世界中の海で水質汚染によって何千匹ものみずタイプポケモンが命を落としているんです。
map_0585#16	わたしの目標は、それを変えることです!
map_0585#17	あなたの支援が、明日を少しだけ明るくする力になります!
map_0585#18	そこで、リボーンに今もくすぶる環境破壊の脅威を市議会に認めさせるための、この署名にご協力いただけませんか?
map_0585#19	……と言いたいところなんですけど……
map_0585#20	実は、復興のときにもう十分な署名は集まったんです。
map_0585#21	なのに、市はいまだにきちんと対応してくれなくて。
map_0585#22	それに今じゃ、みんな街が良くなったことに浮かれちゃって、こぼれ落ちてることに気づきもしないんです!
map_0585#23	正直、ちょっと切羽詰まってて……
map_0585#24	あの、ちょっと……
map_0585#25	自分の手でなんとかしようかなって思ってて……
map_0585#26	力を貸してもらえませんか?
map_0585#27	???: 本当ですか?
map_0585#28	うん……よし、これならやれる!
map_0585#29	この星のために戦いましょう!
map_0585#30	そういえば、わたしの名前はサンディ! あなたは……?
map_0585#31	\PN? はじめまして!
map_0585#32	さて、最初のミッションについて話しましょう……
map_0585#33	この復興は地方全体にとって大きな改善になりました。でも、そのせいで苦しんでいるリボーンの一角があるんです……
map_0585#34	マルコウスの森!
map_0585#35	マルコウスの森林伐採のせいで、大切な住処を失うポケモンがどんどん増えているんです……
map_0585#36	それを黙って見ていることなんてできません!
map_0585#37	マルコウス森林公園で待ち合わせて、これを止めましょう!
map_0585#38	ああ、大丈夫です、わかります。
map_0585#39	どのみちややこしいことになりそうですし……
map_0585#40	???: そ、そうですか。
map_0585#41	えっと、わかりました。それじゃ、良い一日を!
map_0585#42	???: あ、また会いましたね……
map_0585#43	もしかして……手伝ってくれる気になりました?
map_0585#44	マルコウスの森で待ち合わせて、これを止めましょう!
map_0585#45	サンディ: あ、あなたですね!
map_0585#46	覚えてます?
map_0585#47	ねえ、実はちょっと時間ありますか?
map_0585#48	この美しい星の未来に関わる、とても大事な話があるんです!
map_0585#49	サンディ: わたしたちが暮らすこの世界を気にかけてくれてありがとう!
map_0585#50	サンディ: 本当?
map_0585#51	サンディ: そ、そう。
map_0585#52	サンディ: あ、また会ったね……
map_0585#53	はい
map_0585#54	いいえ
map_0586#0	\PNはフィールド効果解説08を手に入れた!
map_0586#1	スワンプフィールドの情報が閲覧できるようになった!
map_0586#2	あら? もしかしてもう終わったんですか?
map_0586#3	ああ、良かった。
map_0586#4	あのレベルのモロバレルを相手にできたなんて、驚きました――
map_0586#5	あ! 別に危険な目に遭わせるつもりだったわけじゃ……
map_0586#6	とにかく! お礼にこれを受け取ってください。
map_0586#7	旅の道中、あなたを守ってくれるといいのですが。
map_0586#8	残りはあと\v[0062]くらいだと思います。
map_0586#9	まったく、タマゲタケをいくら駆除しても、次から次へと湧いてくるんだから……
map_0586#10	数が多すぎて、他の種を締め出してしまっているんです。
map_0586#11	この辺りで見かけるものを全部駆除してもらえたら助かります。
