map_0591#73	力を合わせて、このオーブたちも私たちの地方も守り抜きましょう!
map_0591#74	しかし時は待ってくれません――今すぐ出発しましょう!
map_0591#75	アドリエンヌ: すぐに出発する準備はいい?
map_0591#76	アドリエンヌ: 幸運を、\PN! 道中気をつけて!
map_0591#77	アドリエンヌ: ほら、急いで、急いで!
map_0591#78	列車をいつまでも止めておけるわけじゃないのよ!
map_0591#79	アドリエンヌ: ……つまり、こういうことね。
map_0591#80	隊長は偽者で、
map_0591#81	列車は砂漠で立ち往生して、
map_0591#82	レッドオーブは盗まれて、
map_0591#83	犯人は逃げて、
map_0591#84	\PNは頭に大けがをして、
map_0591#85	そして新世界の一角がまるごと吹き飛ぶほどの大爆発が起きて、その揺れは砂漠中、街中にまで届いた、と?
map_0591#86	ジュリア: うん、だいたいそんな感じ!
map_0591#87	アドリエンヌ: ……
map_0591#88	ジュリア: 弁解させてもらうと、テラと二人きりで30秒以上も放っておかれたんだよ。
map_0591#89	アドリエンヌ: ……これ、私たちの関係にかなり水を差しそうね。
map_0591#90	テラ: ジュジュとあたしマジやばいくらい盛り上がっちゃったし;)
map_0591#91	アドリエンヌ: 巨大なハンマーと、アヒルのおもちゃ48個と、食べかけのふしぎなアメだけで、新世界で化学爆発なんて、一体どうやって起こしたの?
map_0591#92	サンディ: というか、そのアヒルのおもちゃ、どこで全部手に入れたの?!
map_0591#93	ジュリア: 知らないほうがいいって。
map_0591#94	サンディ: ううん、知りたい!
map_0591#95	テラ: いや知りたくないし;)
map_0591#96	サンディ: そうだね、知りたくない!
map_0591#97	アドリエンヌ: ジュリア、そもそもあなたは救助列車に避難させられていたはずじゃなかった?
map_0591#98	一体どうやってこんなことに巻き込まれたの?
map_0591#99	ジュリア: ああ、簡単だよ!
map_0591#100	帽子をかぶった係員が「こちらへどうぞ!」って言うから、逆方向に行っただけ!
map_0591#101	アドリエンヌ: でもどうして――
map_0591#102	いえ、いいわ、忘れて……
map_0591#103	聞くだけ無駄ね……
map_0591#104	サンディ: あなたが抜け出すのを見かけて、ついていったの!
map_0591#105	もっと早く着けたはずなんだけど、宇宙の岩につまずいて、しばらく落下することになっちゃって。
map_0591#106	アドリエンヌ: まあ、そうしてくれて良かったわ。
map_0591#107	そうしなければ、あなたも被害に巻き込まれていたはずだもの。
map_0591#108	あの崩壊の中、サンディがあなたたちを新世界から連れ戻せたのは、信じられないくらいの幸運よ。
map_0591#109	まったく、サンディが一番しっかりしてる側だなんて……どうなってるのかしら……
map_0591#110	サンディ: ちょっと、わたしすっごくしっかりしてるよ!
map_0591#111	アドリエンヌ: 問題を起こす方の「責任」ならたくさんありそうね!
map_0591#112	サンディ: 今まで一度も問題なんて起こしたことないもん!
map_0591#113	ジュリア: アタシもだよ!
map_0591#114	テラ: きのうの夜あんたのママに問題おこしたけどw
map_0591#115	アドリエンヌ: \PN、彼女を連れ戻す必要、本当にあったのかしら?
map_0591#116	アドリエンヌ: というか、なんで?
map_0591#117	テラ: あちゃー、しまった。
map_0591#118	好感度+1
map_0591#119	テラ: うそつくなって
map_0591#120	もうすきって言ったじゃん
map_0591#121	いまさらナシとかないから
map_0591#122	テラ: つかあたしストーリーに関わってる女だし
map_0591#123	バニラアイスって呼んで
map_0591#124	だって『キャント・タッチ・ディス』だから
map_0591#125	ガアアアアアアアアッ!!!!!
map_0591#126	でももう秘密は話さないから
map_0591#127	あたしの脳みそ細胞はもう完全にリタイアした
map_0591#128	戦争で散った
map_0591#129	業火に消えた
map_0591#130	まあいいや
map_0591#131	サンディ: 爆発のこと?
map_0591#132	テラ: そうそれ
map_0591#133	最後に「アスタ・ラ・ビスタ」って言い残して大気圏に消えてった
map_0591#134	あたしの父親と同じようにね。
map_0591#135	アドリエンヌ: サンディ、ゲームをしない?
map_0591#136	サンディ: うん、ゲーム大好き!
map_0591#137	アドリエンヌ: テラの口を塞いで。
map_0591#138	彼女に言わせなかった文一つにつき、あなたの始末書を一枚シュレッダーにかけてあげる。
map_0591#139	サンディ: 了解!
map_0591#140	テラ: ちょ待って無理――んむーっ、うぐぐーっ!!!
map_0591#141	ジュリア: それって職権乱用じゃない?
map_0591#142	アドリエンヌ: デジタル化もしてあるなら、そうとは言えないわ。
map_0591#143	サンディ: 何されてるって?!
map_0591#144	アドリエンヌ: 複数サイズ化よ!
map_0591#145	複数サイズ化されてるって言ったの。
map_0591#146	\PN、よければ、ブルーオーブは改めて私が預かるわ。
map_0591#147	海外に送るのはどう見ても現実的じゃないから、ここで安全に保管することにしましょう。
map_0591#148	\PNはブルーオーブを手渡した。
map_0591#149	アドリエンヌ: ありがとう。
map_0591#150	アドリエンヌ: ……でも残念、また騙されてしまったわね!
map_0591#151	なぜなら、私こそがコラン・ルージュだからよ!
map_0591#152	アドリエンヌ: もちろん冗談よ。
map_0591#153	安心して、正真正銘の私だから。
map_0591#154	ジュリア: 冗談だよね、じゃないと困るんだけど!
map_0591#155	あのクズ、アタシとの約束すっぽかしたんだから!!!
map_0591#156	もしあんたがあいつだったら、今ここでぶちのめしてやるとこだよ!
map_0591#157	アドリエンヌ: とにかく、今回の件にはもう一つ良いことがあるの。
map_0591#158	コラン・ルージュを解放して、オーブを盗んだフーパを確保したわ。
map_0591#159	あの崩壊の中で、気を失っていたみたいね。
map_0591#160	\PN、いろいろあったけど、あなたはきっと精一杯やってくれたのね。
map_0591#161	これ以上トラブルを起こさせないためにも、飼い主はあなたが一番の適任だわ。
map_0591#162	サンディ: ちょっと、わたしは?!
map_0591#163	アドリエンヌ: あなた、オーブを盗むつもりであの列車に乗り込んでいたんじゃなかった?
map_0591#164	サンディ: ……いいえ……
map_0591#165	アドリエンヌ: それについても報告書を書かないといけないみたいね。
map_0591#166	サンディ: わたしが先にシュレッダーにかけちゃえば別だよ!
map_0591#167	アドリエンヌ: \PN、フーパを引き取ってくれる?
map_0591#168	アドリエンヌ: よかった。
map_0591#169	相変わらず、あなたは安定の要ね……
map_0591#170	サンディ: いたっ、噛まれた!
map_0591#171	アドリエンヌ: ……それを切実に必要としているこの世界でね。
map_0591#172	サンディ: 手を舐めるのやめて!!!
map_0591#173	アドリエンヌ: 本当にいらないのね?
map_0591#174	アドリエンヌ: それもそうね。
map_0591#175	大ホールに保管しておくしかなさそうね。
map_0591#176	アドリエンヌ: そろそろ出発したほうがいいわ。
map_0591#177	その間に、ここにいる三バカ娘たちに、最後にひとこと言っておくから……
map_0591#178	ジュリア: 「三バカ娘」ってきのこの一種じゃなかったっけ?
map_0591#179	アドリエンヌ: 違うけど、扱いを間違えると同じくらい危険なのは確かね。
map_0591#180	ありがとう、\PN。
map_0591#181	はい
map_0591#182	いいえ
map_0592#0	やれやれ、なかなか手強い客ばかりだわ。
map_0592#1	ある人はチェックインして、1ヶ月はいるって言ったのに、それきり二度と現れない。
map_0592#2	別の人は毎日1日ずつチェックインして、いつも明日には出ていくって言い張るのに、まだ一度も休んだことがない。
map_0592#3	どうしてこんなに難しいのかしら。
map_0592#4	こんにちは! 部屋の登録に来ました?
map_0592#5	あら、あなたホームレスには見えないけど。最近、ご家族が家を失ったの?
map_0592#6	その二種類がうちの主な利用者で、この復興のせいで、本当に満室続きなのよ!
map_0592#7	こんにちは、トレーナーさん!
map_0592#8	この建物、ご存じですか?
map_0592#9	もちろん! リボーンシティの人ならたいてい見たことがあるはずですが、それが本当は何なのか知っている人は少なかったんです。
map_0592#10	それでよかったのかもしれません。
map_0592#11	ここは元々、大量の廃棄物を出して環境を傷つけていた工場だったんです。
map_0592#12	工事が始まったとき、大ホールの人たちが所有者登録を見つけられなくて、売りに出されたんです。
map_0592#13	ふとひらめいて、住まいを必要としている人のための家にしようと、この場所を買い取りました。
map_0592#14	たとえ大きな犠牲を払っても、地域社会の役に立てるのはいつも嬉しいことです。
map_0592#15	はい
map_0592#16	いいえ
map_0593#0	リボーンの生活の質を上げたいっていうのはわかるけど、
map_0593#1	家が完成するまで、あとどれだけ待てばいいわけ?
