map_0594#183	ラナ: アヤ、あなたと友達は、みんなをこんな風に扱うの?!
map_0594#184	あなたが誰の影響を受けてるのか、後でじっくり話しましょうね!
map_0594#185	テズ: 長く、真剣な話をな。
map_0594#186	アヤ: みんな黙ってくれない!?
map_0594#187	こんなこと、こっちは何も頼んでない!
map_0594#188	つか、もういい――わたし抜ける。
map_0594#189	アーク: なあ、何が起きてるのかはわからねえが、この気まずい沈黙を破るためにも――
map_0594#190	誰かがあいつを追いかけたほうがいいだろうな。
map_0594#191	それに、お前らはそれぞれ火に油を注ぐような真似をしてくれたわけだし……
map_0594#192	たぶん\PNしかいないだろ。
map_0594#193	行って話してきてくれ。
map_0594#194	その間、俺は残りの連中が殺し合わねえように止めとくぜ。
map_0594#195	ティタニア: じゃあB。
map_0594#196	E。
map_0594#197	繰り返して。
map_0594#198	そう、それ。
map_0594#199	アヤ: うう、こんな指の位置、誰が全部覚えられるっていうの?
map_0594#200	ティタニア: 練習と、体で覚えること。
map_0594#201	あいにく、あたしの弟は、使い古されたブロック並みの知恵を体現しようとし続けてるせいで、あんたにその機会を与えられてない。
map_0594#202	だから今日は、それぞれのフレーズの最初の音を弾くことだけに集中して。
map_0594#203	他の音も弾ければ上出来。
map_0594#204	でも最初の一音が基本、それさえ弾ければ「演奏」の定義には十分間に合う。
map_0594#205	次のリハーサルまでに、3拍目を弾く練習もしておいて。
map_0594#206	その間、あたしはあんたのバカな『彼氏』に説教を叩き込む練習をしとくから。
map_0594#207	アヤ: もう少し優しくしてあげてもいいと思うけど……
map_0594#208	ティタニア: あんたはもっと厳しくしてもいいと思うけど。
map_0594#209	あいつは状況そのものしか考えてなくて、それが周りにどう影響するかまでは考えてないから。
map_0594#210	ところで、どうも。
map_0594#211	あたしがここで何をしてるのか気になってるんでしょうけど、正直、あたしも同じ気持ち。
map_0594#212	アヤ: ハーディがベースを手伝ってくれって彼女に頼んだの。
map_0594#213	ハーディが教えようとしてくれて、それでバンドを組もうって言い出して、それでこのショーの話になって……
