map_0622#9	メテオ: 遅かったな。
map_0622#10	すぐに　追い出さなきゃ　ならないのは　残念だが。
map_0622#11	ヴィクトリア: そうは　させない!
map_0622#12	ヴィクトリア: あたしたちを　放り出せるほど　強いポケモンなんて　この世に　いないんだから!
map_0622#13	アーク: 悪いな　メテオ団　このショーは　もう　打ち切りだ。
map_0622#14	ビショップ: あれで　十分だったか?
map_0622#15	アリッサ: こんな仕事　もっと　給料　払ってほしいわ。
map_0622#16	アーク: 落ち着け。
map_0622#17	アーク: お前らは　全員　クビだ。この争いは　もう　終わりだ。
map_0622#18	ヴィクトリア: ガオガエン!
map_0622#19	アーク: 時間がねぇ! 急ぐぞ!
map_0623#2	ヴィクトリア: 因果応報ってやつよ! その負けは　当然の報いね。
map_0623#3	アーク: 助かったぜ。
map_0623#4	ヴィクトリア: 何でもないわ! 下から　戦う音が　聞こえたから　黙って　見てられなくて。
map_0623#5	アーク: \PN　やつらの気配は?
map_0623#6	\PNは　むせんきを　かざした。
map_0623#7	アーク: それ　見せてくれ。
map_0623#8	アーク: ……
map_0623#9	間違いねぇ。これは　アメに　貸した無線機だ。
map_0623#10	チッ　こいつらに　連絡すら　できなかったってことか。
map_0623#11	こんなもん　落としてくなんてよ。
map_0623#12	ヴィクトリア: まさか　力で　押し切られたとか　思ってないわよね?
map_0623#13	アーク: チャンピオンと　ジムリーダーの　二人がか　考えにくいが……
map_0623#14	いや　無事なはずだ。
map_0623#15	このまま　進めば　きっと　見つかるはずだぜ。
map_0623#16	アーク: それより　この部屋だが……
map_0623#17	アーク: なんとなく　わかった気がする。
map_0623#18	アーク: くそ。
map_0623#19	ヴィクトリア: 大丈夫?
map_0623#20	アーク: ああ　何でもねぇ。だが　それに　乗るのは　やめといたほうがいいぜ。
map_0623#21	アーク: どれどれ。
map_0623#22	アーク: やっぱり　思ったとおりだ。
map_0623#23	ここの端末が　床の模様を　制御してる。
map_0623#24	ちょっと　見てみるか。
map_0623#25	アーク: 3パターンか。
map_0623#26	ここから見た限り　複数のフロアに　またがってる。
map_0623#27	それを操作する方法は　ここからしか　ねぇ。
map_0623#28	めちゃくちゃだな。
map_0623#29	アーク: \PN　その無線機　まだ　使えるよな?
map_0623#30	オレは　ここに残って　これを操作するぜ。
map_0623#31	床の模様を　回転させたいときは　Aボタンを押して　その機械で　オレに　合図してくれ。
map_0623#32	二人とも　頼りにしてるぜ。
map_0623#33	ヴィクトリア: これ　同時に　やろうとしたら　うまくいかない気がするわ。
map_0623#34	だから　先に　あなたが　行って　あたしは　あなたの足取りと　タイミングを　あとから　なぞるから　それでいい?
map_0623#35	アーク: おい　そのパネルで　ケガすんじゃねぇぞ!
map_0623#36	オレは　平気だから　二人とも　先に　行ってくれ。
map_0624#0	近寄らないで。二人とも　偽善の匂いが　するわ。
map_0624#1	精神であれ　心であれ……
map_0624#2	どちらも　いずれ　壊れる。
map_0624#3	また　お前らと　やり合うと　わかってたら　この仕事　引き受けるのを　考え直してたわ。
map_0624#4	あんなバトル　あんまり　意味　ないわね。
map_0624#5	孤児院で　初めて　あなたの戦いを　見たときに　それくらいは　学んだもの。
map_0624#6	上の人間から　彼女について　少し　情報を　もらったの。
map_0624#7	というか　あなたたち　全員について　だけど。
map_0624#8	それを　活用しようって　思ったやつも　いたみたいね。
map_0624#9	メテオ: これだけの粘り強さが　むだになるのは　もったいないと　思わないか?
map_0624#10	ヴィクトリア: むだに　なるのは　メテオ団のほうよ!
map_0624#11	メテオ: それが　あの安っぽい学校で　教えてる態度なのか?
map_0624#12	ヴィクトリア: 今すぐ　レッスンを　してあげてもいいわよ!
map_0624#13	ハワヤ: つまり　暴力が　お前の答えってわけか。
map_0624#14	キャリー: 相変わらず　反抗的ね。
map_0624#15	アーク: 二人とも　これ　聞こえてるか?
map_0624#16	ここから　戦う音が　聞こえたぜ。無事か?
map_0624#17	ヴィクトリア: ええ　平気よ!
map_0624#18	言ったでしょ? もう二度と　メテオ団になんて　負けないんだから!
map_0624#19	アーク: そいつは　いい響きだ。
map_0624#20	ヴィクトリア: ここにも　あの床が　もう一つ　あるわ。お願い　できる?
map_0624#21	アーク: 造作もねぇ。やることは　わかってるな\PN。
map_0624#22	ヴィクトリア: そもそも　こんなもの　何のために　あるわけ?
map_0624#23	あたしたちを　足止めするためだけに　置かれてるとも　思えないし。
map_0624#24	メテオ: いつまで　自分の手には　余る事態で　もがき続けるつもりだ?
map_0624#25	ヴィクトリア: この「手に余る」がどこまでのものか　見てみたい?
map_0624#26	メテオ: おや　カッとなってるのか? キキなら　何て言うだろうな?
map_0624#27	ヴィクトリア: 彼女を知ってるみたいな顔　しないでよ!
