map_0632#30	ゼル: あんたの計画? 大変な作業を　全部　やってるのは　イヴなんだからね!
map_0632#31	あんたは　いつも　彼女を　いじめてるだけじゃない!
map_0632#32	ゼル: ごちゃごちゃ言ってねぇで　さっさと　戦えよ!
map_0632#34	ゼル: ジバコイル　ジバコイル　だめ! お願い　無事でいて!
map_0632#35	お願い――
map_0632#36	ゼル: ……
map_0632#37	うぐ……
map_0632#38	やけに　静かだ……
map_0632#39	PULSEが――
map_0632#40	ゼル: 爆発で　耳が　やられたわけじゃ　ねぇよな?
map_0632#41	ゼル: PULSEが――
map_0632#42	爆発で　耳が　やられたわけじゃ　ねぇよな?
map_0632#43	お　おい　ルミ　イヴ! 何か　言ってくれ!
map_0632#44	だめだ――　ジバコイル!
map_0632#45	コリン・ルージュ: 私は……
map_0632#46	ひとりぼっちだ。
map_0632#47	ひとりぼっちだ……
map_0632#48	ひとりぼっちだ　ひとりぼっちだ　ひとりぼっちだ　ひとりぼっちだ　ひとりぼっちだ……
map_0632#49	そして　私は……
map_0632#50	空っぽだ。
map_0632#51	ゼル: アゲートに　行かなきゃ。
map_0632#52	フローラ: うそでしょ……
map_0632#53	PULSEマシンだ……
map_0632#54	からかってたわけじゃ　なかったのね。面白いじゃない。
map_0632#55	こっちは　前のより　ひどい状態ね。
map_0632#56	それでも……
map_0632#57	さあ　仕事に　取りかかりましょ。
map_0632#58	フローラ: だめだめ　これじゃ　全然　だめ。
map_0632#59	フローラ: まず　この部屋の　照明が　ゴミすぎる。
map_0632#60	それに　この部屋も　マシンも　どっちも　ボロボロだし。
map_0632#61	一貫性は　あるってわけね。
map_0632#62	冗談よ　マジで何も　見えないんだけど。
map_0632#63	\PNってば!
map_0632#64	その……　すごく　感謝してるのよ\PN　でも……　えっと……
map_0632#65	マシンが　あまりにも　ひどく壊れてるせいで　ちょっと　時間のむだに　なっちゃって!
map_0632#66	こんなこと　頼んで　悪いんだけど　もっと　状態のいいPULSEマシン　どこか　知らない?
map_0632#67	フローラ: あー　地獄に　感謝……
map_0632#68	じ　じゃなくて　よかったぁ!
