map_0643#1	やっぱり　あれだけ殴った甲斐が　あったってことか。
map_0644#5	タカ: 行き止まりですか。
map_0644#6	デジャヴュですね。
map_0644#7	まあ　これが　あるだけ　ましですかね。
map_0645#0	石が　光に　きらめいているようだ……
map_0645#1	タカ: こんな場所が　ここに　あったんですね?
map_0645#2	近づいたら　消えたりしませんよね?
map_0645#3	あの……　ちなみに　言っておきますけど　僕　泳げません。
map_0645#4	父は　子どもの頃の僕を　放課後の水泳クラブに　入れてくれるような人じゃ　なかったので。
map_0645#6	結晶が　あたり一面に　散らばっている!
map_0646#0	巣に　タマゴが　ひとつ　残されている。
map_0646#1	持って行きますか?
map_0646#2	\PNは　タマゴを　手に入れた!
map_0646#3	タカ: ここが　限界かも　しれませんね……
map_0646#4	でも　ここからの　景色は　いいですね。
map_0646#5	変に　聞こえるかも　しれませんが……
map_0646#6	あなたと　一緒に　これを　見られて　よかったです。
map_0646#7	でも　少なくとも　景色は　いいですね。
map_0646#8	もし　地平線の　はるか向こうまで　走っていけたら……
map_0646#9	やっと　幸せに　なる方法が　わかるのかもしれません。
map_0646#12	頑丈すぎて　壊したり　動かしたり　できないようだ……
map_0646#13	この岩の土台には　まだ　お宝が　眠っているかもしれない。
map_0646#14	ばくはつのこなで　開けますか?
map_0646#15	タカ: こんなものが　こんな場所に　あるなんて　どういうことなんでしょうね。
map_0646#16	でも　まあ　雰囲気は　ありますよね。
map_0646#17	こんな遠くまで　一緒に来てくれて　うれしいです\PN。
map_0646#18	はい
map_0646#19	いいえ
map_0647#0	タカ: まあ　いいんじゃ　ないですか。
map_0647#1	結晶は　ひび割れながら　きらめいている……
map_0647#2	タカ: え　ちょっと待って　なんです?
map_0647#3	僕――
map_0647#4	\PN　まさか　僕に「ふしぎなアメ」を　こっそり　盛ってませんよね?
map_0647#5	結晶が　砕け散った!
map_0647#6	カギが　クリスタルに　反応した!
map_0647#7	タカ: は。
map_0647#8	何を　してるんですか?
map_0647#9	タカ: ……
map_0647#10	ええと……
map_0647#11	邪魔なものは　いつも　殴って　道を　開くんですか?
map_0647#17	はい
map_0647#18	いいえ
map_0648#0	結晶は　ひび割れながら　きらめいている……
map_0648#1	タカ: どのみち　こっちのほうが　きれいに　見えますね。
map_0648#2	結晶が　砕け散った!
map_0648#3	カギが　クリスタルに　反応した!
map_0648#4	タカ: 「何でも殴らない」って　主張を　全然　説得力あるものに　できてませんよ。
map_0648#5	タカ: その　いいんですよ？
map_0648#6	話してくれても。
map_0648#7	たとえ　殴って　道を　開くだけでも　僕は　何も　言いませんから。
map_0648#8	タカ: 何でも殴らなきゃ　いけない理由　わかった気が　します。
map_0649#0	結晶は　ひび割れながら　きらめいている……
map_0649#1	結晶が　砕け散った!
map_0649#2	カギが　クリスタルに　反応した!
map_0649#3	タカ: おっと。それは　都合が　いいですね。
map_0649#4	泳ぐ必要　なしですか。
map_0649#5	というか　殴る必要も　なしですね。
map_0650#0	結晶は　ひび割れながら　きらめいている……
map_0650#1	結晶が　砕け散った!
map_0650#2	カギが　クリスタルに　反応した!
map_0651#0	タカ: 砂の中の　洞窟ですか……
map_0651#1	どうして　ここが　崩れ落ちずに　済んでるのか　わかりませんが　それは　僕自身にも　言えることですね。
map_0651#2	良さそうですね。
map_0651#3	ここなら　見つかりにくいと　思いますし。
map_0651#4	タカ: あれ　これって　入り口じゃ　ないですか?
map_0651#5	どうやって　ここに　戻ってきたんでしょう?
map_0651#6	……ってことは　左半分は　もらえないってこと?
map_0654#0	タカ: ここには　階段が　あったはずです。
map_0654#1	また　他人を　締め出すために　滑り台に　ならしちゃったんでしょうね。
map_0654#2	……「また」?
map_0654#3	うーん……
map_0654#4	\PN　もう少し　あたりを　見て回っても　いいですか?
map_0654#5	ここを　抜ける方法が　絶対　あるはずです。
map_0654#6	アルセウスの像の下に　ボタンが　ある。
map_0654#7	押しますか?
map_0654#8	……でも　何も　起こらなかった。
map_0654#9	タカ: この像には　何かボタンが　あるはずです……
map_0654#10	ありました! これが　先に進む　カギの　はずです。
map_0654#11	押してください\PN。
map_0654#12	タカ: ……何も　ない?
map_0654#13	二つ目も　押さなきゃ　いけないみたいですね。
map_0654#14	前にも　これを　やった気が　します……　父と一緒に。
map_0654#15	タカ: あれ? 慎重に　越したことは　ないですけど　前は　平気だった気が　しますが……
map_0654#16	ボタンは　すでに　像に　しっかり　押しこまれている。
map_0654#17	タカ: この像は　もう　作動済みです。先に　進めると　思います。
map_0654#18	タカ: ここにも　ボタンが　あるはずです……
map_0654#19	ええ　押してください。
map_0654#20	それで　先に　進めます。
map_0654#21	タカ: 待って……
map_0654#22	ここ　見覚えが　あります。
map_0654#23	\PN　もっと　近くで　見てみましょう。
map_0654#24	タカ: 読めそうには　ないですけど　これ　確かに　見覚えが　あります。
map_0654#25	なんでだろう……?
map_0654#26	タカ: 前にも　ここに　来たことが……
map_0654#27	あのときは　この像　壊れて　いませんでした。
map_0654#28	どれくらい前だったかな……?
map_0654#29	タカ: これ　読めもしませんし……　意味　あるんでしょうか?
map_0654#30	別のセーブデータで　スギラインどうくつの　階段が　解放された記録が　見つかった。
map_0654#31	このセーブデータでも　階段を　解放しますか?
map_0654#32	はい
map_0654#33	いいえ
map_0656#0	タカ: \PN　わざと　ここに　落ちたんですか?
map_0656#1	もう　ここから　出られないんじゃ　ないですか?
map_0656#2	洞窟の　左側は　僕が　もらいます。
map_0657#0	タカ: \PN　わざと　ここに　落ちたんですか?
map_0657#1	もう　ここから　出られないんじゃ　ないですか?
map_0657#2	洞窟の　左側は　僕が　もらいます。
map_0660#0	石像: ガアアア!!!
map_0660#1	タカ: ねえ\PN?
map_0660#2	理由を　思い出しました。
map_0660#3	逃げて!
map_0660#4	タカ: 本当に　また　これを　やらなきゃ　いけないんですか?
