map_0666#133	名前は　バッフロンビルだ。
map_0666#134	よろしくな　だが　次は　正面玄関から　来てくれや　心臓に　悪いからよ。
map_0666#135	「アルディ――
map_0666#136	こんな魔法じみたガラクタを　いじくり回すなって　いったい　何回　言ったと　思ってんのさ?
map_0666#137	パーシーさんが　鏡の壁がどうの　金色の光線がどうのって　大騒ぎして　あたしんとこに　来たのよ。
map_0666#138	また　ビルの隠し酒でも　くすねたのかと　思ったんだけど
map_0666#139	丸20分　抗議されて　やっと　見に行くことに　したのよ。
map_0666#140	そしたら　なんと　うちの車両に　訳のわかんないものが　組みこまれてるじゃないの?!
map_0666#141	これが　何なのか　知らないけど　今すぐ　どけて!」
map_0667#0	???: はい　どうも　ありがとうございます!\nまた　街に着いたら　お会いしましょう。
map_0667#1	???: はい　こんにちは!
map_0667#2	お待たせしました　次は　あなたの番です。
map_0667#3	わたしの名前は　アメ。\nリボーンリーグの　マネージャーです。
map_0667#4	あなたも　登録を　希望されてたんですよね?
map_0667#5	そうだと　うれしいです! やっと　また　立て直しが　始まったところなので。
map_0667#6	実は　数年前の事件のあと　この地方は　ほとんど　見捨てられてしまって……　ポケモンにさえ。
map_0667#7	……あ　でも! 心配しないでくださいね!
map_0667#8	理想的な場所じゃないかも　しれませんが　うちのジムリーダーたちは　今までに　見たことないようなメンバーですし　リボーンも　他にはない地方だと　わかっていただけると　思います!
map_0667#9	街の外での用事から　戻る途中なので　早めに　自己紹介して　みなさんの登録を　先に　進めておこうと　思いまして。
map_0667#10	乗車券を　見せていただけますか?
map_0667#12	うーん……\PN。
map_0667#13	もう　そんな時期なんですね。
map_0667#14	よし　登録しました。
map_0667#15	さて　もし　わたしの言ってることが　わからなければ　遠慮なく　これは　飛ばしてください……
map_0667#16	何か　特別な指示や　合言葉は　ありましたか?
map_0667#17	アメ: すみません　それが　何なのか　よくわからなくて?
map_0667#18	もう一度　試しますか?
map_0667#19	アメ: わかりました! 他に　何か　ありますか?
map_0667#20	アメ: それでは　準備　完了です。
map_0667#21	もうすぐ　グランドビュー駅ですので　降りたら　大ホールまで　わたしについてきてください。
map_0667#22	そこで　リボーンでの冒険を　本格的に始めるための　最初のポケモンを　お渡しします。よろしいですか?
map_0667#23	それでは――
map_0667#24	あの。
map_0667#25	アメ: 何か　おかしいです……
map_0667#26	もう　減速してないと　おかしいですよね?
map_0667#27	だめ――　どいて!
map_0667#28	はい
map_0667#29	いいえ
map_0668#0	タカ: あの\PN　あなたって　殴ることに　依存してるんじゃないかって　思えてきました。
map_0668#1	これは　介入です。
map_0668#2	助けを　求められますよ。
map_0668#3	タカ: かなり破壊的な衝動を　抑えこんでるんじゃないかって　思えてきました。
map_0668#4	……とにかく　この穴は　下に　続いてるみたいです。
map_0668#5	本当に　あそこを　下りなきゃ　いけないんですか?
map_0668#6	砕けたガラスが\PNを　傷つけた!
map_0668#7	タカ: この場所　前にも　見たことがある気が……
map_0668#8	\PN　調べてみても　いいですか?
map_0668#9	ローラ: ベネット　言ったでしょう――!
map_0668#10	あら\PN……… 失礼しました。
map_0668#11	………おそらくは。
map_0668#12	ベネットが　あなたを　寄こしたんですね?
map_0668#13	それが　悪いことだと　言うつもりは　ありませんが　これは　家族での外出の　はずでしたの………
map_0668#14	ご覧のとおり　家族　全員　そろって　幸せそうに　笑っていますでしょう!
map_0668#15	ローラ: ………皮肉のつもりでしたが　下手でしたわね
map_0668#16	どうすればいいのか　まったく　見当が　つきません。
map_0668#17	ここに着いたばかりで　せめて　少しは　きれいな場所で　みんなで　市民としての　アノマリー討伐の任務を　楽しい午後に　できればと　思っていましたのに
map_0668#18	サファイラが　いつもの　激しくて　少しばかり　過保護な気質を　発揮してしまい………
map_0668#19	あとの展開は　おそらく　予想どおりでしょう。
map_0668#20	シャルロットが　それを　指摘し
map_0668#21	サファイラが　反論して　むきになり
map_0668#22	シャルロットは　怒って　行ってしまい
map_0668#23	わたしは　助けようと　塔を　追いかけましたが
map_0668#24	一人に　してほしいと　言われて
map_0668#25	ここに　戻ってきましたら
map_0668#26	上への道が　消えていて
map_0668#27	サファイラの姿も　どこにも　ありません。
map_0668#28	わたしは　パニックに　なりました。
map_0668#29	………だいたい　そんな　あらすじですわ。
map_0668#30	それ以来　いろいろな種類の　パニックの中に　いますの。
map_0668#31	サファイラは　下に　いると思いますが　シャルロットを　どう助ければいいか　わからず　片方を　追いかければ　もう片方が　心配で
map_0668#32	それに　下への道は　土やがれき　クモの巣だらけに　見えますし――
map_0668#33	サファイラが　どこへ行ったのかも　わからず　シャルロットを　どう助ければいいかも　わからず　片方を　追いかければ　もう片方が　心配で
map_0668#34	これは　ただの　ごく普通の　絆を深める時間の　はずでしたのに――
map_0668#35	わたしたちの生活が　積極的に　台無しに　されなくなってから　そういう時間は　あまり　なかったんです。
map_0668#36	それが　今や　この有様です。
map_0668#37	ベネットが　わたしの了承なしに　勝手に　助けを呼びに　行ったのは　気に入りませんが
map_0668#38	それ以上に　気に入らないのは　今……　その助けを　切実に　必要としていることですの。
map_0668#39	どうか　二人を　見つけるのを　手伝ってください。
map_0668#40	わたし………　少しだけ　時間が　必要です。
map_0668#41	でも　すぐに　あとを　追いますから。
map_0668#42	ローラ: シャルロットと　サファイラを　見つけるのを　手伝ってください。
map_0668#43	シャルロットは　怒って　塔の上へ　行ってしまい
map_0668#44	シャルロットは　どういうわけか　怒って　塔の上へ　行ってしまい
map_0668#45	サファイラは　おそらく　下へ　行ったのでしょう………
map_0668#46	彼女が　姿を消す前に　最後に　聞こえたのは　ガラスの割れる音　でしたか?
map_0668#47	でも　最善の状況でさえ　あんな場所には　ほとんど　入れませんのに　まして　こんな状態では………
map_0668#48	わたし……… 助けが　必要なんです。
map_0668#49	でも　サファイラが　どこへ　行ったのか　まったく　見当が　つきません………
map_0668#50	出て行くとは　思えませんが　他に　行き場所は……　下の階とか……　あるのでしょうか?
map_0668#51	タカ: これは　この床の上を　滑って　動きそうです。
map_0668#52	でも　これで　どうすれば……
map_0668#53	とりあえず　いろいろ　試してみます\PN?
map_0668#54	サファイラ: 心配かけて　悪かったな。
map_0668#55	自分が　いったい　何を　守ろうとしてるのか　わからなくなってきてな。
map_0668#56	答えは　出なかった。
map_0668#57	腹が立った。
map_0668#58	鏡を　殴った。
map_0668#59	そこに　落ちた。
map_0668#60	落ち続けた。
map_0668#61	……出るには　また　鏡を　殴るしか　なかった。
map_0668#62	ローラ: それは………　セラピー的　なのでしょうか?
map_0668#63	それと　少しばかり　気がかりでも　ありますが?
map_0668#64	大丈夫ですか?
map_0668#65	サファイラ: 平気だ。二回目は　痛くもなかった。
map_0668#66	ローラ: 心のほうは　という意味だったのですが?
map_0668#67	サファイラ: ああ。
map_0668#68	……たぶんな。
map_0668#69	サファイラ: やることは　あるが　少なくとも　今回は　誰かを　追い詰める仕事じゃ　ない。
map_0668#70	ローラ: それでは　大丈夫　なのですね?
map_0668#71	シャルロット: 当たり前じゃん。
map_0668#72	どうせ　上には　大したもの　なかったし。
map_0668#73	パズルのガラクタと　でかい鳥　くらい。
map_0668#74	でも　ご近所の　解体屋さんが　道中の半分　あたしの愚痴を　聞かされながら　片づけて　くれたけど。
map_0668#75	ローラ: あなたの苦労を　単なる……　その　……　と　片づけてしまうのは　フェアでは　ありませんわ………
map_0668#76	シャルロット: 何　愚痴のこと?
map_0668#77	「愚痴る」って　言うのが　怖いの?
map_0668#78	ローラ: いえ　そんなことは。
map_0668#79	シャルロット: なら　言ってみてよ。
map_0668#80	ローラ: 怖いとかいう　問題では　なく　そのような　下品な言葉を　使う必要が　ないだけですわ………
map_0668#81	シャルロット: やっぱ　言えないんじゃん。
map_0668#82	ローラ: 言えますわ。ただ　あえて　言わないだけです。
map_0668#83	それに　あなたの悩みは　十分すぎるほど　正当なもので　それを　そんなに　否定的に　切り捨てるのは　健全では　ありません。
map_0668#84	シャルロット: はいはい。じゃ　別の文脈で。
map_0668#85	「この塔　イケてる」って　言ってみて。
map_0668#86	それなら　ポジティブでしょ? ほら。
map_0668#87	ローラ: この塔は――　実に　申し分ない　ですね?
map_0668#88	ローラ: わたし――
map_0668#89	………
map_0668#90	この塔は　確かに　なかなか　イケてると　思いませんこと?
map_0668#91	シャルロット: ぷっ。
map_0668#92	ローラ: 何か　おかしいですか?
map_0668#93	ちゃんと　言いましたわよね?!
map_0668#94	シャルロット: うん　半分死にかけの　おばさんみたいな　上品さで　ね。
map_0668#95	シャルロット: とにかく　あたしは　平気。
map_0668#96	もう　先に　進む準備は　できてる気がする。
map_0668#97	別のセーブデータで　しんきろうの塔の　パズルが　クリアされた記録が　見つかった。
map_0668#98	このセーブデータでも　しんきろうの塔のパズルを　スキップしますか?
map_0668#99	はい
map_0668#100	いいえ
map_0669#0	タカ: \PN?
map_0669#1	さっき　何と　戦ってたんですか?
map_0669#2	何も　いなかったと思うんですが　まるで　何か　いるみたいに　してましたよね……
