map_0693#46	もう　女房の　エウロパには　会ったか?
map_0693#47	二人とも　都会に　閉じこもってて　息が　詰まっちまってよ　ここまで　出てきて　何か　おもしれえことが　できねえか　試してみたのさ。
map_0693#48	結局　戻る気なんて　これっぽっちも　なくなっちまった。
map_0693#49	そのうち　あちこちで　はぐれ者を　何人か　拾うようになってな――　たいていは　都会から　逃げてきた連中さ。
map_0693#50	たとえば　パーシーさんとか?
map_0693#51	砂漠で　倒れてるとこを　見つけたんだ。
map_0693#52	パーシー: ちょっと　昼寝してただけよ。
map_0693#53	???: ちょっと　昼寝してただけよ。
map_0693#54	アルドス: 砂嵐の真っただ中で　うつぶせになってか?
map_0693#55	パーシー: 計画的な昼寝だったとは　言ってないでしょ……
map_0693#56	???: 計画的な昼寝だったとは　言ってないでしょ……
map_0693#57	アルドス: とにかく　ここじゃ　くつろいでくれよな。
map_0693#58	何か　必要なら　女房か　おれに　言ってくれ。
map_0693#59	アルドス: 遠慮なく　座って　くつろいでくれ。
map_0693#60	うちの寄せ集め連中は　いつでも　新しい仲間を　歓迎してるんだ。
map_0693#61	メンバーは　だいたい　ここにいる連中と　あとは　ステフォスコープに　もう一人　それに　たまに　ティタニアさんが　来るくらいだ。
map_0693#62	たまに　顔を　出して　話していく程度だが　来るたびに　都会から　食料や　飲み物を　持ってきて　面倒を　見てくれるんだ。
map_0693#63	パーシー: それに　野生ポケモンで　困ったときは　彼女が　追い払ってくれるのよ!
map_0693#64	???: それに　野生ポケモンで　困ったときは　彼女が　追い払ってくれるのよ!
map_0693#65	あたしの元カレが　ここに　現れたら　守って　やっつけてやるって　言ってくれたし!
map_0693#66	結局のところ　あの人　かなり　かっこいいと　思わない?
map_0693#67	ねえ　あの人って　女の子に　興味　あると思う?
map_0693#68	エウロパ: パーシー　どんだけ　飲んだんだい?
map_0693#69	???: パーシー　どんだけ　飲んだんだい?
map_0693#70	パーシー: 足りないくらいよ!
map_0693#71	よう　見ない顔だね!
map_0693#72	パーシーだよ。
map_0693#73	誰かに　差し向けられたわけじゃ　ないよね?
map_0693#74	だって　もし　厄介事を　起こしに　来たんなら　バッフロンビルの　相手を　しなきゃ　いけないんだから。
map_0693#75	それに　気づいてないかもしれないけど　あいつの右のわきの下　とんでもなく　臭いんだから。
map_0693#76	バッフロンビル: パーシー　てめえ　何　言ってやがる?
map_0693#77	???: パーシー　てめえ　何　言ってやがる?
map_0693#78	パーシー: 引っかかったわね!
map_0693#79	エウロパ: まあ　ビル　あながち　間違っちゃ　いないだろ。
map_0693#80	???: まあ　ビル　あながち　間違っちゃ　いないだろ。
map_0693#81	バッフロンビル: あーそうかい　悪かったな　だったら　一番近い川にでも　飛び込んでやろうか――　って　あ。
map_0693#82	???: あーそうかい　悪かったな　だったら　一番近い川にでも　飛び込んでやろうか――　って　あ。
map_0693#83	パーシー: 心配しないで　ビル　あたしが　沈めて　あげるから!
map_0693#84	アルドス: パーシー　やめとけ。
map_0693#85	???: パーシー　やめとけ。
map_0693#86	パーシー: ここが　一番の　場所だって　わかってるくせに!
map_0693#87	リボーンシティ?　なにそれ?!
map_0693#88	この地方で　一番　イカした仲間が　ここに　いるんだから! フー!
map_0693#89	バッフロンビル: 落ち着けって　じゃないと　列車から　転げ落ちるぞ。
map_0693#90	???: 落ち着けって　じゃないと　列車から　転げ落ちるぞ。
map_0693#91	パーシー: へっ　平気よ　うちには　お医者様が　いるんだから。
map_0693#92	まあ　付き合い悪すぎて　全然　こっちに　来てくれないけどね。
map_0693#93	エウロパ: そんな　冷たい言い方　しなくても　いいだろ?
map_0693#94	???: そんな　冷たい言い方　しなくても　いいだろ?
map_0693#95	確か　あんたも　ここに　来たばかりの頃は　あたしらのこと　かなり　怖がってたはずだよ。
map_0693#96	それが　今じゃ　この様さ。
map_0693#97	それに　彼女が　ここに　来てから　そんなに　経っちゃ　いないんだ。
map_0693#98	だいたい　彼女が　本当に　医者なのかも　怪しいもんだしね……
map_0693#99	パーシー: それでも　あたしは　ちゃんと　みんなと　話してるでしょ!
map_0693#100	でも　あそこの　ステフォスコープちゃんは　やる気すら　なさそうじゃない。
map_0693#101	エウロパ: 準備が　できたら　やる気に　なるさ　パーシー。
map_0693#102	???: 準備が　できたら　やる気に　なるさ　パーシー。
map_0693#103	それしか　ないんだよ。
map_0693#104	コリン・ルージュ: ああ　我が麗しの淑女よ　ついに　私の元へ　戻ってきてくれたか!
map_0693#105	実に　喜ばしいことに　今日は　君だけのために　特別な披露を　用意してあるのだ!
map_0693#106	コリン・ルージュ: そこに　いたか。
map_0693#107	私自身のことを　話したいんだ。
map_0693#108	この砂のせいなのか　それとも　何か別の力なのか　あるいは　ここに　すでに　積み重なった　がらくたの山の　せいなのか――
map_0693#109	この場所には　何か　人を　引き寄せる　癖が　あるようだ。
map_0693#110	時には　列車一台分　まるごとね。
map_0693#111	コリン・ルージュ: 私は　列車で　リボーン地方へ　向かっている途中で　何かが　狂ったんだ。
map_0693#112	すべてを　失った。
map_0693#113	周りの多くの人が　亡くなった。
map_0693#114	私は　驚くほど運が良くてね　生存者のために　できることを　した。彼らは　遠くまで　動けなかった。
map_0693#115	このがらくたの巣の奥で　比較的　損傷の少ない車両を　見つけて　そこへ　彼らを　引き入れたんだ。
map_0693#116	そこで　できる限りのことは　したが　金も　薬も　食料も　なく　選択肢は　彼らに　残された時間と同じくらい　限られていた。
map_0693#117	給料が　振り込まれるのを　待っていたんじゃ　間に合わなかった。
map_0693#118	コリン・ルージュ: そこで　私は　盗みを　始めたんだ。
map_0693#119	ただ　みんなが　生き延びる手助けが　したかっただけだ。
map_0693#120	生き延びられなかった者も　いた。
map_0693#121	完全に　回復して　ここに　来た目的通りの人生を　歩んだ者も　いた。
map_0693#122	ここに　留まって　やがて　去っていった者も　いる。
map_0693#123	それ以来　顔ぶれは　季節ごとに　変わっても　ここには　いつも　誰かが　いるんだ。
map_0693#124	逃亡者……　難民……　罪を犯した者と　罪を　犯された者……
map_0693#125	ここでは　誰もが　平等だが　必要に迫られて　いつも　何かを　求めている。
map_0693#126	私は　ただ　それに　応えるために　できることを　してきた。
map_0693#127	やがて　必要は　技術に　変わった。
map_0693#128	技術は　名声に　変わった。
map_0693#129	今では　他のことに　手を出すのは　危険すぎるくらいだ。
map_0693#130	コリン・ルージュ: 今でも　ここには　守りを　必要とする人たちが　いる。
map_0693#131	私は　彼らにも　その守りを　与えられるように　なりたかった。
map_0693#132	だからこそ　君の　究極のポケモンを　盗む必要が　あったんだ。
map_0693#133	個人的な恨みは　何もない。
map_0693#134	君や　警察から　逃げながら　他の物資を　集める間　それを　どうこうする時間すら　なかった。
map_0693#135	だが　これで　わかってもらえたと　思う――
map_0693#136	これを　簡単に　返すわけには　いかないんだ。
map_0693#137	この場所は　私の家なんだ。
map_0693#138	だから　たとえ　君のような　輝ける天使を　敵に回すことに　なろうとも……
map_0693#139	私は　これを　守ってみせる!
map_0693#140	私は……
map_0693#141	コリン・ルージュ: ……
map_0693#142	コリン・ルージュ: もう　自首しに　行くとするよ。
map_0693#143	???: いやあ　こんにちは　お二人さん!
map_0693#144	タカ: いや　違いますよ。ハガネールじゃ　ないです。
map_0693#145	ただの　列車を持った　変わり者二人組です。
map_0693#146	???: まあ　誰だって　そんな時期は　あるもんさ。
map_0693#147	昔ながらの　列車ジョウストが　ここいらじゃ　最高のスポーツだからな!
map_0693#148	タカ: それ　安全そうですね。
map_0693#149	???: とにかく　あたしの名前は　エウロパだ!
map_0693#150	休める場所を　探してるのかい?
map_0693#151	タカ: 休む?　そんな言葉　聞いたこと　ないです。
map_0693#152	エウロパ: おっと　冗談言うじゃないか!
map_0693#153	ここいらじゃ　来客なんて　そう多くないけど　それぞれの事情で　集まってる連中が　何人か　いるんだ。
map_0693#154	平穏を　求めてる者も　いれば　暴力から　逃げてきた者も　いる。
map_0693#155	でも　あんたが　誰であろうと　好きなだけ　あたしらと　一緒に　いていいんだ。
map_0693#156	ここじゃ　お互いが　いれば　それで　十分さ。
map_0693#157	タカ: これは……　うまくいくかも　しれません。
map_0693#158	エウロパ: あんたら　語れる話でも　あるのかい?
map_0693#159	タカ: \PNは　きっと　いくつも　あると思います。
map_0693#160	僕は　その……
map_0693#161	ただ　安全な場所を　探してるだけです。
map_0693#162	エウロパ: そりゃ　おめでとう! 見つけたじゃないか!
map_0693#163	よければ　あんた専用の列車と　ここに　あるわずかな設備を　用意してやるよ。
map_0693#164	タカ: つまり――　待ってください　みなさん　この列車で　暮らしてるんですか?
map_0693#165	できるから　って　だけで?
map_0693#166	エウロパ: だいたい　そんなとこだね!
map_0693#167	タカ: ……
map_0693#168	いいですね　それ。
map_0693#169	ご迷惑でなければ　その……　すごく　助かります。
map_0693#170	エウロパ: さあ　こっちだよ!
map_0693#171	エウロパ: さて　ここだよ。
map_0693#172	設備は　大したこと　ないけど　砂よけには　なるさ。
map_0693#173	エウロパ: そいつ　あんたの　彼氏か何かかい?
map_0693#174	エウロパ: おっと　ただの　からかいだよ。
map_0693#175	でも　あんたも　泊まりたいなら　二人で　一緒でも　いいし　別の車両を　探してやってもいいよ。
map_0693#176	エウロパ: あんたも　泊まりたいなら　二人で　一緒でも　いいし　別の車両を　探してやってもいいよ。
map_0693#177	エウロパ: どう　思う?
map_0693#178	確かに　手入れは　必要だけど　ちゃんと　箒を　かけて　ひと汗かけば　すぐに　快適に　なるはずさ。
map_0693#179	アマリア: これで　正式に　準備完了だね!
map_0693#180	ステフォスコープ: これで　やっと　この辺りの開発を　本格的に　始められますね。
