map_0707#87	ローラ: 言えますとも。ただ　言わないと　決めているだけです。
map_0707#88	特に　あなたの不満は　十分に　正当なものですから　そんなに　否定的に　片付けてしまうのは　健全じゃ　ありません。
map_0707#89	シャルロット: わかった。じゃあ　別の文脈で。
map_0707#90	「この塔　イケてるわね」って　言ってみて。
map_0707#91	それって　ポジティブな意味でしょ? さあ。
map_0707#92	ローラ: この塔は――　実に　申し分ないですね?
map_0707#93	ローラ: 私――
map_0707#94	……
map_0707#95	この塔は　確かに　なかなか　イケてると　思いませんか?
map_0707#96	シャルロット: ぷっ。
map_0707#97	ローラ: 何か　言いました?
map_0707#98	言ったでしょう?!
map_0707#99	シャルロット: ええ　半分死にかけたおばさんみたいな　優雅さでね。
map_0707#100	シャルロット: とにかく　あたしは　大丈夫。
map_0707#101	もう　次に　進む準備は　できたと思う。
map_0707#102	ローラ: さて\PNが　来て　私たちの仕事を　文字通り　全部　やってくれた今
map_0707#103	座って　大人らしく　分別のある大人同士として　話し合えないでしょうか?
map_0707#104	シャルロット: どうかな「大人」って　言うのは　ちょっと　ハードル高いかも。
map_0707#105	サファイラが　その年齢に　達してるか　本当に　確か?
map_0707#106	サファイラ: 何ですって。
map_0707#107	シャルロット: 引っかかったわね。
map_0707#108	ローラ: 少なくとも　二人とも　また　冗談を　言い合えるように　なったんですね……
map_0707#109	サファイラ: こうやって　仲裁するのは　姉さんの仕事じゃ　ないはずよ。
map_0707#110	あたしは　長女として　情けなかった。
map_0707#111	ローラ: いいえ　それこそが　あなたの問題の一部なんです。
map_0707#112	もう　その必要が　ないのに　あなたは　その重荷を　自分に　背負わせ続けています。
map_0707#113	たまには　私たちに　あなたの面倒を　見させてください。
map_0707#114	サファイラ: それって　なんか　間違ってる気がする。
map_0707#115	でも　何が　正しいのか　わからないから　姉さんの判断に　従うわ。
map_0707#116	ローラ: それと　シャルロット　あなたも　その――
map_0707#117	シャルロット: はいはい　ヒステリー起こすの　やめろとか　うんぬん　成熟しろとか　うんぬん　友情と愛が　どうとか。
map_0707#118	ローラ: 私が　言いたかったのは　あなたが　本気の感情的な会話から　皮肉で　逃げるのを　やめてくれると　助かるということです。
map_0707#119	シャルロット: ……そうだけど　それじゃ　つまんないでしょ。
map_0707#120	サファイラ: 今回の　これも　全然　楽しくなかったけどね。
map_0707#121	シャルロット: どうかな　あそこでの時間　結構　悪くなかったし?
map_0707#122	ローラ: シャルロット。
map_0707#123	シャルロット: はいはい　わかった　わかった　わかった。
map_0707#124	ここに　誓うわ　この地球上で　一番　皮肉じゃない人間に　なるって
map_0707#125	3分間だけ
map_0707#126	運が　良ければね。
map_0707#127	ローラ: それで　いいのかも　しれませんね。
map_0707#128	あなたの生意気さを　時々　楽しんでないわけじゃ　ないですから。
map_0707#129	シャルロット: それ　記録しとくから。次に　姉さんが　文句　言ってきたら　思い出させてやる。
map_0707#130	ローラ: さて　異変狩りは　今のところ　私たち家族には　少し　荷が重いような　気がしてきたので
map_0707#131	代わりに　みんなで　一緒に　楽しい時間を　過ごしてみるのは　どうでしょう?
map_0707#132	そういう時間は　あまり　なかったですし　立ち止まって　一緒に　花の香りを　嗅ぐことにも　いつだって　意味は　あると思うんです。
map_0707#133	シャルロット: ここ　砂漠なんだけど　わかってる?
map_0707#134	サファイラ: それでも　花は　あるでしょ。
map_0707#135	ローラ: これは　比喩的な花のことです　いいですか?
map_0707#136	シャルロット: で　その比喩的な花って　一体　どんな匂いが　するわけ?
map_0707#137	ローラ: 愛と　信頼と　一緒に　成長していく経験の　匂いです。
map_0707#138	シャルロット: うわ　今の　真顔で　言ったよね。
map_0707#139	サファイラ: ほとんど　感心するレベル。
map_0707#140	ほとんどね。
map_0707#141	ローラ: ……
map_0707#142	さて\PN　本当に　楽しい時間でした。
map_0707#143	改めて　あなたの助けに　深く　感謝します。
map_0707#144	本当に　欠かせないものでしたし　これで　私たち全員　少しは　良くなれたと思います。
map_0707#145	では　失礼して　この二人を　耳を　引っ張って　家まで　連れて帰りますね。
map_0707#146	サファイラ: あたしの耳は　勘弁してくれるなら　こっちの耳を　あたしが　引っ張るわ。
map_0707#147	ローラ: 取引成立です。
map_0707#148	シャルロット: 待って。
map_0707#149	シャルロット: ちょっと　待って　まだ　この話　続けられるでしょ!
map_0707#150	分別のある大人同士とか　なんとか　言ってたじゃない!
map_0707#151	ねえ　待って――　\PN　助けて!
map_0707#152	ローラ: 良い一日を\PN。
map_0707#153	しんきろうの塔の　パズルの　クリア状況が　別のセーブファイルから　検出されました。
map_0707#154	このファイルでは　しんきろうの塔の　パズルを　スキップしますか?
map_0708#0	砕けたガラスが\PNを　傷つけた!
map_0708#1	タカ: この場所　本当に　変ですね。
map_0708#2	僕の先祖が　作ったのかもしれませんけど　なんで　こんなに　ややこしく　作ったんでしょう?
map_0708#3	タカ: あれは　もう　動かないと思います。
map_0709#0	砕けたガラスが\PNを　傷つけた!
map_0709#1	タカ: まあ　これは　ちょっと　想定と　違うものが　出てきましたね……
map_0709#2	タカ: あれは　もう　動かないと思います。
map_0711#0	相棒! 準備運動代わりに　バトルは　どうだ?
map_0711#1	レナ: いって! なかなかの熱さね!
map_0711#2	仲間のトレーナーと　過ごす時間は　いつだって　いいもんだ。それに　ここほど　ふさわしい場所は　ないと　おれは　思うぜ!
map_0711#3	バトルなしで　あたしを　通り抜けられると　思ってる?
map_0711#4	オータム: はいはーい　通してあげる。
map_0711#5	少なくとも　簡単には　させなかったでしょ?
map_0712#0	冷気が　あたりに　広がった……
map_0712#1	巨大な山塊が　凍りついた!
map_0713#0	ここに　来て　寒さに　立ち向かい　心と体を　鍛えてるんだ……　そして　お前とも　だ! ハッ!!!
map_0713#1	シール: ふん。まだまだ　修行が　足りんようだな。
map_0713#2	その強さを　手に入れるまでに　一体　何を　耐え抜いてきたんだ?
map_0713#3	おおっと! 前に　おれを　起こしてくれたのは　お前だな?
map_0713#4	こんなとこでも　また　会うとはな!
map_0713#5	友よ　バトルと　いくか?
map_0713#6	自然を　楽しむのに　これ以上の方法を　おれは　知らんぞ!
map_0713#7	素晴らしい! さあ　始めよう!
map_0713#8	カリム: 悪くないな　友よ! お前は　自然の世界を　思う存分　生きる術を　知ってるようだな!
map_0713#9	ふう! あのバトルで　すっかり　疲れたぜ!
