map_0734#206	最初から眠らせておけばよかっただけの話だ。
map_0734#207	ゼル: でも、これは試すのに役立っ――
map_0734#208	ベネット: 黙れ。
map_0734#209	試されたのは、お前が自分の欲を甘やかす気があるかどうか、それだけだ。
map_0734#210	ゼル: ご、ごめん、よく分からな……
map_0734#211	ベネット: お前はただ、\PNへの鬱憤のはけ口として、操り人形のように振り回すのを楽しんでいただけだ。
map_0734#212	ゼル: それは――
map_0734#213	ベネット: どのみち眠らせるだけなら、今戦ったところで何も得るものはない。
map_0734#214	ゼル: でも、あんたが言ったのは――
map_0734#215	ベネット: 私が言ったのは何か行動しろということだ。1対2の状況で時間を無駄にし、PULSEの安全を危険にさらせとは言っていない。
map_0734#216	ルナとの戦いについては私が責任を持つが、この戦いは、お前自身の自尊心を満たす以外に何の意味もなかった。
map_0734#217	ゼル: ただ、\PNがちゃんと支配下にあるって確かめたかっただけで……
map_0734#218	ベネット: お前は、その支配を感じたかっただけなのだろう。
map_0734#219	おそらく、長い間自分自身の身体すら自由にできなかったからだろうな。
map_0734#220	間違っているか?
map_0734#221	ゼル: ……
map_0734#222	ベネット: それに、お前の記録には目を通した。
map_0734#223	あの女たちと組む前は、ただの下っ端だったのだろう?
map_0734#224	しかも、大して有能でもなかった。
map_0734#225	あの二人こそが、お前が目立てる唯一の機会だった。だからこそ、今もしがみついているのだろう。
map_0734#226	今日お前が見せたような振る舞いこそが、お前の無能さを何より物語っている。
map_0734#227	お前は感情を、結果の妨げにしてしまっている。
map_0734#228	野心を脇に置き、自分自身と目標に真に向き合うことを学ばない限り、お前は決して変われない。
map_0734#229	セラ: それ、あの宣教師に教わったの?
map_0734#230	ベネット: いいえ、母上。
map_0734#231	あの男が私にしてくれたことといえば、私の足には合わない足跡を歩かせようとした、それくらいのものです。
map_0734#232	今でも、四天王の名に完全にふさわしくなることなど望めないと理解しています。
map_0734#233	それを悟ったからこそ、一歩下がって、より真剣に自己改善に取り組むことを学びました。
map_0734#234	その結果は、おのずと物語っているはずです。
map_0734#235	セラ: あなたがまだコインの間違った側に座っているという事実より、雄弁な結果なんてないでしょうけど。
map_0734#236	ベネット: 借りを返すことの、どこが間違っているのですか?
map_0734#237	ラドマス: 手段が終わったからといって、その意味まで終わるわけではない。
map_0734#238	自分自身の選択から逃げているだけではないと、本当に言い切れるかな?
map_0734#239	ベネット: ゼロ、これはもう十分すぎるほど長引いている。
map_0734#240	本当に役に立ちたいなら、さっさと全員を眠らせて、先に進ませてくれ。
map_0734#241	分かった……
map_0734#242	これで、お前たちは永久に邪魔にならなくなる。
map_0734#243	サーナイト: そんなこと、させない……
map_0734#244	ルナ: サーナイト?
map_0734#245	あなたはもうあの戦いで傷ついています。これ以上、無理をする必要はありません。
map_0734#246	サーナイト: あいつらは、マスターを眠らせようとしてる……
map_0734#247	放り捨てて、二度と目覚めさせないつもりで……
map_0734#248	もしかしたら、あんなことをしたあとだもの、いっそ始末してしまうかも……
map_0734#249	わたしは……
map_0734#250	サーナイト: そんなこと、絶対に、絶対にさせない!
map_0734#251	セラ: あの子、何をするつもり……
map_0734#252	ルナ: ご存じかもしれませんが、サーナイトはトレーナーに対して、非常に強い忠誠心を持つのです。
map_0734#253	トレーナーを守るためなら、あらゆる力を尽くすと言われています。
map_0734#254	たとえ、それが自らの命を懸けることになろうとも。
map_0734#255	ラドマス: サーナイト――
map_0734#256	サーナイト: 止めないで!
map_0734#257	これは、わたしがやらなきゃいけないことなの。
map_0734#258	あなたのために。
map_0734#259	ラドマス: 何か芝居がかったことをする前に――お前がそういうのを好むのは知っているが――
map_0734#260	この世界と、他の仲間たちを信じようではないか。
map_0734#261	サーナイト: 他に誰が残ってるって言うの?!
map_0734#262	誰が\PNを止められるの?
map_0734#263	誰が、ただ眠らされずに済むって言うの?!
map_0734#264	ルナ: サーナイト、どうか……
map_0734#265	サーナイト: いいえ、これしか道はないの!
map_0734#266	あの機械を、根こそぎ破壊してやる!
map_0734#267	これがわたしの使命なんだから!
map_0734#268	ラドマス: それはお前の――
map_0734#269	サーナイト: ううん! そうなの!
map_0734#270	あなたを生かし続けるため――
map_0734#271	あの何年も前に……
map_0734#272	これが、あの人がわたしに頼んだことだから。
map_0734#273	ラドマス: 彼女が――
map_0734#274	ベネット: お前のマスターに危害は加えない、サーナイト。
map_0734#275	私が約束する。
map_0734#276	サーナイト: これだけのことをしておいて、信じられるとでも思ってるの?!
map_0734#277	ベネット: 彼はただ眠るだけだ。それ以上は何もしない。
map_0734#278	すべてが終われば、目を覚ます。
map_0734#279	お前が傷つくところも見たくはない。
map_0734#280	サーナイト: 嘘つき!
map_0734#281	ルナと\PNにしたことも、この後チームメテオがやろうとしていることも知っていて……
map_0734#282	今さら情けをかけようって言うの?!
map_0734#283	そんなの、絶対に信じない!
map_0734#284	ベネット: ちっ。
map_0734#285	セラ: このエネルギー……
map_0734#286	ルナ: 最も切迫した状況では、サーナイトは全ての力を使い、小さなブラックホールすら生み出すことができると言われています。
map_0734#287	サーナイト: その通り!
map_0734#288	あのPULSEがどれだけ強力でも、まるごと消し去ってやる!
map_0734#289	ベネット: ゼロ!
map_0734#290	サーナイト: これで全部、正しい形に戻せる……
map_0734#291	絶対に、やってみせる!
map_0734#292	ベネット: カインを解放しろ、手遅れになる前にあいつを抑えろ!
map_0734#293	ゼル: やってる!
map_0734#294	サーナイト: マスター――
map_0734#295	何が起きても、どうか覚えていて、
map_0734#296	わたしは、あの人よりも、他の誰よりも、ずっとあなたを愛しているの。
map_0734#297	ベネット: ゼローーー!
map_0734#298	ゼル: 捕まえた!
map_0734#299	ゼル: 遅かった?!
map_0734#300	ベネット: あいつのエネルギーが、制御を失って暴走している……
map_0734#301	全員、ここから出ろ!
map_0734#302	セラ: \PNたちはどうするの?!
map_0734#303	ベネット: 時間がない――
