map_0735#578	フローラ: ……残念だわ。
map_0735#579	あなたは時間を無駄にした。もっと大事なのは、わたしの時間もね。
map_0735#580	でも、あきらめるつもりはないわ。
map_0735#581	だから、気が変わったら、ここにいるから。
map_0735#582	それまでは、話すことなんてない。離れて。
map_0735#583	マギアナ: ムリリギ?
map_0735#584	マ・マ・マ・マ?
map_0735#585	マギアナ: ギィィィ〜
map_0735#586	はい
map_0735#587	いいえ
map_0735#588	何してるの?
map_0735#589	ただぶらぶらしてるだけ……
map_0735#590	あるよ!
map_0735#591	どこ?
map_0735#592	いくつか場所を知ってる。
map_0735#594	ジバコイル
map_0735#595	ブロスター
map_0735#596	バリヤード
map_0736#0	人事名簿 Vol.3\n読む?
map_0736#1	"ケイトリン・フィッシャー―― エクリプス
map_0736#2	アンドリュー・グラフメーカー―― アスター
map_0736#3	テラ・ピアース―― ティタウィン
map_0736#4	ゼロ―― ベガ
map_0736#5	ルミナ・セイジャヤ―― デネブ
map_0736#6	エヴェリン・セイジャヤ―― アルタイル"
map_0736#7	アスター: \PN?
map_0736#8	お前もここに来たのか……
map_0736#9	そんな気はしてたよ。
map_0736#11	お前のせいだ……
map_0736#12	いつも、どこに行っても、
map_0736#13	お前がオレたちを止めに来る。
map_0736#14	そして、こうなる。
map_0736#15	お前のせいだ。
map_0736#16	お前がエクリプスをこんな目に遭わせたんだ!!!
map_0736#18	アスター: お前のせいだと思うほうがずっと楽だ……
map_0736#19	本当に、本当に、お前のせいだと思おうとした。
map_0736#20	でも、できない。
map_0736#21	エクリプスは自分で選んだ。彼女をこんな風にしたのは――
map_0736#22	シリウスだ――
map_0736#23	少なくともお前とは戦える。
map_0736#24	でもメテオ団に逆らったらどうなるかは分かってる……
map_0736#25	このチーム――この家族――
map_0736#26	めちゃくちゃで、崩れかけてて、オレのものとも言えないけど、それでもさ、
map_0736#27	オレが持ってた唯一のものなんだ。
map_0736#28	だからどうしろっていうんだ?!
map_0736#29	エクリプスが望んだように物事を変えられるのはオレかもしれないと思った。でもお前とは戦えないし、シリウスとも戦えない――
map_0736#30	だからどうしろって言うんだよ、クソッ?!
