map_0741#26	人はいつだってそうなの。
map_0741#27	そして、無から何かを生み出すには、きっと神の御業が必要なんでしょうね。
map_0741#28	リン: 人生とは、そういうふうに不公平なものよ。
map_0743#2	頑丈すぎて、壊すことも動かすこともできなそうだ……
map_0743#3	この岩の台座には、まだお宝が眠っているかもしれない。
map_0743#4	「ばくはつのこな」で開けますか?
map_0743#5	はい
map_0743#6	いいえ
map_0745#0	\PNは「フィールド効果解説27」を手に入れた!
map_0745#1	「マウンテン」の情報が確認できるようになった!
map_0745#2	クリスタルのエネルギーがゆがめられた!
map_0745#3	クリスタルの光が弱々しく揺らめいている……
map_0746#0	\PNは「フィールド効果解説27」を手に入れた!
map_0746#1	「マウンテン」の情報が確認できるようになった!
map_0748#0	ジジジジジッ――
map_0748#1	ゴース: ゴ、ガアッ!
map_0748#2	機械が反応しなくなった。
map_0749#0	洞窟中に水のしたたる音が響いている……
map_0749#1	氷の水盆が溶けた!
map_0749#4	頑丈すぎて、壊すことも動かすこともできなそうだ……
map_0749#5	この岩の台座には、まだお宝が眠っているかもしれない。
map_0749#6	「ばくはつのこな」で開けますか?
map_0749#7	はい
map_0749#8	いいえ
map_0751#0	外はまだ続いてるの?
map_0751#1	お役に立てるなら、何か買って連中を追い払う足しにしてくださいな!
map_0751#2	テレビでもソファでも持っていっていいから、あとで生かしておいてくれ……
map_0751#3	しー、ここに隠れてるんだから!
map_0751#4	でもメテオ団のやつが来たら、やっつけてやるんだから!
map_0751#5	あなた、悪い連中の仲間じゃないよね?
map_0751#6	悪い夢から、もっとひどい悪夢に変わった気分だわ……
map_0751#7	ふう!
map_0751#8	青春の半分を寝て過ごした挙句、直後に命の危険にさらされるなんて、これ以上ストレスなことはないわ!
map_0751#9	さあ、企業様お墨付きのやり方で憂さ晴らしといこうかな!
map_0752#0	あなた、メテオ団の人じゃないですよね?
map_0752#1	ここに隠れていってくださって構いません。
map_0752#2	運が良ければ、ここまでは邪魔しに来ないでしょう。
map_0752#3	下っ端の一人に、この街のことをしつこく聞かれて……
map_0752#4	あたしカロス出身なのよ、知ってるわけないでしょ?!
map_0752#5	みんな大騒ぎしてるけど、メテオ団だって別に何か傷つけてるわけじゃないでしょ?
map_0752#6	何人かを集めて、何人かを尋問して、支配下に置こうとしているだけで……
map_0752#7	でも本気であたしたちや街を傷つける気なら、もうとっくにやってるはずでしょ。
map_0752#8	何がそんなに問題なわけ?
map_0752#9	ちっ、フライパンから逃げたと思ったら「だいもんじ」の中とはね……
map_0752#10	サーカスから戻ってきたばかりなのに、今度はこれだもの……
map_0752#11	あたしの彼氏と何人かが、メテオ団と戦うために出ていったの……
map_0752#12	みんな無事だといいけど……
