map_0753#297	リボーンシティで前の物件管理人が事故に遭ったあと、この仕事を引き継いだの。
map_0753#298	それは改修前の話だから、まあ、
map_0753#299	あの場所に通い詰めてれば、そりゃそうなるでしょって話よね。
map_0753#300	とにかく、記録を全部チェックしてるんだけど――ちなみに、頭がおかしくなりそうなくらい退屈――
map_0753#301	なぜか、この住所だけ書類が全部そろってないの。
map_0753#302	所有者が誰か、いつ売却されたか、今どういう状態なのか、手がかりが何一つないのよ。
map_0753#303	だから確認しに来たわけ。
map_0753#304	見ての通り、「人が住んでる」って言うのはこの状態には甘すぎる表現ね。
map_0753#305	何年もここに誰も住んでないと思うわ。
map_0753#306	このガラクタを見つけて、いじってみればここの持ち主が分かるかもって思ったの。
map_0753#307	それが最初の間違いだった。
map_0753#308	こいつ、パスワードが必要みたい。
map_0753#309	6桁っぽいわね。
map_0753#310	見当もつかないって言いたいところだけど、それは正確じゃないわね。
map_0753#311	唯一の手がかりはこれ――
map_0753#312	画面の下にあるメテオ団のロゴよ。
map_0753#313	ここはもう隅々まで調べたけど、正体を教えてくれるものは何もなかったわ。
map_0753#314	良くも悪くも、これ以上調べるためにメテオ団に関わりたいとも思わないし。
map_0753#315	だから、あんたの出番かなって思ってるの。
map_0753#316	あんた、メテオ団のIDカードを持ってるみたいね。
map_0753#317	あんたが正しい側にいるのは分かってるから、詮索はしないけど、
map_0753#318	そのカードで入れる場所に心当たりがあるなら、このガラクタの持ち主のヒントがあるかもしれないわね。
map_0753#319	パスワードを総当たりで試してみたけど、とんでもなく時間がかかるのよ。
map_0753#320	それでも、他の書類仕事よりはよっぽど面白いけどね。
map_0753#321	だから、まあ、この辺にいるから。
map_0753#322	何か見つけたら寄ってちょうだい。
map_0753#323	サレナ: そりゃそうよね。
map_0753#324	あんたにはもっと他にやることがあるでしょうし。
map_0753#325	あたしは違うけど。
map_0753#326	サレナ: どう、成果はあった?
map_0753#327	パスワードがあるなら、試してみるわよ。
map_0753#328	サレナ: 試してみるわね。
map_0753#329	.
map_0753#330	. .
map_0753#331	サレナ: あら、あら。
map_0753#332	やるじゃない、坊や。
map_0753#333	それじゃ、何が見えるか確認しましょ……
map_0753#334	ん……
map_0753#335	サレナ: 面白いわね。
map_0753#336	身元が分かるものはないけど、あの宝石があるわね。
map_0753#337	サレナ: 他にどんな秘密が埋まってるか見てみましょ。
map_0753#338	サレナ: だめね。
map_0753#339	そのカードで手がかりが見つからないなら、もう他に方法が思いつかないわ。
map_0753#340	サレナ: まあ、部屋を増築するのも物件価値を上げる一つの手ではあるわね。
map_0753#341	こういう増築の前には許可が必要だったはずだけど、
map_0753#342	それも前の管理人と一緒に紛失したってことにしとくわ。
map_0753#343	ん?
map_0753#344	ここに何か書いてある。
map_0753#345	「知らなかった……」
map_0753#346	「あいつに騙された……」
map_0753#347	ここにいた誰かは、色々問題を抱えてたみたいね。
map_0753#348	それに、床に散らばってるこのガラクタは何なの?
map_0753#349	サレナ: ……
map_0753#350	「直さなくちゃ……」
map_0753#351	「あいつら全員に仕返ししてやる……」
map_0753#352	「歴史はこの手の中にあった、
map_0753#353	それから、この頭蓋の中に。
map_0753#354	歴史とは勝者が書くもの、だから私はペンを取らねばならぬ。
map_0753#355	鼻先を砥石に、目を針の先に。
map_0753#356	剣はそのあとに続くのみ」
map_0753#358	新しい計画にするわ。
map_0753#359	この家の所有者の記録がないなら、所有者はいないってことにする。
map_0753#360	これを読んだ今、そのほうがいいってはっきり分かったわ。
map_0753#361	書類を片付けて、そのうち市場に出すことにするわね。
map_0753#362	サレナ: 手伝ってくれてありがとう。
map_0753#363	なんていうか、その……
map_0753#364	変な経験だったわ。
map_0753#365	これ、お礼よ。
map_0753#366	\PNは「デパートシール: ライボルト」を手に入れた!
map_0753#367	サレナ: はい、どうぞ。
map_0753#368	よし、これ以上不気味なポエムを読まされる前に、あたしはもう行くわね。
map_0753#369	あんたのおかげで、あたしも街も助かった、みたいな感じ。
map_0753#370	……って言いたいところだけど、あんたがデパートカードを持ってたらの話ね。
map_0753#371	ていうか、なんでまだ持ってないのよ?
map_0753#372	作ってきたら、シールをあげるわ。
map_0753#373	サレナ: カード、作った?
map_0753#374	あら、やっとね。
map_0753#375	マジでまだなの?
map_0753#376	何を待ってるのよ?
map_0753#377	ねえ! ねえ! 知りたいことない?
map_0753#378	地下室に、すごく変な部屋があるんだよ!
map_0753#379	それに! それに! 他にも知りたい?
map_0753#380	すっごく不気味なの!
map_0753#381	前に、友達に「一晩泊まってみろ」って言われたんだけど……
map_0753#382	怖すぎて出てきちゃった!
map_0753#383	それくらい怖くて変なんだよ!
map_0753#384	ねえ! ねえ!
map_0753#385	見てみたい?
map_0753#386	よし!
map_0753#387	ドア開けとくから、ついてきて!
map_0753#388	あ。
map_0753#389	どの階?
map_0753#390	1階
map_0753#391	地下1階
map_0753#392	あんなに長く眠ってたあとで、また仕事に戻れたのはいいことなんだけどさ、
map_0753#393	正直、自分でも何をすればいいのかまだよく分かんないんだ。
map_0753#394	うちの奥さんはいつも、ポケモンのデータを全部集めるとか言ってて……
map_0753#395	それが自分の研究の助けになるのは分かるんだけど、彼女には持病があるのに、そこまで無理する必要はないと思うんだよなあ。
map_0753#396	あんな小さなものひとつのために、こんなに……
map_0753#397	あーあ、まったく、あんなに休んでたせいで課題がめちゃくちゃ遅れてるよ。
map_0753#398	ずっと寝てましたなんて言って、教授が信じてくれると思う?
map_0753#399	ここはすごく古い街だって聞いたけど……
map_0753#400	完全に空っぽの状態で見つかったあと、古いものを全部片付けて建て直したんだって!
map_0753#401	あたし的には、すごくいい仕事したと思うんだけど、
map_0753#402	昔の住民たちは一体どうなったのかしら?
map_0753#403	別のセーブデータで図鑑コレクションの完成が検出されました。
map_0753#404	このファイルでは図鑑コレクションをスキップしますか? 報酬はすぐに手に入ります。
map_0753#405	バニラ - $400
map_0753#406	チョコレート - $500
map_0753#407	ストロベリー - $600
map_0753#408	キャンセル
map_0753#409	はい
map_0753#410	いいえ
map_0753#411	1F
map_0753#412	B1F
map_0754#0	駅長だ。乗車券は準備できてるぞ。
map_0754#1	また一人、リボーンシティ行きか。
map_0754#2	あの新しいリーグ、ずいぶん力を入れて宣伝してるみたいだな。
map_0754#3	ここだけの話、あたしとお前とボロボロの柵の柱の間だけの話だが、リボーンシティって結構なゴミ溜めらしいぞ。
map_0754#4	なんであんな所に行きたがるのか、さっぱり分からんね。
map_0754#5	それでも、野心満々のトレーナーどもが、大勢向かってるんだからな。
map_0754#6	まあ、行ってこい。
map_0754#7	列車はもうすぐ出発だぞ。
map_0754#8	このファイルではイベントシーンをスキップしますか?
map_0754#9	はい
map_0754#10	いいえ
map_0755#0	ジュリア: あんたが\PN?
map_0755#1	アタシはジュリア、応援と元気とキラキラした全部の隊長だよ!
map_0755#2	あ、抜き打ちクイズ! リボーンリーグに挑戦するつもり?
map_0755#3	正解!
map_0755#4	どうせそれしかできないんだから!
map_0755#5	なにぃぃぃぃ?
map_0755#6	じゃあアタシたち全員倒して、何の意味があったわけ?
map_0755#7	まさか全部、自分のエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴエゴのため、とか言わないよね
map_0755#8	あんたの挑戦、楽しみにしてるから! さっさとグランドホールに行きな!
map_0755#9	ヴィクトリア: ねえ、あなたが\PN?
map_0755#10	わたしはキキです。
map_0755#11	はじめまして。それより、大丈夫でしたか?
map_0755#12	駅で何かあったと聞きましたが……
map_0755#13	でも、ここにいるということは、無事だったんですね。
map_0755#14	アメさんから、あなたも一緒に「救済」へ連れてくるよう頼まれています。
map_0755#15	心配いりません、そう時間はかかりませんから。中へどうぞ。
map_0755#16	戦う意志がない!
