map_0757#158	わたしが教えられたのはただ、慈悲だけだった。
map_0757#159	だが、それを教えてくれる者はいなかった。
map_0757#160	はい
map_0757#161	いいえ
map_0758#0	ラドマス: お前は、隕石のままでいればよかったものを……
map_0758#1	???: ふふふ~
map_0758#2	面白いこと……
map_0758#3	なあ、自分の本当の味方が誰かも分からないのか?
map_0758#4	分からないのか?
map_0758#5	分からないのかい~?
map_0758#6	なあ……お前をここまで来させたのは、いったい誰だと思う?
map_0758#7	誰だ?
map_0758#8	誰だろうね~?
map_0758#9	なあ……
map_0758#10	楽しんでるんじゃないのか?
map_0758#11	そうだろう?
map_0758#12	そうだろう!?
map_0758#13	やっぱりお前もオレと同じか……ふふふ~
map_0758#14	でなきゃ、こんな遊びを続ける理由がないだろう?
map_0758#15	サーナイト: これが死ぬということなら、
map_0758#16	かまわないわ。
map_0758#17	わたくし……
map_0758#18	幸せ。
map_0758#19	ようやく、主人のお役に立てたのだから。
map_0758#20	そしてこの想いは、わたくし自身のもの。
map_0758#21	わたくし自身の……
map_0758#22	どれほど強く感じていても、わたくしにも真実は分かっている。
map_0758#23	彼への想いはすべて、彼が彼女に抱く恋しさの映し鏡にすぎない。
map_0758#24	そしてわたくしたちの誰も、それに気づくことはなかった。
map_0758#25	だって、人間がポケモンと結婚するなんて?
map_0758#26	なんて無粋な! 考えられない!
map_0758#27	もう、そんな暗黒時代ではないのだから。
map_0758#28	わたくしは愚かではない。ただ、心が乱れているだけ。
map_0758#29	たとえこの想いをすべて頭から締め出しても、
map_0758#30	また彼に会った瞬間、すべてよみがえってくると分かっている。
map_0758#31	恋とはそういうものなのかしら?
map_0758#32	それとも、彼の想いしか手にできないのが、わたくしの定めなのかしら?
map_0758#33	もう、知ることはないでしょうね。
map_0758#34	二度と。
map_0758#35	サーナイト: 今はただ、眠っていたい。
map_0758#36	とても、とても長いあいだ。
map_0758#37	キャル: あとどれくらいここにいなきゃいけないと思う?
map_0758#38	ブレイク: ロープくらいの長さだな。
map_0758#39	キャル: は?
map_0758#40	ロープってどれくらいの長さだよ?
map_0758#41	ブレイク: 必要なだけの長ささ。
map_0758#42	キャル: ……は?
map_0758#43	???: もう、よいでしょう。
map_0758#45	前に会ってから、ずいぶん経ちましたわね。
map_0758#46	けれど、これ以上長居はいたしません。
map_0758#47	あなたがたはもう、ここに長くとどまりすぎているようですから。
map_0758#48	責めているわけではありませんが、ここはあなたがたの家ではなく、わたくしの家。
map_0758#49	ここから先は、わたくしが引き受けましょう。
map_0758#50	どうか、
map_0758#51	ルナ: この先の道は、あなた自身のものです。
map_0758#52	ティタニア: そのほうがいいのかもしれないけど、それを決めるのはあんたじゃない。
map_0758#53	タカ: \PN――
map_0758#54	タカ: オレ……
map_0758#55	諦めたく――
map_0758#56	……ないんだ……
map_0758#57	オレは――
map_0758#58	お前みたいに……戦えるように……なりたい……
map_0758#59	頼む――
map_0758#60	痛い……
map_0758#61	やめ――
map_0758#62	オレを忘れないで……
map_0758#63	キャル: ちょっと疲れてただけだよ……
map_0758#64	ブレイク: 言い訳はよせ。
map_0758#65	キャル: 何かを台無しにするつもりはなかったんだ……
map_0758#66	ブレイク: 本当に疲れてるなら、寝てしまえ。
map_0758#67	キャル: ここで? 雪の中で?
map_0758#68	ブレイク: いや、うちにある高級羽毛布団のベッドで――
map_0758#69	ここでだよ。
map_0758#70	キャル: 父さん、これで怒ったりしないよね?
map_0758#71	ブレイク: そんなことばかり聞いてたら怒られるぞ。
map_0758#72	キャル: だって、すごく寒いんだもん……
map_0758#73	ブレイク: ああ、そういうものだからな。
map_0758#74	キャル: 中に入りたいよ……
map_0758#75	ブレイク: 文句を言うな。
map_0758#76	そもそも、こうなったのはお前のせいだろ。
map_0758#77	キャル: ごめん……
map_0758#78	ブレイク: いや、悪いと思ってないだろ。
map_0758#79	キャル: 思ってるよ……
map_0758#80	あいつみたいなこと言うんだな。
map_0758#81	ブレイク: お前よりはマシさ。
map_0758#82	スリーパー: ――ダメ……
map_0758#83	スリーパー: ダメだ!
map_0758#84	スリーパー: ダメだあああ!!!
map_0758#85	うわあああ……
map_0758#86	「PULSE-08」
map_0760#0	グルアアア!
map_0760#1	……ガルル。
map_0760#2	……ガアアウ……?
map_0760#3	ガアアアアウッ!
map_0760#4	……ガアアウ……?
map_0760#5	……ガウ。
map_0760#6	ガ、ガアアウ……?
map_0761#0	アンナ: あ、\PN!
map_0761#1	それと、列車さんこんにちは!
map_0761#2	これでいけると思う! みんなを呼んでくるね!
map_0761#3	アンナ: どう? これ、使えそう?
map_0761#4	シャルロット: は? あたしがこういうのに詳しいとでも思ってんの?
map_0761#5	冗談キツいって。
map_0761#6	でも、やってみる価値はあるか。
map_0761#7	どうせ大したことないでしょ。
map_0761#8	ノエル: 出口には近くないですね。
map_0761#9	シャルロット: そうね、でもレールさえ無事なら、前に進ませるものを見つけて、命がけで動くように祈るだけよ。
map_0761#10	カイン: で、ブレーキのほうはどうすんの?
map_0761#11	シャルロット: そんなもの誰が要るのよ?
map_0761#12	アンナ: じゃあ最初にやることは、レールがちゃんと繋がってるか確認することだね?
map_0761#13	シェリー: 外にたくさん分岐器があったのを見ました……
map_0761#14	ノエル: 十二個だけです。
map_0761#15	カイン: それに、レールの一部は壊れてるんだろ?
map_0761#16	ノエル: それは好都合ですね。
map_0761#17	シェリー: あの……ど、どうしてですか?
map_0761#18	ノエル: 即座に行き止まりになる位置を除外すれば、組み合わせの数は46,656通りから8通りまで減ります。
map_0761#19	カイン: なんでそんなこと分かんの?
map_0761#20	ノエル: 当然のことでは?
map_0761#21	カイン: いや……全然。
map_0761#22	アンナ: じゃあ、列車をがれきまで進められるか確かめるには、その8通りを試せばいいってこと?
map_0761#23	シャルロット: よし、\PN、あんたの出番よ。
map_0761#24	複数人でやると、ごちゃごちゃになりそうだから。
map_0761#25	この列車が出口まで行けるルートを探して、ノエルに確認してもらって。
map_0761#26	それができたら、いよいよ出発ね。
map_0761#27	アンナ: 外で待ってるね。ほら、ノエルも行くよ~
map_0761#28	シャルロット: この列車が出口まで行けるルートを探して、ノエルに確認してもらって。
map_0761#29	ヘザー: ……
map_0761#30	カイン: 組み合わせとかよく分かんねーけど、オレが数えられるのはビートだけだな。
map_0761#31	だから、お前のハートならまだ数えられるぜ~
map_0761#32	カイン: あとはシャルロットが分かってることを祈るだけだな?
map_0761#33	ま、これが最後の瞬間だとしても、お前がいてくれるなら悪くないぜ!
map_0761#34	カイン: どっちが心配か分かんねーな。
map_0761#35	列車がどうなるかってことか、それともヘザーがそれにすら反応しないことか。
map_0761#36	シェリー: 本当に、出られる道なんてあるんでしょうか?
map_0761#37	シェリー: じゃあ……じゃあ、やっぱり出られるんですか?
map_0761#38	あ、あの、それって――
map_0761#39	わたし、少しは役に立てましたか?
map_0761#40	シェリー: う、嬉しいです!
map_0761#41	さあ、ここを出て、ヘザーを安全な場所へ!
map_0761#42	シェリー: あ……
map_0761#43	はい……
map_0761#44	つ、次はもっと頑張りますから……
map_0761#45	ごめんなさい……
map_0761#46	シェリー: ここを出て、ヘザーを安全な場所へ!
map_0761#47	シェリー: ごめんなさい……
map_0761#48	シェリー: わ、わたしたち、失敗してませんよね……?
map_0761#49	シャルロット: 道はもう切り開かれてるみたいね。
map_0761#50	準備はいい?
map_0761#51	シャルロット: よし。
map_0761#52	シャルロット: よし、やるわよ。
map_0761#53	ザザッ……こちら機長です。
map_0761#54	まもなく駅を出発いたします。
map_0761#55	手足は常に車内にしっかりとお納めのうえ、
map_0761#56	しっかりつかまってなさい、地獄みたいな乗り心地になるからね。
map_0761#58	カイン: ブレーキのこと、気が変わったのか?
map_0761#59	シャルロット: まさか……
map_0761#60	シェリー: あの……今、何が起きたんですか?
map_0761#61	シャルロット: それを知る方法は一つしかないわね。
map_0761#62	がれきは抜けたけど、これ以上は進めなさそうだから、降りて見てみましょう。
map_0761#63	シャルロット: 平気平気。落ちてきてもここで待ってるから。
map_0761#64	シャルロット: チッ、ブレーキね。
map_0761#65	あいつ、あたしを何だと思ってんのよ……
map_0761#66	ノエル: 経路の設定、お疲れさまでした。
map_0761#67	ノエル: アンナ、本当に大丈夫ですか?
map_0761#68	アンナ: 出航準備、万端だよ!?
map_0761#69	あ、あたしのことは心配しないで、石で滑っただけだから! たぶん。
map_0761#70	もう二度と起きないはず!
map_0761#71	アンナ: ねえ、ノストラって寒く感じない?
map_0761#72	はい
map_0761#73	いいえ
map_0763#0	フロリニア: 通常の論理では2対1は著しく不利とされるが、現状は異常値である。
map_0763#1	成功確率:94%。
map_0763#2	追加の支援は他へ回すのが最適である。
map_0763#3	ユキメノコはバトルに集中している!
map_0763#4	ティタニア: ちょっと今、手が離せないんだけど、\PN!
map_0763#5	話す暇があるなら、戦う暇もあるでしょ!
map_0763#6	ハーディ: こいつらはオレたちに任せとけ、\PN!
map_0763#7	お前はリンを探しに行ってくれ!
map_0763#8	いやー、地元はやっぱりいいもんだぜ。
map_0763#9	言っとくけど、山ん中以外に居場所はねえけど、それでもあんまり長くこもりっぱなしってのはごめんだぜ。
map_0763#10	サムソン: 落ち着け、ちびすけ。
map_0763#11	あの女悪魔がいなきゃ、お前なんて何でもねえ。
map_0763#12	シエル: \PNとハーディに、もう倒されたはずでしたわよね……
map_0763#13	まさか、他のポケモンを隠し持っていたなんて言わないでちょうだい!
map_0763#14	よし、聞いてくれ。
map_0763#15	一日は24時間で、寝るのは8時間だろ?
map_0763#16	ってことは、寝てた時間の倍は起きてられるってことか!?
map_0763#17	よっしゃ、めちゃくちゃ盛り上がるぜ。
map_0763#18	エンペルトはバトルに集中している!
map_0763#19	オレたち全員を倒せるわけがないだろ!
map_0763#20	ハーディ: おい、メテオのやつら!
